# From Yahoo Kaa G!'kul working group by Mike McKeown
# josh 2009-05-11: Updated copy provided
# josh 2009-06-11: Added spaces between Z and BPG
# josh 2012-03-19: Fixed Gov/Law levels for Kk worlds:
# -'xikrar       2310 C66856Q-A    Ag                  123 Kk F0 V M2 V
# +'xikrar       2310 C66853A-A    Ag                  123 Kk F0 V M2 V
# -Guut          2116 B54857Q-A                        003 Kk K6 V M3 V
# +Guut          2116 B54853A-A                        003 Kk K6 V M3 V
# -Kulaarr       2319 EA8A47Q-9    Wa                  123 Kk M1 V
# +Kulaarr       2319 EA8A43A-9    Wa                  123 Kk M1 V
# -Guurr!'rr     2131 D4836KR-A  O Ni Ri               603 Kk M6 V
# +Guurr!'rr     2131 D48369A-A  O Ni Ri               603 Kk M6 V
# josh 2020-10-25: Replaced Lishun Suugugki with SELK
#
# Chris Griffen obtained the updated UWPs and statistics and ran them through the T5ify
# tool at https://travellermap.com/res/t5ss/t5ify.html using the T5 Tab delimited option.
# Updated the stellar data, removing all non-white dwarves (e.g., stars qualified as
# F3 D and similar), and adding white dwarves to the following systems to establish
# a similar ratio to the systems of other established Traveller sectors:
# 0134	Ide	  E5A0436-6		He Ni		625	Cr	F8 III D
# 0915	Enlesodi  B639344-C		Lo		602	Up	K1 III M4 V D
# 1134	Bastion	  C0008CF-8		As Va Ph Na Pi	825	NaXX	F6 II M4 V D
# 2036	Royrehk	  B527766-B		Pi O:1939	100	Hv	K9 II D
# 2601	Tharar	  B435746-9				500	Lx	F0 II K8 V D
# 3017	Kuur	  B40021A-9	K	Va Lo		203	Kk	K6 III D
#
# Changed all alliegances of NaAs to NaXX per Joshua Bell's instruction that those are
# erroneous. No independent Aslan worlds should be present in the sector.
#
# Based on Leroy Guatney's work at
#
# http://home.earthlink.net/~ngc5139/FDA/

Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
0103	Gashetha	C662200-6		Lo		414	NaXX	K5 V K7 V	{ -2 }	(C11+1)	[2196]		11
0104	Idiefers	B576ABA-E	N	Hi In		323	NaXX	K3 V	{ 4 }	(E9B+0)	[9E7D]		16
0105	Douwi	A83A627-A		Wa Ni		610	NaXX	M6 V G1 V	{ 1 }	(953-2)	[7788]		9
0106	Wodean	A000776-A		As Va Na Pi		904	NaXX	G8 V	{ 2 }	(D6C+2)	[999A]		15
0109	Odot	E541548-3		He Ni Po		803	Mp	K0 V	{ -3 }	(741-2)	[3281]		9
0110	Fetodeng	X763786-0		Ri		701	Mp	M8 V	{ -1 }	(769+0)	[4661]		13
0111	Wheceled	B69A576-8		Wa Ni		523	Mp	G8 V	{ -1 }	(E40+1)	[744A]		15
0114	Oedo	B326110-C		Lo		100	Mp	K6 V	{ 1 }	(901+3)	[225C]		9
0115	Lewaie	B6A2330-A		Fl He Lo		902	Mp	M3 V	{ 1 }	(B21+0)	[644C]		9
0117	Thechade	B755673-7		Ga Ni Ag		122	NaXX	G7 V	{ 0 }	(451-2)	[6642]		13
0118	Tofefte	X443430-3		Ni Po		700	NaXX	M2 V M3 V	{ -3 }	(930-5)	[1138]		4
0120	Betpit	C13068A-A		De Ni Na Po		423	NaXX	G6 IV	{ 0 }	(H54+2)	[7697]		17
0121	Fivoix	C62A477-9		Ni		220	NaXX	M0 V M5 V	{ -1 }	(E33+4)	[535B]		10
0123	Bareden	C678100-9		Lo		923	NaXX	G7 V K6 V	{ -1 }	(B01-1)	[315B]		10
0126	Enshom	B727673-8		Ni		600	NaXX	K0 V	{ -1 }	(654+0)	[95A8]		5
0127	Trouteou	C337551-9		Ni		300	NaXX	M4 V A3 V	{ -1 }	(841-3)	[445B]		11
0128	Jorshee	C410301-8		Lo		822	NaXX	G6 V M0 V	{ -2 }	(E21+3)	[317A]		7
0132	Kegen	C545447-4	S	Ni Pa		122	Cr	K2 V	{ -2 }	(732-3)	[1255]		11
0134	Ide	E5A0436-6		He Ni		625	Cr	F8 III D	{ -3 }	(530-2)	[3161]		17
0136	Eiron	B987544-9		Ni Ag Pr		313	Cr	K9 V	{ 1 }	(946+3)	[4635]		11
0202	Merhoht	B55A7B6-7		Wa		123	NaXX	K8 V	{ 0 }	(A67-3)	[7745]		8
0203	Golit	B401741-9		Ic Va Na Pi		802	NaXX	F7 V G3 V	{ 1 }	(963-4)	[3836]		11
0204	Plesti	E77A343-5		Wa Lo		601	NaXX	F5 V M4 V	{ -3 }	(521-3)	[3116]		11
0205	Anfreao	C300797-8		Va Na Pi		725	NaXX	A0 V	{ -1 }	(C67-2)	[664B]		16
0207	Taga	B000784-A	NS	As Va Na Pi		200	NaXX	M7 V	{ 3 }	(76B-1)	[9AA5]		8
0209	Leetemasa	C10057A-A		Va Ni		923	Mp	F1 V	{ 0 }	(841-3)	[356B]		10
0211	Lingi	B585547-6		Ni Ag Pr		910	Mp	F7 V F8 V	{ 0 }	(A44-3)	[4588]		11
0213	Selya	C7B4522-6		Fl Ni		323	Mp	K3 V	{ -2 }	(543-3)	[3366]		9
0215	Plalegaghack	E775258-7		Lo		600	Mp	M2 V M5 V	{ -3 }	(811+0)	[2147]		10
0216	Hayeckoca	B6A0585-9	N	He Ni		622	Mp	M0 V M0 V	{ 0 }	(A43+1)	[7568]		10
0219	Ome	C140431-6		De Ni Po		223	NaXX	K7 V	{ -2 }	(434-5)	[1268]		13
0220	Holeri	B120310-E		De Lo Po		212	NaXX	G6 V	{ 1 }	(E21-3)	[143B]		10
0223	Oayi	A9A6304-D		Fl Lo		301	NaXX	M7 V	{ 1 }	(921+0)	[244B]		12
0226	Orcer	C455441-5		Ni Pa		602	NaXX	K0 V F1 V	{ -2 }	(930-2)	[1287]		12
0230	Hayasbegh	A2258BB-E		Ph Pi		322	NaXX	F0 V	{ 2 }	(975-3)	[8A8B]		16
0231	Onta	E6A7586-7		Fl Ni		300	Cr	M9 V	{ -3 }	(643+0)	[726A]		12
0234	Ende	C0008BE-9		As Va Ph Na Pi		812	Cr	K2 V M0 V	{ 0 }	(879+0)	[6898]		10
0239	Bahtwem	B448752-9		Ag Pi		624	Cr	G1 V	{ 2 }	(D6C+0)	[9988]		15
0240	Otou	C67659B-7		Ni Ag		700	J1	M4 V	{ -1 }	(643-2)	[3455]		4
0301	Senyer	B89A678-B	NS	Wa Ni		102	NaXX	K0 V	{ 2 }	(456-3)	[583E]		11
0303	Ere	B546642-7		Ni Ag		422	NaXX	G8 V K4 V	{ 0 }	(A51+2)	[7668]		13
0305	Ane	B774843-7		Ph Pa Pi		103	Kc	M8 V	{ 0 }	(775+0)	[5836]		10
0306	Evet	E386345-8		Lo		523	NaXX	G6 V	{ -3 }	(A21-1)	[4169]		13
0307	Elye	E511641-7		Ic Ni Na		933	NaXX	G8 V K0 V	{ -3 }	(750+1)	[8347]		13
0308	Thedoucise	B76687A-6		Ga Ph Pa Ri		222	NaXX	G8 V M3 V	{ 1 }	(778-4)	[7986]		10
0309	Jiwothess	C232577-8		Ni Po		810	Mp	F2 V G3 V	{ -2 }	(840-2)	[4395]		5
0312	Thina	B436AA6-E	N	Hi		600	Mp	M2 V	{ 3 }	(799-1)	[9D7G]		11
0319	Ereso	A541342-C		He Lo Po		910	NaXX	M0 V	{ 1 }	(621+0)	[247B]		9
0320	Lalya	B364979-C		Hi Pr		203	NaXX	K8 V F9 V	{ 3 }	(A88-1)	[6C5D]		12
0322	Thader	E341426-8		He Ni Po		503	NaXX	G9 V	{ -3 }	(A30+1)	[2168]		13
0324	Entallosa	B210210-8	N	Lo		523	NaXX	A3 V	{ -1 }	(A11+1)	[2147]		14
0333	Toa	B230677-A	N	De Ni Na Po		802	Cr	M2 V	{ 1 }	(A55-1)	[A72E]		5
0335	Sharabond	A887855-B		Ga Ph Pa Ri		723	Cr	F3 V F4 V	{ 3 }	(B79+2)	[9B6D]		11
0336	Oldeall	C653531-7		Ni Po		112	Cr	K0 V M3 V	{ -2 }	(543+2)	[538C]		14
0338	Thedo	D799325-4		Lo		912	Cr	K5 V	{ -3 }	(921+4)	[4178]		11
0339	Tramoutigat	E524677-7		Ni		102	Cr	M2 V	{ -3 }	(352+0)	[6358]		8
0401	Akemirou	B778984-7		Hi In		601	NaXX	M7 V	{ 2 }	(98A+1)	[4B46]		9
0402	Fedehisyes	C65899A-9		Hi		114	NaXX	G1 V	{ 1 }	(G8B+0)	[9A76]		15
0404	Frodarouse	E504302-7		Ic Va Lo		815	NaXX	G2 V	{ -3 }	(821+4)	[4133]		13
0405	Echeani	C261210-8		Lo		124	NaXX	G8 V	{ -2 }	(G11+0)	[4158]		16
0410	Ceyelorsir	E576A9A-A		Hi In		901	Mp	G0 V	{ 2 }	(696-4)	[8C6C]		10
0411	Shahtbeht	A489632-C		Ni Ri		620	Mp	M4 V M7 V	{ 2 }	(855-1)	[986A]		8
0413	Chesi	E644520-3		Ni Ag		900	NaXX	M8 V	{ -2 }	(944+3)	[5313]		4
0414	Oesa	C5569BA-9		Hi		623	Mp	K1 V	{ 1 }	(C8C-3)	[7A77]		11
0415	Osseld	E110240-9		Lo		603	Mp	M9 V	{ -2 }	(C11+1)	[4127]		12
0420	Destreon	C565443-9		Ni Pa		722	NaXX	F6 V	{ -1 }	(C33-4)	[139A]		16
0421	Getlerdilind	B775213-6		Lo		302	NaXX	M7 V	{ -1 }	(411+2)	[3169]		9
0423	Bengcough	D6A3657-7		Fl Ni		200	NaXX	M5 V M4 V	{ -3 }	(653+2)	[8399]		11
