Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0103	Eiearlaohaw	B558783-A	Ag Tz	{ 3 }	(76C-2)	[4A2D]	-	R	-	400	9	AsVc	M2 V
0104	Layaefeokh	E67A976-8	Hi In Wa Co	{ 0 }	(C85+2)	[D966]	-	-	-	504	12	AsSc	G2 V K5 V
0105	Eakhaokh	E510362-8	Lo O:0103	{ -3 }	(B20-4)	[6196]	-	-	-	304	13	AsVc	M6 III
0107	Ahkakhoa'oh	D644854-7	Pa Ph Pi	{ -2 }	(774+1)	[3616]	-	-	-	101	12	AsMw	K1 V K3 V
0108	Iraleho	D895341-7	Lo	{ -3 }	(720+1)	[1145]	-	-	-	100	9	AsMw	G6 V
0110	Ktao	E511387-8	Ic Lo Tz	{ -3 }	(320+4)	[2158]	-	-	-	410	14	AsVc	M1 V
0202	Eisyelyefaui	E545786-6	Ag Pi Co	{ -1 }	(865-3)	[B679]	-	-	-	603	9	AsWc	G8 V K4 V
0205	Keaiywoul	E787788-6	Ag Ga Ri	{ 0 }	(565+1)	[6795]	-	-	-	413	15	AsTv	G7 V K2 V
0206	Auiasoaoh	E628261-8	Lo Tz O:0505	{ -3 }	(710+1)	[31A5]	-	-	-	212	16	AsTv	M0 V M3 V
0208	Eaeih	D645787-6	Ag Pi	{ -1 }	(96B+2)	[9674]	-	R	-	110	5	AsVc	G7 V K6 V M0 V
0209	Iykhteikhtah	D742183-7	He Lo Po Co	{ -3 }	(A00+1)	[112A]	-	T	-	412	11	AsT0	K9 V
0303	Uayeeakhoh	A861558-C	Ni Pr	{ 1 }	(C47-2)	[469G]	-	T	-	101	7	AsTv	K8 V M6 V
0306	Eiakarail	E57888A-6	Pa Ph Pi Co	{ -2 }	(979+3)	[5645]	-	-	-	602	10	AsTv	G4 V K6 V
0307	Easao	E64268B-6	He Ni Po Ho	{ -3 }	(950-4)	[5367]	-	-	-	601	13	AsWc	F0 V F1 V
0401	Kaio	A625672-D	Ni	{ 1 }	(F53-1)	[474E]	-	T	-	124	14	AsSc	K8 V
0402	Iyrealrasekh	A566755-D	Ag Ri	{ 4 }	(56F-2)	[9B3B]	-	R	-	900	9	AsMw	K4 V
0403	Iiyholruar	A420585-D	De He Ni Po Tz	{ 2 }	(C43-4)	[275F]	-	RT	-	304	14	AsTv	M3 V
0404	Yawofohiy	A672587-A	He Ni	{ 2 }	(543+3)	[3759]	-	RT	-	100	7	AsTv	K7 V M8 V
0407	Tiyheerye	E310112-9	Lo Lk Sa	{ -2 }	(F00-4)	[5165]	-	-	-	204	12	AsMw	K5 V D
0408	Ahahyaftua	E730553-9	De Ni Po	{ -2 }	(D40+2)	[5337]	-	-	-	103	13	AsWc	G5 V M4 V
0410	Eistyas	E9C6798-7	Fl	{ -2 }	(368+4)	[9587]	-	-	-	434	11	AsVc	G5 V
0501	Uhoikhei	B646115-B	Lo Lk Sa	{ 1 }	(A01-3)	[122C]	-	-	-	203	11	AsMw	G6 V K4 V
0502	Htaohesuih	B555686-A	Ag Ni	{ 2 }	(554-2)	[684B]	-	R	-	100	5	AsWc	K3 V M7 V
0505	Ooiafourl	B75459A-A	Ag Ni	{ 2 }	(D47+3)	[57AA]	-	R	-	304	13	AsTv	G7 V
0507	Ea'eiiys	B545154-A	Lo Tz	{ 1 }	(E01-4)	[1269]	-	T	-	202	13	AsT5	M2 V M2 V BD
0508	Oiwahweaw	B796394-B	Lo	{ 1 }	(721-1)	[545B]	-	R	-	203	10	AsVc	K8 V M5 V
0509	Siaiw	B585555-B	Ag Ni Pr Co	{ 2 }	(747-1)	[4779]	-	T	-	503	12	AsT9	K2 V
0510	Aoihais	B510599-C	Ni Tz	{ 1 }	(B42-2)	[565C]	-	R	-	412	10	AsMw	M3 V
0602	Eriys	B310450-A	Ni	{ 1 }	(737-3)	[6596]	-	R	-	300	6	AsMw	M8 III BD
0604	Atelelo	B744656-B	Ag Ni Lk	{ 2 }	(755-4)	[A85E]	-	T	-	210	10	AsT7	G9 V
0607	Aife'erle	B86AA89-E	Hi Wa Da	{ 3 }	(E9B+1)	[AD4A]	-	R	A	214	13	AsTv	G9 V
0702	Awaheh	B669584-B	Ni Pr Tz	{ 1 }	(C44+1)	[6677]	-	R	-	113	13	AsVc	M1 V
0705	Eahlah	B31479B-C	Ic Pi Ho Da	{ 2 }	(D6B+4)	[A97F]	-	T	A	703	10	AsT8	G0 V
0706	Yuriyh	B665242-A	Ga Lo	{ 1 }	(F11+2)	[7339]	-	T	-	512	6	AsMw	G7 V M0 V
0707	Rauhah	B748341-B	Lo Co Tz	{ 1 }	(B21-1)	[848A]	-	-	-	602	12	AsVc	M2 V
0709	Oheiy	C656265-9	Ga Lo O:0607	{ -1 }	(910-3)	[2146]	-	-	-	704	9	AsTv	K1 V
0710	Aolaaokhakh	C663362-9	Lo O:0509	{ -1 }	(620+3)	[128B]	-	-	-	612	11	AsT9	G9 V
0802	Khahaar	B100374-9	Lo Va Sa	{ 0 }	(H20+3)	[232C]	-	T	-	433	17	AsSc	M0 V M3 V
0807	Hkuekherl	B310216-B	Lo Sa	{ 1 }	(811+1)	[237C]	-	-	-	503	8	AsMw	K7 V
0808	Aihasaoriyl	B773498-B	Ni	{ 1 }	(C32+2)	[2539]	-	-	-	424	14	AsVc	K7 V M0 V
0809	Ktaoailaei	C523116-9	Lo Po Tz	{ -1 }	(900+2)	[515B]	-	-	-	411	9	AsVc	M2 V
0902	Eahaorahkye	A430476-B	De Ni Po Sa	{ 1 }	(732+3)	[4579]	-	R	-	311	9	AsSc	K1 V
0904	Hoaeaste	A1006A5-E	Na Ni Va	{ 1 }	(C56+2)	[B75H]	-	R	-	220	10	AsVc	K3 III
0906	Eakyorl	A510143-A	Lo Tz	{ 1 }	(701-3)	[126E]	-	-	-	600	8	AsT6	M0 V
0907	Ei'yeh	D555362-7	Lo O:1006	{ -3 }	(920-2)	[141B]	-	T	-	204	7	AsT9	G1 V
0909	Eyohiyahwyol	C548384-6	Lo	{ -2 }	(320+1)	[1146]	-	R	-	304	16	AsTv	K6 V
1006	Tairahyer	A6678A6-C	Ga Pa Ph Ri	{ 3 }	(E77-3)	[6B9F]	-	T	-	123	14	AsT9	G9 V
1008	Ihuiheaw	C9D3544-A	Ni Fr	{ 0 }	(A41+1)	[653B]	-	R	-	302	5	AsWc	M1 V
1009	Kouosoah	CA8A441-9	Ni Oc	{ -1 }	(D32+1)	[736B]	-	R	-	403	13	AsMw	K8 V
1104	Raiaare	A75689C-C	Ga Pa Ph Da	{ 2 }	(B7E+4)	[9A7C]	-	-	A	734	11	AsT3	F7 V
1108	Laliwakhe	C527314-A	Lo Lk Sa	{ 0 }	(B20+3)	[732C]	-	-	-	104	13	AsMw	K5 V M2 V
1201	Yeryahura	D598261-7	Lo O:1403	{ -3 }	(B10-2)	[23AA]	-	-	-	711	12	AsTv	G7 V
1202	Aoheaea	C554194-9	Lo Tz	{ -1 }	(300-2)	[423A]	-	R	-	100	8	AsMw	M2 V M2 V
1203	Starliyrl	A542283-D	He Lo Po	{ 1 }	(D11+4)	[138D]	-	R	-	314	11	AsMw	G4 V
1205	Htesyuftaea	A776310-D	Lo	{ 1 }	(A21-1)	[143B]	-	-	-	303	7	AsMw	K4 V
1208	Eakhtiesil	C58499B-A	Hi Pr Da	{ 2 }	(B8A-1)	[7B39]	-	T	A	104	13	AsTv	K3 V BD
1306	Iykte	A848A89-D	Hi In	{ 4 }	(B9D-2)	[9E6E]	-	T	-	803	7	AsT9	K4 V
1308	Eiiyeialr	C734772-9	Tz	{ 0 }	(56A+1)	[8758]	-	R	-	403	8	AsSc	M3 V
1402	Eruiseaste	A314683-B	Ic Ni Fr Lk Sa	{ 1 }	(356+1)	[676D]	-	R	-	201	7	AsMw	M0 V
1403	Eiuew	A875746-C	Ag Pi	{ 3 }	(A68-4)	[7A8B]	-	R	-	703	8	AsTv	G9 V
1404	Ouyuheira	B584577-A	Ag Ni Pr Ho Tz	{ 2 }	(B48+2)	[5769]	-	R	-	901	8	AsSc	K5 V M7 V
1406	Tiyl	C79A576-A	Ni Wa	{ 1 }	(D45-1)	[675E]	-	RT	-	104	12	AsSc	G4 V
1408	Kara	C669586-7	Ni Pr	{ -2 }	(B44-4)	[3329]	-	R	-	502	12	AsVc	G4 V
1410	Hwahihahoi	C553976-A	Hi Po Co Tz	{ 2 }	(C88+2)	[5B68]	-	R	-	403	9	AsSc	M3 V
1504	Aiea	B687678-A	Ag Ga Ni Ri	{ 4 }	(656-2)	[4A88]	-	RT	-	201	5	AsSc	M0 V M9 V
1509	Ahaoeioia	C797110-9	Lo	{ -1 }	(C00+1)	[215B]	-	-	-	121	11	AsT8	K3 V
1510	Erilr	C651540-9	Ni Po Co	{ -1 }	(G42+4)	[945A]	-	R	-	224	14	AsMw	F3 V
1603	Areih	B755857-B	Ga Pa Ph	{ 2 }	(779-1)	[5AAD]	-	R	-	203	10	AsTv	G9 V
1610	Liykha	C843550-A	Ni Po	{ 0 }	(A41+2)	[155A]	-	T	-	103	8	AsT9	K0 V K6 V K6 V
1704	Yoseihofyo	B433355-B	Lo Po	{ 1 }	(421+1)	[445B]	-	R	-	100	8	AsMw	F2 V G7 V
1706	Yeleahehyu	B7664A5-B	Ga Ni Pa	{ 1 }	(835-4)	[456D]	-	R	-	502	9	AsVc	F8 V G9 V
1707	Tuihroa'	B435847-C	Ph Co Tz	{ 2 }	(67B-1)	[7A4F]	-	-	-	612	11	AsVc	M1 V
1709	Efau	B683894-A	Ph Ri Co Tu	{ 3 }	(C77+4)	[8B89]	-	R	-	813	16	AsVc	G0 V G3 V
1808	Weaohieah	B100361-E	Lo Va Sa O:1709	{ 1 }	(G21-1)	[342J]	-	-	-	113	14	AsVc	M0 V M0 V
1809	Htaawaoakyo	B574311-B	Lo	{ 1 }	(821+1)	[747F]	-	-	-	412	9	AsVc	K4 V
1810	Eihtehriyus	B420787-C	De He Na Pi Po Tz	{ 2 }	(96D+2)	[792B]	-	T	-	723	10	AsT1	M3 V
1902	Eousyeweilra	D762349-7	Lo Co Tz	{ -3 }	(920+1)	[1138]	-	R	-	100	12	AsWc	M0 V M0 V
1903	Awelalr	C51288D-9	Ic Na Ph Pi Lk Sa Fo	{ 0 }	(978+4)	[A886]	-	-	R	222	12	AsMw	K7 V M2 V
1910	Eealero	B6761A5-8	Lo	{ -1 }	(D00+4)	[115A]	-	T	-	204	14	AsT2	K2 V M2 V K8 V
2003	Elauteal	B660A5A-E	De Hi Co	{ 3 }	(89D+3)	[BD3D]	-	R	-	204	11	AsMw	F5 V
2004	Khtohaow	B300365-D	Lo Va Tz O:2003	{ 1 }	(A21+1)	[348F]	-	-	-	802	11	AsMw	M0 V M1 V
2005	Oluaw	C688784-8	Ag Ri Tz	{ 1 }	(66D-5)	[7848]	-	T	-	200	8	AsTv	M1 V
2006	Weluakheih	E574115-7	Lo	{ -3 }	(B00+1)	[112B]	-	-	-	812	15	AsMw	K5 V
2101	Hearl	BA66696-A	Ag Ni Ri	{ 3 }	(D55+1)	[795D]	-	R	-	104	12	AsVc	G2 V G4 V
2105	Hkoirl	A887857-B	Ga Pa Ph Ri Ho Tr	{ 3 }	(97B-1)	[8B8B]	-	-	-	603	14	AsTv	F7 V K0 V K1 V
2108	Luawuirekh	C100374-9	Lo Va	{ -1 }	(G20+1)	[3269]	-	T	-	104	16	AsSc	K2 V
2202	Olrea	B9B5749-B	Fl	{ 2 }	(C6D+1)	[696B]	-	-	-	113	15	AsTv	G8 V K1 V
2206	Hteareaitiyw	C683388-9	Lo Tz	{ -1 }	(A20+1)	[228A]	-	T	-	402	13	AsTv	M2 V
2207	Ohfaa	CA6A596-8	Ni Oc Pr Co	{ -2 }	(944+1)	[6339]	-	T	-	112	6	AsT7	K0 V
2208	Aauoeoi	D649315-8	Lo	{ -3 }	(B20-3)	[131A]	-	-	-	413	16	AsSc	G8 V
2303	Arleahiwouh	B578572-B	Ag Ni Tz	{ 2 }	(D44-3)	[978A]	-	R	-	123	13	AsSc	M0 V
2304	Kuikeasuihui	B75A683-9	Ni Wa	{ 0 }	(B53+3)	[4639]	-	-	-	102	8	AsTv	G6 V
2305	Saih	B643783-A	Pi Po	{ 2 }	(66A-3)	[792C]	-	T	-	100	9	AsT1	G5 V G9 V
2308	Oarlikhaoel	D577576-7	Ag Ni	{ -1 }	(945-2)	[6649]	-	RT	-	204	15	AsSc	G3 V
2309	Khawailouiys	C627545-7	Ni Co Tz	{ -2 }	(C41+4)	[9368]	-	R	-	203	11	AsVc	M3 V
