Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0102	Khti	A64468A-C	Ag Ni Co Tu	{ 2 }	(B56-3)	[289E]	-	R	-	530	15	AsWc	G3 V
0104	Oaaasai	E620538-8	De He Ni Po Lk Sa Fo	{ -3 }	(743+1)	[537A]	-	R	R	500	6	AsMw	M0 V M5 V
0107	Kau'a	B762687-9	Ni Ri	{ 1 }	(855-3)	[4755]	-	R	-	222	9	AsMw	G8 V
0108	Sirlye	B8A377C-B	Fl Co Tz	{ 2 }	(E6A-5)	[692A]	-	-	-	612	15	AsSc	M2 V
0109	Aeikhi	A856365-9	Ga Lo O:0308	{ 0 }	(B20+1)	[4398]	-	-	-	213	14	AsMw	F1 V
0201	Ouhkao	C699366-A	Lo Co O:0401	{ 0 }	(920+2)	[331B]	-	-	-	222	12	AsMw	K7 V
0204	Ahkaohea	D310848-8	Na Ph Pi Ho Tz	{ -2 }	(775+5)	[A85B]	-	-	-	400	6	AsVc	K5 V K6 V
0207	Iyaheah	B565446-9	Ni Pa Co	{ 0 }	(536-1)	[1438]	-	T	-	110	9	AsTv	K7 V
0208	Erlahtiy	C997695-8	Ag Ni	{ -1 }	(851+1)	[7659]	-	R	-	103	10	AsVc	F3 V
0210	Iyhkahoirl	B00078C-D	As Na Pi Va Da	{ 2 }	(B66-2)	[896E]	-	R	A	512	12	AsMw	G8 V
0301	Earyur	EAAA559-A	Fl Ni Tz	{ -1 }	(A41-2)	[6468]	-	-	-	812	9	AsTv	M2 V
0304	Ierisao	A630473-D	De Ni Po	{ 1 }	(535-3)	[855D]	-	T	-	102	7	AsSc	M0 V M5 V
0305	Eter	B100169-A	Lo Va Sa O:0308	{ 1 }	(B01-2)	[325C]	-	-	-	931	12	AsMw	A2 V
0306	Uhwaui'	C000496-9	As Ni Va Co	{ -1 }	(834-2)	[2339]	-	R	-	201	8	AsVc	G1 V
0308	Aihrui	B57A957-D	Hi In Wa	{ 4 }	(E8F-3)	[9D5F]	-	R	-	134	13	AsMw	G5 V
0309	Rasoilral	C54426A-7	Lo O:0308	{ -2 }	(410+5)	[1198]	-	-	-	820	6	AsMw	F4 V G3 V
0401	Fawehesye	B765986-C	Ga Hi Pr Lk Sa	{ 3 }	(D8F+1)	[9C7F]	-	R	-	533	15	AsMw	K0 V
0405	Ealeaiy	C77A75A-B	Pi Wa	{ 1 }	(E68-1)	[8829]	-	-	-	121	14	AsMw	G2 V K4 V
0407	Ouoi	B4A7859-B	Fl Ph	{ 2 }	(577-2)	[5A66]	-	-	-	601	8	AsVc	K7 V M1 V
0410	Oueae	X5AA000-0	Ba Fl Tz Fo	{ -3 }	(400-5)	[0000]	-	-	R	003	13	AsXX	M1 V M1 V M6 V
0505	Yakhe	C68A684-7	Ni Ri Wa Co Tz	{ -1 }	(351-4)	[6528]	-	-	-	504	11	AsVc	M0 V
0506	Oikhois	C9B8436-A	Fl Ni Co	{ 0 }	(934+2)	[343C]	-	-	-	602	9	AsMw	M3 V
