Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
0104	Ombia	B2424QK-D	K	Ni Po		314	Kk	G3 V	{ 1 }	(C34+1)	[455D]		15
0106	Takou	D6475QK-A	K	Ni Ag		301	Kk	G5 V M1 V	{ 0 }	(843+1)	[554A]		12
0108	Aruuk'	E430000-0		De Ba Po		002	Kk	G7 V	{ -3 }	(500-1)	[0000]		12
0109	Guuagnur	C4344QK-B	K	Ni		125	Kk	M5 V	{ 0 }	(E35+1)	[445C]		10
0110	Kat'kee	A5749RK-E	K	Hi In		424	Kk	M7 V	{ 4 }	(D8B+3)	[8D5F]		18
0112	Kuraake Nu	E000000-0		As Va Ba		004	Kk	M9 V	{ -3 }	(500-1)	[0000]		17
0113	Katr'uu	E400000-0	K	Va Ba		022	Kk	M5 V	{ -3 }	(600-1)	[0000]		11
0116	Axirra	A463ARK-F	K	Hi		112	Kk	K9 V M5 V K7 V	{ 3 }	(A9B+2)	[8D6G]		14
0120	'Kuurkerr	B8356RK-E		Ni		100	Kk	K4 V M1 V	{ 1 }	(855+1)	[575D]		7
0121	K'teri	A3818RK-F		Ph Ri		424	Kk	K8 V	{ 3 }	(D78+1)	[7B6F]		14
0122	Alur!!	E5585QK-9		Ni Ag		100	Kk	K5 V K5 V	{ -1 }	(740+1)	[545A]		6
0124	Gzaakre	C8936RK-C		Ni		213	Kk	K4 V K1 V	{ 0 }	(B54-1)	[665C]		12
0126	Xugraki	C3725QK-B		He Ni		504	Kk	K7 V M3 V	{ 0 }	(C43+1)	[556A]		9
0128	Kun'gra	D3365QK-A		Ni		134	Kk	F7 V G2 V	{ -1 }	(E41+1)	[545B]		16
0129	Aakarang	B764ARK-F	K	Hi		404	Kk	K4 V	{ 3 }	(C9A+2)	[8D4G]		8
0134	Taria	C4558RK-D	O	Ph Pa		204	Kk	M3 V	{ 1 }	(B78+1)	[896C]		9
0136	Eetak! Nu	B000587-B	K	As Va Ni Giru5 Klah5		504	KC	M3 V	{ 1 }	(B45+2)	[765B]		11
0137	Ghiiroa	A97A4QK-E		Wa Ni		211	Kk	M9 V	{ 1 }	(932-1)	[556E]		9
0201	Krakaarran	E120000-0		De Ba Po		000	Kk	K5 V M8 V	{ -3 }	(500-1)	[0000]		5
0202	Gnantarr'	A5326RK-F	K	Ni Na Po		410	Kk	F9 III G0 V	{ 1 }	(954+1)	[675E]		7
0204	Aakik	D6355QK-A	K	Ni		124	Kk	K4 V K3 V M1 V	{ -1 }	(D41+1)	[5459]		18
0206	Nirare	E210000-0		Ba		003	Kk	K5 V K4 V	{ -3 }	(600-1)	[0000]		11
0211	K'kruukong	E74A000-0	K	Wa Ba		034	Kk	M2 V M3 V	{ -3 }	(800-1)	[0000]		13
0213	Rooxreeka	A6376RK-E		Ni		624	Kk	K5 V M8 V	{ 1 }	(E54+1)	[675D]		13
0214	Atranxar	B5775QK-D	K	Ni Ag		222	Kk	K1 V M1 V	{ 2 }	(B45+1)	[475D]		13
0217	'Tara	CAA43PK-A	K	Fl Lo		622	Kk	M0 V	{ 0 }	(B20+1)	[3359]		11
0220	Ureghar	C3334QK-B	K	Ni Po		722	Kk	G0 III G4 V	{ 0 }	(A31+1)	[445B]		9
0222	Kee'gh' Nuat	B0003QK-D	K	As Va Lo		223	Kk	M1 V M7 V	{ 1 }	(C21+1)	[345C]		16
0224	Aturi	E9B3000-0		Fl Ba		010	Kk	K8 V M9 V	{ -3 }	(800-1)	[0000]		10
0225	K'rooa Nu	B000456-C	O	As Va Ni Giru3 Tilp7		812	KC	A4 V A2 V	{ 1 }	(A34+1)	[556D]		14
0227	Mir'kar	B6887RK-F	K	Ag Ri		310	Kk	G4 V	{ 4 }	(96C+1)	[5B4F]		8
0228	Agharror	D855ARK-D	K	Ga Hi		811	Kk	M9 V	{ 1 }	(A98+1)	[8B5D]		12
0229	Kalaket	C4966RK-C	K	Ni Ag		724	Kk	G0 V M2 V	{ 1 }	(E55+1)	[674C]		17
0231	Egara	C4528RK-D	K	Ph Po		322	Kk	G8 V K1 V	{ 1 }	(978+1)	[895D]		9
0232	Kaalanga	C7876RK-B	K	Ga Ni Ag Ri		912	Kk	K5 III	{ 2 }	(B56+1)	[78AF]		14
0233	Rakarr!	E8C4000-0		Fl Ba		023	Kk	M1 V	{ -3 }	(900+1)	[0000]		13
0234	Auka	B4695QK-D		Ni Pr		400	Kk	M0 V M7 V M1 V	{ 1 }	(744+1)	[463A]		5
0235	Kuurak'	B300457-C	K	Va Ni Giru2 Tilp8		110	KC	K0 V	{ 1 }	(934+1)	[151F]		8
0238	Ootaarku	B785ARK-F	K	Ga Hi		533	Kk	M2 V	{ 3 }	(D9A+1)	[ED4C]		13
0239	Amakobin Weshma	CA9A874-5	O	Oc Ph Pi (Wesh)	A	513	KC	M7 V M7 V	{ -1 }	(675+1)	[7725]		8
0240	Keekori	E500000-0	K	Va Ba		012	Kk	M0 V	{ -3 }	(B00+2)	[0000]		9
0302	Eek'gii	A4102PK-C	K	Lo		511	Kk	G5 IV K0 V K9 V	{ 1 }	(911+1)	[431G]		10
0303	K'gakerr	C5A23QK-B		Fl He Lo		414	Kk	G0 V G9 IV	{ 0 }	(C20+1)	[234G]		14
0305	Mooaghirr	C4372PK-A	K	Lo		924	Kk	F1 V K7 V	{ 0 }	(D10+1)	[428C]		10
0308	Hkaa Graat	E430000-0	K	De Ba Po		003	Kk	K1 V K2 V M1 V	{ -3 }	(900+1)	[0000]		10
0310	Igharaat	A9748RK-E	K	Ph Pa Pi		324	Kk	M5 V	{ 2 }	(E79+1)	[6A2B]		14
0312	Rarr!!ghing	E210000-0		Ba		022	Kk	K7 V	{ -3 }	(B00-3)	[0000]		11
0314	Krupaka	D5649RK-B	K	Hi Pr		614	Kk	M5 V	{ 1 }	(C8A+1)	[9A8D]		13
0316	Tratraarka	B5568RK-F	O	Ph Pa		724	Kk	F0 V G4 V	{ 2 }	(B79+1)	[8AAE]		10
0317	Elea	C5696RK-C	K	Ni Ri		123	Kk	K7 V	{ 1 }	(C55+1)	[6767]		9
0319	Kruuniir'	A4669RK-F		Hi Pr		424	Kk	F2 V	{ 3 }	(E89+1)	[AC4D]		10
0320	Taanahkaa	B4587RK-E	K	Ag		220	Kk	M4 V	{ 3 }	(969+1)	[7A2F]		5
0325	Kenaa	B4344QK-D		Ni		323	Kk	G0 V	{ 1 }	(C35+1)	[256E]		13
0326	Ka'kang	A8777RK-D	K	Ag Pi		624	Kk	M0 V M0 V M2 V	{ 3 }	(C69+1)	[7A1A]		11
0330	Krarrakkuk	D5504QK-A	K	De Ni Po		322	Kk	M6 V BD	{ -1 }	(A31+1)	[7387]		16
0332	Iroxghoor	A5325QK-D		Ni Po		400	Kk	M7 V M8 V	{ 1 }	(744+1)	[366B]		6
0335	Keegrrreeka	D6313QK-B		Lo Po		705	Kk	G9 V	{ -1 }	(D20-1)	[321B]		12
0336	Taniru	CAA74QK-A	K	Fl Ni		100	Kk	M5 V M7 V	{ 0 }	(633+1)	[146E]		10
0340	Kalioo	C96A5QK-A	K	Wa Ni Pr		401	Kk	M1 V	{ 0 }	(744+1)	[9526]		9
0402	Tr'kue	C5344QK-B	K	Ni		504	Kk	F7 V F7 IV	{ 0 }	(935+1)	[445C]		14
0403	Ka Xilb	C757856-A	O	Ga Ph Pa (Tilpish)	A	214	Kk	K1 V M0 V	{ 1 }	(D78+1)	[596A]		16
0406	Rulughmo	B6335QK-D		Ni Po		401	Kk	M3 V BD	{ 1 }	(745+1)	[363B]		8
0407	Gutoor!	B3234QK-C	K	Ni Po		811	Kk	K2 V M6 V	{ 1 }	(934+1)	[259G]		9
0408	Kareekrit	B6B33QK-C	K	Fl Lo		100	Kk	K8 V	{ 1 }	(721+1)	[244C]		10
0409	Tanglaara	E540000-0		De He Ba Po		024	Kk	G1 V K6 V	{ -3 }	(400-2)	[0000]		15
0410	Ghii'ta	E97A000-0	K	Wa Ba		001	Kk	K2 IV M0 V K5 V	{ -3 }	(500-1)	[0000]		4
0413	Uguri Nareu	A9D86RK-F	K	Ni		823	Kk	M6 V	{ 1 }	(B54+1)	[275H]		17
0415	Tarhkeeka	C6895QK-B		Ni Pr		602	Kk	G9 V	{ 0 }	(843+1)	[1539]		8
0416	Eereek'ng	E310000-0	K	Ba		035	Kk	M4 V	{ -3 }	(700+2)	[0000]		15
0418	Marraghk'	D4628RK-B		Ph Ri		103	Kk	M5 V M9 V	{ 1 }	(A78+1)	[796C]		13
0422	Imburarr	C9A25QK-A	K	Fl He Ni		624	Kk	K6 V	{ 0 }	(945+1)	[758D]		11
0427	Ka Igurra	A4427RK-E	K	He Pi Po		224	Kk	K1 V	{ 2 }	(E6A+1)	[893G]		16
0428	Kungh'ra	E310000-0	K	Ba		014	Kk	M5 V	{ -3 }	(600+2)	[0000]		12
0429	G'rall'	C4414QK-A	K	He Ni Po		924	Kk	K2 V	{ 0 }	(B33+1)	[544B]		12
0431	Pakat!'	E240000-0	K	De Ba Po		024	Kk	M0 V BD M5 V	{ -3 }	(500+1)	[0000]		16
0432	Laghana	B74A4QK-B		Wa Ni		420	Kk	G3 V	{ 1 }	(C37-2)	[257C]		10
0435	Tranake	A5688RK-E	K	Ph Pa Ri		213	Kk	M4 V M7 V	{ 3 }	(C79+1)	[7B4E]		15
0436	Aukaak	C8667RK-B		Ga Ag Ri		614	Kk	M5 V	{ 3 }	(D6B+1)	[7A4A]		14
0438	Ghimbia	B6579RK-F	K	Ga Hi		703	Kk	K5 V M1 V	{ 3 }	(B8A+1)	[8C4G]		10
0439	Tautri	C5765QK-A	K	Ni Ag		402	Kk	G5 V	{ 1 }	(945+1)	[564A]		8
