Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Lang	A	0107	Nilson	C887443-5		Ni Ga Pa		301	SoCf	K5 V	{ -2 }	(533+3)	[8232]		8	135
Lang	A	0109	LANGLEY	A778987-E	KM	Hi In Cp		721	SoCf	K6 V M9 V	{ 5 }	(F8B+3)	[CE2F]		9	3,960
Lang	E	0113	Wintersea	X656246-6		Lo Ga Fo	R	224	SoCf	F9 V	{ -3 }	(511-2)	[2147]		16	4
Lang	I	0123	Waypost	C100322-C		Lo Va Tz		234	NaHu	M4 V	{ 0 }	(E21-5)	[331F]		16	14
Lang	M	0139	FUYU	B756999-C		Hi Ga Sa		204	NaHu	G0 V	{ 3 }	(F8C+0)	[7C4D]		13	0
Lang	E	0214	LACUSTRIA	A769998-A	KM	Hi Pr Aqua4		201	SoCf	F8 V	{ 4 }	(B8F+3)	[5D9C]		8	3,960
Lang	E	0218	Chiyo	B200401-A	KM	Ni Va Tz		101	SoCf	M7 V	{ 2 }	(630+2)	[265B]		7	36
Lang	I	0221	Jaspas	C754345-6		Lo		911	NaHu	G2 V F7 V	{ -2 }	(321-1)	[711B]		10	5
Lang	M	0239	410-694	X410000-0		Ba		003	NaXX	A1 V G8 V	{ -3 }	(900-5)	[0000]		10	0
Lang	A	0302	Nitya	D100335-7		Lo Va Tz		904	SoCf	M0 V	{ -3 }	(621+4)	[316A]		10	48
Lang	A	0303	Holme	D200356-9		Lo Va		120	SoCf	F7 V M9 V	{ -2 }	(A21+5)	[4116]		11	100
Lang	A	0306	Overton 4	A400524-A		Ni Va Tz		604	SoCf	M7 V	{ 1 }	(G44-3)	[A689]		17	179
Lang	A	0308	Kaveri	A68A850-C		Ri Wa Ph Tz		112	SoHn	M6 V F8 V	{ 3 }	(77B+3)	[6B7E]		8	1,617
Lang	E	0314	Brant	C588205-A		Lo		123	SoCf	F1 V	{ 0 }	(B11+3)	[128D]		16	33
Lang	E	0315	Ankh	C400343-7		Lo Va		111	SoCf	K3 V	{ -2 }	(721+3)	[6157]		9	42
Lang	E	0316	Hildegard	C688545-8		Ag Ni Pr		120	SoCf	G5 V	{ -1 }	(644-3)	[8486]		9	67
Lang	I	0325	Lermontov	C9DA698-9		Ni Tz		401	NaHu	M1 V M0 V	{ -1 }	(B50+0)	[753A]		5	0
Lang	I	0326	Aelita	X510133-7		Lo Fo Sa	R	112	NaHu	G7 V	{ -3 }	(A01+0)	[1128]		11	0
Lang	M	0332	Spangel	X200122-9		Lo Va Fo Tz	R	833	NaHu	M1 V M6 V	{ -2 }	(B01+1)	[1128]		16	0
Lang	M	0338	Constance	C999668-7	KM	Ni O:0639		512	NaHu	F1 V K2 V	{ -1 }	(950-1)	[A557]		8	41
Lang	A	0408	SAMYUKTA	A552AC9-E		Hi Po Pz	A	204	SoHn	F6 V	{ 3 }	(C99+1)	[7D7G]		12	972
Lang	A	0409	Chittor	B653334-B		Lo Po		624	SoHn	G3 V	{ 1 }	(B21+1)	[14AD]		12	22
Lang	E	0413	Kenya Nova	A568522-9		Ag Ni Pr		421	SoCf	G5 V M2 V	{ 1 }	(A43+0)	[5666]		14	0
