Hex  Name                 UWP       Remarks                    {Ix} (Ex) [Cx] N B  Z PBG W A  Stellar
---- -------------------- --------- -------------------------- ---- ---- ---- - -- - --- - -- -------------------
0101 Raktegham            C529767-?                                           - K  - 921   K3
0104                      X964226-6 Lo                                        - -  - 104   Na
0108 Urseren              C879344-8 Lo                                        - -  - 420   Na
0201 Agnagha              D7345QK-A Ni                                        - O  - 511   K3
0208 Glarus               E300175-9 Lo Va                                     - -  - 915   Na
0209 Lucerne              C578525-8 Ag Ni                                     - -  - 305   Na
0301 Gziirara             B4466RK-D Ag Ni                                     - -  - 104   K3
0303 Magamba              C664ARK-D Hi                                        - -  - 100   K3
0304 Keer'nrru            C76A768-?                                           - K  - 322   K3
0305 Tuukanee             C5606RK-C De Ni Ri                                  - O  - 224   K3
0403 Kirrughee            C110314-? Lo                                        - O  - 223   K3
0404 Arr'krat             D7A23QK-A Fl He Lo                                  - K  - 112   K3
0408 Thvera               C411549-A Ic Ni                                     - S  - 724   Sa M4 V
0409 Byske                C576520-6 Ag Ni Tz                                  - -  - 714   Sa F1 V
0501 Keeagu               C9D55QK-C Ni                                        - K  - 403   K3
0502 Begneerra            B6747RK-D Ag Pi                                     - K  - 213   K3
0504 Aaghala Nuna         E100000-0 Ba Va                                     - K  - 023   K3
0505 Uraaku               D699767-?                                           - O  - 311   K3
0602 Kakkratii            C78A4QK-B Ni Wa                                     - -  - 412   K3
0603 Atangnaa             B9975QK-D Ag Ni                                     - K  - 323   K3
0604 Banitee              B8786RK-D Ag Ni                                     - K  - 224   K3
0605 Atagrroo             C575526-9 Ag Ni                                     - -  - 123   Kc
0607 Bailey               D6A747C-8 Fl Ni                                     - -  - 520   Na
0701 Bant'rra             B627467-? Ni                                        - O  - 823   K3
0702 Raama Aatur          A9947RK-C Ag Pi Giru1 Huma1                         - K  - 124   K3
0703 Tulioo               B7C42PK-C Fl Lo                                     - K  - 224   K3
0706 Onyx                 C63068A-7 De Na Ni Po Tz                            - -  - 840   Na F7 V
0708 Bob                  A000720-B As Ho Na Pi Va                            - W  - 925   Na F0 V F5 V
0801 Kergnaa              E5448BD-5 Pa Ph Pi                                  - -  - 715   Na
0802 Guatavita            XD66203-1 Lo                                        - -  - 603   Na
0804 Topaz                E567320-4 Lo                                        - -  - 304   Na K2 V
0810 St Katherine         C987562-7 Ag Ni Pr Tr O:0813 Viru1                  - -  - 404   Na F7 V M1 V
0902 Leaf                 C584676-8 Ag Ni Ri Tz                               - -  - 603   Na
0905 Jade                 C777734-9 Ag Pi                                     - C  - 103   Na
0906                      ???????-?                                           - -  - ???   Na
0909                      ???????-?                                           - -  - ???   Na
1007                      ???????-?                                           - -  - ???   Na
1009                      ???????-?                                           - -  - ???   Na
1104                      ???????-?                                           - -  - ???   Na
1105                      ???????-?                                           - -  - ???   Na
1109                      ???????-?                                           - -  - ???   Na
1110                      ???????-?                                           - -  - ???   Na
1201                      ???????-?                                           - -  - ???   Na
1301                      ???????-?                                           - -  - ???   Na
1303                      ???????-?                                           - -  - ???   Na
1305                      ???????-?                                           - -  - ???   Na
1308                      ???????-?                                           - -  - ???   Na
1310                      ???????-?                                           - -  - ???   Na
1402                      ???????-?                                           - -  - ???   Na
1403                      ???????-?                                           - -  - ???   Na
1404                      ???????-?                                           - -  - ???   Na
1405                      ???????-?                                           - -  - ???   Na
1408                      ???????-?                                           - -  - ???   Na
1503                      ???????-?                                           - -  - ???   Na
1506                      ???????-?                                           - -  - ???   Na
1601                      ???????-?                                           - -  - ???   Na
1602                      ???????-?                                           - -  - ???   Na
1606                      ???????-?                                           - -  - ???   Na
1608 Vanille              A98A776-C Ri Wa Huma8                               - C  - 522   Na B3 V F8 V F5 V
1610 St Hudson            C851463-6 Ni Po O:1611                              - -  - 303   Na
1701                      ???????-?                                           - -  - ???   Na
1706                      ???????-?                                           - -  - ???   Na
1707                      ???????-?                                           - -  - ???   Na
1801                      ???????-?                                           - -  - ???   Na
1802 Taylor               AAF6796-D Pz                                        - C  A 802   Na
1803                      ???????-?                                           - -  - ???   Na
1809                      ???????-?                                           - -  - ???   Na
1903                      ???????-?                                           - -  - ???   Na
1906                      ???????-?                                           - -  - ???   Na
1908                      ???????-?                                           - -  - ???   Na
2005                      ???????-?                                           - -  - ???   Na
2101                      ???????-?                                           - -  - ???   Na
2106                      ???????-?                                           - -  - ???   Na
2107                      ???????-?                                           - -  - ???   Na
2108                      ???????-?                                           - -  - ???   Na
2203                      ???????-?                                           - -  - ???   Na
2207                      ???????-?                                           - -  - ???   Na
2210                      ???????-?                                           - -  - ???   Na
2305                      ???????-?                                           - -  - ???   K4
2404                      ???????-?                                           - -  - ???   K4
2407                      ???????-?                                           - -  - ???   K4
2409                      ???????-?                                           - -  - ???   K4
2501                      ???????-?                                           - -  - ???   K4
2502                      ???????-?                                           - -  - ???   K4
2505                      ???????-?                                           - -  - ???   K4
2507                      ???????-?                                           - -  - ???   K4
2510                      ???????-?                                           - -  - ???   K4
2601                      ???????-?                                           - -  - ???   K4
2602                      ???????-?                                           - -  - ???   K4
2608                      ???????-?                                           - -  - ???   K4
2701                      ???????-?                                           - -  - ???   K4
2703                      ???????-?                                           - -  - ???   K4
2704                      ???????-?                                           - -  - ???   K4
2706                      ???????-?                                           - -  - ???   K4
2707                      ???????-?                                           - -  - ???   K4
