Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Mass	A	0109	Tahspek	B5468BA-A		Pa Ph Pi Pz	A	613	ImDc	G0 V	{ 2 }	(E7B+4)	[AA7C]	BcDe	7	4312
Mass	A	0110	Mond	B737794-A				721	ImDc	G4 V	{ 2 }	(C6B+1)	[5938]	B	8	792
Mass	E	0112	Arilla	E585448-6		Ni Pa		803	ImDc	M0 V M0 V	{ -3 }	(631-3)	[4156]	Bc	12	-54
Mass	E	0113	Enid	B676958-D		Hi In		801	ImDc	M0 V	{ 4 }	(C8G+4)	[9D5D]	BEf	13	6144
Mass	E	0115	Juweit	C31068A-A		Na Ni		914	ImDc	F2 V M2 V	{ 0 }	(D54+2)	[867C]	B	9	520
Mass	E	0116	Appomma	C646223-9	S	Lo		810	ImDc	K6 V M7 V M6 V	{ -1 }	(510-4)	[1126]	B	11	-20
Mass	E	0118	Ambriana	B200334-B		Lo Va		713	ImDc	A8 V	{ 1 }	(921-1)	[1439]	B	7	-18
Mass	I	0121	Meridian	B657453-B		Ni Ga Pa		904	ImDc	M3 V M3 V	{ 1 }	(A34-2)	[1528]	Bc	7	-240
Mass	I	0123	Albion	D565326-7		Lo		525	ImDc	M2 V M4 V	{ -3 }	(520-4)	[2146]	B	11	-40
Mass	I	0124	K'zass	B546985-C		Hi In Cp		714	ImDc	G3 V M9 V	{ 4 }	(G8F+2)	[7D3A]	BEF	11	3840
Mass	I	0125	Lant	D31067C-8		Na Ni		200	ImDc	G0 V	{ -3 }	(851+1)	[938B]	B	9	40
Mass	I	0130	Dalsam	A994456-E		Ni Pa		913	ImDc	M0 V	{ 1 }	(A34+1)	[354D]	Bc	13	120
Mass	M	0134	Forever	A000100-F	N	As Lo Va		503	ImDc	K6 II M6 V	{ 1 }	(601-3)	[121A]	B	10	-18
Mass	M	0138	Kenbine	C421123-B		He Lo Po		903	ImDc	G8 V	{ 0 }	(600-3)	[1128]	B	10	-18
Mass	M	0140	Sekeltin	B633447-B	N	Ni Po Da	A	101	ImDc	M2 V M4 V	{ 1 }	(734+1)	[455B]	B	12	84
Mass	A	0205	Vilardi	A8D6426-E		Ni		813	ImDc	M1 V	{ 1 }	(A34+1)	[354D]	B	7	120
Mass	A	0206	Trostar	B78A635-C	N	Ni Ri Wa Kagg3		920	ImDc	M0 V M1 V	{ 2 }	(A56+1)	[483A]	BC	10	300
