Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Mend	A	0107	Dakinkhig	C568502-8		Ag Ni Pr		504	NaVa	G0 V M3 V	{ -1 }	(G45+2)	[A487]		8	640
Mend	A	0110	Aminkaa	E544247-6		Lo		333	NaHu	M2 V M3 V	{ -3 }	(511-1)	[2167]		12	-5
Mend	E	0111	Ilarba	D868747-1		Ag Ri Varg4		302	NaHu	F5 V M9 V	{ 0 }	(A6C+4)	[3731]		10	2,880
Mend	E	0113	Fourroek	E646254-5		Lo Da Huma2	A	103	NaVa	F7 V	{ -3 }	(611-3)	[2167]		9	-18
Mend	I	0121	Gukham	C785412-8		Ni Ga Pa Chir0 Huma3		303	NaVa	F4 V	{ -2 }	(B34+2)	[529D]		13	264
Mend	I	0122	Kengighon	C30078B-9	C	Na Va Pi Pz Huma2	A	921	NaVa	A1 V K7 V	{ 0 }	(567+2)	[676C]		14	420
Mend	I	0125	Egva Ors	E66A566-5		Ni Wa Pr Huma1 O:0221		604	NaVa	M3 V	{ -3 }	(B40-2)	[6273]		11	0
Mend	I	0130	Aeghzath	E579441-8		Ni		603	VAnP	F6 V	{ -3 }	(B30-2)	[118D]		9	0
Mend	M	0131	Okheruers	C540633-7		De He Ni Po		525	VAnP	F5 V M9 V	{ -2 }	(753-1)	[8467]		14	-105
Mend	M	0136	Ikeshiige	E544000-0		Ba		012	VAnP	F8 V	{ -3 }	(500+4)	[0000]		9	0
Mend	M	0138	Khadumar	A565545-A	K	Ag Ni Pr		721	VAnP	G1 V	{ 2 }	(B48+1)	[774B]		9	352
Mend	A	0201	Lakariir	C520200-A		De He Lo Po		803	3EoG	M0 V M0 V M1 V	{ 0 }	(F11-2)	[126A]		8	-30
Mend	A	0202	Dakash	C66A58B-7	M	Ni Wa Pr		204	3EoG	K3 V	{ -2 }	(542-3)	[2348]		9	-120
Mend	A	0207	Eraashesh	E310584-9		Ni		600	NaHu	M1 V M9 V	{ -2 }	(643+1)	[7356]		9	72
Mend	A	0210	Minirem	E569000-0		Ba		003	NaHu	F4 V	{ -3 }	(500-1)	[0000]		10	0
Mend	E	0212	Tahigon	C7BA325-9		Fl Lo Huma1		203	NaVa	M6 III	{ -1 }	(B21+3)	[222E]		8	66
Mend	E	0218	Koeghz	E857220-2		Lo Ga Da Huma2	A	203	NaVa	F3 V M8 V	{ -3 }	(911-3)	[2145]		10	-27
Mend	I	0221	Ougzto	A59A8AB-9		Wa Ph Pi Pz Huma4	A	814	NaVa	F0 V	{ 1 }	(C7B+0)	[4959]		16	924
Mend	I	0223	Un Aekho	C100556-B	CM	Ni Va Huma2		724	NaVa	G3 V M1 V	{ 0 }	(C44+2)	[3529]		14	384
Mend	I	0227	Osaelon	C7B8434-8		Fl Ni		310	NaVa	K5 V	{ -2 }	(833+3)	[12A7]		10	216
Mend	I	0229	Faethaeng	C537385-6		Lo		222	VAnP	G8 V M4 V	{ -2 }	(721-3)	[312A]		11	-42
Mend	M	0234	Dakhumar	A683200-C	K	Lo		503	VAnP	F9 V M1 V	{ 1 }	(911+4)	[138B]		16	36
Mend	M	0238	Rukar	C545766-6		Ag Pi O:0340		603	VAnP	K6 V	{ 0 }	(462+3)	[9717]		12	144
Mend	M	0240	Irukuzi	C57A257-B		Lo Wa		402	VAnP	M1 V M7 V	{ 0 }	(D11+3)	[128E]		15	39
Mend	A	0305	Kinuurur	C8C5454-9	M	Fl Ni		124	NaHu	M2 V M7 V	{ -1 }	(G34-2)	[3339]		15	-384
Mend	A	0308	Idiler	C663100-8		Lo Varg4		614	NaHu	M0 V	{ -2 }	(B01+2)	[111C]		10	0
Mend	A	0309	Geshamu	C575110-8	M	Lo Varg2		822	NaHu	F0 V	{ -2 }	(B01-2)	[1177]		12	0
Mend	E	0314	Shimaash	C56A7BC-A	M	Ri Wa Pz	A	200	CoBa	F8 V	{ 2 }	(669+3)	[894A]		7	972
Mend	E	0316	Fisch	B778795-9	K	Ag Pi		904	CoBa	F2 V M5 V	{ 2 }	(D69+4)	[B925]		12	2,808
Mend	E	0317	IRIGER	D557997-6		Hi		300	CoBa	M2 V	{ -1 }	(986-2)	[B818]		9	-864
Mend	E	0319	UMAR	B310985-9		Hi In Na		304	CoBa	M3 V	{ 3 }	(889+3)	[4C8A]		12	1,728
Mend	E	0320	Siirash	C310265-A		Lo Varg5		104	NaHu	F9 V	{ 0 }	(E11+2)	[426E]		11	28
Mend	I	0325	Gvazoekh	E658799-1		Ag Pz	A	203	NaVa	F7 V	{ -1 }	(661-1)	[6661]		12	-36
Mend	I	0326	Muzalag	C562666-6	M	Ni Ri O:0726		905	Sark	F9 V M9 V	{ -1 }	(651+4)	[B535]		14	120
Mend	I	0328	Aenggho	B69A677-A	K	Ni Wa		203	Sark	M0 V	{ 1 }	(A56+5)	[571A]		11	1,500
Mend	M	0331	Aamid	C865457-6		Ni Ga Pa		120	VAnP	F0 V	{ -2 }	(831+3)	[3217]		8	72
Mend	M	0332	Odzokhs	C543123-8		Lo Po		222	VAnP	F3 V	{ -2 }	(801+5)	[214A]		7	0
Mend	M	0335	Guzagim	A527667-C		Ni O:0433		523	VAnP	F2 IV M1 V	{ 1 }	(E54+0)	[577C]		16	280
Mend	M	0337	Diamin	A898520-B		Ag Ni		520	VAnP	F0 V	{ 2 }	(844-3)	[5788]		13	-384
Mend	M	0339	Gvirrgh	C310520-A		Ni		224	VAnP	A9 V	{ 0 }	(D42-3)	[559D]		14	-312
Mend	M	0340	Suduruu	C310784-9		Na Pi		800	VAnP	M0 V M8 V	{ 0 }	(66A+0)	[5768]		9	360
Mend	A	0402	AMAMLA	C434988-9		Hi		324	Zuug	F0 V	{ 1 }	(E88+0)	[9AA9]		11	896
Mend	A	0403	Shaunoki	B8CA699-B	K	Fl Ni		113	Zuug	M2 V	{ 1 }	(D55-1)	[9769]		12	-325
Mend	A	0408	Uerradz	E887374-2		Lo Ga Da Huma5	A	805	NaVa	M0 V	{ -3 }	(921+3)	[2184]		13	54
Mend	E	0411	Ukhar	E56069E-6		De Ni Ri Da	A	504	CoBa	F2 V	{ -2 }	(953+3)	[346B]		8	405
Mend	E	0419	Arrghung	E99A630-5		Ni Wa Da Huma2	A	124	NaVa	K2 V	{ -3 }	(850+2)	[A362]		14	0
