Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Newo	A	0101	Losa	A41077A-D		Na Pi		234	SoCf	F7 V	{ 2 }	(D65+1)	[694H]		16	390
Newo	A	0102	Rinat	C412442-9		Ic Ni		303	SoCf	G6 V G0 V	{ -1 }	(D32-4)	[2365]		13	47
Newo	A	0106	Strelwell	B5A1335-B	KM	Fl He Lo Tz		103	SoCf	M8 V	{ 2 }	(821+0)	[556D]		8	0
Newo	E	0115	BURGOYNE	A653979-E		Hi Po Pz	A	411	SoCf	F7 V	{ 3 }	(78D+0)	[7C8E]		9	0
Newo	E	0116	Henricus	C5A1213-9		Fl He Lo Tz		302	NaHu	M1 V	{ -1 }	(510-3)	[617A]		10	4
Newo	E	0119	Naxos	C9897CD-9		Ri Dolp4		232	SoFr	G2 V	{ 1 }	(E6A+0)	[5869]		17	0
Newo	I	0122	SCSS-G1	B54646A-B	KM	Ni Pa Fo Mr	R	102	SoCf	G6 V	{ 2 }	(D33-4)	[26A7]		12	70
Newo	I	0123	SCSS-G2	C41046A-B	M	Ni Fo Tz Mr	R	600	SoCf	M7 V	{ 0 }	(731+1)	[7468]		3	21
Newo	M	0138	Lyndon	X100000-0		Ba Va Fo Tz	R	001	WiDe	M5 V	{ -3 }	(900-5)	[0000]		11	0
Newo	M	0140	CATHEDRAL	D878956-8		Hi In		501	WiDe	F0 V M8 V	{ 0 }	(88C-4)	[49A8]		5	461
Newo	A	0202	Priskorbie	D9DA759-8		Tz		131	SoCf	M1 V K1 V	{ -2 }	(665+1)	[9519]		10	180
Newo	A	0203	GUUNDA	A8869B9-A		Hi Ga Pr Pz (Tadonga)	A	122	SoCf	G3 V	{ 3 }	(D89+2)	[8C8E]		7	1,872
Newo	A	0210	Setback	E310100-7		Lo		233	NaHu	M8 V	{ -3 }	(410-5)	[1109]		15	2
Newo	E	0212	Penninger	X5A2157-9		Fl He Lo Fo Sa	R	204	NaHu	M9 V	{ -2 }	(B10-5)	[1166]		13	6
Newo	E	0214	Methusalem	B7A4342-9		Fl Lo Tz		701	SoCf	M6 V	{ 0 }	(520-4)	[8357]		10	6
Newo	E	0217	DANNON	C1009DC-B		Hi In Na Va SeleW		602	SoCf	K4 V	{ 3 }	(780+2)	[CC9B]		10	112
Newo	I	0229	Iniquiti	B520624-9		De He Na Ni Po		201	SoCf	F3 V M9 V	{ 0 }	(855+1)	[4649]		8	200
Newo	A	0302	Whelk	B579344-9		Lo		610	SoCf	K3 V	{ 0 }	(920-3)	[1338]		9	13
Newo	A	0304	Nazariy	C410126-7		Lo		521	SoCf	M8 V M3 V	{ -2 }	(610+2)	[3127]		14	12
Newo	A	0310	Karla Secundus	B410211-C		Lo		422	NaHu	M3 V	{ 1 }	(C11+3)	[137C]		10	36
Newo	E	0311	Galenos	E623000-0		Ba Po Sa		002	SoCf	K8 V	{ -3 }	(700-5)	[0000]		8	0
Newo	E	0312	Mikhailov	B410202-C		Lo		600	SoCf	K2 V G2 V M0 V	{ 1 }	(611+1)	[135D]		6	6
Newo	E	0313	Resfriado	A778889-9		Pa Ph Pi		930	SoCf	G8 V	{ 1 }	(E77+2)	[796E]		7	1,372
Newo	E	0314	CYPRESS	B7869CD-C		Hi Ga Pr		421	SoCf	K6 V	{ 3 }	(D88+0)	[5C5B]		12	0
Newo	I	0321	Kliment	D554325-4		Lo		610	NaHu	G2 V M1 V	{ -3 }	(820-2)	[6172]		11	13
Newo	I	0323	FURNESS	A5689A7-C		Hi Pr		802	SoCf	G0 V	{ 3 }	(789+4)	[6C5C]		9	2,016
Newo	I	0327	ASPHODEL	AAD6A9D-E	KM	Hi Cp		132	SoCf	F3 V	{ 4 }	(E9C-1)	[9E4I]		11	1,361
Newo	I	0329	Cecilio	D100102-B		Lo Va		102	SoCf	F9 V K9 V	{ -1 }	(710-1)	[316D]		7	6
Newo	M	0332	Bursk	E200214-7		Lo Va Tz		203	NaHu	M5 V	{ -3 }	(410+0)	[319A]		15	0
Newo	M	0333	5A4-620	X5A4000-0		Ba Fl Fo Tz	R	011	NaXX	M4 V	{ -3 }	(A00-5)	[0000]		6	0
Newo	M	0334	Shepherd One	B865851-A		Ga Ri Pa Ph Tz		621	NaHu	M2 V A6 V	{ 3 }	(B77-5)	[4B4A]		10	270
Newo	M	0335	Glittering	C100331-A		Lo Va		131	NaHu	A2 V	{ 0 }	(A20-3)	[2319]		11	14
Newo	A	0403	CORONAL	A566AAA-D		Hi Pz	A	301	SoCf	F1 V	{ 3 }	(69A-2)	[AD5C]		6	432
Newo	A	0404	Darnina	D410685-7		Na Ni Tz		303	SoCf	M0 V K9 V	{ -3 }	(850-5)	[730B]		7	20
Newo	A	0406	Nittikaa	A59A576-C		Ni Wa DolpW		202	SoCf	K9 V	{ 1 }	(842+2)	[7659]		10	128
Newo	A	0409	Rime	B64888A-9		Pa Ph Pi Fr		102	NaHu	M5 V G1 V	{ 1 }	(579+1)	[9988]		12	315
Newo	E	0411	BORETHANE	A747998-E	KM	Hi In Cp		702	SoCf	F1 V M7 V	{ 5 }	(988+1)	[AE7H]		13	576
