Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ohie	A	0104	Khial	C332364-8		Lo Po Re		732	NaAs	M0 V	{ -2 }	(     )	[    ]		10	0
Ohie	A	0106	Eatoi	E100278-7		Lo Va		103	NaAs	G0 V	{ -3 }	(     )	[    ]		7	0
Ohie	A	0109	Eyekhea	A30069B-C		Na Ni Va		501	NaAs	M0 V	{  1 }	(     )	[    ]		11	0
Ohie	A	0203	Uauihual	C544446-9		Ni Pa		611	NaAs	M0 V	{ -1 }	(     )	[    ]		10	0
Ohie	A	0204	Ta'oih	D985310-A		Lo		202	NaAs	G0 V	{ -1 }	(     )	[    ]		10	0
Ohie	A	0205	Styorlahe	B565695-B		Ag Ni Ri		702	NaAs	M0 V	{  3 }	(     )	[    ]		13	0
Ohie	A	0209	Haeirl	A754989-E		Hi		414	NaAs	M0 V	{  3 }	(     )	[    ]		9	0
Ohie	A	0301	Yawailiya	B466777-C		Ag Ri		700	NaAs	M0 V	{  4 }	(     )	[    ]		7	0
Ohie	A	0305	Hweya'ea	D200441-B		Ni Va		501	NaAs	M0 V	{ -1 }	(     )	[    ]		7	0
Ohie	A	0309	Afta	E8C8114-C		Fl Lo		303	NaAs	M0 V	{ -1 }	(     )	[    ]		10	0
Ohie	A	0408	Yorauhiy	B653586-A		Ni Po		330	NaAs	G0 V	{  1 }	(     )	[    ]		7	0
Ohie	A	0409	Ehar	C631220-A		Lo Po		402	NaAs	M0 V	{  0 }	(     )	[    ]		8	0
Ohie	A	0410	Ftawekh	B558888-E		Pa Ph		101	NaAs	F0 V	{  2 }	(     )	[    ]		10	0
Ohie	A	0506	A'ua	E200114-7		Lo Va		522	NaAs	M0 V	{ -3 }	(     )	[    ]		12	0
Ohie	A	0507	Eiuilyewa	C530476-7		De Ni Po		502	NaAs	M0 V	{ -2 }	(     )	[    ]		5	0
Ohie	A	0609	Areasao	CBC5210-B		Fl Lo		301	NaAs	K0 V	{  0 }	(     )	[    ]		6	0
Ohie	A	0703	Dancers	AFE9884-D		Ph		312	NaHu	G0 V	{  2 }	(     )	[    ]		13	0
Ohie	A	0705	Eaealeiwir	D525100-B		Lo		113	NaAs	F0 V	{ -1 }	(     )	[    ]		16	0
Ohie	A	0706	Ihleikh	C5665A7-8		Ag Ni Pr		401	NaAs	M0 V	{ -1 }	(     )	[    ]		10	0
Ohie	A	0803	Uahahoi	C444204-A		Lo		300	NaAs	F0 V	{  0 }	(     )	[    ]		4	0
Ohie	A	0809	Aowelr	C6A4432-B		Fl Ni		630	NaAs	M0 V	{  0 }	(     )	[    ]		15	0
Ohie	B	0908	Eeiwoi	C200410-A		Ni Va		832	NaAs	M0 V	{  0 }	(     )	[    ]		14	0
Ohie	B	0909	Yeheaseirl	C736311-E		Lo		512	NaAs	A0 V	{  0 }	(     )	[    ]		9	0
Ohie	B	1002	Ktei'arleil	B657731-D		Ag Ga		232	NaAs	K0 V	{  3 }	(     )	[    ]		11	0
Ohie	B	1005	Khohtowa	B559562-B		Ni O:1002		800	NaAs	M0 V	{  1 }	(     )	[    ]		7	0
Ohie	B	1010	Ehkesea	C310311-C		Lo		902	NaAs	M0 V	{  0 }	(     )	[    ]		8	0
Ohie	B	1107	Yeyah	C898563-8		Ag Ni O:1309		631	NaAs	M0 V	{ -1 }	(     )	[    ]		12	0
Ohie	B	1109	Oihi	C43236A-8		Lo Po Px		411	NaAs	M0 V	{ -2 }	(     )	[    ]		13	0
Ohie	B	1202	CJ	A000000-B		As Da Di Va	A	002	NaXX	M0 V	{  1 }	(400-5)	[0000]		11	-20
Ohie	B	1203	Haheaiylarl	A000956-E		As Hi Na In Va		601	NaAs	F0 V	{  4 }	(     )	[    ]		9	0
Ohie	B	1205	Akhyakh	E420385-9		De He Lo Po		400	NaAs	M0 V	{ -2 }	(     )	[    ]		7	0
Ohie	B	1206	Eahah	CB8A435-9		Ni Oc		901	NaAs	M0 V	{ -1 }	(     )	[    ]		11	0
Ohie	B	1303	Haoarla	D100325-8		Lo Va		201	NaAs	M0 V	{ -3 }	(     )	[    ]		7	0
Ohie	B	1304	Staitetrel	C531214-A		Lo Po		712	NaAs	G0 V	{  0 }	(     )	[    ]		16	0
Ohie	B	1309	Iykheweiwi	A8577AC-D		Ag Ga		103	NaAs	M0 V	{  3 }	(     )	[    ]		7	0
Ohie	B	1402	Htoi	D723312-D		Lo Po		702	NaAs	K0 V	{ -1 }	(     )	[    ]		10	0
Ohie	B	1405	Ahtekhai'	C000201-7		As Lo Va		823	NaAs	M3 V	{ -2 }	(     )	[    ]		12	0
Ohie	B	1602	Coltal	A568957-D		Hi Pr		301	NaAs	M0 V	{  3 }	(     )	[    ]		13	0
Ohie	C	1710	Denars	B400522-D		Ni Va		203	NaAs	M0 V	{  1 }	(     )	[    ]		12	0
Ohie	C	1802	Siyaorl	C000632-9		As Na Ni Va		613	NaAs	M0 V	{ -1 }	(     )	[    ]		14	0
Ohie	C	1804	Eeas	C611334-7		Ic Lo		914	NaAs	K0 V	{ -2 }	(     )	[    ]		15	0
Ohie	C	1805	Ruawew	B200555-A		Ni Va		402	NaAs	M0 V	{  1 }	(     )	[    ]		11	0
Ohie	C	1807	Yefaeiakh	A79A894-D		Ph Pi Wa		232	NaAs	M0 V	{  2 }	(     )	[    ]		13	0
Ohie	C	1905	Ekhyerlaikh	C679430-A		Ni		200	NaAs	K0 V	{  0 }	(     )	[    ]		5	0
Ohie	C	1909	Khatou	C310562-C		Ni O:1807		101	NaAs	M0 V	{  0 }	(     )	[    ]		11	0
Ohie	C	2002	Yalkou	C622413-7		He Ni Po		204	NaAs	G0 V	{ -2 }	(     )	[    ]		14	0
Ohie	C	2003	Eikei'a	B7B8542-9		Fl Ni		420	NaAs	M0 V	{  0 }	(     )	[    ]		9	0
Ohie	C	2006	Ouha'	X787775-B		Ag Fo Ga Ri	R	301	NaAs	M0 V	{  2 }	(     )	[    ]		8	0
Ohie	C	2009	Yosuafei	E9A9416-7		Fl Ni		414	NaAs	M0 V	{ -3 }	(     )	[    ]		15	0
Ohie	C	2104	Uiye	C832310-9		Lo Po		104	NaAs	K3 VI	{ -1 }	(     )	[    ]		13	0
Ohie	C	2110	Hkyeeielrou	D100110-A		Lo Va		910	NaAs	M0 V	{ -1 }	(     )	[    ]		4	0
Ohie	C	2201	Aoari	B787763-D		Ag Ga Ri O:1602	A	400	NaAs	M0 V	{  4 }	(     )	[    ]		10	0
Ohie	C	2204	Uiteaasol	A44188A-E		He Ph Pi Po		501	NaAs	M0 V	{  2 }	(     )	[    ]		7	0
Ohie	C	2208	Lkue'e	C200200-B		Lo Va		332	NaAs	M0 V	{  0 }	(     )	[    ]		14	0
Ohie	C	2304	Iyaireikh	C100000-0		Ba Va		022	NaAs	M0 V	{ -2 }	(700-5)	[0000]		12	-35
Ohie	C	2306	Ziotarb	B311530-9		Ic Ni		801	NaAs	M0 V	{  0 }	(     )	[    ]		4	0
Ohie	C	2307	Aurlaes	B796531-C		Ag Ni		222	NaAs	M0 V	{  2 }	(     )	[    ]		14	0
Ohie	C	2308	Ftarlyuwar	B86A613-E		Ni Ri Wa		704	NaAs	K0 V	{  2 }	(     )	[    ]		12	0
Ohie	C	2401	Michi	B8B0657-D		He Ni		822	NaAs	G1 V G2 V G6 V	{  1 }	(     )	[    ]		13	0
Ohie	C	2403	Uhoi	C642442-A		He Ni Po		714	NaAs	M2 V	{  0 }	(     )	[    ]		12	0
Ohie	C	2405	Aeya	C8D1487-C		Ni		812	NaAs	F4 V	{  0 }	(     )	[    ]		13	0
Ohie	D	2504	Ftoara	E542000-0		Ba He Po		003	NaAs	M3 V	{ -3 }	(600-5)	[0000]		14	-30
