Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
0103	Jashd-16	X637000-0		Ba		010	NaXX	A1 III	{ -3 }	(600+0)	[0000]		11
0106	Moblsadldlots	XA9A000-0		Oc Ba		023	NaXX	M5 V	{ -3 }	(400-2)	[0000]		12
0202	Bezhia-11	X434000-0		Ba		023	NaXX	G1 V	{ -3 }	(400+3)	[0000]		15
0309	Epiepr	X536000-0		Ba		024	NaXX	K2 V D	{ -3 }	(900+2)	[0000]		10
0503	Zhipltlinsh	X550000-0		De Ba Po		010	NaXX	A8 V	{ -3 }	(700+0)	[0000]		8
0508	Eqpial-5	X539000-0		Ba		013	NaXX	K2 V D	{ -3 }	(A00-3)	[0000]		13
0603	Chteqrdlazh	X534000-0		Ba		013	NaXX	M4 II	{ -3 }	(900-1)	[0000]		13
0609	Iabnianqri	XAD5000-0		Ba		010	NaXX	M9 V	{ -3 }	(500+2)	[0000]		5
0701	Shtinjklie-3	X424000-0		Ba		000	NaXX	M5 V BD	{ -3 }	(600-1)	[0000]		10
0706	Plifia-76	X100000-0		Va Ba		002	NaXX	K8 II	{ -3 }	(900-4)	[0000]		8
0707	Zhdiepiepr	X689000-0		Ba		012	NaXX	F5 V G3 VI	{ -3 }	(A00+2)	[0000]		6
0801	Imsrqle	X437000-0		Ba		000	NaXX	A0 V A3 V	{ -3 }	(500+1)	[0000]		10
0805	Jets-19	X513000-0		Ic Ba		003	NaXX	F9 V	{ -3 }	(A00-1)	[0000]		6
0910	Prilzdedl	X520000-0		De He Ba Po		022	NaXX	F8 V G5 VI	{ -3 }	(700-2)	[0000]		13
1003	Rerkleblmie	X555000-0		Ba		021	NaXX	M4 V	{ -3 }	(B00-2)	[0000]		13
1105	Plrbl-17	X689000-0		Ba		002	NaXX	M6 V	{ -3 }	(700+2)	[0000]		14
1208	Pied-35	X200000-0		Va Ba		002	NaXX	K8 V	{ -3 }	(900+1)	[0000]		11
1210	Ieshjepenshi	X654000-0		Ba		024	NaXX	F9 V F4 V G8 V	{ -3 }	(900+0)	[0000]		14
1306	Iezhklienz	X641000-0		He Ba Po		033	NaXX	G3 IV M5 V	{ -3 }	(600+0)	[0000]		10
1308	Iaieqr-47	X532000-0		Ba Po		010	NaXX	A5 II G9 VI	{ -3 }	(400-1)	[0000]		5
1410	Ietpl-92	X568000-0		Ba		022	NaXX	K2 IV BD D	{ -3 }	(600+2)	[0000]		14
1501	Ekrminch	X563000-0		Ba		010	NaXX	G3 V	{ -3 }	(500+0)	[0000]		9
1502	Priezhdikansh	X434000-0		Ba		003	NaXX	K0 V M8 V D	{ -3 }	(300-4)	[0000]		14
1505	Jefroqli	X778000-0		Ba		000	NaXX	M2 V	{ -3 }	(700+2)	[0000]		12
1703	Aprial	E9989CC-6		Hi In		300	CsZh	K8 V	{ 0 }	(78A+4)	[A979]		8
1706	Zdentqlintsh	X674000-0		Ba		022	NaXX	F3 V G2 VI	{ -3 }	(400+0)	[0000]		11
1802	Qren-47	X300000-0		Va Ba		000	NaXX	K0 V	{ -3 }	(800+0)	[0000]		10
1803	Chtapiep	X8A4000-0		Fl Ba		013	NaXX	A3 V	{ -3 }	(900+5)	[0000]		9
1804	Chinshokr	X687000-0		Ga Ba		000	NaXX	G8 IV	{ -3 }	(400+1)	[0000]		6
1805	Qianchfashte	C6687BA-3		Ag Ri		214	NaHu	K9 V M5 VI	{ 1 }	(766-3)	[4894]		11
