Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Stai	A	0102	Weoieila	D550247-7		De Lo Po		805	AsWc	K3 V	{ -3 }	(410-3)	[2157]		12	-12
Stai	A	0108	Heahwau	E30189A-7		Ic Na Va Ph Pi		113	AsT3	G2 V M5 V	{ -2 }	(A76+1)	[A679]		14	420
Stai	E	0111	Aihaos	C430215-7		De Lo Po		103	AsMw	K0 V M5 V	{ -2 }	(410-4)	[1135]		13	-16
Stai	E	0115	Ouluasoihe	E7B7278-8		Fl Lo		104	AsSc	M0 V	{ -3 }	(810-3)	[2158]		11	-24
Stai	E	0117	Olya'	A684845-C	T	Ri Pa Ph		203	AsT7	K2 V M4 V	{ 3 }	(D7D+1)	[6B3A]		6	1183
Stai	I	0121	Oiousakh	C553666-6		Ni Po O:0217		814	AsT6	K0 V	{ -2 }	(852-3)	[5445]		15	-240
Stai	I	0123	Khoal	C88A684-8		Ni Ri Wa		503	AsT1	G0 V M7 V	{ -1 }	(B53-3)	[4536]		9	-495
Stai	I	0126	Ai'	B43189A-C		Na Po Ph		400	AsT1	K2 V	{ 2 }	(A7C+4)	[AA7E]		7	3360
Stai	I	0129	Aoleaa'	C401497-9		Ic Ni Va		523	AsT4	K1 V	{ -1 }	(B32-1)	[4359]		17	-66
Stai	I	0130	Ahesas	D697314-7		Lo		303	AsMw	M3 V	{ -3 }	(520-5)	[1135]		6	-50
Stai	M	0132	Fteaoeaa	C89A48A-8		Ni Wa		101	AsT1	K4 V	{ -2 }	(731+1)	[627A]		9	21
Stai	M	0133	Iylei	E000000-0		As Ba Va		014	AsXX	M3 III M5 V	{ -3 }	(200-5)	[0000]		13	-10
Stai	M	0139	Keiilryeha	D755487-4		Ni Ga Pa		703	AsT4	G0 V M0 V	{ -3 }	(631-3)	[4154]		8	-54
Stai	A	0201	Auhateftao	C5105A8-7		Ni		312	AsT4	M0 V	{ -2 }	(742-2)	[5357]		15	-112
Stai	A	0203	Toi'as	D6A638A-8		Fl Lo		603	AsT4	M2 V	{ -3 }	(820-1)	[517A]		7	-16
Stai	A	0204	Iyki	E530214-7		De Lo Po		520	AsMw	M2 V	{ -3 }	(410-5)	[1135]		10	-20
