Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Star	A	0101	Akhaka	B584675-A	N	Ag Ni Ri	-	300	JuHl	F9 V M9 V	{ 3 }	(756+4)	[996A]		9	840
Star	A	0102	Kakunasgup	C524314-B	-	Lo	-	404	JuHl	K7 IV M6 V	{ 0 }	(821+1)	[833B]		13	16
Star	A	0104	Umpagu	X432000-0	-	Ba Po	-	004	JuHl	M6 V	{ -3 }	(700-4)	[0000]		15	0
Star	E	0112	IKAKADDU	B5759C9-C	N	Hi In	-	114	JuHl	F7 V M8 V	{ 4 }	(B8C+2)	[ADAC]		12	2,112
Star	E	0113	Dekulini	D551653-5	-	Ni Po	-	401	JuHl	G4 V M3 V	{ -3 }	(851+2)	[33A3]		7	80
Star	E	0116	Suugirumir	B674544-B	-	Ag Ni	-	613	JuHl	F4 V	{ 2 }	(E44-2)	[5718]		10	179
Star	A	0201	Iigigsu	A484438-E	-	Ni Pa	-	803	JuHl	G3 V M6 V	{ 1 }	(937+0)	[353D]		12	0
Star	A	0205	Kagag	CAB7440-9	S	Fl Ni	-	600	JuHl	M2 V	{ -1 }	(633-3)	[1335]		5	38
Star	A	0208	KHAKA	C667A48-A	-	Hi Ga	-	114	JuHl	F5 V	{ 2 }	(D97+4)	[8C48]		15	3,276
Star	A	0209	Ishgadugis	E9B45BA-B	-	Fl Ni	-	304	JuHl	F0 II	{ -1 }	(B44-3)	[644E]		12	123
Star	E	0213	Gakenud	C401412-B	S	Ic Ni Va	-	504	JuHl	G3 V M3 V	{ 0 }	(934-3)	[1459]		15	76
Star	E	0216	Uushakinkush	E230313-A	-	De Lo Po	-	521	JuHl	M9 V M2 V	{ -1 }	(C21-1)	[1219]		11	22
Star	A	0309	Gashuukhe	A246686-C	-	Ag Ni	-	312	JuHl	M1 V M0 V	{ 2 }	(B57+5)	[3849]		14	1,925
Star	E	0311	Lekha	A6A1667-7	-	Fl He Ni O:XXXX	-	910	JuHl	M4 V M9 V	{ -1 }	(551-2)	[9555]		11	20
Star	E	0315	Tovo	B7A0468-7	N	He Ni O:XXXX	-	203	JuHl	M5 V M8 V	{ -1 }	(835-4)	[9318]		14	72
Star	E	0316	IR	AA89ACG-F	-	Hi	-	724	JuHl	F8 V	{ 3 }	(B9B+0)	[ED6H]		14	0
Star	A	0401	Kargumar	C682100-6	-	Lo	-	924	JuHl	G4 V M3 V	{ -2 }	(411+2)	[1195]		12	8
Star	A	0404	KumguulusJuHlu	B556845-B	-	Pa Ph	-	514	JuHl	G9 V	{ 2 }	(B7E+2)	[AA6E]		13	2,156
Star	A	0406	GUUKIINMILE	A97899C-B	-	Hi In	-	100	JuHl	F9 V M8 V	{ 4 }	(78E-2)	[AD8C]		10	627
Star	A	0408	LEGUMENKIG	A444ABA-C	N	Hi In	-	123	JuHl	F5 V	{ 4 }	(89F+0)	[9E2A]		14	0
Star	A	0409	Dikemu	X150000-0	-	Ba De Po	-	004	JuHl	G7 V	{ -3 }	(900-3)	[0000]		7	0
Star	E	0413	Geshiimudush	E612300-9	-	Ic Lo	-	515	JuHl	M9 V	{ -2 }	(D21-1)	[1157]		15	23
Star	A	0509	Adurnii	C685440-5	-	Ni Ga Pa	-	724	JuHl	F8 V	{ -2 }	(730+0)	[52A5]		15	0
Star	A	0510	Esherkhesh	C57379A-8	-	Pi	-	604	JuHl	F0 V	{ -1 }	(C66-4)	[A65B]		9	259
Star	E	0511	Andorin	X999000-0	S	Ba	-	022	JuHl	G3 V	{ -3 }	(B00+1)	[0000]		9	0
Star	E	0513	Adishka	X320000-0	-	Ba De He Po	-	003	JuHl	M3 III M6 V	{ -3 }	(600-1)	[0000]		14	0
Star	A	0601	Untouchable	X000000-0	-	As Ba Va An Fo	R	004	JuHl	M0 V M2 V	{ -3 }	(800+1)	[0000]		10	0
Star	A	0603	Liigagidii	C596653-8	-	Ag Ni	-	503	JuHl	F2 V	{ -1 }	(551+0)	[B56A]		12	0
Star	A	0605	Luzumam	X500000-0	-	Ba Va	-	003	JuHl	G9 V M4 V	{ -3 }	(800+2)	[0000]		12	0
Star	A	0606	Kagiirze	E346400-3	-	Ni Pa	-	220	JuHl	K7 V	{ -3 }	(731-1)	[5187]		14	19
Star	A	0607	Sukiirusidar	E411325-9	-	Ic Lo	-	313	JuHl	G7 V	{ -2 }	(B21-5)	[316A]		16	11
Star	A	0610	Kushuni	C538200-7	-	Lo	-	104	JuHl	M2 V	{ -2 }	(611+0)	[1145]		10	0
