Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
Stor	A	0102	Ustral	BAD9755-8		Co 		203	NaHu	K5 V 	{ 0 }	(F66+1)	[A225]		11
Stor	A	0104	Yangar Lun	C6A3578-A		Fl Fr Ni Sa 		204	NaHu	G9 V 	{ 0 }	(A45+5)	[A14C]		9
Stor	A	0106	Brang Collective	B000555-B	S	As Co Ni Va 		204	NaHu	M1 V 	{ 1 }	(747+3)	[2139]		11
Stor	A	0109	Rastan	D430750-A	S	Bo De Na Po Tz 		124	NaHu	M2 V 	{ 0 }	(B6A+2)	[822B]		11
Stor	A	0110	6A5-701	X6A5000-0		Ba Fl Tz 		002	NaXX	M5 V 	{ -3 }	(200-5)	[0000]		12
Stor	A	0204	Gordo	E200000-0		Ba Fr Sa Va 		024	NaXX	M6 V BD 	{ -3 }	(200-5)	[0000]		16
Stor	A	0206	Raktuus	C9999AC-8		Co Hi In Pz 	A	102	NaHu	K8 V M0 V M4 V 	{ 1 }	(786-1)	[4565]		10
Stor	A	0208	Arnan	D67658B-7		Ag Da Ho Ni Tr 	A	202	NaHu	M1 V 	{ -2 }	(240+1)	[6166]		9
Stor	A	0306	776-813	E776000-0		Ba Ho Tr Tz 		010	NaXX	M2 V 	{ -3 }	(200-5)	[0000]		8
Stor	A	0307	Karfan	A965620-9	KM	Ag Ho Ni Ri Tr Tz 		401	NaHu	M1 V 	{ 3 }	(955+2)	[6438]		12
Stor	A	0309	Nash	DA89574-9	C	Da Ni Pr 	A	300	NaHu	M2 V 	{ -2 }	(A42+1)	[A19C]		9
Stor	A	0310	Beyril	D000479-8		As Co Ni Va 		712	NaHu	G9 V 	{ -3 }	(F30+1)	[8159]		11
Stor	A	0401	Ebillon Camp	E5A4000-0		Ba Bo Fl 		024	NaXX	A6 V K6 V 	{ -3 }	(200-5)	[0000]		12
Stor	A	0403	Ferron Lun	C100554-B		Fr Ni Sa Va 		903	NaHu	K7 V K7 V 	{ 0 }	(541+1)	[5177]		9
Stor	A	0404	Vikna	BAA8156-C		Fl Fr Ht Lo 		502	NaHu	K8 V M1 V 	{ 1 }	(E01+1)	[3158]		7
Stor	A	0405	Issak Fortuun	D201300-A	C	Da Fr Ic Lo Sa Va 	A	401	NaHu	K5 V 	{ -1 }	(520+3)	[5166]		6
Stor	A	0410	674-305	E674000-0		Ba Fr Tz 		004	NaXX	M1 V 	{ -3 }	(200-5)	[0000]		9
Stor	A	0505	Farshan	B55797A-9		Bo Hi Tz 		621	NaHu	M1 V M1 V 	{ 2 }	(E89-2)	[E62D]		12
Stor	A	0507	Arbane	A7A39DH-9	K	Co Cx Fl Fo Hi In Tz 	R	104	Ge	M5 V 	{ 3 }	(688-1)	[4749]		13
Stor	A	0508	Sarvaan	D776862-6		Pa Ph Pi Pz (Sasnak) MR	A	604	NaXX	K5 V BD BD 	{ -2 }	(875+1)	[9158]		11
Stor	A	0509	Herron	E978676-7		Ag Ho Ni 		902	NaHu	G1 V 	{ -2 }	(A53+1)	[9177]		9
