Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Teah	A	0102	Stigrouykat	B79A7AB-B		Wa Pi		532	NaAs	K0 V	{  2 }	(     )	[    ]			
Teah	A	0103	Bearyange	A4318BE-E		Na Ph Po		514	NaAs	M0 V	{  2 }	(     )	[    ]			
Teah	A	0107	Hote	C94A421-C		Ni Wa		930	NaAs	G5 V	{  0 }	(     )	[    ]			
Teah	A	0201	Esondaa	A68875A-E		Ag Ri		502	NaAs	K0 V	{  4 }	(     )	[    ]			
Teah	A	0202	Juyaca	A7579B8-C		Ga Hi		112	NaAs	G5 V	{  3 }	(     )	[    ]			
Teah	A	0204	Lurbote	C52236B-8		He Lo Mr Po		211	NaAs	M0 V	{ -2 }	(     )	[    ]			
Teah	A	0301	Viit	C000335-7		As Lo Va		320	NaAs	M0 V	{ -2 }	(     )	[    ]			
Teah	A	0302	Forad	EAC3255-8		Fl Lo		610	NaAs	M0 V	{ -3 }	(     )	[    ]			
Teah	A	0307	Kease	A996664-C		Ag Mr Ni		502	AsT6	G5 V	{  2 }	(     )	[    ]			
Teah	A	0310	Astir	B340998-E		De He Hi In Po		402	AsMw	F5 V	{  4 }	(     )	[    ]			
Teah	A	0401	Pleit	E300000-0		Ba Va		000	NaXX	M7 V	{ -3 }	(500-5)	[0000]		11	-25
Teah	A	0402	Shifethigh	E632000-0		Ba Po		002	NaXX	M0 V	{ -3 }	(700-5)	[0000]		13	-35
Teah	A	0405	Oulreastiyw	D461400-9		Ni		632	AsMw	K0 V	{ -2 }	(     )	[    ]			
Teah	A	0407	Tyohrew	B98397A-C		Hi Pr		102	AsWc	K0 V M8 V	{  3 }	(     )	[    ]			
Teah	A	0408	Ai'ea	E340410-8		De He Ni Po		503	AsMw	F5 V	{ -3 }	(     )	[    ]			
Teah	A	0409	Aiktyeiyah	A7B5885-C		Fl Fr Ph Sa (Z'kr)6		521	AsTv	M3 V	{  2 }	(E78+1)	[9A4D]		10	784
Teah	A	0505	Awulr	A551998-C		Hi Po		201	AsT1	G5 V	{  3 }	(     )	[    ]			
Teah	A	0510	Htyahlerl	B567779-C		Ag Ri		731	AsSc	M0 V	{  4 }	(     )	[    ]			
Teah	A	0601	Tamessi	B510557-A		Ni		211	NaAs	K0 V	{  1 }	(     )	[    ]			
Teah	A	0604	Oilrekhour	C413200-A		Da Ic Lo	A	731	AsMw	M0 V	{  0 }	(     )	[    ]			
Teah	A	0605	Khtai'ire	E200310-C		Lo Va		631	AsWc	M0 V	{ -1 }	(     )	[    ]			
Teah	A	0606	Aheal	C510321-7		Lo		622	AsWc	M7 V	{ -2 }	(     )	[    ]			
Teah	A	0609	Ehuaraeyol	B7C1756-E		Fl He		202	AsT5	M0 V	{  2 }	(     )	[    ]			
Teah	A	0610	Akhouliykh	B463967-E		Hi Mr Pr		803	AsVc	K0 V	{  3 }	(     )	[    ]			
Teah	A	0706	Yoai	A562656-C		Ni Ri		702	AsWc	K0 V	{  2 }	(     )	[    ]			
Teah	A	0708	Htaeilil	A510579-E		Ni		303	AsSc	M0 V	{  1 }	(     )	[    ]			
Teah	A	0709	Staieakhilr	A351787-C		Po		514	AsWc	K0 V	{  2 }	(     )	[    ]			
Teah	A	0803	Roftcegen	C472454-8		He Ni		530	NaAs	K0 V	{ -2 }	(     )	[    ]			
Teah	A	0804	Haie	E100203-6		Lo Va		803	NaAs	M0 V	{ -3 }	(     )	[    ]			
Teah	A	0806	Hulao	C57A365-6		Lo Re Wa		700	AsTv	K0 V	{ -2 }	(     )	[    ]			
Teah	A	0808	Eaeaihryoh	D549412-8		Ni		220	AsMw	G5 V	{ -3 }	(     )	[    ]			
Teah	A	0809	Aoiyahaseilr	A4668DB-D		Pa Ph Ri		103	AsWc	K0 V	{  3 }	(     )	[    ]			
Teah	B	0902	Wodedod	A897787-B		Ag Pi		512	NaAs	K0 V	{  3 }	(     )	[    ]			
Teah	B	0903	Envou	B565778-B		Ag Ri		521	NaAs	K0 V	{  4 }	(     )	[    ]			
Teah	B	0906	Airliou	B555743-E		Ag		301	AsTv	G5 V	{  3 }	(     )	[    ]			
Teah	B	0908	Aisir	A000762-E		As Na Pi Va O:1007		211	AsTv	M7 V	{  2 }	(     )	[    ]		9	
Teah	B	1001	Cood	C446212-9		Lo		132	NaAs	K0 V	{ -1 }	(     )	[    ]			
Teah	B	1004	Eahfaiwihoal	C63A410-B		Ni Wa		732	AsVc	M7 V	{  0 }	(     )	[    ]			
Teah	B	1005	Aikhtai	X357310-B		Lo		112	AsXX	K0 V	{ -1 }	(     )	[    ]			
Teah	B	1006	Tlilerlyuh	A867843-C		Ga Pa Ph Ri		430	AsSc	G5 V	{  3 }	(87B-2)	[CB4E]		11	-1232
Teah	B	1007	Irai	A667953-E		Ga Hi Pr		820	AsT8	K0 V	{  3 }	(     )	[    ]			
Teah	B	1103	Keikto	A65687A-E		Ga Pa Ph		600	AsSc	G5 V	{  2 }	(     )	[    ]			
Teah	B	1104	Iywaha	A343888-E		Ph Pi Po		532	AsSc	K0 V	{  2 }	(     )	[    ]			
Teah	B	1106	Yeyeais	A00067A-E		As Na Ni Va		304	AsSc	M0 V	{  1 }	(     )	[    ]			
Teah	B	1107	Tliywil	AA9A7BB-B		Oc Pi		820	AsVc	K0 V	{  2 }	(     )	[    ]			
Teah	B	1108	Ihohalr	A000987-D		As Hi Na In Va		511	AsTv	M0 V	{  4 }	(     )	[    ]			
Teah	B	1201	Erdol	C552320-6		Lo Po		431	NaAs	G5 V	{ -2 }	(     )	[    ]			
Teah	B	1204	Ftyoelrah	A7889EH-C		Hi Pr		102	AsWc	K0 V	{  3 }	(     )	[    ]			
Teah	B	1208	Teaiw	A354777-E		Ag		512	AsSc	K0 V	{  3 }	(     )	[    ]			
Teah	B	1209	Aoryal	C66569A-A		Ag Da Ga Ni Ri	A	510	AsWc	K0 V	{  2 }	(     )	[    ]			
Teah	B	1305	Esakhea	A687944-C		Ga Hi Pr		402	AsWc	K0 V	{  3 }	(     )	[    ]			
Teah	B	1309	Tualael	C100544-B		Ni Va		901	AsMw	M0 V	{  0 }	(     )	[    ]			
Teah	B	1402	Khtyahu	C450666-9		De Mr Ni Po		732	AsSc	F5 V	{ -1 }	(     )	[    ]			
Teah	B	1403	Htahheikiliy	D440458-9		Da De He Ni Po	A	824	AsSc	F5 V	{ -2 }	(     )	[    ]			
Teah	B	1405	Stuhkoei	D340356-8		De He Lo Po		100	AsMw	F5 V	{ -3 }	(     )	[    ]			
Teah	B	1406	Eisew	A3307BC-B		De Na Po		702	AsTv	M7 V	{  2 }	(     )	[    ]			
Teah	B	1409	Yakhye'	B645633-A		Ag Ni		314	AsTv	G5 V	{  2 }	(     )	[    ]			
Teah	B	1501	Aas	B3387AC-A				403	NaAs	M0 V	{  2 }	(     )	[    ]			
Teah	B	1506	Oihasaw	D6B5451-6		Fl Ni		602	AsWc	M0 V	{ -3 }	(     )	[    ]			
Teah	B	1509	Eahoiwou	D6A7579-A		Fl Ni		714	AsSc	M0 V	{ -1 }	(     )	[    ]			
Teah	B	1510	Olee	B684656-9		Ag Ni Ri		232	NaAs	K0 V	{  2 }	(     )	[    ]			
Teah	B	1604	Khaaisuitloi	A694755-B		Ag Pi		811	AsMw	K0 V	{  3 }	(     )	[    ]			
Teah	B	1608	Eyatau'e	B213523-A		Ic Ni		332	AsMw	M0 V	{  1 }	(     )	[    ]			
Teah	B	1610	Anthillde	C885449-9		Ga Ni Pa		212	NaAs	K0 V	{ -1 }	(     )	[    ]			
Teah	C	1703	Htealroisyus	B636553-A		Ni		101	AsTv	M0 V	{  1 }	(     )	[    ]			
Teah	C	1705	Eisyor	C426452-9		Ni		632	AsMw	M0 V	{ -1 }	(     )	[    ]			
Teah	C	1707	Feaftastei	E311432-A		Da Ic Ni	A	201	AsSc	M0 V	{ -1 }	(     )	[    ]			
Teah	C	1805	Aaia	E222333-9		Lo Po		124	AsWc	M7 V	{ -2 }	(     )	[    ]			
Teah	C	1806	Eiraktaui	A65A888-E		Ph Wa		221	AsMw	K0 V	{  2 }	(     )	[    ]			
Teah	C	1809	Woyeamir	E56769A-7		Ag Ni Ri		300	NaAs	K0 V	{ -1 }	(     )	[    ]			
Teah	C	1902	Poto	E200304-9		Lo Va		111	NaAs	M0 V	{ -2 }	(     )	[    ]			
Teah	C	1903	Oletestoeden	B5517BA-D		Po		922	NaAs	G5 V	{  2 }	(     )	[    ]			
Teah	C	1905	Alreh	AAC3786-D		Fl		902	AsT5	M0 V	{  2 }	(     )	[    ]		6	
Teah	C	1908	Taurai	C677555-8		Ag Ni		802	NaAs	K0 V	{ -1 }	(     )	[    ]		14	
Teah	C	1909	Estentviss	C43459A-C		Ni		613	NaAs	M7 V	{  0 }	(     )	[    ]			
Teah	C	2004	Cangret	C68455A-B		Ag Ni Pr		501	NaAs	K0 V	{  1 }	(     )	[    ]			
Teah	C	2008	Ollosock	A443784-B		Pi Po		202	NaAs	K0 V	{  2 }	(     )	[    ]			
Teah	C	2101	Stanhis	B75A520-D		Ni Wa		901	NaAs	G5 V	{  1 }	(     )	[    ]			
