Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Tien	A	0101	Estetchtiar	E672000-0		Ba He		002	ZhJp	F7 V	{ -3 }	(900+0)	[1072]		7	0
Tien	A	0105	Zhdakl	E74577C-5		Ag Pi Pz	A	812	ZhJp	M9 V	{ -1 }	(567-2)	[8625]		9	168
Tien	A	0107	Iakladr	C544620-6		Ag Ni		803	ZhJp	K9 V D	{ -1 }	(854-1)	[3561]		14	144
Tien	A	0109	Qrariekl	D695641-5	KM	Ag Ni		313	ZhJp	M5 V	{ -1 }	(553+0)	[9595]		11	0
Tien	E	0113	Astatl	E435666-6		Ni O:0314		410	ZhJp	M4 V	{ -3 }	(954-5)	[2336]		11	90
Tien	E	0115	Tenji	E231866-7		Na Po Ph O:0314		800	ZhJp	K7 V M4 V	{ -2 }	(A75+2)	[A615]		7	700
Tien	E	0116	Vlievdiatl	C784630-5		Ag Ni Ri		904	ZhJp	K6 V	{ 0 }	(455+4)	[5684]		8	400
Tien	E	0118	Driedach	E8A6000-0	KM	Ba Fl		004	ZhJp	F3 V D	{ -2 }	(900-2)	[10A1]		9	0
Tien	I	0121	Ashanedli	E200433-7		Ni Va Da	A	702	ZhJp	M3 V	{ -3 }	(831-1)	[1138]		10	22
Tien	I	0122	Tlrienz	B544720-A	KM	Ag Pi		211	ZhJp	K5 V M1 V	{ 4 }	(66A+1)	[8B8F]		8	360
Tien	I	0123	Afrapr	B9B56AD-B	KM	Fl Ni		303	ZhJp	M0 III M9 V	{ 2 }	(D52+2)	[683F]		11	260
Tien	I	0124	Ietflatliabr	A326657-D		Ni		913	ZhJp	M0 V	{ 1 }	(F51+2)	[478E]		15	150
Tien	I	0125	Ashtsebr	C539456-A	KM	Ni		312	ZhJp	M7 V	{ 1 }	(935+2)	[256C]		7	270
Tien	I	0127	Te Chtalinj	D687533-6	KM	Ag Ni Ga Pr		214	ZhJp	M0 III	{ -1 }	(343+0)	[1446]		13	0
Tien	I	0128	Abrsezh	E100000-0		Ba Va		012	ZhJp	M4 V	{ -3 }	(600+0)	[1082]		11	0
Tien	I	0129	Kianch I'	D8C0455-9		He Ni		804	ZhJp	K3 V	{ -2 }	(C31+3)	[4268]		10	108
Tien	M	0132	AVREDLE	A733AAA-E		Hi Na Po		103	ZhJp	F6 V D	{ 3 }	(A99-1)	[AD7C]		9	729
Tien	M	0136	Siechtant	X698000-0		Ba Fo	R	003	ZhJp	M5 V	{ -3 }	(500+1)	[1032]		8	0
Tien	M	0137	E'SINZ	A641A6A-E		He Hi In Po O:0236		813	ZhJp	M3 V	{ 4 }	(99E-2)	[6E1C]		15	907
Tien	A	0204	Stenshiniej	E696000-0		Ba		001	ZhJp	M4 V	{ -3 }	(B00+4)	[1031]		13	0
Tien	A	0209	Dopriaq	E544000-0		Ba		004	ZhJp	G4 V	{ -3 }	(700+2)	[2022]		12	0
Tien	A	0210	Itskien	B57189B-A		He Ph Pi		201	ZhJp	M6 V D	{ 2 }	(577+0)	[7A57]		7	0
Tien	E	0212	Tepiach	E330000-0		Ba De Po		003	ZhJp	M0 V D	{ -3 }	(700-1)	[1044]		10	0
Tien	E	0217	Arvrians	BA9A599-D	KM	Ni Oc		813	ZhJp	M3 V M1 V	{ 2 }	(742-3)	[274F]		11	39
Tien	E	0220	Nipriabl	E110000-0		Ba		010	ZhJp	M1 V	{ -3 }	(700-1)	[1061]		4	0
Tien	I	0223	Dloradr	B257789-9	KM	Ag		303	ZhJp	M0 V	{ 3 }	(C69+0)	[6A5C]		9	0
