Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Touc	A	0103	Eaeu	C556327-6		Lo		522	AsSc	F0 V	{ -2 }	(520+2)	[2114]		10	20
Touc	A	0105	Ehuah	C5A0556-8		He Ni		202	AsSc	M2 V	{ -2 }	(941-2)	[8357]		10	-72
Touc	A	0106	Ealo	C737776-7	R			823	AsVc	M3 V	{ -1 }	(664+2)	[7675]		10	288
Touc	A	0107	Ahryeao	C553551-8	R	Ni Po		404	AsMw	F7 V	{ -2 }	(B42+1)	[3376]		15	88
Touc	A	0108	Khtaitelro	C343233-6	R	Lo Po		104	AsSc	F3 V D	{ -2 }	(610+3)	[3159]		11	18
Touc	A	0109	Iwialreio	C410336-8	R	Lo		703	AsSc	F8 V M3 V M5 V	{ -2 }	(A20+3)	[2155]		7	60
Touc	A	0110	Ause	C340344-7		De He Lo Po		303	AsSc	F6 V M4 V D	{ -2 }	(620+1)	[4176]		14	12
Touc	E	0113		X100000-0		Ba Va		010	NaXX	G4 III	{ -3 }	(500+2)	[0000]		10	10
Touc	E	0114		X547000-0		Ba		002	NaXX	F5 V	{ -3 }	(800+1)	[0000]		10	8
Touc	E	0116	Yukheawealruahiykh	E474570-9		Ag Ni		503	NaXX	F0 V	{ -1 }	(A40+1)	[5456]		12	40
Touc	E	0118	VF-221-X	X8B3000-0		Ba Fl		004	NaXX	G6 V D	{ -3 }	(B00-1)	[0000]		11	-11
Touc	E	0120		X312000-0		Ba Ic		004	NaXX	G3 V D	{ -3 }	(500-3)	[0000]		11	-15
Touc	M	0134		X231000-0		Ba Po		014	NaXX	M2 IV	{ -3 }	(B00-4)	[0000]		8	-44
Touc	M	0139	Silenne	X649872-1		Ph Pi		120	NaXX	G4 V	{ -2 }	(870-2)	[C611]		5	-112
Touc	A	0202	Yaihye	C300767-6		Na Va Pi		814	AsSc	G4 IV	{ -1 }	(364+4)	[8667]		13	288
Touc	A	0208	Kayue	C795653-6		Ag Ni		610	AsMw	F0 V	{ -1 }	(753+3)	[9543]		11	315
Touc	E	0212	Ahikhoiweala	D789650-3	R	Ni Ri		203	AsVc	F3 V	{ -2 }	(A50+2)	[3471]		11	100
Touc	E	0217		X522000-0		Ba He Po		003	NaXX	G1 III	{ -3 }	(600+2)	[0000]		12	12
Touc	E	0219		X757000-0		Ba Ga		002	NaXX	F0 V	{ -3 }	(700-3)	[0000]		9	-21
Touc	I	0221	Caplis	C341300-A		He Lo Po		203	NaXX	F6 V	{ 0 }	(820+1)	[3348]		12	16
Touc	M	0235		X100000-0		Ba Va		010	NaXX	M9 IV D	{ -3 }	(A00+3)	[0000]		8	30
Touc	A	0303	Tuktaiyweah	C585536-7		Ag Ni Pr		211	AsMw	F8 V	{ -1 }	(645-4)	[7413]		14	-480
Touc	A	0306	Hkeahkiy	C867212-6		Lo Ga		123	AsMw	F4 V	{ -2 }	(810-2)	[116A]		15	-16
Touc	E	0312	Tlerahkaoii	B3616BE-9	R	Ni Ri		210	AsVc	F5 V M9 V D	{ 1 }	(857+3)	[B749]		9	840
Touc	E	0316	Uiwyehih	B578145-8	R	Lo		403	AsWc	F3 V	{ -1 }	(A00+2)	[3156]		7	20
Touc	E	0317	Eeiwiraikh	B65525A-9		Lo Ga		903	AsT8	F6 V	{ 0 }	(910+1)	[1298]		12	9
Touc	A	0403	Hleai	C659656-8	R	Ni		603	AsMw	F6 V M7 V D	{ -2 }	(950+2)	[6468]		10	90
Touc	E	0411	Khtaktatawes	BA9A8DD-8	R	Oc Ph Pi		600	AsWc	F1 V	{ 0 }	(572-1)	[6899]		11	-70
Touc	E	0413	Feirirlakh	B8958C7-D		Pa Ph Pi		422	AsMw	F4 V D	{ 2 }	(E7B+2)	[AA3E]		14	2156
Touc	E	0414	Ie	B55258B-7	RT	Ni Po		704	AsSc	F8 V	{ 0 }	(346+2)	[555B]		12	144
Touc	E	0415	Heaeailoilao	B300376-8	R	Lo Va		101	AsSc	M6 V D	{ -1 }	(820-2)	[4284]		9	-32
Touc	E	0417	Htoi'uh	B626699-7		Ni		304	AsMw	M7 III D	{ -1 }	(451+1)	[7517]		13	20
Touc	A	0503	Eroarife	C633A95-A	R	Hi Na Po		904	AsSc	G3 V	{ 2 }	(899-1)	[6C5B]		12	-648
Touc	A	0507	Feyuriyrl	A87A201-E		Lo Wa		204	AsSc	F3 V D	{ 1 }	(911+1)	[435A]		13	9
Touc	E	0512	O'ahi	B5A4278-B	R	Fl Lo		803	AsSc	M0 V D	{ 1 }	(B11+4)	[2328]		13	44
Touc	E	0515	Eiarea	B363634-9	T	Ni Ri		103	AsSc	F7 V D	{ 1 }	(953+1)	[87A9]		13	135
Touc	E	0517	Ousohalraolr	B235469-B	RT	Ni		604	AsSc	M9 V D	{ 2 }	(C38+3)	[467A]		10	864
Touc	M	0540		X303000-0		Ba Ic Va		012	NaXX	K8 V	{ -3 }	(600+1)	[0000]		11	6
