Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ustr	A	0109	Awitiykos	E67A527-9		Ni Wa		620	AsTv	K7 V	{ -2 }	(942-2)	[5359]		14	-144
Ustr	A	0110	Oaeaaw	B989946-C	T	Hi Pr		500	AsT7	F5 V	{ 3 }	(B8E+2)	[8C4B]		8	2464
Ustr	E	0111	Ftafiykhokhua	D55179C-6		Po Pz	A	410	AsVc	G9 V M4 V	{ -2 }	(965+1)	[A589]		9	270
Ustr	E	0113	Sei	E79A315-9		Lo Wa		604	AsVc	F3 V	{ -2 }	(920-4)	[1137]		13	-72
Ustr	I	0125	Yekta	B566434-A	KM	Ni Pa		912	NaAs	F2 V M4 V	{ 2 }	(935+1)	[2638]		15	135
Ustr	I	0130	Hao	C8A3587-8	M	Fl Ni		502	AsTA	M2 V	{ -2 }	(942-2)	[5358]		10	-144
Ustr	M	0132	Eayeyo	A566583-B		Ag Ni Pr		924	AsTA	F6 V	{ 2 }	(D46-1)	[2728]		17	-312
Ustr	M	0135	Iyyo	D669477-4		Ni		110	AsTA	F9 V	{ -3 }	(631-3)	[4154]		8	-54
Ustr	A	0206	Yes	C430450-A		De Ni Po		215	AsVc	G2 V M6 V	{ 0 }	(C33-4)	[1415]		14	-432
Ustr	E	0212	Stiy	A666698-C		Ag Ni Ga Ri		403	AsMw	K1 V	{ 3 }	(B57+3)	[695C]		8	1155
Ustr	E	0214	Touukhaurl	B56659B-A	T	Ag Ni Pr Da	A	213	AsT8	F3 V	{ 2 }	(B46+4)	[777C]		12	1056
Ustr	I	0224	Ouye	C87987B-8		Ph Pi		814	NaAs	F8 V M4 V	{ -1 }	(F77+1)	[A77A]		11	735
Ustr	I	0226	Eueawiys	EA999DC-7		Hi In Pz	A	724	AsTA	G2 V	{ 0 }	(B89+3)	[C98A]		10	2376
Ustr	I	0227	Ualawekh	C200596-9		Ni Va		200	AsTA	G2 V M1 V	{ -1 }	(743-2)	[4448]		5	-168
Ustr	I	0228	Hkuil	E5915AB-5		He Ni Da	A	722	AsTA	F3 V	{ -3 }	(741-1)	[7277]		7	-28
Ustr	I	0230	Earlrao	A310583-E	K	Ni		502	AsTA	M2 V	{ 1 }	(945-2)	[262B]		11	-360
Ustr	M	0236	Eahiywauhfe	B422200-A	K	He Lo Po		300	NaAs	K2 III	{ 1 }	(411-3)	[1315]		8	-12
Ustr	M	0240	Lyuhalriywal	B544635-8		Ag Ni		523	NaAs	F5 V	{ 0 }	(D54-2)	[4636]		13	-520
Ustr	E	0313	Susteaeakh	X778787-5		Ag Pi Fo	R	214	AsT2	F1 V	{ -1 }	(966-1)	[7655]		16	-324
Ustr	I	0323	Iristaorleih	X776976-5		Hi In Fo (Q'ekzle)	R	600	NaAs	F4 V	{ 0 }	(B88-1)	[8944]		12	-704
Ustr	I	0328	Ftoileieah	E422732-7		He Na Po Pi		920	AsTA	K8 V	{ -2 }	(966-5)	[3513]		10	-1620
