Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Vang	A	0101	Bingzi-Bangzi	C978643-5		Ag Ni		402	NaHu	F6 V M7 V	{ -1 }	(853-4)	[3522]		10	72
Vang	A	0102	LUTEKIO	B543974-A	V	Hi In Po Pz	A	813	NaHu	G3 V M1 V	{ 4 }	(F8E+2)	[7D38]		13	3,360
Vang	A	0109	Torr	B7A3440-9		Fl Ni Da	A	101	NaHu	M0 V M5 V M0 V	{ 0 }	(733-4)	[1414]		5	38
Vang	A	0110	DAKARRON	E3109D9-8		Hi In Na Pz	A	413	NaHu	F9 V	{ 0 }	(F89+1)	[A969]		15	1,080
Vang	E	0114	Gethan	X654676-2		Ag Ni Fo	R	902	NaHu	K6 V	{ -2 }	(852-3)	[5441]		8	56
Vang	E	0119	Andress Balfor	B523598-A	V	Ni Po		901	NaHu	F7 V M4 V	{ 1 }	(845+1)	[565A]		5	160
Vang	E	0120	Fuhai's World	B6A1230-8	M	Fl He Lo		400	NaHu	M0 V M5 V	{ -1 }	(411-5)	[1113]		9	2
Vang	I	0121	Heriot	C430766-A	V	De Na Po O:0520		905	NaHu	K3 V M1 V	{ 1 }	(E6A+1)	[6849]		16	840
Vang	I	0129	Pyinkado	C9AA686-8	V	Fl Ni		914	NaHu	F7 V M5 V	{ -2 }	(D52-3)	[5447]		16	91
Vang	M	0131	Honjons	C200687-7		Na Ni Va		835	NaHu	M3 V	{ -2 }	(852-2)	[6457]		11	64
Vang	M	0135	Ekralc	X622355-6		He Lo Po Fo	R	801	NaHu	M1 V M3 V	{ -3 }	(521-5)	[1134]		7	5
Vang	M	0139	Nielnieh	C542353-5		He Lo Po		731	NaHu	K0 II M4 V	{ -2 }	(521-5)	[1122]		15	5
Vang	A	0202	Tyrron	A575400-A		Ni Pa Da	A	616	NaHu	F4 V	{ 1 }	(D34-3)	[1515]		15	109
Vang	A	0204	BRACCUS	E552988-9		Hi Po		900	NaHu	F6 V	{ 0 }	(B8A+1)	[9959]		9	880
Vang	A	0209	Inat-Kalahi	C203348-7	V	Ic Lo Va		121	NaHu	M1 V	{ -2 }	(521-2)	[3157]		11	8
Vang	A	0210	Myraea	B88A799-B	V	Ri Wa Pz	A	206	NaHu	K9 V M0 V M5 V	{ 3 }	(F6D+4)	[8A6C]		12	4,680
Vang	E	0211	Sibolle	B896441-A	K	Ni Pa Da	A	625	NaHu	K6 V	{ 1 }	(D34-3)	[1516]		14	109
Vang	E	0212	Miser's Slip	D547200-7	V	Lo		602	NaHu	G4 V M1 V	{ -3 }	(411-5)	[1112]		12	2
Vang	E	0213	Penrose	C437254-9		Lo		727	NaHu	F7 V M8 V	{ -1 }	(D11-3)	[1137]		18	9
Vang	E	0214	Fabrizio	E000577-7		As Ni Va		816	NaHu	K8 V M8 V	{ -3 }	(741-3)	[5257]		16	20
Vang	E	0215	Reimdalg	C200887-7		Na Va Ph Pi		112	NaHu	G9 V	{ -1 }	(A77-1)	[8757]		12	441
Vang	E	0216	Crystalle	X554200-1		Lo Fo	R	526	NaHu	F8 V M2 V	{ -3 }	(411-5)	[1111]		14	2
Vang	I	0224	Karaktar	C8C878A-9	V	Fl		201	NaHu	G6 V M2 V	{ 0 }	(A69+2)	[977B]		11	1,080
Vang	I	0225	Spargel	E310220-7		Lo		720	NaHu	F1 V	{ -3 }	(411-5)	[1112]		12	2
Vang	I	0227	Zugzwang	D668769-1	V	Ag Ri O:0224		326	NaHu	K4 V	{ 0 }	(965+1)	[8762]		19	270
Vang	I	0228	Stricti Juris	A000356-C	V	As Lo Va		210	NaHu	K0 V M1 V	{ 1 }	(621+1)	[244B]		11	12
Vang	M	0231	Cabranidi	E588512-3		Ag Ni Pr		203	NaHu	M1 V M5 V	{ -2 }	(742-5)	[1311]		13	28
Vang	M	0232	G'Gerg Oje	X894579-5		Ag Ni Fo	R	334	NaHu	M1 V	{ -2 }	(742-1)	[6366]		14	50
Vang	M	0234	Junket	D8C7505-9		Fl Ni Da	A	906	NaHu	K8 V M0 V	{ -2 }	(D42-4)	[3337]		14	62
Vang	M	0236	Melvina	X546000-0		Ba Fo	R	013	NaXX	G9 V	{ -3 }	(200-5)	[0000]		11	0
Vang	M	0239	Remual	C556689-7	V	Ag Ni		304	NaHu	M2 V M5 V	{ -1 }	(853+1)	[7568]		9	120
Vang	M	0240	Vomisa I	B87A355-C	V	Lo Wa		210	NaHu	K4 V M3 V	{ 1 }	(621-1)	[143A]		8	11
Vang	A	0302	CHTANJA	B5879D9-5	M	Hi Pr Pz	A	102	ZhCa	F3 V M6 V	{ 1 }	(B89+2)	[AA66]		15	1,584
Vang	A	0303	Sorlios	E9C7200-9		Fl Lo		537	NaHu	M0 V M2 V M6 V	{ -2 }	(E11-5)	[1114]		20	7
Vang	A	0304	Husson's World	E4276A9-7		Ni		603	NaHu	M3 V	{ -3 }	(851-2)	[7368]		11	32
Vang	A	0306	Wildeblood	C668634-4	V	Ag Ni Ri		117	NaHu	K2 V	{ 0 }	(854-2)	[4632]		15	128
Vang	A	0307	Hoi Polloi	XB87897-2		Ri Pa Ph Fo	R	207	NaHu	F4 V	{ -1 }	(A74-1)	[8752]		12	252
Vang	A	0308	Deshailles	C300316-8		Lo Va Px		213	NaHu	M1 V M2 V	{ -2 }	(921-3)	[2147]		15	13
Vang	A	0309	Turan	C576578-9		Ag Ni Da Rs	A	304	CsZh	F2 V M0 V	{ 0 }	(B44+1)	[5559]		15	176
Vang	A	0310	Ultramarine	C554663-3		Ag Ni O:0210		104	NaHu	G8 V M8 V	{ -1 }	(853-4)	[3521]		9	72
Vang	E	0311	Rayno Vaca	C969611-7		Ni Ri		916	NaHu	K5 V	{ -1 }	(853-5)	[2513]		11	60
Vang	E	0315	Defltlakr	C667757-9	V	Ag Ga Ri Rs		904	CsZh	F7 V	{ 2 }	(D6B+2)	[7959]		12	1,716
Vang	E	0316	Ishtarld	C556776-4		Ag Pz	A	304	NaHu	F0 V M1 V	{ 0 }	(966-1)	[6743]		15	292
Vang	E	0318	Loser's Landing	B420156-A		De He Lo Po		304	NaHu	G0 V G1 V	{ 1 }	(701+1)	[1249]		13	0
Vang	E	0320	Algos Mycia	D200455-9	V	Ni Va		833	NaHu	F3 III D	{ -2 }	(C31-4)	[2237]		10	22
Vang	I	0324	Narthex	E106315-7		Ic Lo Va		104	NaHu	M2 V M0 V	{ -3 }	(521-5)	[1135]		12	5
Vang	I	0325	Vander Waals	C434547-B		Ni		303	NaHu	K3 V M3 V	{ 0 }	(A44+1)	[555B]		7	160
Vang	I	0326	Benatar	A969420-D	K	Ni		201	NaHu	M3 V	{ 1 }	(734-3)	[1518]		5	59
Vang	I	0327	Sadowa	B86A322-A	K	Lo Wa		415	NaHu	M0 V	{ 1 }	(B21-3)	[1416]		16	15
Vang	M	0334	Lhop	A878300-9	K	Lo		500	NaHu	F5 V	{ 0 }	(521-4)	[1314]		5	6
Vang	A	0402	Shenidklen	B548737-A		Ag Pi		127	ZhCa	F2 V M6 V	{ 3 }	(J6C+3)	[7A5A]		17	3,888
Vang	A	0403	Krafltlajmichi	C579679-5		Ni Da	A	305	ZhCa	F1 V M8 V	{ -2 }	(852-1)	[7466]		15	72
Vang	A	0404	891-104	X536000-0		Ba Fo	R	007	NaXX	K7 V M4 V	{ -3 }	(200-5)	[0000]		15	0
Vang	A	0406	Ranese	D956554-8	V	Ag Ni		230	NaHu	M1 V	{ -2 }	(A42-4)	[3336]		12	48
Vang	A	0409	Iafrdlefrien	B100789-B		Na Va Pi		204	ZhCa	M3 V	{ 2 }	(D6C+3)	[896C]		13	2,808
Vang	A	0410	Tlobklekra	B737469-8	V	Ni O:0409		306	ZhCa	G0 V	{ -1 }	(C32+1)	[5369]		16	72
Vang	E	0411	Refrchoch	D100200-9	V	Lo Va		605	ZhCa	F2 V	{ -2 }	(911-5)	[1114]		10	5
Vang	E	0412	Drieglechzhen	XAB8444-8		Fl Ni Fo	R	305	ZhCa	G1 V	{ -3 }	(B31-5)	[2136]		12	17
Vang	E	0417	Tlaiafribr	E574300-5		Lo		936	ZhCa	G1 V	{ -3 }	(521-5)	[1111]		21	5
Vang	E	0419	NGS 489504	C553569-5	V	Ni Po O:0520		121	NaHu	G9 V M1 V	{ -2 }	(742-1)	[6366]		13	50
Vang	I	0424	Shummick	B779645-9		Ni		903	NaHu	G9 V M6 V	{ 0 }	(B54-2)	[4637]		14	176
Vang	I	0425	Maillot	C88A768-7		Ri Wa O:0424		702	NaHu	K5 V M3 V M6 V	{ 0 }	(968+1)	[7757]		6	432
Vang	I	0426	Jacens	E699416-7		Ni		704	NaHu	K7 V M8 V	{ -3 }	(631-4)	[3146]		9	11
Vang	M	0431	Nergu	X405000-0		Ba Ic Va Fo	R	000	NaXX	K9 V	{ -3 }	(200-5)	[0000]		5	0
Vang	M	0433	Niug El	E513216-8		Ic Lo		535	NaHu	K1 V M1 V	{ -3 }	(C11-4)	[1147]		15	7
Vang	M	0435	Nosirrah	X310589-7		Ni Fo	R	530	NaHu	M0 V M2 V	{ -3 }	(741-2)	[6268]		13	22
Vang	M	0437	Helix Nebula	X000000-0		As Ba Va Fo	R	000	NaXX	B4 Ia	{ -3 }	(200-5)	[0000]		4	0
Vang	M	0440	NEVIN YRRAL	A89A999-D		Hi In Wa		833	NaHu	M1 V	{ 4 }	(H8G+5)	[AD6E]		17	10,880
Vang	A	0503	Chnasodlsata	C898879-5		Pa Ph Pi Pz	A	600	ZhCa	F9 V	{ -1 }	(A76+1)	[9766]		7	420
Vang	A	0504	Rilbriafdl	C83A769-6		Wa O:0604		321	ZhCa	G9 IV	{ -1 }	(966+1)	[8667]		9	324
Vang	A	0509	Tseiefrsal	A410787-D		Na Pi Di(Slavers?) Rs		207	ZhCa	K5 V M6 V M3 V	{ 2 }	(G6D+2)	[795D]		16	2,496
Vang	E	0511	Jadljdafrtaiaf	A300526-B		Ni Va		130	ZhCa	M0 V M9 V	{ 1 }	(A45+1)	[464A]		12	200
Vang	E	0512	Alrchtiechdae	C679505-6	V	Ni		103	ZhCa	G3 V M3 V	{ -2 }	(742-4)	[3334]		8	34
Vang	E	0514	Vraklchtiedr	B76A887-8		Ri Wa Ph		720	ZhCa	M2 V G2 V	{ 1 }	(C79+1)	[8958]		6	756
Vang	E	0515	Yavakrbi	A878879-C		Pa Ph Cp Pi		300	ZhCa	F2 V	{ 2 }	(A7C+3)	[9A6D]		12	2,520
Vang	E	0518	Edliltel	C96A100-7		Lo Wa		305	ZhCa	G9 V	{ -2 }	(301-5)	[1112]		8	0
Vang	E	0520	NGS 549672	A573699-C	V	Ni Da	A	311	NaHu	K3 V M7 V M9 V	{ 1 }	(A55+2)	[776D]		8	500
Vang	I	0521	Sranan Tongo	B6A5361-C	V	Fl Lo O:0620		212	NaHu	M1 V M4 V	{ 1 }	(821-3)	[1418]		12	11
Vang	I	0523	Legion	D3038B6-7	V	Ic Na Va Ph Pi		300	NaHu	F3 V	{ -2 }	(A76-3)	[7646]		7	294
Vang	I	0524	Ore Tenus	D97A616-5		Ni Wa		320	NaHu	K2 V M9 V	{ -3 }	(851-4)	[5344]		9	24
Vang	I	0525	565-781	X745000-0	V	Ba Fo	R	014	NaXX	F1 V M3 V	{ -3 }	(200-5)	[0000]		11	0
Vang	I	0527	Nessuro	C546672-7		Ag Ni		800	NaHu	F9 V	{ -1 }	(853-5)	[2513]		9	60
Vang	M	0535	Kinard	X553404-0		Ni Po Fo	R	507	NaHu	K8 V	{ -3 }	(631-5)	[2131]		16	9
