Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0105		X77A000-0	Ba Wa Co Fo	{ -3 }	(A00-5)	[0000]	-	-	R	023	14	NaXX	K6 V D
0310	Halilre	B888185-A	Lo	{ 1 }	(901+1)	[1269]	-	R	-	124	17	AsMw	K4 V K4 V
0410	Hkeakhou	E751000-0	Ba Po Tz	{ -3 }	(700-5)	[0000]	-	-	-	022	9	AsXX	M2 V M9 V
0510	Aeasi	B40075A-C	Na Pi Va	{ 3 }	(F68-3)	[7A1B]	-	RT	-	713	13	AsTv	K6 V M2 V
0710	Wiyhilosawa	B6A4246-C	Fl Lo Fr	{ 1 }	(B11-3)	[1399]	-	T	-	113	11	AsT8	M3 V
0807	Uahar	E899000-0	Ba Co	{ -3 }	(500-5)	[0000]	-	-	-	004	16	AsXX	F1 V G2 V G6 V G8 V
0810	Haahryo'	B610384-9	Lo Ho Tz	{ 0 }	(320-5)	[4358]	-	-	-	200	6	AsWc	K4 V
0910	Eieirar	E510849-7	Na Ph Pi	{ -2 }	(474-2)	[A648]	-	-	-	104	13	AsT4	F8 V
1007	Yuhtohaau	D510342-8	Lo Co	{ -3 }	(720+1)	[1189]	-	-	-	300	4	AsT3	M0 V
1010	Hrair	E889368-7	Lo Co O:1408	{ -3 }	(620+4)	[5165]	-	-	-	200	11	AsSc	G2 V
1102	Etris	C00059B-9	As Ni Va Da	{ -1 }	(B42-1)	[645B]	-	T	A	424	13	AsT7	M2 V M7 V
1103	Tohyawe	C42388B-A	Na Ph Pi Po	{ 1 }	(A79+2)	[996A]	-	R	-	202	7	AsVc	K8 V M3 V
1110	Steeawaleahi	E423162-8	Lo Po O:1408	{ -3 }	(800+2)	[1198]	-	-	-	513	13	AsSc	A5 V F1 V M4 V
1203	Khaweataoei	C9C2112-A	Fl He Lo Co Tz	{ 0 }	(700+3)	[117D]	-	-	-	512	8	AsMw	M3 V
1204	Eaowyaah	C988A89-C	Hi	{ 2 }	(99C-1)	[AC4D]	-	R	-	100	9	AsVc	G3 V
