Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Yahe	A	0107	Racheta	C88A356-7		Lo Wa		213	NaAs	K0 V	{ -2 }	(     )	[    ]			0
Yahe	A	0203	Pewo	D421763-3		He Na Pi Po O:0705		500	NaAs	M0 V	{ -2 }	(     )	[    ]			0
Yahe	A	0304	Walari	X543563-2		Fo Ni Po ChirW O:0705	R	622	NaAs	M0 V	{ -3 }	(     )	[    ]			0
Yahe	A	0409	Thicor	C836323-B		Lo		303	NaAs	M0 V	{  0 }	(     )	[    ]			0
Yahe	A	0510	Inae	C73A8AD-C		Ph Wa		410	NaAs	A0 V	{  1 }	(     )	[    ]			0
Yahe	A	0604	Thososs	C593265-3		Lo Re		732	NaAs	M0 V	{ -2 }	(     )	[    ]			0
Yahe	A	0605	Fibre	C856643-3		Ag Ga Ni		403	NaHu	M0 V	{ -1 }	(     )	[    ]			0
Yahe	A	0608	Petho	A577772-B		Ag Pi		901	NaAs	G0 V	{  3 }	(     )	[    ]			0
Yahe	A	0705	Plohte	C00069A-A		As Na Ni Va		120	NaAs	M0 V	{  0 }	(     )	[    ]			0
Yahe	A	0801	Ira	C300314-8		Lo Va		531	NaAs	A0 V	{ -2 }	(     )	[    ]			0
Yahe	B	1003	Ware	A663697-B		Ni Ri		401	NaHu	G0 V	{  2 }	(     )	[    ]			0
Yahe	B	1009	Yeback	D632354-5		Lo Po		500	NaAs	M0 V	{ -3 }	(     )	[    ]			0
Yahe	B	1010	Theo	E6487A8-4		Ag Pi		321	NaAs	K0 V	{ -1 }	(     )	[    ]			0
Yahe	B	1106	Tridasibrao	C430223-8		De Lo Po		101	NaAs	M0 V	{ -2 }	(     )	[    ]			0
Yahe	B	1109	Ener	D311478-5		Ic Ni ClalW		710	Na	M0 V	{ -3 }	(     )	[    ]			0
Yahe	B	1308	Senbaly	C520857-7		De He Na Ph Pi Po		333	NaHu	K0 V	{ -1 }	(     )	[    ]			0
Yahe	B	1310	Duta	C656103-7		Ga Lo		320	NaAs	M0 V	{ -2 }	(     )	[    ]			0
