Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
0109	Ilviei	C200431-B		Va Ni		504	ZhJp	M6 V	{ 0 }	(B35+5)	[844F]		11
0110	Enzhtladr	A687658-D	KM	Ga Ni Ag Ri		612	ZhJp	M7 V	{ 4 }	(B59-3)	[9A6F]		10
0115	Pradjaie	D745486-7		Ni Pa		904	ZhJp	M4 V	{ -3 }	(830+2)	[3188]		11
0116	Oddlekliekl	D567000-0		Ba		010	ZhJp	F4 V	{ -3 }	(400+2)	[0000]		5
0119	Te Zdansaa	E582674-5		Ni Ri		302	ZhJp	F4 V	{ -2 }	(A50+2)	[6475]		7
0120	Tiatlieadev	A400AAA-E	D	Va Hi Na In		724	ZhJp	M5 V	{ 5 }	(C9G+1)	[CF3C]		14
0123	Ratlechzder	B3427AB-A	KM	He Pi Po		221	ZhJp	F7 V	{ 3 }	(969+2)	[9A9A]		14
0126	Dlelstekre	A88A6A8-E	KM	Wa Ni Ri		603	ZhJp	F1 V	{ 3 }	(954-1)	[696C]		12
0129	Dlivldla	A795ADD-D	KM	Hi In		503	ZhJp	F0 V	{ 5 }	(99E-1)	[AF7G]		13
0130	Anchvlanzhad	E552000-0		Ba Po		005	ZhJp	F7 V M3 V	{ -3 }	(A00+1)	[0000]		13
0132	Pemchtod	B87A455-B		Wa Ni		613	ZhJp	K0 V	{ 1 }	(B32+1)	[152B]		13
0133	Iazdizh	B8B8574-C	KM	Fl Ni		523	ZhJp	M1 V	{ 2 }	(746+1)	[677C]		16
0137	Dabryo	A46A872-C	KM	Wa Ph Ri		414	ZhJp	M8 V	{ 4 }	(G7F-1)	[5C4E]		11
0203	Vezhna	A4657CC-9	KM	Ag Ri		503	ZhJp	F7 V M6 V	{ 4 }	(968-2)	[7B27]		12
0208	Ianshenj	B527786-B		Pi Di(minor)		603	ZhJp	F9 V M5 V	{ 2 }	(A69+1)	[593B]		10
