Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Noblity	W	RU
Zhie	B	1004	Echi	B9A4451-9		Fl Ni		101	ZhCo							
Zhie	B	1006	Neqrfil	D870A40-5		De In Lt		101	ZhCo							
Zhie	B	1101	Ejiebr	B765200-B		Ga Lo		101	ZhCo							
Zhie	B	1103	Ozfrodl	A320540-8		De Ni		101	ZhCo							
Zhie	B	1104	Deli	C323100-B		Lo		101	ZhCo							
Zhie	B	1106	Siefzaql	C620542-A		De Ni		100	ZhCo							
Zhie	B	1110	Vre’fa	E301000-3		Ba Ic Lo Va		001	ZhCo							
Zhie	B	1202	Iem	E300355-5		Lo Va Lt		101	ZhCo							
Zhie	B	1206	Iaia	C4009B7-A		Va Hi Na		101	ZhCo							
Zhie	B	1208	Tlie	C631503-A		Ni		101	ZhCo							
Zhie	B	1209	Ipaqle	D552243-6		Lo Po		101	ZhCo							
Zhie	B	1305	Chti	C441564-5		Lt Ni		101	ZhCo							
Zhie	B	1306	Jifr	A110100-C		Lo Ht		101	ZhCo							
Zhie	B	1307	Azhr	C300569-6		Va Ni		101	ZhCo							
Zhie	B	1310	Ibialelatl	E567635-6		Ni Ri		101	ZhCo							
Zhie	B	1402	Ofrvla	C200552-8		Va		101	ZhCo							
Zhie	B	1409	Delzhsand	A852422-B		Ni		101	ZhCo							
Zhie	B	1410	Ivienj	B675600-7		Ag Ni		101	ZhCo							
Zhie	B	1502	Plaz	B000521-9		As Va Ni		101	ZhCo							
Zhie	B	1503	Endle	D432753-9		Na		101	ZhCo							
Zhie	B	1504	Jei	A333322-E		Lo		100	ZhCo							
Zhie	B	1506	Oyeor	B853632-6		Ni		101	ZhCo							
Zhie	B	1508	Qlidr	E547303-4		Lo Lt		101	ZhCo							
Zhie	B	1509	Tolerpr	B510611-A		Na		100	ZhCo							
Zhie	B	1603	Cheevr	XA65320-1		Lo Lt		101	ZhCo							
Zhie	B	1605	Riazaz	C510400-9				101	ZhCo							
Zhie	B	1608	Piavredra	A530532-E		De		101	ZhCo							
Zhie	B	1610	Nazha	E442663-7				101	ZhCo							
