Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Hkak	A	0702	Iyye 0702	X428000-0		Ba		014	NaXX	G6 II M3 V	{ -3 }	(600-5)	[0000]		17	-30
Hkak	B	1209	Yow 1209	X669000-0		Ba		011	NaXX	G6 V M7 V	{ -3 }	(C00-5)	[0000]		10	-60
Hkak	C	2301	Ieaaololi' 2301	X564000-0		Ba		024	NaXX	F1 V M9 V	{ -3 }	(B00-5)	[0000]		11	-55
Hkak	C	2406	Ieaaololi' 2406	X340000-0		Ba De He Po		001	NaXX	G8 V	{ -3 }	(900-5)	[0000]		9	-45
Hkak	D	2710	Eisyekhye 2710	X110000-0		Ba		003	NaXX	G0 IV	{ -3 }	(500-5)	[0000]		10	-25
Hkak	D	2806	Eisyekhye 2806	X348000-0		Ba		024	NaXX	G5 V M8 V	{ -3 }	(700-5)	[0000]		17	-35
Hkak	E	0319	Kaalakhi 0319	X000000-0		As Ba Va		014	NaXX	M3 V M9 V M8 V	{ -3 }	(400-5)	[0000]		13	-20
Hkak	E	0712	Kaalakhi 0712	X445000-0		Ba		004	NaXX	F7 V	{ -3 }	(700-5)	[0000]		14	-35
Hkak	F	0913	Hkear 0913	X8A0000-0		Ba He		003	NaXX	K5 V M7 V	{ -3 }	(600-5)	[0000]		11	-30
Hkak	F	0920	Hkear 0920	X470000-0		Ba De He		002	NaXX	G0 V M4 V	{ -3 }	(900-5)	[0000]		8	-45
Hkak	F	1115	Hkear 1115	X73A000-?		Di Wa		024	NaXX	G5 V M7 V	{ -3 }	(500-5)	[0000]		11	-25
Hkak	F	1215	Hkear 1215	X765000-?		Di Ga (Dawn)		005	NaXX	F5 V	{ -3 }	(C00-5)	[0000]		9	-60
Hkak	F	1311	Hkear 1311	X698000-0		Ba		014	NaXX	K0 V	{ -3 }	(300-5)	[0000]		17	-15
Hkak	F	1314	Hkear 1314	XAD5000-?		Di		004	NaXX	F4 V	{ -3 }	(C00-5)	[0000]		12	-60
Hkak	F	1419	Hkear 1419	X666000-0		Ba Ga		013	NaXX	F8 V M1 V	{ -3 }	(A00-5)	[0000]		12	-50
Hkak	F	1620	Hkear 1620	X698000-0		Ba		023	NaXX	F9 V	{ -3 }	(900-5)	[0000]		17	-45
