Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar	Old A	
0102	Oasis	C8507A9-9	De Po	{ 0 }	(96C-1)	[8A6B]	-	M	-	600	6	SoCf	G3 V M2 V	SoCf	
0104	Pity	C301200-C	Ic Lo Va Co Tz Ht	{ 0 }	(710-4)	[1217]	-	-	-	303	9	SoCf	M0 V	SoCf	
0105	Reynold	C401899-B	Ic Na Va Ph Pi Tz	{ 1 }	(E7B+2)	[996C]	-	-	-	613	7	NaHu	M1 V	NaHu	
0106	Vala's World	D830210-7	De Lo Po Co	{ -3 }	(410-5)	[1112]	-	-	-	610	7	SoCf	G2 V	SoCf	
0203	Wu	B66A99A-E	Hi Wa Cp Pr (Wuans) Ht	{ 4 }	(G8G+5)	[BD7G]	-	KM	-	414	13	SoWu	F9 V G9 V	SoWu	
0205	Clan	B640988-C	De He Hi In Po Huma2 Ht	{ 5 }	(E8G+5)	[9E5C]	-	KM	-	803	8	SoWu	G9 V	SoWu	
0208	Spit	C530846-8	De Na Po Ph Sa	{ -1 }	(E77-2)	[7747]	-	-	-	222	13	SoCf	F4 V G3 V	SoCf	
0210	Chou	C62187B-9	He Na Po Ph Pi	{ 0 }	(D79+2)	[A87B]	-	-	-	303	12	SoWu	K1 V	SoWu	
0303	Placid	E545433-7	Ni Pa	{ -3 }	(B33-2)	[1528]	-	-	-	314	16	SoCf	G0 V K9 V	SoCf	
0305	Veller	E546478-7	Ni Pa	{ -3 }	(631-3)	[4157]	-	-	-	610	10	NaHu	F7 V	NaHu	
0308	Tamroff	E775302-8	Lo Co Tu	{ -3 }	(920-5)	[1114]	-	-	-	513	10	SoCf	G4 V K2 V	SoCf	
0309	Rudikk	E301720-8	Ic Na Va Pi Lk Fr	{ -2 }	(B66-5)	[2513]	-	-	-	920	6	SoCf	M1 V	SoCf	
0310	Carn	C4306AA-A	De Na Ni Po Da Tz	{ 0 }	(C54+2)	[867C]	-	-	A	104	10	SoCf	M0 V M2 V	SoCf	
0403	Downfall	C547100-A	Lo	{ 0 }	(800-4)	[1115]	-	-	-	714	16	SoCf	F1 V	SoCf	
0404	Oyama	B5A3565-B	Fl Ni O:0205	{ 1 }	(A45-1)	[3639]	-	-	-	403	13	SoWu	K3 V	SoWu	
0409	Gunsan	A645555-E	Ag Ni Ht	{ 2 }	(B46+1)	[373C]	-	-	-	513	13	SoWu	G7 V	SoWu	
0502	Fairbairn	E630210-7	De Lo Po	{ -3 }	(410-5)	[1112]	-	-	-	703	8	SoCf	K3 V M0 V	SoCf	
0503	New Sol	D501956-7	Hi Ic In Na Va Fo	{ 0 }	(B89-1)	[8946]	-	-	R	904	13	SoCf	G3 V	SoCf	
0504	Greenvald	B864695-A	Ag Ni Ri	{ 4 }	(858+2)	[4A38]	-	KM	-	600	11	SoCf	M1 V	SoCf	
0505	Holywell	B7B9432-D	Fl Ni Tz Ht	{ 1 }	(734-3)	[1519]	-	-	-	210	10	SoCf	M1 V	SoCf	
0509	Redden	C554110-9	Lo Co	{ -1 }	(800-5)	[1114]	-	-	-	305	11	SoCf	F9 V M8 V	SoCf	
0601	Sharn	B7568BG-A	Ga Pa Ph Pz Huma4	{ 2 }	(A7C+1)	[DAAF]	-	-	A	300	8	SoWu	G4 V	SoWu	
0602	Yamashita	E000535-A	As Ni Va	{ -1 }	(943-3)	[3438]	-	-	-	702	10	SoCf	G8 V M1 V	SoCf	
0605	Dillman	A984425-D	Ni Pa Ht	{ 2 }	(A35+1)	[263B]	-	KM	-	413	13	SoCf	G4 V	SoCf	
0608	David's Drop	E7B9445-9	Fl Ni Co	{ -2 }	(931-4)	[2237]	-	-	-	603	11	SoCf	K8 V	SoCf	
0701	Trikak	C574867-8	Pa Ph Pi Huma6 O:0601	{ -1 }	(F77-1)	[8758]	-	-	-	923	13	SoWu	K6 V	SoWu	
0703	Justin	D310547-9	Ni Co Tz	{ -2 }	(B42-2)	[5359]	-	-	-	522	10	SoCf	M0 V	SoCf	
0705	Zilla	E567556-8	Ag Ni Pr	{ -2 }	(742-3)	[4347]	-	-	-	100	6	SoCf	K8 V	SoCf	
0707	Bindas	E730534-7	De Ni Po	{ -3 }	(741-5)	[3235]	-	-	-	915	13	SoCf	G7 V M0 V	SoCf	
0708	Icolka	B997520-B	Ag Ni	{ 3 }	(747-1)	[1816]	-	KM	-	400	10	SoCf	F5 V	SoCf	
0710	Yazi	E750677-6	De Ni Po Tz	{ -3 }	(851-3)	[6356]	-	-	-	600	7	SoCf	M2 V M2 V	SoCf	
0804	Bupaj	E420267-9	De He Lo Po O:0903 Ho Tz	{ -2 }	(710-2)	[2159]	-	-	-	803	12	SoCf	K5 V	SoCf	
0805	Deriabar	C501576-A	Ic Ni Va Co Tz	{ 0 }	(744-1)	[4549]	-	-	-	100	8	SoCf	M2 V M3 V	SoCf	
0807	Nova Dune	C410227-B	Lo Co Tz Px	{ 0 }	(710+1)	[225B]	-	-	-	203	12	NaHu	M2 V	NaHu	
0808	Saratela	E985513-7	Ag Ni Pr	{ -2 }	(742-5)	[2324]	-	-	-	613	9	SoCf	G9 V	SoCf	
0809	Kuxald	B553434-B	Ni Po	{ 1 }	(C34-1)	[2539]	-	-	-	224	15	SoCf	G9 V	SoCf	
0902	Akludu	C5686AC-9	Ag Ni Ri Asla6 Fo	{ 1 }	(E54-1)	[7A6B]	-	-	R	524	19	SoCf	G5 V M4 V	SoCf	
0903	Daftrew	B78A878-C	Ri Wa Ph Ht	{ 4 }	(A7E+4)	[8C5C]	-	KM	-	400	8	SoCf	F4 V M1 V	SoCf	
0904	Opoyama	C954358-A	Lo Ho Tr	{ 0 }	(B20+1)	[335A]	-	-	-	624	17	SoCf	G4 V	SoCf	
0910	Far Light	D42257A-9	He Ni Po Tz	{ -2 }	(A42+1)	[737B]	-	-	-	203	12	SoCf	M0 V M8 V	SoCf	
1002	Wrath	C550566-9	De Ni Po O:0903	{ -1 }	(943-2)	[4448]	-	-	-	102	13	SoCf	F3 V M1 V K4 V	SoCf	
1003	Relatte	A857432-D	Ni Ga Pa Ht	{ 1 }	(C34-3)	[1519]	-	-	-	824	19	SoCf	G0 V M8 V	SoCf	
1004	Jondrea	X545332-5	Lo Fo Co Lt	{ -3 }	(520-5)	[1111]	-	-	R	304	9	SoCf	M2 V	SoCf	
1008	Mafred	C53846A-A	Ni O:1105 Ho Tz	{ 0 }	(933+2)	[647C]	-	-	-	303	16	SoCf	K8 V	SoCf	
1101	Sumio	D3116AB-A	Ic Na Ni Da Fr Lk	{ -1 }	(A54+2)	[867C]	-	-	A	202	11	SoCf	M2 V	SoCf	
1103	Xian	B7B48DC-9	Fl Ph Pz Fr	{ 2 }	(E7B+5)	[BA8C]	-	KM	A	904	13	SoCf	G0 V M1 V	SoCf	
1105	Ko's World	B569775-B	Ri	{ 3 }	(E6D+1)	[5A39]	-	-	-	105	13	SoCf	M1 V	SoCf	
1106	Mubark	D401250-A	Ic Lo Va Co Tz	{ -1 }	(710-5)	[1115]	-	-	-	112	8	SoCf	M2 V M9 V	SoCf	
1109	G'anshum	E654678-6	Ag Ni	{ -2 }	(852-2)	[6456]	-	-	-	402	9	SoCf	G5 V M6 V	SoCf	
1207	Seladur	C565651-9	Ag Ni Ri	{ 1 }	(C55-3)	[2715]	-	-	-	413	15	SoCf	F8 V M6 V	SoCf	
1208	Eery	A7BA543-E	Fl Ni Co Ht	{ 2 }	(946-1)	[272B]	-	KM	-	920	7	SoCf	G5 V K8 V	SoCf	
1209	Tarn	A747220-D	Lo Ht	{ 2 }	(812-2)	[1418]	-	KM	-	304	14	SoNS	G3 V G9 V	SoNS	
1302	Joppa	B201575-D	Ic Ni Va Co Tz Ht	{ 1 }	(845-1)	[363B]	-	-	-	510	5	SoCf	M1 V	SoCf	
1305	Cueball	D55156A-7	Ni Po O:1403	{ -3 }	(741-1)	[7279]	-	-	-	114	16	SoCf	G3 V	SoCf	
1307	Sorang	C311641-A	Ic Na Ni Tz	{ 0 }	(C54-4)	[2616]	-	-	-	313	12	SoNS	M1 V	SoNS	
1309	Al-Medif	X87A775-5	Wa Pi Fo Lt	{ -2 }	(965-4)	[5533]	-	-	R	823	15	SoCf	G6 V	SoCf	
1403	Chorus	A944768-C	Ag Cp Pi Asla4 Mr Ht	{ 4 }	(A6E+4)	[7B5C]	-	KM	-	801	14	SoCf	F4 V	SoCf	
1404	Sapphire	B89A797-C	Wa Pi Ht	{ 2 }	(D6C+2)	[795C]	-	-	-	213	14	SoCf	G1 V	SoCf	
1407	Tooma	A555332-D	Lo Ht	{ 1 }	(921-3)	[1419]	-	-	-	904	14	SoNS	G9 V	SoNS	
1408	Heichel	B7B8684-B	Fl Ni Co Tz	{ 1 }	(C55-1)	[4739]	-	-	-	513	10	SoNS	M2 V M8 V	SoNS	
1409	Olsson	D578577-7	Ag Ni	{ -2 }	(742-2)	[5357]	-	-	-	203	13	SoCf	K9 V	SoCf	
1410	Kliment	C576830-8	Pa Ph Pi	{ -1 }	(A77-5)	[3713]	-	-	-	200	9	SoNS	G3 V K6 V	SoNS	
1504	Youngland	D596325-7	Lo Sa	{ -3 }	(520-5)	[1135]	-	-	-	103	10	SoCf	G9 V K4 V	SoCf	
1506	Desolation	B401200-E	Ic Lo Va Tz Ht	{ 1 }	(611-3)	[1319]	-	-	-	302	12	SoCf	M2 V	SoCf	
1604	Summer's Lot	C8C9244-B	Fl Lo Tz	{ 0 }	(610-2)	[1239]	-	-	-	802	8	SoCf	M1 V	SoCf	
1605	Goodhurst	A535649-D	Ni Ho Ht	{ 2 }	(A56+3)	[786E]	-	KM	-	720	11	SoCf	G1 V	SoCf	
1701	Alphard	B88AAA9-E	Hi Wa Ht	{ 3 }	(D9F+4)	[BD6F]	-	-	-	201	12	SoCf	K3 V M5 V	ImDs	
1708	Phipps	A621878-D	He Na Po Ph Pi Tz Ht	{ 2 }	(G7D+2)	[8A5D]	-	-	-	333	17	SoCf	M2 V	SoCf	
1801	Fase	B741877-A	He Po Ph Pi	{ 2 }	(C7B+2)	[8A5A]	-	-	-	820	11	SoCf	K1 V M7 V	ImDs	
1807	Clown	B431975-E	Hi Na Po Ht	{ 4 }	(F8G+2)	[7D3C]	-	KM	-	804	16	SoCf	G3 V M7 V	SoCf	
1808	Lowhorn	C647775-8	Ag Pi Ho Tr	{ 0 }	(C68-2)	[5736]	-	-	-	912	8	SoRD	G6 V M9 V	SoRD	
1904	Philpott	D422522-7	He Ni Po Fr Sa Da	{ -3 }	(741-5)	[1213]	-	-	A	703	13	SoCf	M2 V M6 V	ImDs	
1905	Arrid	E300988-A	Hi In Na Va Sa	{ 2 }	(D8C+2)	[9B5A]	-	-	-	902	14	SoCf	M0 V	ImDs	
1907	Double	A541500-E	He Ni Po Ht	{ 1 }	(C45-3)	[1619]	-	-	-	414	12	SoCf	F9 V	ImDs	
2004	Esuan	C5459A7-A	Hi In Fr Sa	{ 3 }	(E8D+3)	[9C5A]	-	-	-	121	9	SoCf	M3 V	ImDs	
2007	Justice	C842897-8	He Po Ph Pi	{ -1 }	(C77-1)	[8758]	-	-	-	202	10	SoCf	G3 V	ImDs	
2008	Plage	C432AAA-E	Hi Na Po Ht	{ 2 }	(E9E+1)	[8C3C]	-	-	-	320	10	SoCf	G2 V M6 V	ImDs	
2009	Brawley	C56A120-B	Lo Wa Co Tz	{ 0 }	(900-4)	[1116]	-	-	-	615	12	SoCf	M2 V	ImDs	
