Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar			
0103	Taltern	E530240-6	De Lo Po	{ -3 }	(410-5)	[1111]	-	-	-	202	7	NaHu	M2 V M2 V			
0110	Bilke	D987341-7	Lo FlorW	{ -3 }	(520-5)	[1113]	-	-	-	202	6	FlLe	F0 V			
0201	Szirp	A436538-D	Ni Ht	{ 1 }	(745+1)	[565D]	-	-	-	800	9	NaHu	M8 V			
0202	Sam's World	E100856-7	Na Va Ph Pi	{ -2 }	(A76-3)	[7646]	-	-	-	803	14	NaHu	G7 V			
0204	Dustpan	A550779-9	De Po	{ 1 }	(96A+2)	[886A]	-	-	-	900	12	NaHu	F2 V			
0209	Heath	B587532-B	Ag Ni Pr	{ 2 }	(B46-2)	[1717]	-	-	-	622	8	NaHu	K2 V M6 V			
0210	Vip	A421644-D	He Na Ni Po FlorW Ht	{ 2 }	(C56+1)	[483B]	-	KM	-	404	15	FlLe	M8 V			
0307	Crescent	B420778-7	De He Na Po Pi	{ 0 }	(968+1)	[7757]	-	-	-	904	16	NaHu	M1 V			
0310	Trossachs	B897A54-C	Hi In FlorW Ht	{ 4 }	(E9F+2)	[8E3A]	-	-	-	202	7	FlLe	F6 V			
0403	Marseilles	D540312-7	De He Lo Po	{ -3 }	(520-5)	[1113]	-	-	-	502	8	NaHu	M4 V M6 V			
0404	Paques	D9E6400-4	Ni Lt	{ -3 }	(631-5)	[1111]	-	-	-	323	17	NaHu	M2 V D			
0408	Viceroy	B8D3515-C	Ni Ht	{ 1 }	(B45-1)	[363A]	-	-	-	604	8	NaHu	G6 V M1 V			
0503	Allemagne	X688000-0	Ba Fo Lt	{ -3 }	(200-5)	[0000]	-	-	R	020	9	NaHu	M0 V M1 V			
0504	Sable des Etoiles	B000899-D	As Na Va Ph Pi Ht	{ 2 }	(D7D+3)	[9A6E]	-	-	-	521	16	NaHu	F8 V M4 V			
0505	Strend	B436AFB-F	Hi Ht	{ 3 }	(E9F+5)	[CD7G]	-	-	-	802	8	NaHu	F4 V			
0510	Halka	B865544-A	Ag Ni Ga Pr (Halkans)	{ 3 }	(B47+1)	[3838]	-	KM	-	813	13	FlLe	M9 III			
0608	Armada	A540244-A	De He Lo Po	{ 1 }	(411-1)	[1338]	-	-	-	400	5	NaHu	G9 V			
0609	Adhara	B57A687-8	Ni Wa	{ -1 }	(A53-1)	[6558]	-	-	-	602	8	NaHu	F2 V M9 V			
0702	Zephyr	B999545-7	Ni	{ -1 }	(743-3)	[3435]	-	-	-	114	15	NaHu	F6 V			
0802	Fomalhaut	B510200-D	Lo Ht	{ 1 }	(811-3)	[1318]	-	-	-	204	11	NaHu	M7 V			
0809	Hadara	E311796-7	Ic Na Pi	{ -2 }	(966-3)	[6546]	-	-	-	103	11	NaHu	A3 V			
0902	Walei	E7B4776-8	Fl	{ -2 }	(B66-3)	[6547]	-	-	-	811	10	NaHu	K3 V M5 V			
0909	Pa'an	E649333-5	Lo Lt	{ -3 }	(520-5)	[1122]	-	-	-	513	15	NaHu	F3 V M0 V			
1005	Gorgon	E590224-6	De He Lo Px	{ -3 }	(410-5)	[1134]	-	-	-	504	9	BlSo	K3 V			
1106	Belgard	C571321-9	He Lo Cx	{ -1 }	(720-5)	[1215]	-	M	-	902	10	BlSo	K8 V D			
1110	Velscur	X574479-5	Ni Pa Lt	{ -3 }	(631-2)	[5166]	-	-	-	302	8	NaHu	F9 V			
1201	Kaldamar	E745326-7	Lo	{ -3 }	(520-4)	[2146]	-	-	-	403	12	NaHu	F4 V			
1202	Nabeth	D426579-8	Ni	{ -3 }	(C41-2)	[6269]	-	S	-	823	10	CsIm	M4 V			
1209	985-373	X775000-0	Ba Lt	{ -3 }	(200-5)	[0000]	-	-	-	020	15	NaXX	K6 V M3 V			
1305	Gollere	D574756-7	Ag Pi	{ -1 }	(967-2)	[6646]	-	-	-	720	6	NaHu	F5 V			
1307	Ganulph	X500000-0	Ba Va Fo Lt	{ -3 }	(200-5)	[0000]	-	-	R	011	9	CsIm	M3 V			
1308	Eleson	E541100-8	He Lo Po	{ -3 }	(800-5)	[1113]	-	-	-	323	12	BlSo	F8 V M2 V			
1402	Selshor	X430576-6	De Ni Po Fo	{ -3 }	(741-4)	[4245]	-	-	R	913	12	NaHu	F6 V M0 V			
1410	Goria	E422475-7	He Ni Po HumaW	{ -3 }	(631-5)	[2135]	-	-	-	200	6	AsXX	M1 V			
1502	Carben	X5555A9-2	Ag Ni Fo Lt	{ -2 }	(742-1)	[6363]	-	-	R	114	18	NaHu	K6 V M9 V			
1601	Ashley's Rock	D100120-7	Lo Va	{ -3 }	(300-5)	[1112]	-	-	-	614	12	NaHu	K0 IV			
1602	T'yana	E568752-7	Ag Ri	{ 0 }	(968-4)	[3713]	-	-	-	200	11	NaHu	G4 V M2 V			
1605	Vior	D500401-7	Ni Va HumaW	{ -3 }	(631-5)	[1113]	-	-	-	301	6	AsXX	M4 V			
1608	Braudel	X543200-5	Lo Po Fo HumaW Lt	{ -3 }	(410-5)	[1111]	-	-	R	903	10	AsXX	K4 V			
1801	Candia	D4006A9-7	Na Ni Va	{ -3 }	(851-2)	[7368]	-	-	-	703	10	NaHu	M2 V M7 V			
1810	Kydde	B644779-5	Ag Pi HumaW Lt	{ 1 }	(968+2)	[8866]	-	-	-	804	14	AsVc	M2 V			
1906	Bantral	C886589-9	Ag Ni Ga Pr	{ 0 }	(A44+1)	[656A]	-	S	-	503	8	CsIm	F5 V			
2002	Kryslion	D583AA9-9	Hi	{ 0 }	(E9A+1)	[BA6A]	-	-	-	520	11	ImDd	F6 V			
2008	Orsasch	E541364-7	He Lo Po Mr HumaW	{ -3 }	(520-5)	[1135]	-	-	-	223	13	AsXX	M1 V			
2102	Cyan	C5689B9-A	Hi Pr	{ 3 }	(C8D+4)	[AC6B]	-	W	-	510	12	ImDd	F6 V M7 V			
2105	Berengaria	B566644-7	Ag Ni Ri	{ 2 }	(856+1)	[4835]	-	NS	-	304	12	ImDd	F7 V			
2108	Senlis	B671633-A	He Ni HumaW	{ 2 }	(956-1)	[3827]	-	KM	-	510	13	AsXX	F6 V			
2202	Doradon	A400369-B	Lo Va O:2102	{ 1 }	(521+2)	[446C]	-	S	-	100	13	ImDd	F3 V			
2203	Perrior	A633966-B	Hi Na Po An O:2102	{ 3 }	(E8E+2)	[8C4A]	-	N	-	330	6	ImDd	G2 V			
2204	Pax Rulin	A402231-E	Ic Lo Va Cp Ht	{ 1 }	(811-3)	[131A]	-	N	-	413	7	ImDd	M8 III			
2304	Rhysk	X413730-7	Ic Na Pi Fo	{ -2 }	(966-5)	[2512]	-	-	R	613	16	ImDd	M1 V M4 V			
2306	Caraz	E311959-A	Hi Ic In Na Pz	{ 2 }	(F8C+3)	[AB6B]	-	N	A	222	13	ImDd	F7 V M5 V			
2309	Magen	C543550-9	Ni Po HumaW	{ -1 }	(743-5)	[1414]	-	-	-	900	7	AsXX	F9 V			
2402	Islent	BAC0789-9	He Pz	{ 1 }	(C6A+2)	[886A]	-	-	A	103	11	ImDd	A4 V			
2405	Alexin	B000420-C	As Ni Va Ht	{ 1 }	(834-3)	[1517]	-	-	-	220	11	ImDd	F5 V			
2501	Labora	B533544-7	Ni Po	{ -1 }	(743-3)	[3435]	-	-	-	103	12	ImDd	M1 V M1 V			
2602	Belt-9	B000213-E	As Lo Va Ht	{ 1 }	(811-2)	[132B]	-	-	-	513	11	ImDd	M1 V M5 V			
2704	Corben	B545455-8	Ni Pa	{ -1 }	(B31-5)	[2136]	-	N	-	814	9	ImDd	F5 V M9 V M7 V			
2708	Gazulin	AA86887-B	Ri Pa Ph An Cp	{ 4 }	(E7E+4)	[8C5B]	-	NS	-	213	12	ImDd	F3 V			
2709	O'Keefe	D879625-7	Ni HumaW	{ -3 }	(851-5)	[4335]	-	-	-	604	11	AsXX	F4 V			
2801	MacDermont	D200768-8	Na Va Pi Pz O:2805	{ -2 }	(D66-2)	[7558]	-	-	A	204	11	ImDd	F1 V			
2804	Junction	B763773-6	Ri	{ 1 }	(968-2)	[4823]	-	-	-	905	13	ImDd	M8 V M9 V			
2805	Peridot	B989894-A	Ri Ph	{ 3 }	(A7C+1)	[6B38]	-	N	-	700	9	ImDd	F3 V D			
2807	Fintor	B540344-7	De He Lo Po	{ -1 }	(520-3)	[1235]	-	-	-	703	14	ImDd	F9 V			
2902	Bleak	C9C6225-9	Fl Lo An	{ -1 }	(810-3)	[1137]	-	S	-	304	7	ImDd	M2 V			
2904	Iscand	B795553-B	Ag Ni	{ 2 }	(846-1)	[2728]	-	N	-	101	11	ImDd	K6 V			
2909	Mirage	A560676-A	De Ni Ri	{ 2 }	(B56+1)	[5849]	-	-	-	603	9	ImDd	F0 V			
2910	Susanawo	D68A430-5	Ni Wa HumaW Lt	{ -3 }	(631-5)	[1111]	-	-	-	111	10	AsXX	F0 V			
3003	627-301	E000120-A	As Lo Va Fo RsB	{ -1 }	(300-5)	[1115]	-	-	R	901	10	ImDd	F3 V			
3105	Neumann	B876AA9-D	Hi In Ht	{ 4 }	(H9G+5)	[BE6E]	-	N	-	123	13	ImDd	G3 V			
3107	Ploderash	D303696-8	Ic Na Ni Va	{ -3 }	(A51-4)	[5347]	-	-	-	520	10	ImDd	F1 V M9 V			
0116	Daruf	D540358-5	De He Lo Po FlorW Px Lt	{ -3 }	(520-3)	[3155]	-	-	R	213	12	FlLe	F6 V			
0119	Bolsush	D585741-6	Ag Ri FlorW	{ 0 }	(967-4)	[3712]	-	-	-	111	7	FlLe	F2 V M0 V			
0213	Floria	A567942-F	Hi An Cx Pr (Floriani) Ht	{ 4 }	(F8G+1)	[5D1A]	-	KM	-	604	12	FlLe	F5 V M8 V			
0218	Vorn	B611640-9	Ic Na Ni FlorW	{ 1 }	(C55-3)	[1714]	-	KM	-	513	13	FlLe	M0 V			
0220	Thrush	A436246-C	Lo FlorW Ht	{ 1 }	(711+1)	[134B]	-	-	-	412	14	AsXX	M1 V			
0317	Insec	A421542-E	He Ni Po FlorW Ht	{ 2 }	(A46-2)	[171A]	-	KM	-	903	11	FlLe	M8 V M9 V			
0318	Fissolon	E69A742-8	Wa Pi FlorW	{ -2 }	(E66-5)	[3514]	-	-	-	105	13	FlLe	F7 V			
0319	Kabal	B587147-B	Lo FlorW	{ 2 }	(802+2)	[135B]	-	KM	-	514	16	FlLe	F8 V D			
0320	Cimmen	E7C0140-9	He Lo FlorW	{ -2 }	(400-5)	[1114]	-	-	-	601	9	AsXX	M2 V M3 V			
0415	Tibolt	C575744-8	Ag Pi FlorW	{ 0 }	(968-2)	[5736]	-	-	-	600	12	FlLe	F2 V M3 V			
