Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Beyo	A	0102	Station One	E552100-8		Lo Po Da	A	700	MaCl	F5 V	{ }	( ) 	[ ]		 	 
Beyo	A	0103	 	???????-?	 	 		???	??	G0 V M5 V	{ }	( ) 	[ ]		 	 
Beyo	A	0104	Barba Amarilla	D540234-9		De He Ni Po		601	MaCl	G6 V	{ }	( ) 	[ ]		 	 
Beyo	A	0105	Salimar	C86763A-A	KV	Ag Ni Ga Ri		300	MaCl	F6 V	{ }	( ) 	[ ]		 	 
Beyo	A	0108	Lanthesandra	X945000-0		Ag Ni		300	NaHu	F7 V M3 V M1 V	{ }	( ) 	[ ]		 	 
Beyo	A	0110	La Luz Negra	C833684-9		Na Ni Po		700	NaHu	G8 V M4 V	{ }	( ) 	[ ]		 	 
Beyo	E	0111	Quiatenon	D67A570-4		Ni Wa EslyW		400	CA	G4 V	{ }	( ) 	[ ]		 	 
Beyo	E	0112	G'Henna	B5487FA-A		Ag Pi EslyW		300	CA	F2 V	{ }	( ) 	[ ]		 	 
Beyo	E	0114	Al Mushtan	C869363-8		Lo EslyW O:0112		200	CA	F5 V M2 V	{ }	( ) 	[ ]		 	 
Beyo	E	0119	Sha'anoe	B863788-B		Ri Pz	A	100	NaHu	F1 V	{ }	( ) 	[ ]		 	 
Beyo	I	0122	Rabanitas	A869944-6		Lo		700	NaHu	G6 V	{ }	( ) 	[ ]		 	 
Beyo	I	0124	Lyheric	E425834-7		Hi In		700	NaHu	F9 V	{ }	( ) 	[ ]		 	 
Beyo	I	0126	George Heap	C558621-7		Ag Ni		600	NaHu	F5 V	{ }	( ) 	[ ]		 	 
Beyo	M	0134	 	???????-?	 	 		???	??	F3 V	{ }	( ) 	[ ]		 	 
Beyo	M	0137	 	???????-?	 	 		???	??	F1 V	{ }	( ) 	[ ]		 	 
Beyo	A	0202	 	???????-?	 	 		???	??	F7 V	{ }	( ) 	[ ]		 	 
Beyo	A	0203	 	???????-?	 	 		???	??	F3 V M1 V	{ }	( ) 	[ ]		 	 
Beyo	A	0204	 	???????-?	 	 		???	??	F6 V M3 V	{ }	( ) 	[ ]		 	 
Beyo	A	0205	Alpha Centre	B668778-8		Ag Ri		700	MaCl	F5 V	{ }	( ) 	[ ]		 	 
Beyo	A	0207	 	???????-?	 	 		???	??	G9 V M4 V F0 V F5 V	{ }	( ) 	[ ]		 	 
Beyo	A	0209	 	???????-?	 	 		???	??	F1 V M1 V	{ }	( ) 	[ ]		 	 
Beyo	E	0212	 	???????-?	 	 		???	??	M1 V	{ }	( ) 	[ ]		 	 
