Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dagu	A	0103	Kashmiir	X96876D-7	 	   Ag Ri Cp (NIL)	B	313	ImDv	M1 V M2 V	0	(969+2)	[B737]	BCF	10	972
Dagu	A	0105	Kedaa	D551401-5	 	   Ni Po 	B	202	ImLc	M0 V	-3	(630-4)	[1147]	B	6	-72
Dagu	A	0106	Akimu	X9B6000-9	 	   Di Fl (ENIL)		003	ImLc	K9 V	-2	(E00-3)	[0000]	B	8	-42
Dagu	A	0108	Zukchurukh	E582874-7	 	   Ph Ri (NIL)		815	ImLc	M2 V	-1	(A71+1)	[C777]	BCe	9	70
Dagu	A	0109	Tscho	E68587C-8	 	  Ga Pa Ri Ph (NIL)		104	ImLc	K2 V M3 V	-1	(D73+2)	[5797]	BcCe	12	546
Dagu	A	0110	Kaza	E542558-6	 	  He Ni Po 		524	ImLc	G4 V	-3	(741+2)	[6264]	B	10	56
Dagu	E	0111	Upag	X310000-F	 	    Di 		014	ImLc	M0 V	-1	(H00+1)	[0000]	B	8	17
Dagu	E	0113	Teoech	E977431-6	 	   Ni Pa 		602	ImDv	M1 V	-3	(531-2)	[4154]	Bc	11	-30
Dagu	E	0115	Chathi	X8C3000-9	 	   Di Fl 		010	ImDv	K4 V	-2	(500+1)	[0000]	B	14	5
Dagu	E	0117	Gwi	X563478-6	 	    Ni 		412	ImDv	M0 V M7 V	-3	(333+2)	[1134]	B	14	54
Dagu	I	0123	Nueva Esperanza	X555232-2	 	    Lo 		623	ImDv	M1 V M8 V	-3	(410+2)	[1131]	B	14	8
Dagu	I	0126	Coroico	D665310-4	 	   Ga Lo 		114	ImAp	K5 V M7 V	-3	(520+1)	[1147]	B	13	10
Dagu	I	0129	Ushkhir	X724000-7	 	    Di 		003	ImAp	M0 V	-3	(500-1)	[0000]	B	12	-5
Dagu	M	0137	Ekha	X568202-4	 	    Lo 	B	204	ImDv	K2 V	-3	(210-2)	[2125]	B	17	-4
Dagu	M	0138	Altamachi	X201000-D	 	   Di Ic Va 		012	ImDv	K0 V	-1	(700+2)	[0000]	B	16	14
Dagu	A	0201	Nuikh	X310000-F	 	    Di 		010	ImDv	K9 V	-1	(500+1)	[0000]	B	12	5
Dagu	A	0202	Osakis	X67576D-3	 	    Ag Pi (NIL)	B	603	ImDv	M2 V	-1	(663+1)	[6647]	BCD	7	108
Dagu	A	0208	Mimu	X583000-0	 	    Ba (NIL)		014	ImLc	F8 V	-3	(C00+2)	[0000]	B	8	24
Dagu	A	0210	Rathas	X95A246-3	 	   Lo Wa (NIL)	B	403	ImLc	M2 V M6 V	-3	(A10-3)	[2112]	B	10	-30
Dagu	E	0211	Iliika	X436000-D	 	    Di 		024	ImLc	M0 V M7 V	-1	(E00+1)	[0000]	B	11	14
Dagu	E	0212	Khikaeg	E5656A7-4	 	   Ag Ri Ni 		604	ImDv	M1 V	-1	(453+1)	[95A2]	BC	11	60
Dagu	E	0213	Aaki	X434000-D	 	    Di 		023	ImDv	G7 V	-1	(C00-2)	[0000]	B	9	-24
Dagu	E	0214	Cablu	X548400-6	 	   Ni Pa 		600	ImDv	K1 V	-3	(730-3)	[21A5]	Bc	13	-63
Dagu	E	0216	Oewni	C564425-3	 	  Mr Ni Pa 		222	ImDv	K5 V M2 V M5 V	-2	(630+4)	[4251]	Bc	7	72
Dagu	E	0217	Fau	X423000-A	 	   Di Po (NIL)		000	ImDv	K5 V M7 V	-1	(900-4)	[0000]	B	9	-36
Dagu	I	0222	Maq'appav	X200000-D	 	   Di Va 		014	ImAp	M2 V	-1	(A00+4)	[0000]	B	9	40
Dagu	I	0223	Shammud	E54627A-6	 	    Lo 		903	ImAp	K5 IV M1 V	-3	(310+2)	[1146]	B	10	6
Dagu	I	0227	Ekhor	X7A8000-9	 	   Di Fl 		003	ImAp	M2 V	-2	(A00-1)	[0000]	B	8	-10
Dagu	I	0228	Kaattji	D545346-4	 	    Lo 		803	ImAp	M2 V	-3	(420+1)	[5148]	B	12	8
Dagu	I	0229	Hu	X8B6000-A	 	   Di Fl 		003	ImAp	M3 V	-1	(900+1)	[0000]	B	11	9
Dagu	I	0230	Dudin	X9CA000-E	 	   Di Fl (ENIL)		000	ImAp	M2 V	-1	(B00-1)	[0000]	B	8	-11
Dagu	M	0232	Danse	X9B4000-8	 	   Di Fl (ENIL)		002	ImDv	K3 V	-3	(B00-1)	[0000]	B	10	-11
Dagu	M	0235	Gaad	E778445-4	 	   Ni Pa 	B	603	ImDv	M0 V M1 V	-3	(733+1)	[2184]	Bc	16	63
Dagu	M	0236	Feym'n	X435000-6	 	    Di (NIL)		024	ImDv	M0 V M3 V	-3	(400+3)	[0000]	B	10	12
Dagu	M	0240	Bolivar	X78696B-9	 	 Cp Ga Hi Pr (NIL)		814	ImDv	K1 V M9 V	0	(G83+2)	[A94A]	BcEF	11	768
Dagu	A	0301	Halimaa	X6B8000-8	 	  An Di Fl 		012	ImDv	F7 V	-3	(A00-3)	[0000]	B	8	-30
Dagu	A	0302	Karrana'ch	D555522-7	 	   Ag Ni 	B	503	ImDv	M0 V M7 V	-2	(740+1)	[8399]	BC	6	28
Dagu	A	0307	Manoh	X000000-A	 	   As Va Di 		013	ImLc	M7 V	-1	(C00-2)	[0000]	B	10	-24
Dagu	E	0311	Unishpiir	X86A698-7	 	  Ni Ri Wa (NIL)		704	ImLc	G1 V M4 V	-2	(B52+1)	[5444]	BC	9	110
Dagu	E	0319	Sagikii	X100000-9	 	   Di Va 		002	ImDv	K4 V M5 V	-2	(C00+2)	[0000]	B	13	24
Dagu	E	0320	Adaskaglu	X544203-3	 	    Lo (NIL)		123	ImDv	K9 V M9 V	-3	(A10-3)	[1131]	B	8	-30
Dagu	I	0321	Hoaz	X545452-4	 	  An Re Ni Pa 		300	ImDv	M2 V	-3	(633+1)	[2191]	Bc	13	54
Dagu	I	0322	Tsuchi	X310000-B	 	    Di 		015	ImAp	M2 V	-1	(A00-5)	[0000]	B	15	-50
Dagu	I	0323	Biik	X557533-4	 	   Ag Ni (NIL)		323	ImDv	K1 V M2 V	-2	(C44+5)	[7313]	BC	11	960
Dagu	I	0324	Khadda	X421000-9	 	  Di He Po 		003	ImDv	K4 V M3 V	-2	(700+2)	[0000]	B	12	14
Dagu	I	0325	Giirakh	X9867BA-5	 	    Ag Ri (NIL)	B	720	ImDv	G0 V	0	(965+1)	[B765]	BC	13	270
Dagu	I	0329	Syrna	X9668A8-5	 	   Pa Ri Ph (NIL)	B	613	ImAp	M2 V	-1	(A76-1)	[7758]	BcCe	14	-420
Dagu	M	0331	Kinhe	X79A301-5	 	   Lo Wa 		404	ImAp	K2 V	-3	(420+3)	[2113]	B	11	24
Dagu	A	0401	Ges	X868443-3	 	   Ni Pa 	B	403	ImDv	G4 V M9 V	-3	(333-1)	[2161]	Bc	12	-27
Dagu	A	0402	Serpent's Reach	X669767-4	 	    Ri (NIL)	B	414	ImDv	K1 V M0 V	-1	(963-1)	[7651]	BC	8	-162
Dagu	A	0405	Tree'chuakh	X78976A-1	 	    Ri (NIL)	B	710	ImLc	M1 V M3 V	-1	(967-1)	[2653]	BC	12	-378
Dagu	A	0406	Muikha	X000000-E	 	   As Va Di 		022	ImLc	K4 V M0 V	-1	(B00-2)	[0000]	B	11	-22
