Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Daib	E	0112	Korik	X200000-E	 	   Di Va 		003	ImDi	M0 V	-1	(900+1)	[0000]	B	11	9
Daib	E	0114	Woomera	X58396A-3	 	  Cp Hi Pr (NIL)	B	500	ImDi	K3 V	-1	(B87+1)	[7844]	BcEF	10	616
Daib	E	0120	Illyana	X100000-E	 	   Di Va 		003	ImDi	M2 V	-1	(900+5)	[0000]	B	13	45
Daib	I	0122	Zypher	E78A676-7	 	  Ni Ri Wa 	B	302	ImDi	K3 V	-2	(851-2)	[6436]	BC	8	-80
Daib	I	0123	Luna	X100000-F	 	   Di Va 		004	ImDi	M2 V	-1	(A00+3)	[0000]	B	8	30
Daib	I	0124	Ostia	X888200-3	 	    Lo 		614	ImDi	K6 V	-3	(310+3)	[3161]	B	8	9
Daib	I	0126	Ashima	X749200-0	 	    Lo (NIL)		701	ImDi	M1 V M7 V	-3	(B10-2)	[6182]	B	14	-22
Daib	I	0127	Sineli	X526000-E	 	    Di 		003	ImDi	K0 V	-1	(900-2)	[0000]	B	7	-18
Daib	M	0131	Townend	X410000-B	 	   Di Re 		013	ImDi	K2 V M3 V	-1	(A00-2)	[0000]	B	8	-20
Daib	M	0133	Cynowa	X310000-B	 	    Di 		013	ImDi	M2 V M3 V	-1	(B00-4)	[0000]	B	11	-44
Daib	M	0138	Elk	X100000-C	 	   Di Va 		014	SoCf	M0 V M0 V	-1	(B00+1)	[0000]	B	13	11
Daib	M	0139	Uston	X100000-E	 	   Di Va 		002	SoWu	F4 V	-1	(E00-2)	[0000]	B	13	-28
Daib	M	0140	Aston	X000000-E	 	  As Va Cp Di 		005	SoCf	M0 V	-1	(C00-5)	[0000]	BF	18	-60
Daib	A	0210	Grumith	X8D5000-8	 	    Di 		023	ImDi	M2 V	-3	(A00+1)	[0000]	B	11	10
Daib	E	0220	Shinnar	X100000-F	 	   Di Va 		004	ImDi	K0 IV M3 V	-1	(A00+2)	[0000]	B	11	20
Daib	I	0223	Locri	X98A546-5	 	  Ni Pr Wa 	B	524	ImDi	M1 V M1 V	-3	(740-1)	[6273]	Bc	9	-28
Daib	I	0228	Iulii	E855320-5	 	   Ga Lo 	B	110	ImDi	M0 V M1 V	-3	(520+1)	[7139]	B	9	10
Daib	M	0236	Diana's World	X56656E-1	 	   Ag Pr Ni 	B	303	SoCf	K0 V	-2	(740+1)	[4382]	BcC	11	28
Daib	M	0237	Odin	X310000-E	 	    Di 		034	SoCf	G0 V M1 V	-1	(E00+1)	[0000]	B	18	14
Daib	M	0240	Magyar	X424000-A	 	    Di (NIL)		003	SoCf	M0 V	-1	(C00-2)	[0000]	B	10	-24
Daib	E	0316	Nyola	X766311-4	 	   Ga Lo 	B	124	ImDi	F4 V M7 V	-3	(420+2)	[3156]	B	10	16
Daib	E	0317	L'kus	X967569-3	 	   Ag Pr Ni 	B	402	ImDi	M0 V M6 V	-2	(744+3)	[A377]	BcC	11	336
Daib	E	0320	Vonid	X300000-A	 	   Di Va 		002	ImDi	M1 V	-1	(800+2)	[0000]	B	13	16
Daib	I	0323	Persistance	X432000-9	 	   Di Po 		004	ImDi	G7 V	-2	(900+1)	[0000]	B	9	9
Daib	I	0324	Troy	X774445-3	 	   Ni Pa 		220	ImDi	K0 V M1 V	-3	(630-4)	[5136]	Bc	12	-72
Daib	I	0326	Depot	X9B9000-F	 	  Di Fl Mr 		014	ImDi	M1 V M9 V	-1	(C00-1)	[0000]	B	11	-12
Daib	I	0327	Delphi	X94A201-4	 	   Lo Wa 		705	ImDi	K2 V	-3	(310-2)	[4161]	B	15	-6
Daib	I	0328	Haajar	X997686-5	 	   Ag Ni 	B	214	ImDi	M3 V M4 V	-2	(351-3)	[7437]	BC	13	-45
Daib	I	0330	Riedigar	X200000-9	 	   Di Va 		004	ImDi	M1 V	-2	(800-2)	[0000]	B	14	-16
Daib	M	0332	Selket	X684135-5	 	    Lo 	B	704	ImDi	M1 V	-3	(500+3)	[2144]	B	13	15
Daib	M	0333	Seti IV	X56656A-6	 	   Ag Pr Ni 		402	ImDi	K0 V M1 V	-2	(743-2)	[6383]	BcC	12	-168
Daib	M	0334	Handel	E998334-6	 	    Lo 		803	ImDi	M0 V M4 V	-3	(520+3)	[3155]	B	15	30
Daib	M	0335	Tolkien	X878446-4	 	   Ni Pa 	B	305	ImDi	G2 V	-3	(631+1)	[5166]	Bc	8	18
Daib	M	0339	Deir el-Medina	X525000-B	 	    Di 		004	SoCf	M3 V M6 V	-1	(C00-1)	[0000]	B	10	-12
Daib	A	0407	Perishan	X300000-E	 	   Di Va 		023	NaHu	M0 V M6 V	-1	(900+4)	[0000]	B	16	36
Daib	A	0409	Eola	X76A100-5	 	   Lo Wa 	B	202	ImDi	M1 V M2 V	-3	(300-2)	[1195]	B	11	-6
Daib	A	0410	Jurin	X85A200-0	 	   Lo Wa 	B	503	ImDi	M2 V	-3	(310-2)	[4163]	B	9	-6
Daib	E	0411	Skyia	X562445-3	 	    Ni 		203	ImDi	M0 V M2 V M0 V	-3	(330+3)	[2141]	B	10	27
