Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Delp	A	0102	Murphy	E544420-4	 	   Ni Pa 		601	ImDc	M0 V	-3	(631-3)	[9158]	Bc	11	-54
Delp	A	0103	Oxnard	X6756AC-5	 	   Ag Ni 	B	624	ImDc	M2 V M6 V	-2	(250-1)	[3463]	BC	15	-10
Delp	A	0105	Dunlap	X575177-2	 	    Lo 	B	204	ImDc	K3 V M8 V	-3	(400+2)	[31A5]	B	15	8
Delp	A	0106	Wrall	X100000-9	 	   Di Va 		000	ImDc	M2 V	-2	(700-2)	[0000]	B	6	-14
Delp	A	0107	McPherson	D56467C-7	 	  Ag Ri Cp Ni 		403	ImDc	K4 V	-1	(852+2)	[659A]	BCF	10	160
Delp	A	0108	Kornag	X310000-9	 	    Di 		020	ImDc	G4 V M2 V	-2	(600+1)	[0000]	B	12	6
Delp	A	0109	Freyja	X435000-9	 	    Di 		000	ImDc	G7 V	-2	(700-2)	[0000]	B	9	-14
Delp	A	0110	Ravenkin	X310000-9	 	    Di 		003	ImDc	M0 V M6 V	-2	(A00-2)	[0000]	B	6	-20
Delp	E	0112	Catan	E679373-7	 	    Lo 		904	ImDc	M2 V M7 V	-3	(520-4)	[5158]	B	10	-40
Delp	E	0114	Leng-Hioh	X100000-7	 	   Di Va 		023	ImDc	M0 V	-3	(200-4)	[0000]	B	11	-8
Delp	E	0118	Doghailen	X541486-5	 	  He Ni Po 		220	ImDc	G2 V M2 V	-3	(432-5)	[3133]	B	13	-120
Delp	I	0122	Aprapo	X310000-8	 	    Di 		003	ImDc	M7 III	-3	(D00+2)	[0000]	B	6	26
Delp	I	0123	Cosimio	E667200-7	 	   Ga Lo 		803	ImDc	G0 V	-3	(410+1)	[3164]	B	15	4
Delp	I	0127	Kirby	D893101-7	 	    Lo 		603	ImDc	G2 V	-3	(300-1)	[6147]	B	14	-3
Delp	I	0129	Walden	X687723-4	 	   Ag Ri Ga (NIL)	B	633	ImDc	G1 V	0	(367+4)	[B742]	BC	12	504
Delp	M	0133	Cey	X310000-9	 	    Di 		012	ImDc	M6 V M8 V	-2	(600-3)	[0000]	B	8	-18
Delp	M	0134	Iimnime	X76799C-3	 	  Ga Hi Pr (NIL)	B	423	ImDc	M1 V	-1	(68B+1)	[B861]	BcE	13	528
Delp	M	0138	Dashuun	X577778-5	 	    Ag Pi (NIL)		612	ImDc	G0 V M8 V	-1	(964-4)	[3644]	BCD	9	-864
Delp	M	0139	Bditri	X310000-8	 	    Di 		012	ImDc	G2 V	-3	(C00-2)	[0000]	B	13	-24
Delp	M	0140	Critzer	X524000-7	 	    Di 		001	ImDc	M1 V M9 V	-3	(300+1)	[0000]	B	11	3
Delp	A	0202	Ewoin	X664877-2	 	   Pa Ri Ph (NIL)	B	304	ImDc	M3 V	-1	(674+4)	[7792]	BcCe	9	672
Delp	A	0204	Per	X100000-D	 	   Di Va 		025	ImDc	M2 V	-1	(E00-1)	[0000]	B	11	-14
Delp	A	0205	Dareene	X526000-7	 	    Di 		025	ImDc	M1 V	-3	(200+1)	[0000]	B	10	2
Delp	A	0209	Waconthaco	E6936AD-7	 	    Ni 	B	301	ImDc	M2 V M8 V	-3	(752-1)	[4355]	B	11	-70
Delp	A	0210	Ceileachan	X428000-8	 	    Di (NIL)		003	ImDc	K1 V	-3	(D00+1)	[0000]	B	7	13
Delp	E	0211	Ildwater	X310000-7	 	    Di 		024	ImDc	M0 V M2 V	-3	(200+1)	[0000]	B	12	2
Delp	E	0214	Moravia	X627000-7	 	    Di 		001	ImDc	M0 V	-3	(400+1)	[0000]	B	11	4
Delp	E	0218	Linor	D544510-7	 	   Ag Ni 		524	ImDc	M0 V	-2	(742-2)	[538A]	BC	9	-112
Delp	E	0219	Yildiz	E566410-5	 	   Ni Pa 		205	ImDc	M0 V M4 V	-3	(231+5)	[4179]	Bc	12	30
Delp	E	0220	Winnie	X100000-D	 	   Di Va 		010	ImDc	M0 V M2 V	-1	(400-4)	[0000]	B	14	-16
Delp	I	0222	Duana	X653354-5	 	   Lo Po 		604	ImDc	K1 V M9 V	-3	(420-1)	[4132]	B	8	-8
Delp	I	0225	Monmouth	X893136-4	 	    Lo 		423	ImDc	K6 V M1 V	-3	(200-2)	[3125]	B	11	-4
Delp	I	0226	Bishan	X769975-4	 	   Hi Pr (NIL)	B	404	ImDc	M1 V	-1	(786-3)	[8835]	BcE	8	-1008
Delp	I	0228	Koenig	D79267A-8	 	   He Ni (NIL)	B	703	ImDc	M1 V	-3	(D52+2)	[637A]	B	14	260
Delp	M	0238	Facendaa	X200000-7	 	   Di Va 		001	ImDc	A4 V D	-3	(700-4)	[0000]	B	13	-28
Delp	A	0303	Ziraa	E5558BC-6	 	   Pa Ph (NIL)	B	114	ImDc	K6 V	-2	(674-2)	[C658]	Bce	13	-336
Delp	A	0310	Irishmen	D547676-5	 	   Ag Ni 	B	405	ImDc	M1 V M6 V	-2	(351+1)	[4464]	BC	10	15
Delp	E	0311	Croftes	E676223-6	 	    Lo 		501	ImDc	K3 V	-3	(310+3)	[5139]	B	5	9
Delp	E	0312	Font	X557545-3	 	   Ag Ni 	B	204	ImDc	M2 V	-2	(344+1)	[4345]	BC	11	48
Delp	E	0313	Zukhimi	X427000-B	 	   Cp Di (NIL)		013	ImDc	M2 V M7 V	-1	(F00-3)	[0000]	BF	15	-45
Delp	E	0314	Soranal	C687387-7	 	   Ga Lo 		600	ImDc	G1 V M1 V	-2	(520+1)	[515A]	B	10	10
Delp	E	0316	Hlutwig	D577745-3	 	    Ag Pi (NIL)		505	ImDc	K3 V	-1	(464-1)	[4621]	BCD	8	-96
Delp	E	0317	Bootes	X310000-C	 	    Di 		020	ImDc	K0 V	-1	(A00+3)	[0000]	B	11	30
Delp	E	0319	McCallum	X786885-1	 	  Ga Pa Ri Ph (NIL)	B	712	ImDc	M0 V M4 V	-1	(779+1)	[C761]	BcCe	10	441
Delp	E	0320	Dyce	X432000-9	 	   Di Po 		002	ImDc	K4 V	-2	(900-3)	[0000]	B	12	-27
Delp	I	0328	Napoleonic	X423000-7	 	   Di Po 		004	ImDc	M1 V M3 V	-3	(400+2)	[0000]	B	13	8
Delp	I	0329	Aklan	X573302-4	 	    Lo (NIL)		703	ImDc	K2 V M3 V	-3	(B20+1)	[6148]	B	12	22
Delp	I	0330	Zarkov	E777854-3	 	   Pa Pi Ph (NIL)	B	622	ImDc	M2 V	-2	(674-1)	[5664]	BcDe	7	-168
Delp	M	0332	Vessaal	D58377A-6	 	    Ri 		123	ImDc	M1 V M3 V	-1	(364-3)	[A66A]	BC	9	-216
Delp	M	0334	Huette	X655420-7	 	  Ga Ni Pa 		303	ImDc	K1 V M4 V	-3	(633+1)	[1142]	Bc	9	54
Delp	M	0339	Zeno	E591675-7	 	   He Ni 		503	ImDc	M1 V	-3	(550-1)	[5317]	B	11	-25
Delp	A	0401	Lloyd	X994477-4	 	   Ni Pa 	B	425	ImDc	G2 V M0 V	-3	(233+1)	[7147]	Bc	10	18
Delp	A	0403	Raritan	X573446-6	 	    Ni 		504	ImDc	K2 V M6 V M1 V	-3	(631+5)	[1157]	B	12	90
Delp	A	0407	Naldo	E6649BA-7	 	   Hi Pr (NIL)	B	100	ImDc	K3 V	-1	(A85+1)	[9849]	BcE	9	400
Delp	A	0410	Wade	E645202-6	 	    Lo 		713	ImDc	M3 V M6 V	-3	(210+1)	[4123]	B	13	2
Delp	E	0411	Ffort	X66A536-4	 	  Ni Pr Wa 	B	212	ImDc	G6 V M5 V	-3	(440+1)	[3222]	Bc	13	16
Delp	E	0413	Orlando	X673778-6	 	    Pi (NIL)		820	ImDc	M1 V M2 V	-2	(764+2)	[A528]	BD	14	336
Delp	E	0415	Althea	E88A343-8	 	   Lo Wa 		404	ImDc	M3 V M3 V	-3	(920-3)	[819B]	B	10	-54
Delp	I	0421	Withern	X100000-B	 	   Di Va 		003	ImDc	M2 V M9 V	-1	(E00-1)	[0000]	B	7	-14
Delp	I	0422	Dunk	X769210-2	 	    Lo (NIL)	B	613	ImDc	G3 V	-3	(C10+4)	[5196]	B	11	48
Delp	I	0423	Byrd	X300000-D	 	   Di Va 		000	ImDc	A9 V	-1	(500-3)	[0000]	B	9	-15
Delp	I	0425	Steinngium	X632000-6	 	   Di Po 		004	ImDc	F3 V	-3	(200-3)	[0000]	B	14	-6
Delp	I	0427	Irys	C889500-4	 	   Ni Pr 	B	205	ImDc	M0 V M5 V M2 V	-2	(741-3)	[7334]	Bc	11	-84
Delp	I	0429	Ray	X310000-9	 	    Di 		000	ImDc	M0 V M3 V	-2	(700+3)	[0000]	B	9	21
Delp	M	0431	Plauka	X695126-5	 	    Lo 		104	ImDc	K1 V M1 V	-3	(200+4)	[5176]	B	13	8
Delp	M	0436	Regis	D566567-4	 	   Ag Pr Ni 	B	503	ImDc	M2 V	-2	(844+1)	[6315]	BcC	16	128
Delp	M	0437	Pavillion	X54476E-3	 	    Ag Pi (NIL)	B	703	ImDc	K3 V M3 V M5 V	-1	(665+4)	[5631]	BCD	6	720
Delp	M	0438	Gushamad	X200000-A	 	   Di Va 		023	ImDc	M3 V M9 V	-1	(G00-3)	[0000]	B	14	-48
Delp	A	0505	Dreyfuss	X310000-C	 	    Di 		003	ImDc	G0 V	-1	(800-2)	[0000]	B	10	-16
Delp	A	0506	Theresann	E678675-5	 	   Ag Ni 		904	ImDc	M3 V	-2	(451-1)	[4466]	BC	13	-20
Delp	A	0508	Iason	D979434-5	 	    Ni 		500	ImDc	M2 V M3 V	-3	(631-1)	[7176]	B	13	-18
Delp	A	0510	Pabst	X000000-8	 	   As Va Di 		032	ImDc	M2 V M3 V	-3	(D00-2)	[0000]	B	9	-26
Delp	E	0511	Warmage	X000000-C	 	  As Va Di Mr 		014	ImDc	M3 V	-1	(D00+1)	[0000]	B	8	13
Delp	E	0512	Wart	X000000-C	 	   As Va Di 		034	ImDc	G2 V M4 V	-1	(G00+5)	[0000]	B	10	80
Delp	E	0514	Venus	X66A699-8	 	  Ni Ri Wa 		805	ImDc	M1 V M3 V	-2	(D52+2)	[6425]	BC	9	260
Delp	E	0515	Stoneburner	X591778-5	 	   He Pi (NIL)	B	302	ImDc	K7 V	-2	(963-1)	[9577]	BD	14	-162
Delp	E	0516	De Rome	X54156B-4	 	  He Ni Po (NIL)	B	500	ImDc	M3 V	-3	(A43-2)	[3272]	B	7	-240
Delp	E	0520	Ashland	X87956C-4	 	    Ni 	B	303	ImDc	M3 V	-3	(743+1)	[6227]	B	14	84
Delp	I	0523	Ziina	X423000-7	 	   Di Po (NIL)		003	ImDc	K4 V M9 V	-3	(800+1)	[0000]	B	14	8
Delp	I	0527	Hadamard	X100000-9	 	   Di Va 		023	ImDc	G7 V	-2	(900-2)	[0000]	B	9	-18
Delp	I	0528	Valli	D5628AA-6	 	   Ph Ri (NIL)		204	ImDc	M1 V	-1	(676+3)	[8762]	BCe	15	756
Delp	M	0532	Piinur	X200000-7	 	   Di Va 		000	ImDc	K4 V M0 V	-3	(700+1)	[0000]	B	12	7
Delp	M	0533	Korbak	X432000-B	 	  Cp Di Po 		013	ImDc	F9 V	-1	(900+1)	[0000]	BF	13	9
Delp	M	0534	Eta-Gu	X73A000-E	 	   Di Wa 		002	ImDc	M1 V	-1	(900+1)	[0000]	B	10	9
Delp	M	0536	Ektuurim	E78879B-3	 	    Ag Ri (NIL)	B	803	ImDc	M0 V	0	(667+1)	[A743]	BC	7	252
Delp	M	0537	Uowdin	X310000-7	 	    Di 		005	ImDc	K3 V M5 V	-3	(200+1)	[0000]	B	15	2
Delp	A	0603	Iaian	X768427-1	 	   Ni Pa 	B	223	ImDc	M2 V M6 V	-3	(230+4)	[5171]	Bc	9	24
Delp	A	0605	Ader	X874000-7	 	    Di (NIL)		004	ImDc	M1 V	-3	(800+4)	[0000]	B	9	32
Delp	A	0607	Walters	X100000-9	 	   Di Va 		014	ImDc	M0 V	-2	(E00+1)	[0000]	B	14	14
Delp	E	0616	Chapman	D566211-7	 	    Lo 		913	ImDc	G6 V M9 V	-3	(310+4)	[7175]	B	12	12
Delp	E	0618	Magveil	D675500-5	 	   Ag Ni 		405	ImDc	K2 V M3 V	-2	(743-3)	[1392]	BC	10	-252
Delp	I	0623	Ychea	X427000-D	 	   Cp Di (NIL)		002	ImDc	K0 V	-1	(D00-1)	[0000]	BF	7	-13
Delp	I	0625	Xaviar	X561554-3	 	   Ni Pr 	B	403	ImDc	G3 V	-3	(743+1)	[8272]	Bc	11	84
Delp	I	0627	Laura	D555123-3	 	    Lo 		703	ImDc	G4 V M4 V	-3	(200+3)	[3113]	B	9	6
Delp	I	0630	Knightsbridge	X725000-7	 	    Di 		020	ImDc	M1 V	-3	(300-4)	[0000]	B	7	-12
Delp	M	0631	Altoveros	X896455-1	 	   Ni Pa 	B	215	ImDc	M1 V M9 V	-3	(231-2)	[2151]	Bc	9	-12
Delp	M	0637	Harwart	X310000-9	 	    Di 		005	ImDc	M3 V	-2	(B00-3)	[0000]	B	12	-33
Delp	M	0639	Braaza	D574544-6	 	   Ag Ni 		323	ImDc	K7 V	-2	(742-2)	[2313]	BC	13	-112
Delp	A	0701	Jazz	X421000-7	 	  Di He Po (NIL)		000	ImDc	M1 V	-3	(900-4)	[0000]	B	12	-36
Delp	A	0702	Newcastle	X634000-6	 	    Di 		015	ImDc	M0 V	-3	(200+1)	[0000]	B	15	2
Delp	A	0703	Krishnan	C57827B-8	 	    Lo 		802	ImDc	M0 V	-2	(510-3)	[118C]	B	6	-15
Delp	A	0705	Deng	X645799-4	 	    Ag Pi (NIL)	B	204	ImDc	M0 V	-1	(567-2)	[8627]	BCD	7	-420
Delp	A	0706	Everglades	X99A67B-4	 	   Ni Wa 	B	905	ImDc	M3 V M6 V	-3	(851+1)	[7369]	B	12	40
Delp	A	0709	Modesta	D857400-4	 	  Ga Ni Pa 	B	403	ImDc	M2 V	-3	(631+1)	[4194]	Bc	15	18
Delp	E	0712	Addis	X694799-5	 	    Ag Pi 		104	ImDc	G6 V	-1	(468+3)	[3646]	BCD	13	576
Delp	E	0713	Durrell	D544355-7	 	    Lo 		811	ImDc	K1 V	-3	(520-2)	[2158]	B	11	-20
Delp	E	0715	Heine	X98A301-0	 	   Lo Wa 	B	703	ImDc	M1 V	-3	(420+1)	[2174]	B	16	8
Delp	E	0716	Pragon	D757752-6	 	   Ag Ga 	B	123	ImDc	K3 V	-1	(362-2)	[4685]	BC	9	-72
Delp	E	0717	Distant Smoke	X58358B-4	 	   Ni Pr 		204	ImDc	K7 V M3 V	-3	(740-4)	[62A5]	Bc	9	-112
Delp	E	0719	Hearst	D557640-7	 	   Ag Ni 		204	ImDc	M0 V M6 V	-2	(454+1)	[7452]	BC	10	80
Delp	I	0721	T'Ch'aikotta	E571676-4	 	   He Ni 	B	304	ImDc	M3 V M5 V	-3	(450+3)	[9361]	B	16	60
Delp	I	0722	Ituxi	XA79400-3	 	    Ni 	B	502	ImDc	K1 V	-3	(733-1)	[6181]	B	6	-63
Delp	I	0723	Drinishok	X100000-F	 	   Di Va 		024	ImDc	M3 III	-1	(C00+4)	[0000]	B	9	48
Delp	I	0724	McAllister	C574510-7	 	   Ag Ni 		505	ImDc	M1 V M5 V	-1	(740+3)	[6466]	BC	17	84
Delp	I	0725	Darniki	X624000-7	 	    Di (NIL)		004	ImDc	G3 V M7 V	-3	(700-2)	[0000]	B	9	-14
Delp	I	0730	Fforte	X435000-6	 	    Di 		024	ImDc	K2 V	-3	(200+3)	[0000]	B	13	6
Delp	M	0731	Moldovaan	X100000-8	 	   Di Va 		004	ImDc	K6 III M2 V	-3	(D00-1)	[0000]	B	9	-13
Delp	M	0732	Vashtii	X529000-F	 	    Di 		022	ImDc	K5 V M9 V	-1	(A00+1)	[0000]	B	11	10
Delp	M	0737	Patnor	X673430-3	 	    Ni 	B	304	ImDc	K0 V M3 V	-3	(630+1)	[2173]	B	11	18
Delp	M	0739	Altsuulervin	X100000-D	 	   Di Va 		003	ImDc	K2 V	-1	(C00-2)	[0000]	B	9	-24
Delp	A	0802	Darken	X310000-7	 	    Di 		004	ImDc	M0 V	-3	(300-4)	[0000]	B	15	-12
Delp	A	0803	Drumma	E565653-4	 	   Ag Ri Ni 	B	803	ImDc	G3 V	-1	(555-1)	[6515]	BC	13	-125
Delp	A	0804	Metellus	X310000-7	 	    Di 		002	ImDc	M1 V	-3	(300+4)	[0000]	B	12	12
Delp	E	0813	Capricorn	X421000-9	 	  Di He Po 		012	ImDc	K9 V	-2	(600+2)	[0000]	B	6	12
Delp	E	0814	Alpharats	X310000-E	 	    Di 		003	ImDc	M2 V M2 V	-1	(800-2)	[0000]	B	10	-16
Delp	E	0816	Vaksogh	X410000-8	 	    Di 		012	ImDc	M2 V	-3	(800-1)	[0000]	B	10	-8
Delp	E	0817	Orloft	X575327-1	 	    Lo 		703	ImDc	M1 V	-3	(220+1)	[8151]	B	15	4
Delp	E	0818	Durkee	X585769-4	 	    Ag Ri (NIL)	B	904	ImDc	K2 V M4 V	0	(967+5)	[6784]	BC	17	1890
Delp	I	0821	Parsifal	X310000-9	 	    Di 		004	ImDc	K4 III	-2	(D00-1)	[0000]	B	7	-13
Delp	I	0823	Herodotus	X100000-F	 	   Di Va 		004	ImDc	M2 V	-1	(A00+1)	[0000]	B	10	10
Delp	I	0826	Midelton	X300000-7	 	   Di Va 		013	ImDc	K4 V	-3	(600+1)	[0000]	B	10	6
Delp	I	0827	Cheng	C544778-8	 	    Ag Pi (NIL)		705	ImDc	M2 V M4 V	0	(F64+4)	[9778]	BCD	14	1440
Delp	I	0829	Breandan	X994641-7	 	   Ag Ni 	B	310	ImDc	M2 V	-2	(850+1)	[9466]	BC	8	40
