Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dias	A	0103	Aladon	X657866-1		 	B	904	Wi	G0 V	{ }	( )	[ ]	 	 	 
Dias	A	0104	Maxalla	X596303-0		Ni Lo		315	Wi	M1 V	{ }	( )	[ ]	 	 	 
Dias	A	0108	Sikora	X87456A-4		Ag Ni		304	Wi	K2 V	{ }	( )	[ ]	 	 	 
Dias	E	0111	Mosul	E5868BB-8		 	 	401	Wi	M1 V	{ }	( )	[ ]	 	 	 
Dias	E	0113	Toga	X674269-1		Ni Lo	 	312	Wi	K8 V M4 V	{ }	( )	[ ]	 	 	 
Dias	E	0114	Ainor Lisea	X77756E-4		Ni Ag	B	204	Wi	M3 V M9 V	{ }	( )	[ ]	 	 	 
Dias	E	0116	Karaguuka	D789674-5		Ni Chir3		114	Wi	G1 V M4 V	{ }	( )	[ ]	 	 	 
Dias	E	0117	Zeranga	X100000-0		Ba Va		004	 	A1 V	{ }	( )	[ ]	 	 	 
Dias	E	0120	Tomsk	X424000-0		Ba	 	013	 	M3 V M6 V	{ }	( )	[ ]	 	 	 
Dias	I	0121	Cod	X553211-3		Ni Po Lo		204	Wi	M2 V M3 V	{ }	( )	[ ]	 	 	 
Dias	M	0137	Keeper	X556300-7		Ni Lo		103	Wi	K9 V	{ }	( )	[ ]	 	 	 
Dias	M	0138	Ranushana	X100000-0		Ba Va		004	 	K3 V	{ }	( )	[ ]	 	 	 
Dias	M	0139	Kiev	X530000-0		Ba		002	 	M2 V	{ }	( )	[ ]	 	 	 
Dias	A	0202	Chipper	X792000-0	 	Ba Po		803	 	M3 V	{ }	( )	[ ]	 	 	 
Dias	A	0206	Rann	X89A8AB-8		Wa (Eershe'yaat)	B	314	Wi	K4 V	{ }	( )	[ ]	 	 	 
Dias	A	0207	Justi	X686446-0	 	Ni Lo	B	304	Wi	M2 V	{ }	( )	[ ]	 	 	 
