Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gush	I	0125		???????-?		 	 	???	??	M2 V	{} 	()	[]	 	 	 
Gush	I	0126		???????-?		 	 	???	??	K1 V	{} 	()	[]	 	 	 
Gush	I	0130		???????-?		 	 	???	??	G4 V M1 V	{} 	()	[]	 	 	 
Gush	M	0131		???????-?		 	 	???	??	K3 V	{} 	()	[]	 	 	 
Gush	M	0132		???????-?		 	 	???	??	K1 V M2 V	{} 	()	[]	 	 	 
Gush	M	0135		???????-?		 	 	???	??	K1 V	{} 	()	[]	 	 	 
Gush	M	0136		???????-?		 	 	???	??	M0 V	{} 	()	[]	 	 	 
Gush	M	0137		???????-?		 	 	???	??	M0 V M4 V	{} 	()	[]	 	 	 
Gush	M	0138		???????-?		 	 	???	??	G8 V M3 V M0 V	{} 	()	[]	 	 	 
Gush	M	0140		???????-?		 	 	???	??	M0 V M7 V	{} 	()	[]	 	 	 
Gush	I	0222		???????-?		 	 	???	??	K7 V	{} 	()	[]	 	 	 
Gush	I	0223		???????-?		 	 	???	??	M0 V	{} 	()	[]	 	 	 
Gush	I	0227		???????-?		 	 	???	??	M2 V	{} 	()	[]	 	 	 
Gush	I	0228		???????-?		 	 	???	??	M2 V M1 V	{} 	()	[]	 	 	 
Gush	I	0229		???????-?		 	 	???	??	K0 V M5 V	{} 	()	[]	 	 	 
Gush	I	0230		???????-?		 	 	???	??	K2 V M6 V M1 V	{} 	()	[]	 	 	 
Gush	M	0231		???????-?		 	 	???	??	M3 V D	{} 	()	[]	 	 	 
Gush	M	0233	Abaelou	D695310-7	 	Lo (Loeskalth)7 Ni		103	Wi	M1 V	{} 	()	[]	 	 	 
Gush	M	0236		???????-?		 	 	???	??	K7 V	{} 	()	[]	 	 	 
Gush	M	0237		???????-?		 	 	???	??	G4 V	{} 	()	[]	 	 	 
Gush	M	0239		???????-?		 	 	???	??	K9 V	{} 	()	[]	 	 	 
Gush	I	0327		???????-?		 	 	???	??	M0 V M7 V	{} 	()	[]	 	 	 
Gush	I	0328		???????-?		 	 	???	??	K8 V M8 V	{} 	()	[]	 	 	 
Gush	I	0329		???????-?		 	 	???	??	M0 V	{} 	()	[]	 	 	 
Gush	M	0332		???????-?		 	 	???	??	K2 V M8 V	{} 	()	[]	 	 	 
Gush	M	0333		???????-?		 	 	???	??	M0 V	{} 	()	[]	 	 	 
Gush	M	0334		???????-?		 	 	???	??	K3 IV M6 V	{} 	()	[]	 	 	 
Gush	M	0338		???????-?		 	 	???	??	G0 V M1 V	{} 	()	[]	 	 	 
Gush	M	0339		???????-?		 	 	???	??	K1 V M0 V	{} 	()	[]	 	 	 
Gush	I	0422		???????-?		 	 	???	??	K0 V	{} 	()	[]	 	 	 
Gush	I	0428		???????-?		 	 	???	??	K6 V	{} 	()	[]	 	 	 
Gush	M	0432		???????-?		 	 	???	??	K8 V M9 V	{} 	()	[]	 	 	 
Gush	M	0433		???????-?		 	 	???	??	M2 V	{} 	()	[]	 	 	 
Gush	M	0434		???????-?		 	 	???	??	M2 V	{} 	()	[]	 	 	 
Gush	M	0435		???????-?		 	 	???	??	K3 V	{} 	()	[]	 	 	 
