Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Hint	A	0101	 	???????-?		 		???	??	G0 V M8 V	{} 	() 	[]		  	 
Hint	A	0102	 	???????-?		 		???	??	M3 V	{} 	() 	[]		  	 
Hint	A	0104	 	???????-?		 		???	??	M3 V M5 V	{} 	() 	[]		  	 
Hint	E	0114	 	???????-?		 		???	??	M2 V M4 V	{} 	() 	[]		  	 
Hint	E	0116	 	???????-?		 		???	??	M2 V	{} 	() 	[]		  	 
Hint	E	0120	 	???????-?		 		???	??	K4 V	{} 	() 	[]		  	 
Hint	I	0123	 	???????-?		 		???	??	K4 V M4 V	{} 	() 	[]		  	 
Hint	I	0124	 	???????-?		 		???	??	K1 V M5 V	{} 	() 	[]		  	 
Hint	I	0126	 	???????-?		 		???	??	A4 V G6 V	{} 	() 	[]		  	 
Hint	I	0128	 	???????-?		 		???	??	G4 V	{} 	() 	[]		  	 
Hint	M	0131	Krevor	X200000-0		Ba Va		015	 	A2 V	{} 	() 	[]		  	 
Hint	M	0134	Byooki	X310000-0		Ba		003	 	M2 V	{} 	() 	[]		  	 
Hint	M	0137	Eki Chi	X200000-0		Ba Va		000	 	M2 V	{} 	() 	[]		  	 
Hint	A	0201	 	???????-?		 		???	??	M1 V	{} 	() 	[]		  	 
Hint	A	0210	 	???????-?		 		???	??	K3 V M5 V	{} 	() 	[]		  	 
Hint	M	0232	Murlum	X8A5000-0		Ba		002	 	G1 V M3 V	{} 	() 	[]		  	 
Hint	M	0233	Goromas	X728000-0		Ba		020	 	K1 V M4 V	{} 	() 	[]		  	 
Hint	M	0238	Ame	D876201-5		Ni Lo	B	513	Na	A3 V M8 V	{} 	() 	[]		  	 
Hint	M	0239	Famerra	X310000-0	T	Ba		004	 	F4 V	{} 	() 	[]		  	 
Hint	A	0306	 	???????-?		 		???	??	K3 V M9 V	{} 	() 	[]		  	 
Hint	A	0307	 	???????-?		 		???	??	M1 V	{} 	() 	[]		  	 
Hint	E	0311	 	???????-?		 		???	??	M3 V	{} 	() 	[]		  	 
Hint	E	0315	 	???????-?		 		???	??	M3 V M7 V	{} 	() 	[]		  	 
Hint	E	0316	 	???????-?		 		???	??	F3 V M4 V	{} 	() 	[]		  	 
Hint	E	0317	 	???????-?		 		???	??	G1 V M6 V	{} 	() 	[]		  	 
Hint	E	0318	 	???????-?		 		???	??	F7 III	{} 	() 	[]		  	 
Hint	E	0320	 	???????-?		 		???	??	F0 V	{} 	() 	[]		  	 
Hint	I	0322	 	???????-?		 		???	??	K3 V	{} 	() 	[]		  	 
Hint	I	0326	 	???????-?		 		???	??	K5 V M1 V	{} 	() 	[]		  	 
Hint	I	0327	 	???????-?		 		???	??	M3 V M5 V	{} 	() 	[]		  	 
Hint	I	0328	 	???????-?		 		???	??	K1 V	{} 	() 	[]		  	 
Hint	M	0334	Kotori	D7477A6-2	T	Ag	B	904	Na	G1 IV	{} 	() 	[]		  	 
Hint	M	0337	Tonde Monai	X200000-0		Ba Va		015	 	F2 V M1 V	{} 	() 	[]		  	 
Hint	A	0402	 	???????-?		 		???	??	M0 V M6 V	{} 	() 	[]		  	 
Hint	A	0406	 	???????-?		 		???	??	M0 V M0 V	{} 	() 	[]		  	 
Hint	A	0407	 	???????-?		 		???	??	M9 III D	{} 	() 	[]		  	 
Hint	A	0410	 	???????-?		 		???	??	A2 V	{} 	() 	[]		  	 
Hint	E	0413	 	???????-?		 		???	??	G0 V M8 V	{} 	() 	[]		  	 
Hint	E	0417	 	???????-?		 		???	??	K5 V M0 V	{} 	() 	[]		  	 
Hint	E	0419	 	???????-?		 		???	??	F4 V	{} 	() 	[]		  	 
Hint	I	0423	 	???????-?		 		???	??	M0 V M7 V	{} 	() 	[]		  	 
