Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Mesh	E	0115	 	???????-?	 	 		???	??	F1 V M9 V	{ }	( )	[ ]		 	 
Mesh	E	0116	 	???????-?	 	 		???	??	F3 V M5 V	{ }	( )	[ ]		 	 
Mesh	E	0120	 	???????-?	 	 		???	??	F0 V M6 V M6 V	{ }	( )	[ ]		 	 
Mesh	I	0123	 	???????-?	 	 		???	??	F4 V	{ }	( )	[ ]		 	 
Mesh	I	0124	 	???????-?	 	 		???	??	F1 V	{ }	( )	[ ]		 	 
Mesh	I	0128	 	???????-?	 	 		???	??	F9 V	{ }	( )	[ ]		 	 
Mesh	I	0129	 	???????-?	 	 		???	??	M6 II	{ }	( )	[ ]		 	 
Mesh	M	0134	 	???????-?	 	 		???	??	F8 V M6 V	{ }	( )	[ ]		 	 
Mesh	A	0210	 	???????-?	 	 		???	??	F6 V	{ }	( )	[ ]		 	 
Mesh	I	0223	 	???????-?	 	 		???	??	F5 V	{ }	( )	[ ]		 	 
Mesh	I	0225	 	???????-?	 	 		???	??	G0 V	{ }	( )	[ ]		 	 
Mesh	I	0226	 	???????-?	 	 		???	??	F3 V	{ }	( )	[ ]		 	 
Mesh	I	0229	 	???????-?	 	 		???	??	M3 V	{ }	( )	[ ]		 	 
Mesh	M	0236	 	???????-?	 	 		???	??	M1 II D	{ }	( )	[ ]		 	 
Mesh	M	0237	 	???????-?	 	 		???	??	K2 III	{ }	( )	[ ]		 	 
Mesh	A	0310	 	???????-?	 	 		???	??	M2 V	{ }	( )	[ ]		 	 
Mesh	E	0312	 	???????-?	 	 		???	??	F7 V M0 V	{ }	( )	[ ]		 	 
Mesh	E	0313	 	???????-?	 	 		???	??	M0 V M1 V	{ }	( )	[ ]		 	 
Mesh	E	0314	 	???????-?	 	 		???	??	M2 V	{ }	( )	[ ]		 	 
Mesh	E	0316	 	???????-?	 	 		???	??	M2 V M3 V	{ }	( )	[ ]		 	 
Mesh	E	0317	 	???????-?	 	 		???	??	F3 II M0 V	{ }	( )	[ ]		 	 
