Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Olde	A	0108	Croesus	X230000-0	 	Ba De Po	 	004	 	M2 V M9 V	{ }	( )	[ ]			
Olde	A	0109	Datarkt	X433000-0	 	Ba Po	 	004	 	M2 V M8 V	{ }	( )	[ ]			
Olde	E	0112	Klan	X7978TB-5	 	 	B	800	Wi	K4 V	{ }	( )	[ ]			
Olde	E	0113	Wott	X530000-0		Ba De		024	 	M1 V	{ }	( )	[ ]			
Olde	E	0114	Dachnis	X312000-0		Ba Ic		010	 	K2 V	{ }	( )	[ ]			
Olde	E	0117	Xulfor	E55A406-5		Lo Ni Wa		522	Wi	M2 V	{ }	( )	[ ]			
Olde	E	0118	Jenms	D5616N3-5	S	Ni Chir4		102	Wi	M0 V M7 V	{ }	( )	[ ]			
Olde	I	0121	Martham	D552695-9		Ni Po		302	Wi	M0 V M7 V	{ }	( )	[ ]			
Olde	I	0123	Sibbage	X554669-6	 	Ag Ni		502	Wi	M1 V	{ }	( )	[ ]			
Olde	I	0125	Burlta	X79986E-1	 	 	B	700	Wi	M3 V	{ }	( )	[ ]			
Olde	I	0127	Possin	X422000-0		Ba Po	 	002	 	G3 V M8 V	{ }	( )	[ ]			
Olde	I	0128	Darainne	X531000-0		Ba Po		002	 	F4 V M0 V	{ }	( )	[ ]			
Olde	M	0131	Arvid	X9C7000-0		Ba Fl		025	 	M3 V M7 V	{  }	( )	[ ]	 	 	 
Olde	M	0132	Keipes	B677884-6		 	 	411	Na	K3 V	{  }	( )	[ ]	 	 	 
Olde	M	0134	Atrase	X68A212-4		Lo Ni Wa	 	515	Na	M3 V M2 V	{  }	( )	[ ]	 	 	 
Olde	M	0135	Savjanni	X430000-0		Ba De Po		003		K1 V M0 V	{  }	( )	[ ]	 	 	 
Olde	M	0137	Svarla	X200000-0		Ba Va		001		M3 V M4 V	{  }	( )	[ ]	 	 	 
Olde	M	0138	Nicosia	X56666D-3		Ag Ni  	 	411	Wi	K4 V M2 V	{  }	( )	[ ]	 	 	 
Olde	A	0201	Elyan	X75286B-3	 	Po	B	302	Wi	K4 V	{ }	( )	[ ]			
Olde	A	0204	Thubria	X122000-0	 	Ba Ic	 	000	 	K0 V	{ }	( )	[ ]			
Olde	A	0209	Larmix	D7878BE-4	 	 	B	604	Wi	M3 V	{ }	( )	[ ]			
Olde	E	0212	Laurence	X5466P2-4		Ag Ni		112	Wi	M2 V	{ }	( )	[ ]			
Olde	I	0221	New Martham	XAC5000-0		Fl Ba		012	 	M3 V M9 V	{ }	( )	[ ]			
Olde	I	0222	Hodg	X758886-A		 		802	Wi	M0 V	{ }	( )	[ ]			
Olde	I	0224	La Shend	X9C4000-0		Fl Ba		002	 	M0 V M6 V	{ }	( )	[ ]			
Olde	I	0229	Lote	X77A66B-3	 	Ni Wa	B	702	Wi	M1 V	{ }	( )	[ ]			
Olde	M	0231	Thorell	X510000-0		Ba		020	 	M0 V	{  }	( )	[ ]	 	 	 
Olde	M	0236	Kresek	X8C7000-0		Ba Fl		002	 	M0 V M1 V	{  }	( )	[ ]	 	 	 
Olde	M	0240	Peirsma	X000000-0		Ba As		010	 	M0 V	{  }	( )	[ ]	 	 	 
Olde	A	0302	Bincia	C598659-6	S	Ag Ni Droy4	 	315	Wi	M0 V	{ }	( )	[ ]			
Olde	A	0304	Kri	X646469-5	 	Lo Ni	 	302	Wi	K9 V M7 V	{ }	( )	[ ]			
