Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Reav	A	0102	 	???????-?		 		???	??	F7 V M3 V	{ }	( )	[ ]		 	 
Reav	A	0110	 	???????-?		 		???	??	K7 V M2 V	{ }	( )	[ ]		 	 
Reav	E	0112	 	???????-?		 		???	??	M1 V M2 V	{ }	( )	[ ]		 	 
Reav	E	0115	 	???????-?		 		???	??	F5 V	{ }	( )	[ ]		 	 
Reav	E	0117	 	???????-?		 		???	??	M2 V M9 V	{ }	( )	[ ]		 	 
Reav	E	0120	 	???????-?		 		???	??	K4 V M3 V	{ }	( )	[ ]		 	 
Reav	I	0124	 	???????-?		 		???	??	F4 IV	{ }	( )	[ ]		 	 
Reav	I	0125	 	???????-?		 		???	??	K7 V M6 V	{ }	( )	[ ]		 	 
Reav	I	0127	 	???????-?		 		???	??	K7 V	{ }	( )	[ ]		 	 
Reav	I	0129	 	???????-?		 		???	??	F8 V	{ }	( )	[ ]		 	 
Reav	M	0131	 	???????-?		 		???	??	K4 V M5 V	{ }	( )	[ ]		 	 
Reav	M	0135	 	???????-?		 		???	??	F8 V M6 V	{ }	( )	[ ]		 	 
Reav	A	0209	 	???????-?		 		???	??	G2 V M1 V	{ }	( )	[ ]		 	 
Reav	E	0212	 	???????-?		 		???	??	K9 V	{ }	( )	[ ]		 	 
Reav	E	0215	 	???????-?		 		???	??	F7 V M4 V	{ }	( )	[ ]		 	 
Reav	E	0217	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]		 	 
Reav	E	0220	 	???????-?		 		???	??	F4 V M9 V	{ }	( )	[ ]		 	 
Reav	I	0221	 	???????-?		 		???	??	G2 V M8 V	{ }	( )	[ ]		 	 
Reav	I	0227	 	???????-?		 		???	??	K8 V	{ }	( )	[ ]		 	 
Reav	I	0230	 	???????-?		 		???	??	F9 V M1 V	{ }	( )	[ ]		 	 
Reav	M	0232	 	???????-?		 		???	??	M0 V M3 V	{ }	( )	[ ]		 	 
Reav	M	0234	 	???????-?		 		???	??	M4 V M4 V	{ }	( )	[ ]		 	 
Reav	M	0235	 	???????-?		 		???	??	K3 V	{ }	( )	[ ]		 	 
Reav	M	0237	 	???????-?		 		???	??	G4 V	{ }	( )	[ ]		 	 
Reav	M	0240	 	???????-?		 		???	??	F3 V	{ }	( )	[ ]		 	 
Reav	A	0304	 	???????-?		 		???	??	G5 V	{ }	( )	[ ]		 	 
Reav	A	0307	 	???????-?		 		???	??	G9 V M8 V	{ }	( )	[ ]		 	 
Reav	A	0310	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]		 	 
Reav	E	0317	 	???????-?		 		???	??	M3 V	{ }	( )	[ ]		 	 
Reav	E	0318	 	???????-?		 		???	??	K7 V	{ }	( )	[ ]		 	 
Reav	E	0320	 	???????-?		 		???	??	F5 V	{ }	( )	[ ]		 	 
Reav	I	0324	 	???????-?		 		???	??	K8 V	{ }	( )	[ ]		 	 
Reav	I	0328	 	???????-?		 		???	??	K4 V	{ }	( )	[ ]		 	 
Reav	M	0332	 	???????-?		 		???	??	M0 V M8 V	{ }	( )	[ ]		 	 
Reav	M	0335	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]		 	 
Reav	A	0406	 	???????-?		 		???	??	F3 V M2 V	{ }	( )	[ ]		 	 
Reav	A	0409	 	???????-?		 		???	??	F8 V	{ }	( )	[ ]		 	 
Reav	E	0414	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]		 	 
Reav	E	0415	 	???????-?		 		???	??	M2 V M6 V	{ }	( )	[ ]		 	 
Reav	E	0417	 	???????-?		 		???	??	K8 V	{ }	( )	[ ]		 	 
Reav	I	0423	 	???????-?		 		???	??	F0 V	{ }	( )	[ ]		 	 
Reav	I	0424	 	???????-?		 		???	??	M1 V M2 V	{ }	( )	[ ]		 	 
Reav	I	0426	 	???????-?		 		???	??	M0 V M7 V	{ }	( )	[ ]		 	 
Reav	I	0429	 	???????-?		 		???	??	F0 V M0 V	{ }	( )	[ ]		 	 
Reav	M	0433	 	???????-?		 		???	??	M0 V M4 V	{ }	( )	[ ]		 	 
Reav	M	0436	 	???????-?		 		???	??	M0 V M1 V	{ }	( )	[ ]		 	 
Reav	M	0437	 	???????-?		 		???	??	G7 V M2 V	{ }	( )	[ ]		 	 
Reav	M	0440	 	???????-?		 		???	??	G6 V	{ }	( )	[ ]		 	 
Reav	E	0518	 	???????-?		 		???	??	G8 V M0 V	{ }	( )	[ ]		 	 
Reav	E	0519	 	???????-?		 		???	??	M0 V	{ }	( )	[ ]		 	 
Reav	I	0521	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]		 	 
Reav	I	0523	 	???????-?		 		???	??	K1 V K4 V	{ }	( )	[ ]		 	 
Reav	I	0525	 	???????-?		 		???	??	M1 V M8 V	{ }	( )	[ ]		 	 
Reav	I	0530	 	???????-?		 		???	??	G3 V M0 V	{ }	( )	[ ]		 	 
Reav	M	0531	 	???????-?		 		???	??	M0 V M3 V	{ }	( )	[ ]		 	 
Reav	M	0534	 	???????-?		 		???	??	M3 V	{ }	( )	[ ]		 	 
Reav	M	0535	 	???????-?		 		???	??	G3 V M5 V	{ }	( )	[ ]		 	 
Reav	M	0538	 	???????-?		 		???	??	M2 V M9 V	{ }	( )	[ ]		 	 
Reav	M	0539	 	???????-?		 		???	??	M0 V	{ }	( )	[ ]		 	 
Reav	A	0607	 	???????-?		 		???	??	G0 V	{ }	( )	[ ]		 	 
Reav	E	0611	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]		 	 
Reav	E	0612	 	???????-?		 		???	??	K2 V	{ }	( )	[ ]		 	 
Reav	E	0616	 	???????-?		 		???	??	F8 V M6 V	{ }	( )	[ ]		 	 
Reav	E	0619	 	???????-?		 		???	??	K1 V M4 V	{ }	( )	[ ]		 	 
Reav	I	0623	 	???????-?		 		???	??	K9 V	{ }	( )	[ ]		 	 
Reav	I	0624	 	???????-?		 		???	??	K7 V	{ }	( )	[ ]		 	 
Reav	I	0626	 	???????-?		 		???	??	F9 V	{ }	( )	[ ]		 	 
Reav	I	0630	 	???????-?		 		???	??	G3 V M6 V	{ }	( )	[ ]		 	 
Reav	M	0633	 	???????-?		 		???	??	M0 V M3 V	{ }	( )	[ ]		 	 
Reav	E	0711	 	???????-?		 		???	??	K6 V	{ }	( )	[ ]		 	 
Reav	E	0712	 	???????-?		 		???	??	K8 V M5 V	{ }	( )	[ ]		 	 
Reav	E	0713	 	???????-?		 		???	??	F8 V	{ }	( )	[ ]		 	 
Reav	E	0716	 	???????-?		 		???	??	G3 V	{ }	( )	[ ]		 	 
Reav	E	0717	 	???????-?		 		???	??	M0 V M5 V	{ }	( )	[ ]		 	 
Reav	E	0720	 	???????-?		 		???	??	G7 V	{ }	( )	[ ]		 	 
Reav	I	0722	 	???????-?		 		???	??	K5 V	{ }	( )	[ ]		 	 
Reav	I	0729	 	???????-?		 		???	??	G0 V	{ }	( )	[ ]		 	 
Reav	M	0733	 	???????-?		 		???	??	M3 V	{ }	( )	[ ]		 	 
Reav	M	0734	 	???????-?		 		???	??	M0 V	{ }	( )	[ ]		 	 
Reav	M	0737	 	???????-?		 		???	??	M0 V	{ }	( )	[ ]		 	 
Reav	M	0738	 	???????-?		 		???	??	F6 V M9 V	{ }	( )	[ ]		 	 
Reav	A	0805	 	???????-?		 		???	??	K8 V M4 V	{ }	( )	[ ]		 	 
Reav	E	0816	 	???????-?		 		???	??	M0 V	{ }	( )	[ ]		 	 
Reav	E	0817	 	???????-?		 		???	??	K9 V	{ }	( )	[ ]		 	 
Reav	I	0827	 	???????-?		 		???	??	F6 V M6 V	{ }	( )	[ ]		 	 
Reav	M	0834	 	???????-?		 		???	??	G0 V	{ }	( )	[ ]		 	 
Reav	M	0835	 	???????-?		 		???	??	K5 V M8 V	{ }	( )	[ ]		 	 
Reav	M	0838	 	???????-?		 		???	??	F6 V M0 V	{ }	( )	[ ]		 	 
