Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Solo	A	0105	Faiwyd	X500000-0		Ba Va		012	 	M0 V M2 V	{}	()	[] 	 	 	 
Solo	A	0106	Darrukesh	B585854-9	N	Ri		823	Na 	M0 V M4 V M0 V	{}	()	[] 	 	 	 
Solo	A	0110	Iddamakur	B779976-9		Hi In Pz Asla0		103	Na 	M1 V M0 V	{}	()	[] 	 	 	 
Solo	E	0111	Grendel	X96A86B-B		Wa 		202	Wi	F4 V M2 V	{}	()	[] 	 	 	 
Solo	E	0116	Purdishi	X611000-0		Ba 		034	 	M1 V	{}	()	[] 	 	 	 
Solo	I	0121	Oz	X55376B-4 		Po Ph Sa		213	Wi	M3 V M4 V	{}	()	[] 	 	 	 
Solo	I	0123	Jarslav	E88796A-7	 	Hi	B	923	Wi	F8 V	{}	()	[] 	 	 	 
Solo	I	0125	Kishakhpap	X410000-0		Ba		004	 	F9 V	{}	()	[] 	 	 	 
Solo	I	0126	Beal	D557756-9	 	Ag		222	Na 	M1 V M8 V	{}	()	[] 	 	 	 
Solo	M	0136	Swinburne	X722000-0		Ba De		000	 	M0 V M2 V	{}	()	[] 	 	 	 
Solo	M	0138	Erech	X84456D-3		Ag Ni	B	210	Wi	M1 V	{}	()	[] 	 	 	 
Solo	A	0207	Basil	E843766-4		Po Pi	B	234	Wi	K5 V	{}	()	[] 	 	 	 
Solo	E	0214	Shululsish	X584976-8		Hi		204	Wi	F8 V	{}	()	[] 	 	 	 
Solo	E	0215	Desdemona	X76996B-8		Hi		203	Wi	G8 V M8 V	{}	()	[] 	 	 	 
Solo	E	0217	Sarmaty	X889898-8		Ri Ph Asla6	B	403	Wi	M1 V	{}	()	[] 	 	 	 
Solo	I	0224	Shaalgar	E66676B-7		Ag	B	100	Wi	M2 V M7 V	{}	()	[] 	 	 	 
Solo	I	0226	Limerick	D579755-7		 		204	Wi	K2 V	{}	()	[] 	 	 	 
Solo	I	0230	Alizarin	B5668A9-9		 		100	Na 	M1 V M8 V	{}	()	[] 	 	 	 
Solo	M	0231	Luzon	X420000-0		Ba De		035	 	G9 V	{}	()	[] 	 	 	 
Solo	M	0233	Jardin	E567866-7		 	B	502	Wi	M3 V	{}	()	[] 	 	 	 
Solo	M	0237	Theseus	X7A3000-0		Ba Fl		003	 	M2 V M3 V	{}	()	[] 	 	 	 
Solo	M	0239	Barsoom	X554873-5		 	 	102	Wi	M1 V	{}	()	[] 	 	 	 
Solo	M	0240	Gladstone	X967732-7		Ag		410	Wi	M3 V	{}	()	[] 	 	 	 
Solo	A	0301	Amkhalarug	X543669-2		Hi In Po Pz	B	304	Wi	F7 V M3 V	{}	()	[] 	 	 	 
Solo	A	0304	Atalanta	E57636B-5		Lo Da Mr		203	Wi	M1 V M6 V	{}	()	[] 	 	 	 
Solo	A	0308	Sidon	X6B9000-0		Ba Fl		003	 	K4 V	{}	()	[] 	 	 	 
Solo	E	0313	Hayt	X421000-0		Ba		010	 	M2 V M6 V	{}	()	[] 	 	 	 
Solo	E	0316	Finnegans	D579520-0		Ni		220	 Wi	G1 V M8 V	{}	()	[] 	 	 	 
Solo	E	0317	Bemidshii	X5679B9-8		Hi	B	212	Wi	G9 V M6 V	{}	()	[] 	 	 	 
Solo	E	0319	Seym	X100000-0		Ba Va		023	 	M3 V M9 V	{}	()	[] 	 	 	 
Solo	I	0326	Eneldun	X314000-0		Ba Ic		020	 	M1 V	{}	()	[] 	 	 	 
Solo	I	0330	Krypton	X9A4000-0	 	Ba Fl		014	 	F8 V	{}	()	[] 	 	 	 
Solo	M	0331	Liberte	X100000-0		Ba Va		002	 	M1 V	{}	()	[] 	 	 	 
Solo	M	0332	Pilgham	C542648-6		Po Ni		112	Wi	G0 V	{}	()	[] 	 	 	 
Solo	M	0335	Miasma	X678534-4		Ag Ni	B	124	Wi	M2 V M9 V	{}	()	[] 	 	 	 
Solo	A	0405	Gramercy	X430000-0		Ba De		000	 	F6 V	{}	()	[] 	 	 	 
Solo	A	0407	Urud	X100000-0		Ba Va		002	 	M1 V	{}	()	[] 	 	 	 
Solo	E	0411	Diomedes	X87776D-5		Ag	B	800	Wi	F4 V	{}	()	[] 	 	 	 
Solo	I	0424	Gustav	E798567-6		Ag Ni		803	Wi	M2 V K4 V	{}	()	[] 	 	 	 
Solo	I	0426	Eyck	X430000-0		Ba De		002	 	F2 III M0 V	{}	()	[] 	 	 	 
Solo	M	0432	Kraken	E57A589-5		Ni Wa  	B	735	Wi	M1 V M2 V	{}	()	[] 	 	 	 
Solo	M	0434	Durgha	X612000-0		Ba Ic		005	 	F8 IV M0 V	{}	()	[] 	 	 	 
Solo	M	0437	Dolor	X311000-0		Ba Ic		034	 	M1 V M4 V	{}	()	[] 	 	 	 
Solo	M	0438	Zhongguo	X544620-7		Ag Ni		223	Wi	K8 V	{}	()	[] 	 	 	 
Solo	M	0440	Ormadz	X300000-0		Ba Va		013	 	M0 V M3 V	{}	()	[] 	 	 	 
Solo	A	0501	Morgana	XA9A8BE-6		Oc Ph Pi Guru4	B	923	Wi	M2 V	{}	()	[] 	 	 	 
Solo	A	0502	Ugarup	X89A86E-6		Wa Ph Pi Pz (Gurungan) Huma0 Tz	B	102	Wi	M1 V	{}	()	[] 	 	 	 
Solo	A	0509	Ixtloc	X530000-0		De Ni Po		000	 	K4 V M6 V	{}	()	[] 	 	 	 
Solo	E	0511	Yrsai	X663969-4		Hi	B	802	Wi	G0 V M5 V	{}	()	[] 	 	 	 
Solo	E	0518	Arukhur	X200000-0		Ba Va		022	 	M3 V	{}	()	[] 	 	 	 
Solo	I	0524	Irashdaa	E689868-2	S	DolpW Tz		213	Wi	M2 V M8 V	{}	()	[] 	 	 	 
Solo	I	0527	Basse Terre	X66996A-7		Hi		123	Wi	K6 V M0 V	{}	()	[] 	 	 	 
Solo	I	0528	Kidashi	X557765-5	N	Lk Sa		923	Wi	M2 V	{}	()	[] 	 	 	 
Solo	M	0532	Cadmus	X532000-0		Ba		022	 	K8 V M7 V	{}	()	[] 	 	 	 
Solo	M	0533	Skyron	X312000-0		Ba Ic		002	 	M1 V M8 V	{}	()	[] 	 	 	 
Solo	M	0536	Chinon	D696877-7		 	B	422	Na 	M1 V M7 V	{}	()	[] 	 	 	 
Solo	A	0604	Rilke	X59A000-0		Ba Wa  		020	 	G3 V	{}	()	[] 	 	 	 
Solo	A	0606	Epsilon Cygni	X000000-0		Ba As		025	 	K0 III M4 V	{}	()	[] 	 	 	 
Solo	A	0609	Goshen	X57756C-4		Ag Ni		100	Wi	M3 V M1 V	{}	()	[] 	 	 	 
Solo	A	0610	Nukaash	D547769-7		Ag Pi		120	Wi	M1 V M5 V	{}	()	[] 	 	 	 
Solo	E	0612	Glaucas	X886988-7		Hi		532	Wi	M2 V M9 V K2 V	{}	()	[] 	 	 	 
Solo	E	0617	Hoatzin	X967999-8		Hi		334	Wi	F4 V	{}	()	[] 	 	 	 
Solo	E	0618	Alpha Cephei	X000000-0		Ba As		020	 	A7 V	{}	()	[] 	 	 	 
Solo	I	0624	York	X8A3000-0		Ba Fl		023	 	F6 V	{}	()	[] 	 	 	 
Solo	I	0626	Albrecht	E742243-7		Lo Ni Po Cm		203	Wi	G3 V M9 V	{}	()	[] 	 	 	 
Solo	I	0628	Bajavanang	X58986A-5		 		405	Wi	M0 V M9 V	{}	()	[] 	 	 	 
