Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Spic	A	0102	 	???????-?		 	 	035	??	M3 V	{ }	( )	[ ]		 	 
Spic	A	0103	 	???????-?		 	 	014	??	K3 V	{ }	( )	[ ]		 	 
Spic	A	0106	 	???????-?		 	 	011	??	M3 V	{ }	( )	[ ]		 	 
Spic	A	0107	 	???????-?		 	 	004	??	M2 V	{ }	( )	[ ]		 	 
Spic	A	0108	 	???????-?		 	 	000	??	M2 V M3 V	{ }	( )	[ ]		 	 
Spic	A	0109	 	???????-?		 	 	004	??	M0 V	{ }	( )	[ ]		 	 
Spic	E	0112	 	???????-?		 	 	003	??	F3 V M2 V	{ }	( )	[ ]		 	 
Spic	E	0113	 	???????-?		 	 	015	??	M2 V	{ }	( )	[ ]		 	 
Spic	I	0122	 	???????-?		 	 	004	??	M2 V	{ }	( )	[ ]		 	 
Spic	I	0123	 	???????-?		 	 	005	??	M2 V	{ }	( )	[ ]		 	 
Spic	I	0124	 	???????-?		 	 	000	??	M0 V	{ }	( )	[ ]		 	 
Spic	I	0125	 	???????-?		 	 	000	??	M2 II	{ }	( )	[ ]		 	 
Spic	I	0127	 	???????-?		 	 	000	??	M0 V	{ }	( )	[ ]		 	 
Spic	I	0129	 	???????-?		 	 	003	??	M2 V M2 V	{ }	( )	[ ]		 	 
Spic	I	0130	 	???????-?		 	 	020	??	G1 III	{ }	( )	[ ]		 	 
Spic	M	0135	 	???????-?		 	 	004	??	M2 V M9 V	{ }	( )	[ ]		 	 
Spic	M	0136	 	???????-?		 	 	024	??	M2 V	{ }	( )	[ ]		 	 
Spic	A	0202	 	???????-?		 	 	020	??	M7 III	{ }	( )	[ ]		 	 
Spic	A	0204	 	???????-?		 	 	000	??	M2 V	{ }	( )	[ ]		 	 
Spic	A	0208	 	???????-?		 	 	025	??	G5 V	{ }	( )	[ ]		 	 
Spic	A	0209	 	???????-?		 	 	014	??	M0 V M3 V	{ }	( )	[ ]		 	 
Spic	A	0210	 	???????-?		 	 	003	??	M3 V	{ }	( )	[ ]		 	 
Spic	E	0217	 	???????-?		 	 	004	??	M2 II	{ }	( )	[ ]		 	 
Spic	E	0220	 	???????-?		 	 	002	??	M2 V	{ }	( )	[ ]		 	 
Spic	I	0222	 	???????-?		 	 	000	??	F4 V M1 V	{ }	( )	[ ]		 	 
Spic	I	0227	 	???????-?		 	 	025	??	M0 V	{ }	( )	[ ]		 	 
Spic	I	0228	 	???????-?		 	 	003	??	K5 V	{ }	( )	[ ]		 	 
Spic	M	0231	 	???????-?		 	 	002	??	M7 III D	{ }	( )	[ ]		 	 
Spic	M	0234	 	???????-?		 	 	025	??	M2 V	{ }	( )	[ ]		 	 
Spic	M	0238	 	???????-?		 	 	023	??	M1 V M4 V	{ }	( )	[ ]		 	 
Spic	M	0240	 	???????-?		 	 	004	??	K3 V	{ }	( )	[ ]		 	 
Spic	A	0307	 	???????-?		 	 	003	??	M1 V	{ }	( )	[ ]		 	 
Spic	A	0309	 	???????-?		 	 	002	??	M3 V	{ }	( )	[ ]		 	 
Spic	E	0313	 	???????-?		 	 	010	??	G0 V	{ }	( )	[ ]		 	 
Spic	E	0315	 	???????-?		 	 	000	??	M3 V	{ }	( )	[ ]		 	 
Spic	E	0317	 	???????-?		 	 	003	??	K3 V	{ }	( )	[ ]		 	 
Spic	I	0321	 	???????-?		 	 	004	??	G4 V M9 V	{ }	( )	[ ]		 	 
Spic	I	0322	 	???????-?		 	 	012	??	G9 V	{ }	( )	[ ]		 	 
Spic	I	0323	 	???????-?		 	 	004	??	M2 V M8 V	{ }	( )	[ ]		 	 
Spic	I	0325	 	???????-?		 	 	012	??	K3 V	{ }	( )	[ ]		 	 
Spic	I	0328	 	???????-?		 	 	000	??	M2 V M1 V	{ }	( )	[ ]		 	 
Spic	I	0329	 	???????-?		 	 	010	??	G3 V	{ }	( )	[ ]		 	 
Spic	M	0332	 	???????-?		 	 	012	??	K3 V	{ }	( )	[ ]		 	 
Spic	M	0333	 	???????-?		 	 	000	??	M3 V	{ }	( )	[ ]		 	 
Spic	M	0334	 	???????-?		 	 	001	??	G0 V M4 V	{ }	( )	[ ]		 	 
Spic	M	0337	 	???????-?		 	 	005	??	K4 IV M2 V	{ }	( )	[ ]		 	 
Spic	M	0338	 	???????-?		 	 	003	??	K0 V M7 V M3 V	{ }	( )	[ ]		 	 
Spic	M	0339	 	???????-?		 	 	004	??	M2 V M5 V	{ }	( )	[ ]		 	 
Spic	A	0401	 	???????-?		 	 	003	??	G1 V M6 V	{ }	( )	[ ]		 	 
Spic	A	0405	 	???????-?		 	 	002	??	M0 V M6 V	{ }	( )	[ ]		 	 
Spic	E	0411	 	???????-?		 	 	011	??	M2 V M5 V	{ }	( )	[ ]		 	 
Spic	E	0415	 	???????-?		 	 	013	??	M2 V	{ }	( )	[ ]		 	 
Spic	E	0416	 	???????-?		 	 	013	??	M3 V M6 V	{ }	( )	[ ]		 	 
Spic	E	0419	 	???????-?		 	 	003	??	G9 V M4 V	{ }	( )	[ ]		 	 
Spic	I	0429	 	???????-?		 	 	011	??	K2 V M5 V	{ }	( )	[ ]		 	 
Spic	M	0431	 	???????-?		 	 	000	??	G4 V M1 V	{ }	( )	[ ]		 	 
Spic	M	0432	 	???????-?		 	 	004	??	M3 V M6 V M8 V	{ }	( )	[ ]		 	 
Spic	M	0435	 	???????-?		 	 	010	??	M1 V	{ }	( )	[ ]		 	 
Spic	M	0437	 	???????-?		 	 	014	??	M2 V	{ }	( )	[ ]		 	 
Spic	M	0439	 	???????-?		 	 	003	??	M0 V	{ }	( )	[ ]		 	 
Spic	A	0502	 	???????-?		 	 	010	??	A5 IV M5 V	{ }	( )	[ ]		 	 
Spic	A	0507	 	???????-?		 	 	004	??	M8 II	{ }	( )	[ ]		 	 
Spic	A	0509	 	???????-?		 	 	001	??	K6 V M4 V	{ }	( )	[ ]		 	 
Spic	E	0512	 	???????-?		 	 	020	??	F2 V	{ }	( )	[ ]		 	 
Spic	E	0518	 	???????-?		 	 	004	??	M2 V	{ }	( )	[ ]		 	 
Spic	I	0522	 	???????-?		 	 	012	??	M0 V M3 V	{ }	( )	[ ]		 	 
Spic	I	0523	 	???????-?		 	 	004	??	G2 V	{ }	( )	[ ]		 	 
Spic	M	0536	 	???????-?		 	 	010	??	M0 V	{ }	( )	[ ]		 	 
Spic	M	0539	 	???????-?		 	 	002	??	M2 V M7 V	{ }	( )	[ ]		 	 
Spic	A	0601	 	???????-?		 	 	000	??	M1 V M8 V	{ }	( )	[ ]		 	 
Spic	A	0602	 	???????-?		 	 	020	??	M1 V M8 V	{ }	( )	[ ]		 	 
Spic	A	0608	 	???????-?		 	 	004	??	K3 V M0 V	{ }	( )	[ ]		 	 
Spic	A	0610	 	???????-?		 	 	010	??	G4 IV	{ }	( )	[ ]		 	 
Spic	E	0615	 	???????-?		 	 	013	??	G0 V	{ }	( )	[ ]		 	 
Spic	E	0619	 	???????-?		 	 	005	??	K4 V M6 V	{ }	( )	[ ]		 	 
Spic	I	0621	 	???????-?		 	 	000	??	F9 V M5 V	{ }	( )	[ ]		 	 
Spic	I	0622	 	???????-?		 	 	023	??	M5 III	{ }	( )	[ ]		 	 
Spic	I	0623	 	???????-?		 	 	005	??	K0 V M6 V	{ }	( )	[ ]		 	 
Spic	I	0626	 	???????-?		 	 	003	??	G4 V	{ }	( )	[ ]		 	 
Spic	M	0631	 	???????-?		 	 	005	??	M3 V	{ }	( )	[ ]		 	 
Spic	M	0634	 	???????-?		 	 	012	??	M2 V	{ }	( )	[ ]		 	 
Spic	M	0635	 	???????-?		 	 	000	??	K4 V M4 V	{ }	( )	[ ]		 	 
Spic	M	0639	 	???????-?		 	 	004	??	K3 V M3 V	{ }	( )	[ ]		 	 
Spic	A	0701	 	???????-?		 	 	000	??	A1 V M9 V	{ }	( )	[ ]		 	 
Spic	A	0710	 	???????-?		 	 	004	??	K1 V	{ }	( )	[ ]		 	 
Spic	E	0713	 	???????-?		 	 	003	??	M2 V	{ }	( )	[ ]		 	 
Spic	E	0715	 	???????-?		 	 	020	??	K4 V	{ }	( )	[ ]		 	 
Spic	E	0717	 	???????-?		 	 	024	??	M4 III	{ }	( )	[ ]		 	 
Spic	E	0720	 	???????-?		 	 	020	??	M2 V	{ }	( )	[ ]		 	 
Spic	I	0725	 	???????-?		 	 	014	??	M0 V	{ }	( )	[ ]		 	 
Spic	I	0727	 	???????-?		 	 	002	??	M3 V M4 V	{ }	( )	[ ]		 	 
Spic	I	0728	 	???????-?		 	 	010	??	F0 V M7 V	{ }	( )	[ ]		 	 
Spic	M	0731	 	???????-?		 	 	013	??	K9 V	{ }	( )	[ ]		 	 
Spic	M	0733	 	???????-?		 	 	000	??	G6 IV	{ }	( )	[ ]		 	 
Spic	M	0739	 	???????-?		 	 	012	??	K4 V	{ }	( )	[ ]		 	 
Spic	A	0803	 	???????-?		 	 	003	??	F5 V M4 V	{ }	( )	[ ]		 	 
Spic	E	0816	 	???????-?		 	 	002	??	M1 V	{ }	( )	[ ]		 	 
Spic	E	0817	 	???????-?		 	 	014	??	G0 V	{ }	( )	[ ]		 	 
Spic	E	0818	 	???????-?		 	 	000	??	M4 III	{ }	( )	[ ]		 	 
Spic	I	0822	 	???????-?		 	 	003	??	M3 V	{ }	( )	[ ]		 	 
Spic	I	0823	 	???????-?		 	 	000	??	G5 III	{ }	( )	[ ]		 	 
Spic	I	0824	 	???????-?		 	 	003	??	A0 V	{ }	( )	[ ]		 	 
Spic	I	0828	 	???????-?		 	 	010	??	M3 V M1 V	{ }	( )	[ ]		 	 
Spic	I	0829	 	???????-?		 	 	003	??	K8 V	{ }	( )	[ ]		 	 
Spic	I	0830	 	???????-?		 	 	013	??	M6 III D	{ }	( )	[ ]		 	 
Spic	M	0831	 	???????-?		 	 	001	??	M2 V M9 V	{ }	( )	[ ]		 	 
Spic	M	0832	 	???????-?		 	 	003	??	M2 V	{ }	( )	[ ]		 	 
Spic	M	0834	 	???????-?		 	 	000	??	M3 V	{ }	( )	[ ]		 	 
Spic	M	0835	 	???????-?		 	 	003	??	M2 V M7 V	{ }	( )	[ ]		 	 
Spic	M	0838	 	???????-?		 	 	004	??	M1 V M0 V	{ }	( )	[ ]		 	 
Spic	M	0840	 	???????-?		 	 	013	??	M0 V	{ }	( )	[ ]		 	 
Spic	B	0901	 	???????-?		 	 	000	??	M2 V M1 V	{ }	( )	[ ]		 	 
Spic	B	0903	 	???????-?		 	 	011	??	M0 V	{ }	( )	[ ]		 	 
Spic	B	0909	 	???????-?		 	 	013	??	M3 V M6 V M1 V	{ }	( )	[ ]		 	 
Spic	B	0910	 	???????-?		 	 	013	??	G2 V M4 V	{ }	( )	[ ]		 	 
Spic	F	0913	 	???????-?		 	 	000	??	M3 V	{ }	( )	[ ]		 	 
Spic	F	0914	 	???????-?		 	 	010	??	G4 V	{ }	( )	[ ]		 	 
Spic	F	0917	 	???????-?		 	 	000	??	M3 V	{ }	( )	[ ]		 	 
Spic	J	0922	 	???????-?		 	 	010	??	G1 V M2 V	{ }	( )	[ ]		 	 
Spic	J	0923	 	???????-?		 	 	004	??	K8 III	{ }	( )	[ ]		 	 
Spic	J	0927	 	???????-?		 	 	003	??	M0 V	{ }	( )	[ ]		 	 
Spic	J	0928	 	???????-?		 	 	022	??	M1 V K1 V	{ }	( )	[ ]		 	 
Spic	J	0929	 	???????-?		 	 	002	??	K4 V	{ }	( )	[ ]		 	 
Spic	J	0930	 	???????-?		 	 	003	??	K0 V M9 V	{ }	( )	[ ]		 	 
Spic	N	0935	 	???????-?		 	 	000	??	M2 V	{ }	( )	[ ]		 	 
Spic	N	0936	 	???????-?		 	 	010	??	M1 V	{ }	( )	[ ]		 	 
Spic	B	1002	 	???????-?		 	 	000	??	K4 V	{ }	( )	[ ]		 	 
Spic	B	1010	 	???????-?		 	 	010	??	M0 V	{ }	( )	[ ]		 	 
Spic	F	1014	 	???????-?		 	 	010	??	M3 V M6 V	{ }	( )	[ ]		 	 
Spic	F	1016	 	???????-?		 	 	002	??	M2 V M3 V	{ }	( )	[ ]		 	 
Spic	F	1017	 	???????-?		 	 	025	??	M1 V	{ }	( )	[ ]		 	 
Spic	F	1019	 	???????-?		 	 	010	??	K5 III D	{ }	( )	[ ]		 	 
Spic	F	1020	 	???????-?		 	 	004	??	A5 V	{ }	( )	[ ]		 	 
Spic	J	1021	 	???????-?		 	 	002	??	G9 V M2 V	{ }	( )	[ ]		 	 
Spic	J	1022	 	???????-?		 	 	002	??	M3 V M5 V	{ }	( )	[ ]		 	 
Spic	J	1023	 	???????-?		 	 	000	??	M1 V	{ }	( )	[ ]		 	 
Spic	J	1024	 	???????-?		 	 	004	??	G3 V M3 V	{ }	( )	[ ]		 	 
Spic	J	1029	 	???????-?		 	 	002	??	G0 V	{ }	( )	[ ]		 	 
Spic	J	1030	 	???????-?		 	 	004	??	M2 V M4 V	{ }	( )	[ ]		 	 
Spic	N	1032	 	???????-?		 	 	014	??	M0 V	{ }	( )	[ ]		 	 
Spic	N	1033	 	???????-?		 	 	002	??	K0 V M4 V	{ }	( )	[ ]		 	 
Spic	N	1036	 	???????-?		 	 	010	??	M0 V M5 V	{ }	( )	[ ]		 	 
Spic	N	1038	 	???????-?		 	 	010	??	K4 II D	{ }	( )	[ ]		 	 
Spic	N	1040	 	???????-?		 	 	014	??	A0 V M7 V	{ }	( )	[ ]		 	 
Spic	B	1104	 	???????-?		 	 	023	??	M2 V	{ }	( )	[ ]		 	 
Spic	B	1106	 	???????-?		 	 	000	??	G2 V	{ }	( )	[ ]		 	 
Spic	F	1111	 	???????-?		 	 	014	??	M1 V M3 V	{ }	( )	[ ]		 	 
Spic	F	1116	 	???????-?		 	 	013	??	M2 V M0 V	{ }	( )	[ ]		 	 
Spic	F	1120	 	???????-?		 	 	000	??	K0 V M7 V M1 V	{ }	( )	[ ]		 	 
Spic	J	1123	 	???????-?		 	 	003	??	K0 V M5 V	{ }	( )	[ ]		 	 
Spic	J	1126	 	???????-?		 	 	000	??	K8 IV	{ }	( )	[ ]		 	 
Spic	J	1128	 	???????-?		 	 	024	??	M3 V M3 V M7 V	{ }	( )	[ ]		 	 
Spic	J	1129	 	???????-?		 	 	000	??	M2 V	{ }	( )	[ ]		 	 
Spic	N	1133	 	???????-?		 	 	000	??	K5 V M7 V	{ }	( )	[ ]		 	 
Spic	N	1134	 	???????-?		 	 	004	??	K4 III	{ }	( )	[ ]		 	 
Spic	N	1137	 	???????-?		 	 	000	??	M3 V M6 V	{ }	( )	[ ]		 	 
Spic	N	1139	 	???????-?		 	 	000	??	M2 V K8 V	{ }	( )	[ ]		 	 
Spic	B	1206	 	???????-?		 	 	000	??	M0 V	{ }	( )	[ ]		 	 
Spic	B	1207	 	???????-?		 	 	014	??	G9 V M8 V	{ }	( )	[ ]		 	 
Spic	B	1208	 	???????-?		 	 	010	??	G0 V	{ }	( )	[ ]		 	 
Spic	B	1209	 	???????-?		 	 	004	??	K1 V	{ }	( )	[ ]		 	 
Spic	F	1211	 	???????-?		 	 	003	??	M1 II M4 V	{ }	( )	[ ]		 	 
Spic	F	1212	 	???????-?		 	 	000	??	M2 V	{ }	( )	[ ]		 	 
Spic	F	1216	 	???????-?		 	 	010	??	F5 V M6 V	{ }	( )	[ ]		 	 
Spic	F	1219	 	???????-?		 	 	014	??	G2 V	{ }	( )	[ ]		 	 
Spic	J	1224	 	???????-?		 	 	020	??	G6 V M9 V	{ }	( )	[ ]		 	 
Spic	J	1225	 	???????-?		 	 	000	??	G4 V	{ }	( )	[ ]		 	 
Spic	J	1230	 	???????-?		 	 	000	??	M3 V M0 V	{ }	( )	[ ]		 	 
Spic	N	1239	 	???????-?		 	 	002	??	K1 V M2 V	{ }	( )	[ ]		 	 
Spic	B	1301	 	???????-?		 	 	002	??	M1 V M8 V	{ }	( )	[ ]		 	 
Spic	B	1302	 	???????-?		 	 	015	??	K9 V M8 V	{ }	( )	[ ]		 	 
Spic	B	1303	 	???????-?		 	 	020	??	M2 V	{ }	( )	[ ]		 	 
