Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Spin	A	0101	Zeykiede	B430698-A	KM	De Na Ni Po		613	Zh 	K9 V	{ }	( )	[ ]		 	 
Spin	A	0102	Rzhdioch	C420789-B		De Na Po	 	603	Zh 	G8 V M1 V	{ }	( )	[ ]		 	 
Spin	A	0103	Ezhfrepl	B563764-B	KM	Ri O:0304 Chir0		910	Zh 	M1 V M4 V	{ }	( )	[ ]		 	 
Spin	A	0104	Chantrel	C566577-A		Ni Ag		520	Zh 	F1 V	{ }	( )	[ ]		 	 
Spin	A	0108	Gyomar	D8B2889-5		Fl (Tethmari)		824	Na	A8 V	{ }	( )	[ ]		 	 
Spin	E	0111	Atson	B310698-8		Ni		233	Cz	K8 V	{ }	( )	[ ]		 	 
Spin	E	0114	Yiktor	C6B6487-A		Fl Ni		323	Na	G4 V M4 V	{ }	( )	[ ]		 	 
Spin	E	0115	Xhosa	EA95546-6		Lo Ni		710	Na	M0 V	{ }	( )	[ ]		 	 
Spin	I	0122	Junction	D550441-4		De Ni Po		110	Na	M2 V M3 V	{ }	( )	[ ]		 	 
Spin	I	0129	Uniqua	E62557B-7		Ni		510	Na	K9 V M9 V	{ }	( )	[ ]		 	 
Spin	I	0130	Garoo	A2008CB-B	N	Na Va Ph Pi Pz (Garoo)	 	410	Cs	M1 V M5 V	{ }	( )	[ ]		 	 
Spin	M	0133	Emape	A564622-B	IN	Ag Ni Pr Da	A	203	Re	M0 V	{ }	( )	[ ]		 	 
Spin	M	0139	Raweh	B430412-D	IN	De Lo Po Da	A	320	Re	G3 V M1 V	{ }	( )	[ ]		 	 
Spin	M	0140	Lothlorien	C687643-8		Lo Ga		503	Cs	K7 V	{ }	( )	[ ]		 	 
Spin	A	0202	Idrianzh	C868686-6		Ag Ni Ri		801	Zh 	G5 V M3 V	{ }	( )	[ ]		 	 
Spin	E	0212	Prinx	C436635-7		Ni		920	Na	A9 V K8 V	{ }	( )	[ ]		 	 
Spin	E	0215	Rushu	E766684-4		Ag Ni Ri VargW		203	Na	G0 V M3 V	{ }	( )	[ ]		 	 
Spin	E	0218	Bael	B200476-A		Lo Ni Va		612	Na	K2 V	{ }	( )	[ ]		 	 
Spin	I	0223	Stern-Stern	B421658-D	I	He Ni Po DaryW		301	Da	M0 V M3 V	{ }	( )	[ ]		 	 
Spin	I	0230	886-945	D833100-3		Ni Lo Po		704	Na	F8 V	{ }	( )	[ ]		 	 
Spin	M	0231	Saxe	DAA5643-8		Fl Ni		110	Na	A2 V	{ }	( )	[ ]		 	 
Spin	M	0236	Andor	C6958X5-D		Ag An Pi Fo DroyW	R	103	Re	F3 V	{ }	( )	[ ]		 	 
Spin	M	0240	Galadriel	D754545-8		Ni Pa (minor)		424	Cs	G2 V	{ }	( )	[ ]		 	 
