Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Tugl	A	0103	Aenagzdars	X67A66D-7	 	Ni Wa	B	404	Wi	F0 V D	{ }	( )	[ ]		 	 
Tugl	A	0104	Uel Zar	X89A472-4		Ni Wa		101	Wi	G1 IV	{ }	( )	[ ]		 	 
Tugl	A	0105	Rrurr	X659456-2	 	Wa Ni	 B	902	Wi	G0 V D	{ }	( )	[ ]		 	 
Tugl	A	0109	Gegdha	X611000-0		Ic Ba		004	 	M2 V	{ }	( )	[ ]		 	 
Tugl	E	0113	 	???????-?	 	 	 	???	??	G7 V	{ }	( )	[ ]		 	 
Tugl	E	0115	 	???????-?	 	 	 	???	??	K5 V	{ }	( )	[ ]		 	 
Tugl	E	0119	 	???????-?	 	 	 	???	??	M1 V	{ }	( )	[ ]		 	 
Tugl	E	0120	 	???????-?	 	 	 	???	??	M2 V	{ }	( )	[ ]		 	 
Tugl	I	0121	Kazlluek	X9C4000-0	 	Fl Ba		025	 	G1 V D	{ }	( )	[ ]		 	 
Tugl	I	0122	Anell Gogh	X5878AA-5		 	 	201	Wi	G6 V M1 V M6 V	{ }	( )	[ ]		 	 
Tugl	I	0128	Ogzang	X559369-3		Lo Ni		201	Wi	G9 V M8 V D	{ }	( )	[ ]		 	 
Tugl	M	0132	Karrsuergae	X420000-0	 	Ba		002	 	K3 V M3 V	{ }	( )	[ ]		 	 
Tugl	M	0133	Uengurrg	E664100-3		Ni Lo		324	Wi	G3 V K8 V	{ }	( )	[ ]		 	 
Tugl	M	0134	Guendan	X8A6000-0		Fl Ba		023	 	G1 V	{ }	( )	[ ]		 	 
Tugl	M	0136	Ilal	X5467AA-5		Ag Fo	R	202	Wi	F5 IV	{ }	( )	[ ]		 	 
Tugl	A	0201	Ngirzgnurlogz	D555422-6		Ni 		222	Wi	G2 V	{ }	( )	[ ]		 	 
Tugl	A	0204	Naez	XACA000-0		Fl Ba	 	022	 	K1 V	{ }	( )	[ ]		 	 
Tugl	A	0205	Aroegsukgnu	X522000-0	 	Ba		005	 	M3 V	{ }	( )	[ ]		 	 
Tugl	A	0210	Odhonandon	X543498-1		Ni Po	B	304	Wi	F1 V	{ }	( )	[ ]		 	 
Tugl	E	0212	 	???????-?	 	 	 	???	??	F5 V M5 V	{ }	( )	[ ]		 	 
Tugl	I	0221	Khue	X430000-0	 	De Ba		001	 	F7 V	{ }	( )	[ ]		 	 
Tugl	I	0226	Az Outs	X402000-0		Ic Va Ba		003	 	K6 V M2 V	{ }	( )	[ ]		 	 
Tugl	I	0227	Oezuerz	D646775-6		Ag	B	805	Wi	F8 V D	{ }	( )	[ ]		 	 
Tugl	I	0228	Aesekong	X669854-4	 	 	B	902	Wi	F2 V D	{ }	( )	[ ]		 	 
Tugl	I	0229	Edhnga	E593330-4		Ni Lo		111	Wi	F2 V M3 V	{ }	( )	[ ]		 	 
Tugl	M	0232	Aergvael	X8A5000-0		Fl Ba		003	 	G0 V	{ }	( )	[ ]		 	 
Tugl	M	0238	Dhuerzaegoe	X203000-0		Ic Va Ba		014	 	M2 V	{ }	( )	[ ]		 	 
Tugl	M	0239	Aerrokhs	X525000-0		Ba		023	 	G6 V K5 V	{ }	( )	[ ]		 	 
Tugl	A	0303	Sunokhnurgh	X677652-5		Ag Ni	B	705	Wi	K4 V	{ }	( )	[ ]		 	 
Tugl	A	0305	Egangekno	D674525-7		Ag Ni		204	Wi	G7 V	{ }	( )	[ ]		 	 
Tugl	A	0309	Alae	X8B6000-0		Fl Ba	 	003	 	F3 V D	{ }	( )	[ ]		 	 
Tugl	A	0310	Guegzegh	C797546-3		Ag Ni	B	303	Wi	K0 V	{ }	( )	[ ]		 	 
Tugl	E	0314	 	???????-?	 	 	 	???	??	F1 III	{ }	( )	[ ]		 	 
Tugl	E	0317	 	???????-?	 	 	 	???	??	G0 V	{ }	( )	[ ]		 	 
Tugl	I	0325	Ul Gaek	X578115-4	 	Ni Lo		304	Wi	G3 V D	{ }	( )	[ ]		 	 
Tugl	M	0331	Aeztengnakh	EA999DD-6		Hi In	B	203	Wi	G8 V M8 V	{ }	( )	[ ]		 	 
Tugl	M	0333	Ungerrill	X557121-6		Ni Lo		901	Wi	G7 V K4 V	{ }	( )	[ ]		 	 
Tugl	M	0337	Izoensaks	X310000-0		Ba	 	024	 	G4 V M9 V	{ }	( )	[ ]		 	 
Tugl	M	0340	Dhukhaegz	E88A262-9	C	Wa Ni Lo Mr		502	Na 	G6 V	{ }	( )	[ ]		 	 
Tugl	A	0408	Torrgur	X7A5000-0	 	Fl Ba		001	 	K6 V	{ }	( )	[ ]		 	 
Tugl	A	0409	Otson	C545522-8		Ag Ni		124	Wi	F4 IV	{ }	( )	[ ]		 	 
Tugl	E	0414	 	???????-?	 	 	 	???	??	F4 V D	{ }	( )	[ ]		 	 
