Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Vlan	A	0101	 	???????-?		 		???	??	F5 V G6 V	{ }	( )	[ ]	 	 	 
Vlan	A	0102	 	???????-?		 		???	??	M3 V	{ }	( )	[ ]	 	 	 
Vlan	A	0104	 	???????-?		 		???	??	K9 V K8 V	{ }	( )	[ ]	 	 	 
Vlan	A	0105	 	???????-?		 		???	??	G8 V G0 V	{ }	( )	[ ]	 	 	 
Vlan	A	0107	 	???????-?		 		???	??	M3 V	{ }	( )	[ ]	 	 	 
Vlan	A	0109	 	???????-?		 		???	??	G1 V	{ }	( )	[ ]	 	 	 
Vlan	A	0110	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]	 	 	 
Vlan	M	0131	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	M	0132	 	???????-?		 		???	??	M1 V M1 V	{ }	( )	[ ]	 	 	 
Vlan	M	0134	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	M	0135	 	???????-?		 		???	??	F9 V M4 V	{ }	( )	[ ]	 	 	 
Vlan	M	0137	 	???????-?		 		???	??	F1 V M1 V	{ }	( )	[ ]	 	 	 
Vlan	A	0202	 	???????-?		 		???	??	F8 V K2 V	{ }	( )	[ ]	 	 	 
Vlan	A	0203	 	???????-?		 		???	??	M3 V K6 V	{ }	( )	[ ]	 	 	 
Vlan	A	0205	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	A	0209	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	A	0210	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]	 	 	 
Vlan	E	0211	 	???????-?		 		???	??	M2 V M9 V	{ }	( )	[ ]	 	 	 
Vlan	I	0221	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	M	0232	 	???????-?		 		???	??	F7 III M2 V	{ }	( )	[ ]	 	 	 
Vlan	M	0234	 	???????-?		 		???	??	M3 V M3 V	{ }	( )	[ ]	 	 	 
Vlan	M	0236	 	???????-?		 		???	??	M0 V	{ }	( )	[ ]	 	 	 
Vlan	M	0237	 	???????-?		 		???	??	G8 V	{ }	( )	[ ]	 	 	 
Vlan	A	0303	 	???????-?		 		???	??	G7 V	{ }	( )	[ ]	 	 	 
Vlan	A	0306	 	???????-?		 		???	??	M0 V K0 V	{ }	( )	[ ]	 	 	 
Vlan	A	0307	 	???????-?		 		???	??	M1 V M7 V	{ }	( )	[ ]	 	 	 
Vlan	E	0311	 	???????-?		 		???	??	M3 V G8 V	{ }	( )	[ ]	 	 	 
Vlan	M	0333	 	???????-?		 		???	??	K3 V G0 V	{ }	( )	[ ]	 	 	 
Vlan	M	0335	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]	 	 	 
Vlan	M	0336	 	???????-?		 		???	??	K9 V	{ }	( )	[ ]	 	 	 
Vlan	M	0338	 	???????-?		 		???	??	M0 V K8 V	{ }	( )	[ ]	 	 	 
Vlan	M	0340	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	A	0402	 	???????-?		 		???	??	K2 V K6 V	{ }	( )	[ ]	 	 	 
Vlan	A	0403	 	???????-?		 		???	??	G2 V	{ }	( )	[ ]	 	 	 
Vlan	A	0404	 	???????-?		 		???	??	M3 V	{ }	( )	[ ]	 	 	 
Vlan	A	0408	 	???????-?		 		???	??	G1 V	{ }	( )	[ ]	 	 	 
Vlan	I	0422	 	???????-?		 		???	??	M9 III D	{ }	( )	[ ]	 	 	 
Vlan	I	0430	 	???????-?		 		???	??	G3 V	{ }	( )	[ ]	 	 	 
Vlan	M	0431	 	???????-?		 		???	??	F7 V G0 V	{ }	( )	[ ]	 	 	 
Vlan	M	0434	 	???????-?		 		???	??	K1 V	{ }	( )	[ ]	 	 	 
Vlan	M	0435	 	???????-?		 		???	??	M2 V M5 V	{ }	( )	[ ]	 	 	 
Vlan	M	0436	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]	 	 	 
Vlan	M	0437	 	???????-?		 		???	??	K8 V	{ }	( )	[ ]	 	 	 
Vlan	A	0502	 	???????-?		 		???	??	M0 V	{ }	( )	[ ]	 	 	 
Vlan	A	0506	 	???????-?		 		???	??	K0 V M3 V	{ }	( )	[ ]	 	 	 
Vlan	A	0507	 	???????-?		 		???	??	K6 V G9 V	{ }	( )	[ ]	 	 	 
Vlan	A	0508	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]	 	 	 
Vlan	I	0530	 	???????-?		 		???	??	G2 V	{ }	( )	[ ]	 	 	 
Vlan	M	0531	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]	 	 	 
Vlan	M	0532	 	???????-?		 		???	??	K6 V	{ }	( )	[ ]	 	 	 
Vlan	M	0533	 	???????-?		 		???	??	M3 V M3 V	{ }	( )	[ ]	 	 	 
Vlan	M	0534	 	???????-?		 		???	??	M3 V	{ }	( )	[ ]	 	 	 
Vlan	M	0536	 	???????-?		 		???	??	K0 V M1 V	{ }	( )	[ ]	 	 	 
Vlan	A	0601	 	???????-?		 		???	??	K5 V M0 V	{ }	( )	[ ]	 	 	 
Vlan	A	0605	 	???????-?		 		???	??	F8 V	{ }	( )	[ ]	 	 	 
Vlan	A	0610	 	???????-?		 		???	??	G7 V	{ }	( )	[ ]	 	 	 
Vlan	E	0619	 	???????-?		 		???	??	M3 V	{ }	( )	[ ]	 	 	 
Vlan	I	0622	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	I	0630	 	???????-?		 		???	??	K3 V	{ }	( )	[ ]	 	 	 
Vlan	M	0631	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]	 	 	 
Vlan	M	0633	 	???????-?		 		???	??	K1 V	{ }	( )	[ ]	 	 	 
Vlan	M	0635	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]	 	 	 
Vlan	M	0637	 	???????-?		 		???	??	M0 V	{ }	( )	[ ]	 	 	 
Vlan	M	0639	 	???????-?		 		???	??	K9 V K2 V	{ }	( )	[ ]	 	 	 
Vlan	M	0640	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	A	0701	 	???????-?		 		???	??	G0 V M5 V	{ }	( )	[ ]	 	 	 
Vlan	A	0703	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	A	0705	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]	 	 	 
Vlan	A	0707	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	A	0708	 	???????-?		 		???	??	M1 V M0 V	{ }	( )	[ ]	 	 	 
Vlan	A	0709	 	???????-?		 		???	??	M0 V G3 V	{ }	( )	[ ]	 	 	 
Vlan	E	0711	 	???????-?		 		???	??	M2 V M7 V	{ }	( )	[ ]	 	 	 
Vlan	M	0732	 	???????-?		 		???	??	G4 V M2 V	{ }	( )	[ ]	 	 	 
Vlan	M	0734	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
Vlan	M	0737	 	???????-?		 		???	??	K5 V K3 V	{ }	( )	[ ]	 	 	 
Vlan	M	0738	 	???????-?		 		???	??	M3 V	{ }	( )	[ ]	 	 	 
Vlan	M	0739	 	???????-?		 		???	??	K7 V	{ }	( )	[ ]	 	 	 
Vlan	M	0740	 	???????-?		 		???	??	K5 V K4 V	{ }	( )	[ ]	 	 	 
Vlan	A	0801	 	???????-?		 		???	??	M1 V	{ }	( )	[ ]	 	 	 
Vlan	A	0804	 	???????-?		 		???	??	M0 V	{ }	( )	[ ]	 	 	 
Vlan	A	0806	 	???????-?		 		???	??	F9 V K8 V M8 V	{ }	( )	[ ]	 	 	 
Vlan	A	0807	 	???????-?		 		???	??	K0 V	{ }	( )	[ ]	 	 	 
Vlan	M	0831	 	???????-?		 		???	??	G4 V K6 V	{ }	( )	[ ]	 	 	 
Vlan	M	0832	 	???????-?		 		???	??	M2 V	{ }	( )	[ ]	 	 	 
