Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zaru	A	0101		???????-?	 	 	 	???	??	K0 V	{  }	( )	[    ]	 	 	 
Zaru	A	0106		???????-?	 	 	 	???	??	M3 V M5 V	{  }	( )	[    ]	 	 	 
Zaru	A	0108		???????-?	 	 	 	???	??	A2 V	{  }	( )	[    ]	 	 	 
Zaru	A	0109		???????-?	 	 	 	???	??	G0 III	{  }	( )	[    ]	 	 	 
Zaru	A	0110		???????-?	 	 	 	???	??	K2 V	{  }	( )	[    ]	 	 	 
Zaru	E	0112		???????-?	 	 	 	???	??	F1 V M6 V	{  }	( )	[    ]	 	 	 
Zaru	E	0114		???????-?	 	 	 	???	??	K4 V M7 V	{  }	( )	[    ]	 	 	 
Zaru	E	0115		???????-?	 	 	 	???	??	K5 III M1 V	{  }	( )	[    ]	 	 	 
Zaru	E	0116		???????-?	 	 	 	???	??	F1 V	{  }	( )	[    ]	 	 	 
Zaru	E	0120		???????-?	 	 	 	???	??	M1 V	{  }	( )	[    ]	 	 	 
Zaru	I	0121	Corta	D625433-7		Ni		923	Wi	K1 V M5 V	{  }	( )	[    ]	 	 	 
Zaru	I	0124	Lorrius	X200000-0		Va Ba 		024	 	M1 V	{  }	( )	[    ]	 	 	 
Zaru	I	0126	Adzel	D422253-9		Ni Lo He		800	Na	F5 V	{  }	( )	[    ]	 	 	 
Zaru	I	0127	Waytte	X857300-7		Ni Lo		912	Wi	F8 V	{  }	( )	[    ]	 	 	 
Zaru	I	0130	Quippa	XAA5443-8		Fl Lo Ni		604	Wi	F3 V M5 V	{  }	( )	[    ]	 	 	 
Zaru	M	0135	Farreach	X667732-6	 	Ni	B	224	Wi	F1 V	{  }	( )	[    ]	 	 	 
Zaru	M	0140	Askyat	C6657CF-9		Ga Ri Pa Ph DroyW		214	Na 	F2 V M6 V	{  }	( )	[    ]	 	 	 
