Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dhue	A	0101	Figirrugkfuksulaka	B130577-9	 	De Ni Po 		502	NaVa	K1 IV M8 V	{ 0 }	(742-1)	[1557]	B	0	-56
Dhue	A	0106	Kfoevokhonuerrgh	BA6A77A-7	 	Oc Ri 	B	310	NaVa	F4 V D	{ 1 }	(86A+1)	[9818]	BC	0	480
Dhue	I	0121	Foegulu	A656A7B-9	 	Ga Hi 		520	NaVa	G1 V	{ 2 }	(595-1)	[9C36]	BE	0	-225
Dhue	I	0130	Zadzaenksaelaes	C410532-6	 	Ni 		703	Ko	M8 V	{ -2 }	(941-5)	[7391]	B	0	-180
Dhue	M	0133	Vougzueg	C638842-8	 	Ph 		200	Ko	M0 V	{ -1 }	(973+1)	[A777]	Be	0	189
Dhue	M	0139	Dadhuez	B7A4479-A	 	Fl Ni Px 		300	NaVa	M3 V	{ 1 }	(533+5)	[5516]	B	0	225
Dhue	M	0140	Aekir Faets	B381557-9	 	Ni Pr 		110	NaVa	F5 V	{ 0 }	(644+3)	[4597]	Bc	0	288
Dhue	A	0201	Gikungoenzaegh	B555A8A-B	 	Hi 		110	NaVa	F3 V D	{ 3 }	(A96+1)	[BD89]	BE	0	540
Dhue	A	0206	Tsuakhkigorrg	D221675-7	 	Na Po Ni 		115	NaVa	F3 V D	{ -3 }	(550+4)	[2364]	B	0	100
Dhue	A	0207	Ueagzaegikh	B97A442-A	 	Ni Wa 		402	NaVa	F7 V	{ 1 }	(C37+3)	[1537]	B	0	756
Dhue	A	0209	Ikougagh	C674448-8	 	Ni Pa 	B	103	NaVa	G5 V	{ -2 }	(831-1)	[2269]	Bc	0	-24
Dhue	E	0215	Allughe	C759573-4	 	Ni 	B	311	Ko	F8 V D	{ -2 }	(B40+1)	[13A4]	B	0	44
Dhue	E	0218	Rrogarz	B232244-9	 	Lo Po 		944	Ko	M8 V D	{ 0 }	(F10-4)	[1239]	B	0	-60
Dhue	I	0224	Kfakhaegog	D4126A9-7	 	Ic Na Ni 		902	Ko	G3 V D	{ -3 }	(A52+1)	[635A]	B	0	100
Dhue	I	0225	Kokhoeraedhghaghz	C4008AB-5	 	Na Pi Ph Va 		803	Ko	G2 V	{ -1 }	(A77+2)	[7768]	BDe	0	980
Dhue	I	0226	Ganoukhs	B310445-C	 	Ni 		703	Ko	G2 V	{ 1 }	(734+4)	[452F]	B	0	336
Dhue	I	0227	Ourrgaenou	C728404-9	 	Ni 		202	Ko	F0 III	{ -1 }	(935+5)	[434B]	B	0	675
Dhue	M	0232	Tegvaesakhungthagzgarrtaeth	A434355-C	 	Lo 		400	Ko	F0 V D D	{ 1 }	(921-3)	[145A]	B	0	-54
Dhue	A	0303	Saezzaezugh	X40068B-4	 	Na Ni Va 		700	NaVa	M2 V	{ -3 }	(A50+1)	[5391]	B	0	50
Dhue	A	0304	Tsongaen	D683353-6	 	Lo 		403	NaVa	F7 V	{ -3 }	(820-1)	[3135]	B	0	-16
Dhue	A	0305	Girruez	C542577-5	 	He Ni Po 		803	NaVa	F7 V	{ -2 }	(741+3)	[4365]	B	0	84
Dhue	A	0306	Ksorrghgonae	C400647-5	 	Na Ni Va 		703	NaVa	F7 V	{ -2 }	(452+3)	[7452]	B	0	120
Dhue	E	0312	Gaenaeng	A325230-B	 	Lo 		300	Ko	G4 III	{ 1 }	(911+3)	[7359]	B	0	27
Dhue	E	0319	Roerruen	C000511-A	 	As Va Ni 		700	NaVa	M6 V	{ 0 }	(442+4)	[2586]	B	0	128
Dhue	I	0321	Ongzik	C863440-8	 	Ni 		501	NaVa	F3 V D	{ -2 }	(834-3)	[226C]	B	0	-288
Dhue	I	0322	Gikhon	C252302-6	 	Lo Po 		501	Ko	G7 V D	{ -2 }	(520+1)	[4164]	B	0	10
Dhue	M	0336	Ghoeoundhaegh	B8A4323-A	 	Fl Lo 		813	NaVa	A6 V D	{ 1 }	(C21-1)	[641B]	B	0	-24
Dhue	A	0404	Aeegnasa	A483455-A	 	Ni 		804	NaVa	K8 V	{ 1 }	(B35-1)	[657B]	B	0	-165
Dhue	A	0405	Thodoug	D544672-2	 	Ag Ni 		304	NaVa	K8 V	{ -2 }	(854+1)	[8464]	BC	0	160
Dhue	A	0407	Agvourrg	A5786A8-A	 	Ag Ni 		616	NaVa	F9 V D	{ 2 }	(E54-1)	[7875]	BC	0	-280
Dhue	A	0409	Eurraezuekhso	B00067C-9	 	As Va Na Ni 		804	NaVa	M8 V D	{ 0 }	(E51-2)	[5628]	B	0	-140
Dhue	E	0413	Ghurgvoeghzurr	C84767B-5	 	Ag Ni 		925	Ko	F9 V	{ -1 }	(951+1)	[856A]	BC	0	45
Dhue	E	0419	Gvuroglluekoellaghgur	E477355-6	 	Lo 		305	Ko	F9 V	{ -3 }	(220+4)	[1188]	B	0	16
Dhue	I	0422	Thaeghz	C67A456-9	 	Ni Wa 		306	NaVa	F5 V D	{ -1 }	(934-3)	[3357]	B	0	-324
Dhue	I	0423	Ruegoen	B695637-7	 	Ag Ni 		906	Ko	F5 V D	{ 0 }	(655-1)	[A647]	BC	0	-150
Dhue	I	0430	Gaeraen	E455743-3	 	Ag 		821	Ko	F1 V	{ -1 }	(763-1)	[2654]	BC	0	-126
Dhue	M	0438	Arzagogerz	C546598-B	 	Ag Ni 		102	NaVa	F0 V	{ 1 }	(847+2)	[162C]	BC	0	448
Dhue	M	0439	Orzkagaen Kharze	E88A797-3	 	Ri Wa 		302	NaVa	F0 V	{ -1 }	(869+2)	[9671]	BC	0	864
Dhue	A	0503	Veskarrg	D222775-2	 	Na Pi Po 		201	NaVa	K7 V M7 V	{ -2 }	(969+2)	[5521]	BD	0	972
Dhue	A	0506	Dhoaeng	B241531-8	 	Ni Po 		102	NaVa	F5 V D	{ -1 }	(943+3)	[646B]	B	0	324
Dhue	A	0508	Dzuegaerrghaerra	D89A259-6	 	Lo Wa 		402	NaVa	F0 V	{ -3 }	(510+2)	[5126]	B	0	10
Dhue	E	0518	Zolvuergvizoug	D677314-2	 	Lo 		520	Ko	F2 V	{ -3 }	(720-1)	[1164]	B	0	-14
Dhue	E	0519	Fontollthull	C510443-A	 	Ni 		220	Ko	F2 V	{ 0 }	(533+3)	[346A]	B	0	135
Dhue	I	0521	Thuerkfen	AAD898C-A	 	Hi 		201	Ko	M2 V D	{ 3 }	(48B-1)	[CC88]	BE	0	-352
Dhue	I	0525	Vousghun	B582875-8	 	Ph Ri 		801	Ko	F1 V D	{ 1 }	(878-2)	[A9A8]	BCe	0	-896
Dhue	I	0529	Vaedzaghavu	C65859B-3	 	Ag Ni 		401	NaVa	F7 V D	{ -1 }	(243+4)	[9473]	BC	0	96
Dhue	M	0534	Gvakhtoegzoul	A400414-9	 	Ni Va 		803	NaVa	F2 V	{ 0 }	(733+3)	[1499]	B	0	189
Dhue	M	0535	Gora Eguen	B556798-7	 	Ag 		102	NaVa	M2 V	{ 1 }	(868+1)	[8848]	BC	0	384
Dhue	A	0601	Vougrungoukskok	C310772-D	 	Na Pi 		223	NaVa	F9 V	{ 1 }	(A66+1)	[587B]	BD	0	360
Dhue	A	0603	Ukfinferrgkhaeg	E6445AE-2	 	Ag Ni 		801	NaVa	F8 V	{ -2 }	(642-1)	[4326]	BC	0	-48
Dhue	A	0610	Dhugakh	B34137A-7	 	He Lo Po 		401	NaVa	F3 V	{ -1 }	(920+3)	[4235]	B	0	54
Dhue	E	0611	Dhugakh	D341400-4	 	He Ni Po 		501	NaVa	F3 V	{ -3 }	(631+1)	[3116]	B	0	18
Dhue	E	0615	Aegunaez	D567000-0	 	Ba 		004	Ko	K8 V	{ -3 }	(700-2)	[0000]	B	0	-14
Dhue	I	0623	Aenguzus	E210200-4	 	Lo 		300	Ko	M0 V	{ -3 }	(510-5)	[6176]	B	0	-25
Dhue	I	0626	Rukhtsokhaedh	E326586-2	 	Ni 		934	Ko	M1 V D	{ -3 }	(940-4)	[2245]	B	0	-144
Dhue	M	0631	Nazaeghuzu	CA5A434-7	 	Ni Oc 		703	NaVa	F5 V D	{ -2 }	(730-1)	[6275]	B	0	-21
Dhue	M	0634	Gaeoungar	C210898-9	 	Na Pi Ph 		101	NaVa	F9 V D	{ 0 }	(978+4)	[7869]	BDe	0	2016
Dhue	M	0635	Llaedza	B9B479D-7	 	Fl 		800	NaVa	M1 V D	{ 0 }	(568-3)	[5714]	B	0	-720
Dhue	M	0640	Koedhighokses	C547576-4	 	Ag Ni 		801	NaVa	G2 V	{ -1 }	(C41-1)	[4498]	BC	0	-48
Dhue	A	0702	Tsaerraroekghaerrg	B737405-A	 	Ni 		514	NaVa	K5 V	{ 1 }	(C34+3)	[357A]	B	0	432
Dhue	A	0706	Thukhighuell	EA69679-6	 	Ni Ri 		804	NaVa	F7 V D	{ -2 }	(952-1)	[4447]	BC	0	-90
Dhue	A	0709	Dhukhazeg	A867673-8	 	Ag Ri Ga Ni 	B	902	NaVa	F1 V M2 V D	{ 1 }	(757+1)	[575D]	BC	0	245
Dhue	A	0710	Vonadak	D4477CC-3	 	Ag Pi 		502	NaVa	G4 V D	{ -1 }	(768-3)	[4645]	BCD	0	-1008
Dhue	E	0714	Dhukhaeghze	C8679DG-8	 	Ga Hi Pr 	B	302	Ko	G5 V M2 V D	{ 0 }	(B85+3)	[A959]	BcE	0	1320
Dhue	I	0725	Naeo	D100435-6	 	Ni Va 		212	Ko	F9 IV	{ -3 }	(A30+2)	[8115]	B	0	60
Dhue	I	0729	Voeroe	C300543-5	 	Ni Va 		503	NaVa	K2 V D	{ -2 }	(341-1)	[5337]	B	0	-12
Dhue	M	0733	Nathikhkfin	B582103-9	 	Lo 		612	NaVa	F4 V	{ 0 }	(B00+1)	[3129]	B	0	11
Dhue	A	0803	Kfoeksrrengan	A5956BB-B	 	Ag Ni 		300	NaVa	F5 V	{ 2 }	(B55+1)	[681A]	BC	0	275
Dhue	E	0812	Zaengnouaeknunurr	C532883-9	 	Na Po Ph 		625	Ko	F0 V	{ 0 }	(C73+1)	[682A]	Be	0	252
Dhue	I	0821	Gveturrgogh	A7845AA-9	 	Ag Pr Ni 		500	Ko	F6 V	{ 1 }	(842-2)	[5657]	BcC	0	-128
Dhue	I	0822	Gough Zuel	E79A430-8	 	Ni Wa 		400	Ko	F6 V	{ -3 }	(A30-2)	[2189]	B	0	-60
Dhue	I	0824	Thodo	C6768CC-3	 	Pa Pi Ph 		536	Ko	F1 V D	{ -1 }	(775+1)	[B762]	BcDe	0	245
Dhue	I	0826	Duerroungugh	A544757-9	 	Ag Pi 		902	Ko	F8 V	{ 2 }	(B6B+4)	[3938]	BCD	0	2904
Dhue	I	0827	Goranazorr	D400458-6	 	Ni Va 		502	Ko	F8 V	{ -3 }	(630+2)	[9151]	B	0	36
Dhue	I	0829	Kirrothorz	C766587-7	 	Ag Pr Ga Ni 		412	NaVa	F4 V	{ -1 }	(945-2)	[94A3]	BcC	0	-360
Dhue	M	0832	Ghuenrarrgh	D210300-1	 	Lo 		403	NaVa	F5 V M0 V	{ -3 }	(320+2)	[1193]	B	0	12
Dhue	F	0915	Dhirrgaez	A5458DD-9	 	Pa Pi Ph 		515	Ma	F8 V D	{ 1 }	(J74-1)	[5959]	BcDe	0	-504
Dhue	F	0918	Nagtueldhou	A58678B-B	 	Ag Ri 		203	By	F8 V	{ 4 }	(A68+4)	[BB5B]	BCf	0	1920
Dhue	J	0921	Kaatsoea	B160202-E	 	De Lo 		500	Ko	F3 V	{ 1 }	(A11+1)	[239D]	B	0	10
Dhue	J	0922	Kuerrar	AED6459-B	 	Ni 		700	Ko	F3 V	{ 1 }	(932+1)	[5569]	B	0	54
Dhue	J	0928	Ruggarrgh	B588446-B	 	Ni Pa 		702	NaVa	K6 V	{ 1 }	(C37-4)	[456A]	Bc	0	-1008
Dhue	J	0929	Roerrrangun	B564684-C	 	Ag Ri Ni 		223	NaVa	F1 V	{ 3 }	(F59+4)	[993C]	BC	0	2700
Dhue	N	0931	Noefaes	C673203-A	 	Lo 		117	NaVa	F7 V G4 V D	{ 0 }	(F10-4)	[2298]	B	0	-60
Dhue	N	0933	Dzaghuekhurrg	C524578-9	 	Ni Px 		100	NaVa	F2 V	{ -1 }	(A42-1)	[245A]	B	0	-80
Dhue	N	0937	Luekhaenoethull	C200336-B	 	Lo Va 		903	NaVa	F8 V D	{ 0 }	(B20-4)	[138B]	B	0	-88
Dhue	B	1002	Doutaelfoutsok	E755111-4	 	Ga Lo 		512	NaVa	F1 V	{ -3 }	(300+3)	[1125]	B	0	9
