Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dush	D	0238	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0338	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0340	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0435	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0439	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0440	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0535	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0538	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0539	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0633	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0634	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0635	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0636	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0637	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0638	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0639	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0732	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0733	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0734	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0735	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0737	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0831	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0832	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0834	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0835	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0836	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	0930	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1024	Khurisi	A586A98-K	DS			412	Hg	F4 V	{ 5 }	(A9C+2)	[AF5K]		7	2160
Dush	D	1025	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1028	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1128	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1129	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1130	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1225	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1226	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1227	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1230	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1326	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1327	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1328	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1421	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1422	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1426	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1428	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1429	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1430	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1522	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1523	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1524	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1525	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1529	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1720	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1820	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1916	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1917	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1918	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	1919	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2015	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2118	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2119	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2120	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2213	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2216	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2220	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2312	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2313	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2315	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2316	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2317	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2320	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2410	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
Dush	D	2509	?	???????-?				???	Na	?	{ ? }	(000-0)	[0000]		?	0
