Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Eiap	A	0103	Iaprpef-70	X110000-0	 	Ba 		014	Wild	G5 V	{ -3 }	(800-5)	[0000]	B	13	-40
Eiap	A	0109	Ilbriadl-3	X878000-0	 	Ba 		023	Wild	K1 V	{ -3 }	(900+5)	[0000]	B	12	45
Eiap	M	0133	Qlavrr-28	X683000-0	 	Ba 		000	Wild	G7 V K0 V D	{ -3 }	(A00+1)	[0000]	B	4	10
Eiap	M	0136	Zdiaztl-73	X7B7000-0	 	Ba Fl 		014	Wild	G4 V M9 VI	{ -3 }	(600+1)	[0000]	B	15	6
Eiap	A	0204	Zhdia-61	X997000-0	 	Ba 		002	Wild	K5 V	{ -3 }	(700-1)	[0000]	B	9	-7
Eiap	E	0215	Zhdelshtanzh	X000000-9	 	As Va Di 		024	Wild	F7 V K8 VI	{ -2 }	(D00+3)	[0000]	B	10	39
Eiap	I	0226	Pokrchtiens	B884688-9	 	Ag Ri Ni 		212	Wild	K4 V M5 VI	{ 2 }	(954-1)	[6856]	BC	11	-180
Eiap	I	0227	Pleshtseikr	X657487-1	 	Ga Ni Pa 		300	Wild	A4 V F7 VI	{ -3 }	(330-1)	[1161]	Bc	8	-9
Eiap	I	0228	Ieplzensh-1	X100000-0	 	Ba Va 		002	Wild	K5 V M0 VI	{ -3 }	(A00+3)	[0000]	B	12	30
Eiap	M	0231	Iplpaf	X766000-0	 	Ba Ga 		024	Wild	G3 V	{ -3 }	(300+1)	[0000]	B	14	3
Eiap	A	0303	Dleiabl	X55A9A9-6	 	Hi Wa 		133	Wild	K9 V	{ -1 }	(285+4)	[6878]	BE	15	320
Eiap	A	0304	Zhienzneshr	X553577-0	 	Ni Po 		124	Wild	F7 III	{ -3 }	(843+2)	[1221]	B	15	192
Eiap	I	0322	Denshfafrenzh	X45A000-4	 	Di Wa 		001	Wild	G9 V K0 VI	{ -3 }	(300+5)	[0000]	B	5	15
Eiap	I	0323	Erpr	X635000-0	 	Ba 		020	Wild	M2 V BD BD	{ -3 }	(600-4)	[0000]	B	11	-24
Eiap	I	0325	Dajda	E313205-A	 	Ic Lo 		103	Wild	G5 V M4 VI	{ -1 }	(710+1)	[114A]	B	8	7
Eiap	I	0330	Chienzhva	X652000-3	 	Di Po 		024	Wild	M3 V	{ -3 }	(400+1)	[0000]	B	15	4
Eiap	M	0332	Breentebr-1	X586000-0	 	Ba 		033	Wild	F9 IV G9 V	{ -3 }	(600+1)	[0000]	B	16	6
Eiap	M	0337	Stijets	X544000-0	 	Ba 		023	Wild	A6 IV	{ -3 }	(800+5)	[0000]	B	14	40
Eiap	M	0340	Zdeltli-22	X8D4000-0	 	Ba 		005	Wild	G1 V	{ -3 }	(200-1)	[0000]	B	14	-2
Eiap	A	0401	Arebr	X65A000-4	 	Di Wa 		012	Wild	K4 V	{ -3 }	(A00+1)	[0000]	B	9	10
Eiap	A	0405	Freleblklinch	X533000-8	 	Di Po 		024	Wild	G6 II	{ -3 }	(C00+2)	[0000]	B	15	24
Eiap	A	0410	Zdiaqrd-13	X459000-0	 	Ba 		000	Wild	G6 V	{ -3 }	(600-4)	[0000]	B	6	-24
Eiap	E	0417	Jeptsaqrzda	X7C2000-9	 	Di Fl He 		000	Wild	A3 V F9 VI A9 V	{ -2 }	(700+3)	[0000]	B	9	21
Eiap	E	0418	Dliaple	C84A100-8	 	Lo Wa 		822	Wild	G5 V G2 VI	{ -2 }	(A00-3)	[1179]	B	8	-30
Eiap	E	0420	Qrieshlenzh	E588000-1	 	Di 		024	Wild	G2 IV M2 V G9 V	{ -3 }	(700-1)	[0000]	B	15	-7
Eiap	I	0421	Diachtiazh	D646212-4	 	Lo 		601	Wild	G6 V	{ -3 }	(710-2)	[1121]	B	14	-14
Eiap	I	0424	Proshtlastiej	X100000-B	 	Di Va 		022	Wild	G7 V	{ -1 }	(900+1)	[0000]	B	16	9
