Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Fadz	E	0113	Ghaererg	B9A2155-C	 	Fl He Lo 		820	Wild	F6 V	{ 1 }	(D01-5)	[2239]	B	0	-65
Fadz	E	0119	Dhuou	D596743-0	 	Ag Pi 		224	Wild	F7 V D	{ -1 }	(865+1)	[3691]	BCD	0	240
Fadz	I	0124	Rangoenghorar	E240545-A	 	De Ni Po 		602	Wild	F6 V D	{ -1 }	(A40-4)	[A469]	B	0	-160
Fadz	M	0131	Kiou	A534202-C	 	Lo 		428	Wild	M6 V D	{ 1 }	(L11+3)	[331G]	B	0	60
Fadz	M	0132	Voulorz	E849300-6	 	Lo 		928	Wild	K3 V 	{ -3 }	(720+2)	[814B]	B	0	28
Fadz	M	0133	Dovo	C748347-5	 	Lo 		104	Wild	F0 V 	{ -2 }	(920+1)	[1137]	B	0	18
Fadz	M	0134	Aersoen	C431898-4	 	Na Po Ph 		204	Wild	F0 V D	{ -1 }	(676+2)	[6779]	BcDe	0	504
Fadz	M	0135	Kadhaenikhs	B73A304-B	 	Lo Wa 		901	Wild	K5 V	{ 1 }	(321-1)	[143E]	B	0	-6
Fadz	M	0137	Kadduegh	A87498C-C	N 	Hi In 		401	Wild	G7 V	{ 4 }	(68A+4)	[BC4H]	BE	0	1920
Fadz	A	0201	Dzaerang	C655544-4	 	Ag Ga Ni 		725	Wild	G0 V D	{ -1 }	(640+4)	[4472]	BC	0	96
Fadz	A	0205	Ksoedhoks	D30047B-7	 	Ni Va 		402	Wild	M0 V	{ -3 }	(733+1)	[4164]	B	0	63
Fadz	E	0213	Khueksghan	B7A4441-B	 	Fl Ni 		100	Wild	F7 V	{ 1 }	(936+1)	[358D]	B	0	162
Fadz	E	0218	Ikaekoeng	E335677-3	 	Ni Px 		802	Wild	K0 V K6 V	{ -3 }	(553+5)	[4381]	B	0	375
Fadz	I	0221	Ghaksoenkz	D361643-3	 	Ni Ri 		704	Wild	F6 V	{ -2 }	(451-1)	[3438]	BC	0	-20
Fadz	I	0230	Radzaenodz	D334440-5	 	Ni 		707	Wild	G1 V D	{ -3 }	(430+5)	[3146]	B	0	60
Fadz	M	0232	Dzaetsaerr	B6A5334-9	 	Lo Fl 		307	Wild	K1 V D	{ 0 }	(F20+2)	[237A]	B	0	60
Fadz	M	0238	Ruekhsael	A596455-A	C 	Ni Pa 		114	Wild	F6 V	{ 1 }	(C33+1)	[955D]	Bc	0	108
Fadz	A	0304	Vudhgnaghz	B436343-A	 	Lo 		412	Wild	F4 V D	{ 1 }	(821+1)	[7417]	B	0	16
Fadz	A	0309	Angudhfuegh	C230573-7	 	De Ni Po 		702	Wild	M3 V	{ -2 }	(740+1)	[5325]	B	0	28
Fadz	A	0310	Soukhksaeng	C887473-7	 	Ga Ni Pa  		602	Wild	K6 V	{ -2 }	(730-1)	[3258]	B	0	-21
Fadz	E	0313	Saaet	B54447A-8	 	Ni Pa 		701	Wild	F5 V	{ -1 }	(734+4)	[1358]	Bc	0	336
Fadz	E	0314	Saaetsoukhksaeng	D435422-4	 	Ni   		501	Wild	G7 V	{ -3 }	(431+1)	[6181]	Bc	0	12
Fadz	E	0319	Gougzagvoe	C73697A-7	 	Hi 		905	Wild	G3 V D	{ 0 }	(587+3)	[D98A]	BE	0	840
Fadz	E	0320	Khedhol	D7369B7-5	 	Hi 		305	Wild	M5 V D	{ -1 }	(786+3)	[A878]	BE	0	1008
Fadz	I	0323	Llikhun	E767A9B-8	 	Ga Hi 		410	Wild	F8 V	{ -1 }	(794-2)	[8967]	BE	0	-504
Fadz	I	0324	Err Farrough	B532250-8	 	Lo Po 		300	Wild	M5 V	{ -1 }	(410+3)	[2129]	B	0	12
Fadz	M	0335	Ullian	A374303-B	C 	Lo 		107	Wild	F5 V D	{ 1 }	(H21+4)	[547E]	B	0	136
Fadz	M	0336	Err Dzaets	D374102-5	 	Lo 		607	Wild	G5 V D	{ -3 }	(A00+1)	[1152]	B	0	10
Fadz	M	0338	Duer Khueth	E573577-6	 	Ni 		713	Wild	K0 V D	{ -3 }	(C40+2)	[A278]	B	0	96
Fadz	M	0339	Dzalog	AB76444-C	C 	Ni Pa 		113	Wild	F0 V D	{ 1 }	(A33+1)	[7578]	B	0	90
Fadz	A	0401	Kfaengozil	C877586-7	 	Ag Ni 		810	Wild	F2 V	{ -1 }	(640+1)	[542C]	BC	0	24
Fadz	A	0404	Dzoegh	E232340-4	 	Lo Po 		300	Wild	G8 II	{ -3 }	(320+2)	[1155]	B	0	12
Fadz	A	0406	Dhustsogr	A340551-C	 	De He Ni Po 		307	Wild	K2 V D	{ 1 }	(B47+1)	[766D]	B	0	308
Fadz	A	0408	Rronguel	C2519B6-8	 	Hi Po 	B	315	Wild	F3 V D	{ 0 }	(B89-2)	[8945]	BE	0	-1584
Fadz	A	0410	Uenaerdz	C777352-8	 	Lo 		415	Wild	G3 V D	{ -2 }	(E20-3)	[4144]	B	0	-84
Fadz	E	0412	Rrughzel	B249689-8	 	Ni 		515	Wild	K3 V D	{ -1 }	(C51-1)	[7544]	B	0	-60
Fadz	E	0413	Ksoughlerr	A360504-B	 	De Ni Pr 	B	402	Wild	F0 V D	{ 1 }	(947+2)	[368A]	Bc	0	504
Fadz	E	0415	Zakhsoun	C210BFE-E	N 	Hi Na In 		103	Wild	G4 V	{ 3 }	(BA7-5)	[EE3E]	BE	0	-3850
Fadz	E	0419	Ngaeknonogh	B400541-A	 	Ni Va 		303	Wild	M0 V	{ 1 }	(745+2)	[66AA]	B	0	280
Fadz	I	0424	Llokhsuez	C73888B-8	 	Ph 		704	Wild	G5 V	{ -1 }	(C75+1)	[A77B]	Be	0	420
Fadz	M	0433	Onguerr	E546799-2	 	Ag Pi 		903	Wild	F9 V	{ -1 }	(564+1)	[4652]	BCD	0	120
Fadz	M	0434	Zounguerra	A864ABB-C	N 	Hi 		503	Wild	K7 V	{ 3 }	(A9D-1)	[8E5F]	BEf	0	-1170
Fadz	M	0437	Outsalae	E998876-4	 	Pa Pi Ph 		100	Wild	G1 V	{ -2 }	(677+2)	[A639]	BcDe	0	588
Fadz	M	0438	Gazrro	E225200-8	 	Lo 		202	Wild	A6 V	{ -3 }	(810-2)	[318A]	B	0	-16
Fadz	M	0439	Roerak	B749998-C	C 	Hi In 		602	Wild	K6 V	{ 4 }	(A8G+1)	[9D5A]	BEf	0	1280
Fadz	E	0515	Eloekhrarr	A678625-A	 	Ag Ni 		505	Wild	F8 V	{ 2 }	(D58-1)	[A87C]	BC	0	-520
Fadz	E	0517	Knourravoekhs	A000998-C	N 	As Va Hi Na In 		204	Wild	M5 V	{ 4 }	(A8A+2)	[9D5H]	BEf	0	1600
Fadz	E	0518	Kaeggaegzukan	C8C557A-9	 	Fl Ni 		901	Wild	K8 V	{ -1 }	(B41+2)	[644A]	B	0	88
Fadz	I	0523	Kiloekithkhik	B325643-7	 	Ni 		505	Wild	K8 V M6 V	{ -1 }	(A53+1)	[2577]	B	0	150
Fadz	M	0537	Ikhsorrgrrudz	B510544-6	 	Ni 		520	Wild	A0 V	{ -1 }	(B42+1)	[6467]	B	0	88
Fadz	A	0606	Ragvuoroeng	C542422-2	 	He Ni Po 		923	Wild	F3 V	{ -2 }	(830-3)	[7221]	B	0	-72
Fadz	A	0608	Ruuegzaladh	D3427BB-7	 	He Pi Po 		502	Wild	F0 V	{ -2 }	(466-3)	[8537]	BD	0	-432
Fadz	E	0611	Voghzaks	B78A875-B	C 	Ri Ph Wa 		102	Wild	G0 V	{ 3 }	(57A-2)	[9A6C]	BDe	0	-700
Fadz	E	0613	Goenaelkfoungtsing	E340556-8	 	De He Ni Po 		902	Wild	F4 V	{ -3 }	(E42-3)	[327C]	B	0	-336
Fadz	E	0615	Garrarro	XAD6400-0	 	Ni 		905	Wild	M2 V M2 V	{ -3 }	(631-1)	[6171]	B	0	-18
Fadz	E	0617	Dhegu	C460400-9	 	De Ni 		401	Wild	F0 V	{ -1 }	(635+1)	[4355]	B	0	90
Fadz	E	0618	Uroedhfuez	D000276-8	 	As Va Lo 		724	Wild	F2 V D	{ -3 }	(C10-1)	[1177]	B	0	-12
Fadz	I	0621	Vanaerrglloghz	C210420-4	 	Ni 		410	Wild	F1 V	{ -2 }	(C33+3)	[5243]	B	0	324
Fadz	I	0623	Kfoekuthuegvue	D8B4643-5	 	Fl Ni 		603	Wild	K2 V	{ -3 }	(950+2)	[7363]	B	0	90
Fadz	I	0625	Laeghaghz	X350759-0	 	De Po 		610	Wild	F1 V	{ -2 }	(865-2)	[7511]	B	0	-480
Fadz	I	0628	Fakhsdhaerzae	A332124-C	 	Lo Po 		402	Wild	M3 V	{ 1 }	(601-4)	[123C]	B	0	-24
Fadz	I	0630	Knoghkoughae	E532401-2	 	Ni Po 		302	Wild	F6 V	{ -3 }	(833+2)	[2162]	B	0	144
Fadz	M	0636	Odugh	E447698-6	 	Ag Ni 		702	Wild	M7 II	{ -2 }	(650+3)	[6345]	B	0	90
Fadz	M	0639	Kfuegvoerrodz	AAE3635-9	 	Ni 		504	Wild	F2 V	{ 0 }	(E56+1)	[6648]	B	0	420
Fadz	A	0702	Nokferr	C98838C-4	 	Lo 	B	200	Wild	F4 V	{ -2 }	(720-4)	[1142]	B	0	-56
Fadz	A	0706	Ghaeaki	A434222-D	 	Lo 		702	Wild	G2 V M8 V	{ 1 }	(911+4)	[137B]	B	0	36
Fadz	A	0709	Gzuekh	A531100-9	 	Lo Po 		502	Wild	K6 V M0 V	{ 0 }	(C00-5)	[124B]	B	0	-60
Fadz	E	0712	Ghikhaers	A7A4A97-A	N 	Fl Hi In 		304	Wild	M3 III M8 V	{ 4 }	(D9C-4)	[DE2B]	BEf	0	-5616
Fadz	I	0726	Kirraerr	B754645-3	 	Ag Ni 		815	Wild	K3 V D	{ 0 }	(754+4)	[5658]	BC	0	560
Fadz	I	0728	Raelloungue	A79A101-7	 	Lo Wa 		615	Wild	K3 V D	{ -1 }	(B00+1)	[1145]	B	0	11
Fadz	M	0732	Gakhsadall	E645331-6	 	Lo 		323	Wild	F9 V G7 V	{ -3 }	(620-2)	[7172]	B	0	-24
Fadz	M	0733	Urzvaeng	E5A6478-6	 	Ni Fl 		823	Wild	F5 V K7 V	{ -3 }	(233+3)	[517B]	Bc	0	54
Fadz	M	0738	Khuedor	A687277-8	 	Ga Lo 		803	Wild	F1 V D	{ -1 }	(A10-2)	[218B]	B	0	-20
Fadz	M	0740	Llorrarg	C99737B-6	 	Lo 		610	Wild	F0 V D	{ -2 }	(820+1)	[2139]	B	0	16
Fadz	A	0801	Veakouna	E746520-5	 	Ag Ni 		803	Wild	F4 V	{ -2 }	(740+1)	[8349]	BC	0	28
Fadz	A	0802	Taeg Gighoull	E688337-5	 	Lo 		603	Wild	F4 V	{ -3 }	(320+4)	[1183]	B	0	24
Fadz	A	0803	Ghauek Feaengu	B537678-8	 	Ni 		603	Wild	F4 V	{ -1 }	(B53+4)	[4669]	BC	0	660
Fadz	A	0804	Knaeng Sueg	C100414-C	 	Ni Va 		300	Wild	M8 V	{ 0 }	(832+1)	[241E]	B	0	48
Fadz	A	0807	Gaefae	E896653-3	 	Ag Ni 		204	Wild	F0 V	{ -2 }	(852-4)	[54A1]	BC	0	-320
Fadz	E	0812	Dzaersaesae	C542388-6	 	He Lo Po 		511	Wild	G6 V	{ -2 }	(C20-1)	[113A]	B	0	-24
Fadz	E	0814	Goenarrghakhsugz	D784000-D	 	Di 		000	Wild	F7 V D	{ -1 }	(500+1)	[0000]	B	0	5
Fadz	E	0815	Kfagonguae	C120588-9	 	De Ni Po 		919	Wild	M0 V D	{ -1 }	(J43-5)	[A448]	B	0	-1080
Fadz	E	0818	Rrosokh	C775754-9	 	Ag Pi 		910	Wild	F6 V D D	{ 1 }	(867+1)	[8849]	BCD	0	336
Fadz	E	0819	Kaegzzong	B665211-9	 	Ga Lo 		600	Wild	F3 V M1 V	{ 0 }	(710+2)	[1238]	B	0	14
Fadz	I	0821	Guvaer	BA98852-4	 	Pa Pi Ph 		306	Wild	F8 V D	{ 0 }	(777+3)	[6836]	BcDe	0	1029
Fadz	I	0826	Kfoksoudhrrigha	B422799-7	 	He Na Pi Po 		422	Wild	M8 V	{ 0 }	(46A-1)	[6757]	BD	0	-240
Fadz	M	0831	Koeghzongorrae	C352375-6	 	Lo Po 		705	Wild	F6 V D	{ -2 }	(720+4)	[3177]	B	0	56
Fadz	M	0833	Ghaerruekakh	C441453-A	 	He Ni Po 		504	Wild	F1 V D	{ 0 }	(934-4)	[443D]	B	0	-432
Fadz	B	0901	Gvaenuek Saer	C540338-8	 	De He Lo Po 		100	Wild	F4 V	{ -2 }	(A20-1)	[219C]	B	0	-20
Fadz	B	0902	Saersoekhdez	A986674-B	C 	Ag Ri Ni 		700	Wild	G5 V	{ 3 }	(755+1)	[773B]	B	0	175
Fadz	B	0903	Taeg Vaenu	A744223-C	 	Lo 		300	Wild	K1 V	{ 1 }	(711+2)	[735B]	B	0	14
Fadz	B	0905	Lleo Kaets	BB85896-9	 	Ri Pa Ph  	B	400	Wild	F3 V	{ 2 }	(775+2)	[8965]	BDe	0	490
Fadz	F	0913	Tsavaekell	A362AA7-B	N 	Hi 		602	Wild	F0 V D	{ 3 }	(898-2)	[6D6G]	BE	0	-1152
Fadz	F	0919	Kfoukhs	D610375-5	 	Lo 		504	Wild	G1 V M3 V	{ -3 }	(820+2)	[1132]	B	0	32
Fadz	J	0927	Zoullakhael	B884977-B	C 	Hi Pr 		202	Wild	G8 V	{ 3 }	(B8B-1)	[8C2B]	BcE	0	-968
Fadz	J	0930	Zaaesikhoe	B5527AF-6	 	Po 		103	Wild	F9 V	{ 0 }	(965+1)	[3716]	B	0	270
Fadz	N	0932	Gherouz	B243220-9	 	Lo Po 		814	Wild	F7 V	{ 0 }	(C10+2)	[4289]	B	0	24
Fadz	N	0938	Agaknae	E778321-6	 	Lo 		313	Wild	F6 V	{ -3 }	(420+4)	[7144]	B	0	32
Fadz	B	1003	Adhagvaedoe	B140577-A	 	De Ni Po 		221	Wild	F1 V	{ 1 }	(A45+2)	[A687]	B	0	400
Fadz	B	1005	Korzoukul	X9C4342-2	 	Fl Lo 		203	Wild	K8 V	{ -3 }	(320-4)	[6151]	B	0	-24
Fadz	B	1007	Foekseaerr	E582100-7	 	Lo 	B	605	Wild	F5 V D	{ -3 }	(500-3)	[1167]	B	0	-15
Fadz	B	1010	Zakhsoukh	C69659D-7	 	Ag Ni 		602	Wild	F7 V	{ -1 }	(642-1)	[3457]	BC	0	-48
Fadz	F	1014	Thallourrg	B3429A8-A	C 	He Hi In Po 		402	Wild	F5 V	{ 4 }	(E89+5)	[8D39]	BEf	0	5040
Fadz	F	1016	Sarsgough	C9A1789-6	 	Fl He 		401	Wild	K5 V D	{ -1 }	(969-1)	[6623]	B	0	-486
Fadz	F	1018	Vaghueoe Fenoung	B373794-B	 	Pi 		604	Wild	M7 V	{ 2 }	(C6B+4)	[9916]	BD	0	3168
Fadz	J	1024	Vuersanue Khuen	B672899-9	 	He Ph Pi 		110	Wild	F3 V	{ 1 }	(878-1)	[8928]	BDe	0	-448
Fadz	J	1028	Koeae	A97A978-D	N 	Hi In Wa 		801	Wild	F7 V D	{ 4 }	(88E+1)	[7D8D]	BEf	0	896
Fadz	N	1036	Knougthangvuen	X626334-1	 	Lo 		132	Wild	G0 V D	{ -3 }	(720+2)	[3153]	B	0	28
Fadz	N	1039	Thalrueloukhs	B9D06B7-6	 	Ni 		904	Wild	G9 V	{ -1 }	(251+3)	[A556]	B	0	30
Fadz	N	1040	Kfuegh Zdorgvung	B9797CE-7	 	Pi		804	Wild	K6 V	{ 0 }	(966+1)	[A729]	B	0	324
Fadz	B	1104	Kfoang Ksoeg	E100877-3	 	Na Pi Ph Va 		700	Wild	M2 V	{ -2 }	(371+1)	[5658]	BDe	0	21
Fadz	B	1105	Khaekhug	DBFA544-5	 	Ni Oc 		500	Wild	F2 V	{ -3 }	(642-1)	[3237]	B	0	-48
Fadz	B	1107	Kothongkharz	C436ADG-B	C 	Hi 		424	Wild	F7 V D D	{ 2 }	(99D+4)	[BC3A]	BE	0	4212
Fadz	F	1114	Dueknounora	B140577-A	 	De Ni Po 		113	Wild	F4 V D	{ 1 }	(F43+3)	[366F]	B	0	540
Fadz	F	1115	Sikhossun	D96549D-6	 	Pa Ni  		513	Wild	F1 V K7 V	{ -3 }	(232+1)	[4177]	B	0	12
