Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Farf	A	0101	Vrialmanj	E573000-7	 	Di 		004	Wild	K0 V	{ -3 }	(700-1)	[0000]	B	17	-7
Farf	A	0105	Jdinz	B4278AA-9	 	Ph Pi 		120	Wild	M3 III M1 V	{ 1 }	(C78+1)	[C96C]	BDe	9	672
Farf	A	0108	Chtanshar	A95A378-D	 	Lo Wa 		801	Wild	F1 V	{ 1 }	(721-1)	[5458]	B	12	-14
Farf	A	0109	Ishashiel	X774000-8	 	Di 		003	Wild	K1 V	{ -3 }	(900-1)	[0000]	B	15	-9
Farf	A	0110	Tsief	C200572-A	W	Ni Va 		402	Wild	M0 V	{ 1 }	(945+5)	[764A]	B	14	900
Farf	E	0111	Zhiafefezh	E200000-0	 	Ba Va 		024	Wild	G4 IV	{ -3 }	(B00+3)	[0000]	B	14	33
Farf	E	0115	Blieplitl	B663841-8	 	Ph Ri 		304	Wild	M0 V	{ 1 }	(F76+2)	[7946]	BCe	11	1260
Farf	E	0116	Zhans	E564000-0	 	Ba 		024	Wild	G6 V	{ -3 }	(B00+1)	[0000]	B	14	11
Farf	E	0117	Ievrchipr	E431000-8	 	Di Po 		004	Wild	M1 V	{ -3 }	(B00-3)	[0000]	B	16	-33
Farf	E	0119	Kitl	E000420-8	W	As Va Ni 		102	Fb	M1 V	{ -2 }	(731-1)	[7277]	B	12	-21
Farf	I	0123	Acropolis	B887779-5	 	Ag Ri Ga 		822	Wild	G6 V	{ 2 }	(469-4)	[A955]	BC	9	-864
Farf	I	0124	Belekz	A553331-A	 	Lo Po 		800	Wild	F8 V	{ 1 }	(621-3)	[4418]	B	5	-36
Farf	I	0125	Drawmij	E569972-6	 	Hi Pr 		503	Wild	G9 V	{ -1 }	(B86+4)	[6863]	BcE	9	2112
Farf	I	0128	Salinaikin	D000000-E	 	As Va Di 		013	Wild	M7 III	{ -1 }	(600+3)	[0000]	B	9	18
Farf	M	0134	Echocha	E543000-9	 	Di Po 		004	Wild	G6 V	{ -2 }	(A00-2)	[0000]	B	12	-20
Farf	M	0138	Follette	D552488-7	 	Ni Po 		900	Wild	F5 V	{ -3 }	(731+2)	[315C]	B	13	42
Farf	A	0205	Iketlshi'	X200000-B	 	Di Va 		022	Wild	M1 V	{ -1 }	(C00-1)	[0000]	B	15	-12
Farf	A	0207	Jdadlvetl	E300453-A	 	Ni Va 		103	Wild	G1 V	{ -1 }	(935-2)	[136C]	B	9	-270
Farf	E	0216	Tlefiatsekr	E546432-A	 	Ni Pa 		300	Wild	M2 V M7 V	{ -1 }	(831+1)	[5395]	Bc	9	24
Farf	I	0225	Natlus	D859000-7	 	Di 		011	Wild	F2 V	{ -3 }	(600+1)	[0000]	B	7	6
Farf	I	0226	Stamfor	D542000-6	 	Di He Po 		013	Wild	K7 V	{ -3 }	(A00+1)	[0000]	B	11	10
Farf	I	0228	Arbelletia	X435000-9	 	Di 		011	Wild	G4 V	{ -2 }	(700+4)	[0000]	B	8	28
Farf	I	0229	Yith	E423000-C	 	Di Po RsE 		011	Wild	K6 V M8 V	{ -1 }	(800+1)	[0000]	B	6	8
Farf	M	0232	Hrilopar	E622000-7	 	Di He Po 		012	Wild	M1 V M3 V	{ -3 }	(500-3)	[0000]	B	13	-15
Farf	M	0236	Reseca	C565998-A	 	Hi Pr 		103	Wild	G7 V D	{ 2 }	(E87+1)	[8B89]	BcE	11	784
Farf	M	0237	Ort	C66A9AC-B	 	Hi Pr Wa 		520	Wild	F4 V D	{ 2 }	(A88+1)	[8B6A]	BcE	9	640
Farf	M	0240	Velpore	EA99000-8	 	Di 		000	Wild	F8 V D	{ -3 }	(600+1)	[0000]	B	9	6
Farf	A	0301	Iajerekl	B548543-9	 	Ag Ni 		404	Wild	M0 V M6 V D	{ 1 }	(C47+1)	[5657]	BC	8	336
Farf	A	0308	Drprent	E534000-0	 	Ba 		013	Wild	G7 III M2 V	{ -3 }	(900-1)	[0000]	B	10	-9
Farf	A	0310	Pie'a	C2005A9-A	 	Ni Va 		600	Wild	M4 II M0 V	{ 0 }	(842+3)	[652A]	B	7	192
Farf	E	0311	Tlabratl	E683473-2	 	Ni 		402	Wild	M2 V M5 V	{ -3 }	(632-1)	[5131]	B	7	-36
Farf	E	0312	Shaapl	D6A08AC-8	 	He Ph 		114	Wild	K4 IV M3 V	{ -2 }	(F74-2)	[868D]	Be	12	-840
Farf	E	0315	Zdiplil	X672000-6	 	Di He 		013	Wild	M0 V	{ -3 }	(700+4)	[0000]	B	9	28
Farf	I	0322	Carcosa	X400000-0	 	Ba Va 		011	Wild	F1 III M3 V D	{ -3 }	(200+1)	[0000]	B	5	2
Farf	I	0324	Pleroo	CA86679-4	 	Ag Ri Ni 		832	Wild	M1 V	{ 0 }	(856+1)	[6644]	BC	10	240
Farf	I	0326	Bytar	D435000-E	 	Di 		001	Wild	K8 V	{ -1 }	(500-3)	[0000]	B	9	-15
Farf	I	0327	Mitra	A975359-E	 	Lo 		503	Wild	M3 V	{ 1 }	(A21+4)	[145J]	B	9	80
Farf	I	0329	Al-Jebel	X430000-C	 	De Di Po 		001	Wild	G7 V	{ -1 }	(700+1)	[0000]	B	7	7
Farf	M	0332	Charon	X542000-0	 	Ba He Po 		020	Wild	G8 V	{ -3 }	(200+2)	[0000]	B	11	4
Farf	M	0334	Ralcoan	C782633-5	 	Ni Ri 		624	Wild	F3 V	{ -1 }	(954+1)	[8594]	BC	17	180
Farf	M	0340	Onada	C767ADE-D	 	Ga Hi 		800	Wild	F6 V D	{ 2 }	(895+1)	[7C2G]	BE	6	360
Farf	A	0401	Etsseltses	E598000-5	 	Di Droy3 		024	Wild	F7 III M3 V	{ -3 }	(500-1)	[0000]	B	15	-5
Farf	A	0406	Vibrie	B424676-C	 	Ni Px 		904	Wild	K6 V	{ 1 }	(D57+4)	[878F]	B	12	1820
Farf	A	0409	Olabl	C000314-9	 	As Va Lo 		902	Wild	G6 V	{ -1 }	(920+1)	[3297]	B	6	18
Farf	A	0410	Petszdeneh	D654000-8	 	Di 		022	Wild	M2 V M5 V	{ -3 }	(A00+5)	[0000]	B	7	50
Farf	E	0411	Chiafchti	C430454-7	 	De Ni Po 		514	Wild	M0 V	{ -2 }	(634+3)	[7215]	B	10	216
Farf	E	0412	Iatsoprrel	E591000-0	 	Ba He 		010	Wild	M0 V	{ -3 }	(500+5)	[0000]	B	12	25
Farf	E	0414	Drrshapl	EA7A000-0	 	Ba Oc 		014	Wild	F2 IV	{ -3 }	(400-3)	[0000]	B	13	-12
Farf	E	0415	Lochtiakr	E696000-0	 	Ba 		002	Wild	M1 V	{ -3 }	(500-4)	[0000]	B	12	-20
Farf	E	0416	Zdichiaeshda	E310000-0	 	Ba 		005	Wild	G4 V M7 V	{ -3 }	(800-4)	[0000]	B	13	-32
Farf	E	0419	Mei	B422874-B	 	He Na Pi Po Ph 		105	Wild	M1 V	{ 2 }	(F7E+1)	[5A5D]	BDe	12	1470
Farf	E	0420	Encheishe	E433697-6	 	Na Px Po Ni 		412	Fb	K8 V M6 V	{ -3 }	(853-1)	[5361]	B	7	-120
Farf	I	0425	Manchu	D000000-D	 	As Va Di 		011	Wild	K8 V M6 V D	{ -1 }	(400-1)	[0000]	B	6	-4
Farf	I	0426	Kretakios	E998000-6	 	Di 		011	Wild	M8 III	{ -3 }	(600+4)	[0000]	B	11	24
Farf	I	0428	Maried	A656610-B	 	Ag Ga Ni 		201	Wild	G0 V	{ 2 }	(955+1)	[685C]	BC	9	225
Farf	I	0430	Atlantis	E768978-6	 	Hi Pr 		411	Wild	F0 V	{ -1 }	(B85+1)	[A868]	BcE	8	440
Farf	M	0434	Zherlicka	A866856-D	 	Ga Pa Ri Ph 		324	Wild	F9 V D	{ 3 }	(H7C+2)	[5B49]	BcCe	17	2856
Farf	M	0435	Zephron	B651999-C	 	Hi Po 		214	Wild	G9 V	{ 3 }	(G88+1)	[EC2F]	BE	12	1024
Farf	M	0436	Mamnon	B583410-B	 	Ni 		120	Wild	F3 V D	{ 1 }	(C32-1)	[253B]	B	13	-72
Farf	M	0439	Thara	C678659-7	 	Ag Ni 		724	Wild	G7 V	{ -1 }	(950+2)	[7548]	BC	13	90
Farf	M	0440	Endomin	B7655A7-B	 	Ag Pr Ga Ni 		925	Wild	F3 V	{ 2 }	(H47+1)	[771F]	BcC	18	476
Farf	A	0506	Dinotlbrrmsh	A636598-D	 	Ni 		423	Wild	K4 V	{ 1 }	(D43-2)	[768C]	B	15	-312
Farf	A	0507	Yiantsiensh	B7A3644-7	 	Fl Ni 		914	Wild	G7 V M9 V	{ -1 }	(C55-4)	[855A]	B	14	-1200
Farf	A	0508	Driar	B886177-5	 	Ga Lo 		403	Wild	M2 V	{ -1 }	(800+1)	[1158]	B	12	8
Farf	A	0509	Nezhiezh	B668778-8	 	Ag Ri 		903	Wild	M2 V M9 V	{ 2 }	(A69+1)	[5957]	BC	12	540
Farf	A	0510	Iblents	X00079A-6	 	As Va Na Pi 		521	Wild	M0 V	{ -2 }	(962-4)	[8524]	BD	11	-432
Farf	E	0519	Zdetsiz	D688851-7	 	Pa Ri Ph 		612	Wild	G0 V M6 V	{ -1 }	(77B-2)	[B743]	BcCe	10	-1078
Farf	E	0520	Shtichnebsta	E523000-0	 	Ba Po 		003	Fb	M3 V	{ -3 }	(200+1)	[0000]	B	10	2
Farf	I	0523	Sere	E631447-8	 	Ni Px Po 		401	Wild	G1 V	{ -3 }	(832-1)	[8138]	B	9	-48
Farf	I	0524	Servaas	CA97626-5	 	Ag Ni 		711	Wild	M3 III M2 V	{ -1 }	(A55+1)	[9578]	BC	7	250
Farf	I	0526	Dunsel	D762ACC-5	 	Hi 		422	Wild	F8 V	{ -1 }	(A94-3)	[6953]	BE	14	-1080
Farf	I	0528	Summer	E886586-7	 	Ag Pr Ga Ni 		201	Wild	M0 V	{ -2 }	(840+4)	[6349]	BcC	5	128
Farf	I	0530	Roentgen	E8C7000-9	 	Di Fl 		022	Wild	A8 V	{ -2 }	(900+1)	[0000]	B	10	9
Farf	M	0533	Emorie	E651512-3	 	Ni Po 		203	Wild	F5 V	{ -3 }	(741-2)	[7242]	B	9	-56
Farf	M	0534	Sherzade	BA95732-9	 	Ag Pi 		904	Wild	F6 V D	{ 2 }	(C6B+1)	[79A9]	BCD	13	792
Farf	M	0537	Aemelius	C311577-9	 	Ic Ni 		404	Wild	G4 IV	{ -1 }	(B42-1)	[7458]	B	14	-88
Farf	A	0602	Jianehzdeneh	D313677-7	 	Ic Na Ni 		400	Wild	G3 V	{ -3 }	(851-3)	[6364]	B	5	-120
Farf	A	0603	Zho'prer	XAD67BB-2	 			403	Wild	M2 III	{ -2 }	(964+1)	[5594]	B	9	216
Farf	A	0606	Raplel	E552000-5	 	Chir0 Di Po 		011	Wild	M3 V M8 V	{ -3 }	(600+3)	[0000]	B	8	18
Farf	A	0609	Detsia	D99A000-E	 	Di Wa 		000	Wild	M2 V	{ -1 }	(400+3)	[0000]	B	6	12
Farf	A	0610	Aehkeiqr	X544000-9	 	Di 		004	Wild	G9 V	{ -2 }	(A00-3)	[0000]	B	11	-30
Farf	E	0611	Stonziats	E62A797-5	 	Pi 		403	Wild	M1 V M7 V	{ -2 }	(C65-4)	[8566]	BD	11	-1440
Farf	E	0613	Yachblitlianj	E78678D-4	W	Ag Ri Ga 		403	Wild	M0 V M2 V	{ 1 }	(A69+3)	[7893]	BC	7	1620
Farf	E	0614	Jdezhsidlaj	E9D4000-7	 	Di 		014	Fb	G4 II	{ -3 }	(600-3)	[0000]	B	12	-18
Farf	E	0616	Pridrda	B426685-A	 	Ni 		914	Fb	G2 V	{ 1 }	(E57+3)	[A73A]	B	13	1470
Farf	E	0617	Chtarpiv	X424000-A	 	Di 		012	Fb	F6 V	{ -1 }	(C00-2)	[0000]	B	16	-24
Farf	E	0620	Zimbir	X400000-8	 	Di Va 		001	Fb	M1 V	{ -3 }	(600+1)	[0000]	B	8	6
Farf	I	0623	Dreamland	E431000-9	 	Di Po 		012	Wild	M2 V	{ -2 }	(900+1)	[0000]	B	8	9
Farf	I	0625	Tanner	A7639BE-6	 	Hi Pr 		502	Wild	A7 V	{ 1 }	(B85+2)	[BA89]	BcE	9	880
Farf	I	0630	Hali	D8A6000-B	 	Di Fl 		011	Wild	G7 V	{ -1 }	(A00-4)	[0000]	B	7	-40
Farf	M	0631	Jellicoe	X774000-8	 	Di 		004	Wild	F0 V	{ -3 }	(E00+1)	[0000]	B	15	14
Farf	M	0634	Rondomin	B311795-8	 	Ic Na Pi 		420	Wild	M1 V	{ 0 }	(B66+5)	[776A]	BD	10	1980
Farf	M	0636	Domitar	D543000-8	 	Di Po 		001	Wild	F3 V	{ -3 }	(700+2)	[0000]	B	9	14
Farf	M	0638	Meruritom	EBA2000-A	 	Di Fl He 		013	Wild	K3 V	{ -1 }	(B00+3)	[0000]	B	11	33
Farf	M	0640	Balin	E000000-B	 	As Va Di RsG 		000	Wild	A7 V G7 V	{ -1 }	(500+5)	[0000]	B	7	25
Farf	A	0702	Oviedavla	C787578-4	 	Ag Pr Ga Ni 		424	Wild	M0 V M1 V M7 V	{ -1 }	(843+1)	[3427]	BcC	11	96
Farf	A	0707	Bintie	EA8A000-0	 	Ba Oc 		022	Wild	M4 II M7 V	{ -3 }	(900+3)	[0000]	B	13	27
Farf	E	0712	Yopliabr	E779844-5	 	Ph Pi 		300	Wild	M1 V	{ -2 }	(A77-4)	[9678]	BDe	11	-1960
Farf	E	0714	Ieantsoz	B7B0754-B	W	He 		905	Wild	G5 V M4 V	{ 3 }	(F6C+1)	[9A3E]	B	10	1080
Farf	E	0716	Adlshtadl	E411000-E	 	Di Ic 		004	Fb	K1 V	{ -1 }	(B00+1)	[0000]	B	11	11
Farf	I	0722	Drako	B8659AC-8	 	Ga Hi Pr 		312	Wild	M2 V	{ 1 }	(D84-1)	[CA77]	BcE	8	-416
Farf	I	0727	Nehagen	E677656-2	 	Ag Ni 		821	Wild	G7 V	{ -2 }	(A50-4)	[2417]	BC	8	-200
Farf	I	0730	Groneitz	C696331-6	 	Lo 		622	Wild	F6 V	{ -2 }	(920+1)	[4146]	B	12	18
Farf	M	0732	Dingus	E776000-5	 	Di 		002	Wild	G7 V	{ -3 }	(400-1)	[0000]	B	10	-4
Farf	M	0734	Ichita	C582674-8	 	Ni Ri 		223	Wild	F7 V D	{ -1 }	(E55-4)	[951B]	BC	17	-1400
Farf	M	0736	Hectalus	D424000-8	 	Di 		013	Wild	M1 V M4 V	{ -3 }	(B00-1)	[0000]	B	9	-11
Farf	M	0738	Dunkel	C866413-9	 	Ga Ni Pa 		400	Wild	F4 V D	{ -1 }	(630+2)	[338B]	Bc	10	36
Farf	M	0740	Osmice	B432843-B	 	Na Po Ph 		305	Wild	M3 V	{ 2 }	(F79-1)	[3A7D]	Be	15	-945
Farf	A	0805	Odrkliapr	D9A6000-8	 	Di Fl 		023	Wild	M2 V	{ -3 }	(B00-3)	[0000]	B	12	-33
Farf	A	0809	Ku Pryuld	B566300-B	 	An  ChirW Lo 		914	Wild	M2 V	{ 1 }	(D21+1)	[441E]	B	17	26
Farf	E	0815	N'dalambihn	E726000-8	 	Di 		004	Wild	G9 V	{ -3 }	(900+3)	[0000]	B	16	27
Farf	E	0818	Danodild	X100000-7	 	Di Va 		020	Wild	K6 V	{ -3 }	(800+1)	[0000]	B	8	8
Farf	E	0819	Mirihnit	D423000-B	 	Di Po 		010	Wild	M2 V	{ -1 }	(500-3)	[0000]	B	6	-15
Farf	I	0827	Psagin	A101778-C	 	Ic Va Na Pi 		210	Wild	F2 IV M5 V	{ 2 }	(96B-3)	[491E]	BD	9	-1782
Farf	M	0832	Wulp-PQ	X582000-0	 	Ba 		012	Wild	F8 V D	{ -3 }	(200+2)	[0000]	B	14	4
Farf	M	0834	Endus	B778203-C	 	Lo 		621	Wild	F1 V D	{ 1 }	(E11+3)	[538E]	B	11	42
Farf	M	0836	Magnias	C685596-9	 	Ag Pr Ga Ni 		502	Wild	F4 V D	{ 0 }	(A45+1)	[3568]	BcC	11	200
Farf	M	0837	Polletus	X7B1000-B	 	Di Fl He 		014	Wild	K7 V	{ -1 }	(C00-1)	[0000]	B	13	-12
Farf	M	0839	Allegrim	C565420-9	 	Ni Pa 		203	Wild	F7 V D	{ -1 }	(933+1)	[7358]	Bc	11	81
Farf	B	0902	Kiav Ibl	E859687-5	 	Ni 		403	Wild	K3 V	{ -3 }	(850-1)	[B348]	B	12	-40
Farf	B	0903	Evrplach	D6747B9-3	 	Ag Pi 		824	Wild	G2 V	{ -1 }	(B68-1)	[8655]	BCD	11	-528
