Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Fore	A	0103	828-596	X582000-4	 	     Di (NIL)		014	Wild	G3 V	-3	(600+4)	[0000]	B	10	24
Fore	A	0104	716-040	X000000-C	 	    As Va Di 		033	Wild	A3 II	-1	(B00+3)	[0000]	B	13	33
Fore	A	0202	120-463	X376000-5	 	     Di 		025	Wild	M4 V   M9 D   M5 VI	-3	(600+2)	[0000]	B	19	12
Fore	A	0203	002-380	X851830-0	 	    Ph Po (NIL)		201	Wild	K8 V	-2	(377-5)	[C671]	Be	13	-735
Fore	A	0302	642-365	E251647-7	 	    Ni Po 		102	Wild	F9 V	-3	(452+2)	[9377]	B	9	80
Fore	A	0304	200-244	X435000-C	 	     Di 		004	Wild	K3 V	-1	(F00+5)	[0000]	B	9	75
Fore	A	0305	444-332	X654000-4	 	     Di 		005	Wild	G3 V   M1 D 	-3	(900+1)	[0000]	B	10	9
Fore	A	0306	032-182	X321000-C	 	   Di He Po (NIL)		014	Wild	M2 II	-1	(G00-1)	[0000]	B	18	-16
Fore	A	0308	882-10A	X525000-0	 	     Ba 		005	Wild	K0 V   M4 V 	-3	(B00+1)	[0000]	B	14	11
Fore	A	0309	378-432	X465000-3	 	     Di 		000	Wild	G4 III	-3	(400+2)	[0000]	B	9	8
Fore	A	0401	191-042	X313000-E	 	    Di Ic 		004	Wild	M3 V	-1	(D00+3)	[0000]	B	8	39
Fore	A	0402	176-440	X676000-7	 	     Di 		003	Wild	A7 V	-3	(700-1)	[0000]	B	11	-7
Fore	A	0403	408-3A1	X456457-2	 	    Ni Pa (NIL)		524	Wild	G2 V	-3	(833-3)	[4181]	Bc	13	-216
Fore	A	0404	732-350	X450475-4	 	   De Ni Po 		304	Wild	F8 V	-3	(C30+1)	[1118]	B	13	36
Fore	A	0408	732-450	X477000-3	 	     Di 		004	Wild	K1 V   M3 V 	-3	(700-1)	[0000]	B	13	-7
Fore	A	0502	668-273	X242000-B	 	    Di Po (NIL)		000	Wild	G0 V 	-1	(900-3)	[0000]	B	7	-27
Fore	A	0503	431-044	X5A3000-B	 	    Di Fl 		004	Wild	M5 V   M8 D	-1	(800+1)	[0000]	B	13	8
Fore	A	0504	849-653	X997000-3	 	     Di 		004	Wild	G4 III	-3	(700+4)	[0000]	B	10	28
Fore	A	0505	824-079	X000000-8	 	    As Va Di 		024	Wild	K5 V	-3	(B00+4)	[0000]	B	14	44
Fore	A	0507	619-528	X78A000-5	 	    Di Wa 		002	Wild	K6 V	-3	(700-5)	[0000]	B	11	-35
Fore	A	0508	711-094	X513000-D	 	    Di Ic 		005	Wild	M5 V   M7 D 	-1	(A00-2)	[0000]	B	16	-20
Fore	A	0604	596-465	E578000-7	 	     Di 		003	Wild	G9 V   M8 D	-3	(600-4)	[0000]	B	12	-24
Fore	A	0607	849-30B	X458000-0	 	     Ba 		015	Wild	G3 III M3 V	-3	(600+2)	[0000]	B	12	12
