Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gvur	A	0104	799-98A	???????-?				?01	??	K4 V M4 V					12	0
Gvur	A	0202	247-32A	???????-?				?02	??	K7 V M9 V					11	0
Gvur	A	0205	449-37A	???????-?				?22	??	F0 V					12	0
Gvur	A	0208	749-35A	???????-?				?10	??	K4 V M7 V					10	0
Gvur	A	0306	614-81A	???????-?				?03	??	K3 V					10	0
Gvur	A	0309	408-26A	???????-?				?10	??	G7 V					4	0
Gvur	A	0401	111-89A	???????-?				?21	??	G7 V					13	0
Gvur	A	0402	640-51A	???????-?				?03	??	F7 V					7	0
Gvur	A	0403	623-80A	???????-?				?03	??	F0 V					10	0
Gvur	A	0405	600-78A	???????-?				?11	??	M2 V M4 V					7	0
Gvur	A	0407	729-35A	???????-?				?20	??	K6 V					12	0
Gvur	A	0410	490-63A	???????-?				?24	??	M4 III					15	0
Gvur	A	0502	610-01A	???????-?				?03	??	K3 V					13	0
Gvur	A	0503	957-71A	???????-?				?10	??	M1 V M9 V					8	0
Gvur	A	0504	879-77A	???????-?				?10	??	F0 V M4 V					6	0
Gvur	A	0505	998-43A	???????-?				?20	??	F3 V					5	0
Gvur	A	0703	114-55A	???????-?				?14	??	F6 V					10	0
Gvur	A	0709	331-64A	???????-?				?02	??	K4 V					10	0
Gvur	A	0803	941-23A	???????-?				?23	??	K4 V					11	0
Gvur	A	0804	439-14A	???????-?				?10	??	M2 V M6 V					4	0
Gvur	A	0807	456-57A	???????-?				?22	??	A8 V					13	0
Gvur	A	0808	965-15A	???????-?				?10	??	G4 V					4	0
Gvur	A	0809	569-79A	???????-?				?20	??	M2 V					12	0
Gvur	B	0901	Onllae Roungo	D88678B-5		Ag Ga Ri Varg		110	Na	F4 V M8 V	{ 0 }	(366-4)	[3726]		9	0
Gvur	B	0904	582-22R	X100000-9		Va Di		003	Na	K0 V M5 V	{-2 }	(708+0)			10	0
Gvur	B	0908	174-15R	X866000-9		Ga Di		001	Na	K4 V M7 V	{-2 }	(608+0)			13	0
Gvur	B	1009	981-29R	C657000-6		Ga Di		123	Na	K5 V	{-2 }	(304+0)			13	0
Gvur	B	1010	182-60R	X524000-7		Di		031	Na	F7 V M7 V	{-3 }	(408+0)			9	0
Gvur	B	1102	346-80R	XAC5000-9		Fl Di		002	Na	M1 V M6 V	{-2 }	(606+0)			8	0
Gvur	B	1104	Ngues	C777786-8		Ag Pi		101	Na	M2 V M5 V	{ 0 }	(366-3)	[6748]		5	0
Gvur	B	1106	092-14R	X420000-B		De He Di Po		022	Na	M3 V	{-1 }	(904+0)			9	0
Gvur	B	1107	636-21R	X5A5000-B		Fl Di		014	Na	K2 V	{-1 }	(905+0)			8	0
Gvur	B	1109	Louks Aek	X584000-2		Di		003	Na	K6 V	{-3 }	(403+0)			9	0
Gvur	B	1201	Uekongull	X779000-E		Di		001	Na	G6 IV M0 V	{-1 }	(302+0)			6	0
Gvur	B	1305	Kukhvu	X000000-E		As Va Di		011	Na	K7 V M3 V	{-1 }	(408+0)			9	0
Gvur	B	1307	773-43R	X310000-A		Di		001	Na	F4 V M6 V	{-1 }	(906+0)			7	0
Gvur	B	1310	Vaegrovangugh	C57686A-5		Pa Ph Pi Px Varg		324	Na	M8 III G7 V	{-1 }	(475+0)	[4714]		13	0
Gvur	B	1502	918-78R	X424000-C		Di		021	Na	M0 V	{-1 }	(505+0)			15	0
Gvur	B	1503	798-33R	X433000-D		Di Po		001	Na	K9 V M8 V	{-1 }	(305+0)			9	0
Gvur	B	1504	Naen Dzi Ona	E558789-4		Ag Pz (Bahuodzi)		802	Na	K1 IV	{-1 }	(B69-2)	[B691]		7	0
Gvur	B	1506	Roedz	D585675-5		Ag Ri Ni Varg		101	Na	M2 V	{-1 }	(350+0)	[3537]		8	0
Gvur	B	1508	Gikhs	C766831-7		Ga Ri Ph Pa Varg		101	Na	G5 V M9 V	{ 0 }	(878-5)	[8868]		7	0
Gvur	B	1602	403-27R	X538000-7		Di		001	Na	M1 V	{-3 }	(502+0)			13	0
Gvur	C	1709	070-28C	???????-?				?23	??	F3 V					8	0
Gvur	C	1807	212-23C	???????-?				?13	??	F0 V M5 V					9	0
Gvur	C	2002	560-64C	???????-?				?10	??	F0 V					9	0
Gvur	C	2005	253-62C	???????-?				?20	??	K3 V					9	0
Gvur	C	2010	683-65C	???????-?				?23	??	F5 V M8 V					17	0
Gvur	C	2101	722-99C	???????-?				?03	??	K7 V					11	0
Gvur	C	2209	Lorelei	B668742-7		Ag Ri (Vozkell)7		910	Na	F6 IV	{ 2 }	(66C+0)	[6944]		12	0
Gvur	C	2302	088-89C	???????-?				?03	??	G2 V					12	0
Gvur	C	2305	555-34C	???????-?				?22	??	K9 V					11	0
Gvur	C	2307	496-68C	???????-?				?01	??	F9 V					10	0
Gvur	C	2404	730-96C	???????-?				?03	??	K8 V					10	0
Gvur	C	2407	797-94C	???????-?				?04	??	M0 V					8	0
Gvur	C	2408	228-67C	???????-?				?01	??	M1 V M6 V					6	0
Gvur	D	2507	447-87D	???????-?				?14	??	K6 V					11	0
Gvur	D	2509	093-02D	???????-?				?22	??	M8 III M1 V					7	0
Gvur	D	2701	582-66D	???????-?				?02	??	K5 V M9 V					11	0
Gvur	D	2702	698-02D	???????-?				?14	??	K7 V					11	0
Gvur	D	2703	178-12D	???????-?				?01	??	M0 V M1 V					10	0
Gvur	D	2704	791-75D	???????-?				?03	??	K2 V M2 V					9	0
Gvur	D	2802	559-37D	???????-?				?13	??	M3 V					12	0
Gvur	D	2806	173-12D	???????-?				?04	??	G6 V M4 V					7	0
Gvur	D	2807	788-01D	???????-?				?01	??	M1 V M5 V					8	0
Gvur	D	2808	263-87D	???????-?				?02	??	G6 V					11	0
Gvur	D	2901	638-73D	???????-?				?23	??	G0 V					12	0
Gvur	D	2905	355-06D	???????-?				?22	??	K6 V					13	0
Gvur	D	2908	387-26D	???????-?				?34	??	M2 V					12	0
Gvur	D	3003	461-13D	???????-?				?11	??	K0 V					9	0
Gvur	D	3004	570-79D	???????-?				?21	??	G9 V					11	0
Gvur	D	3010	289-19D	???????-?				?02	??	G2 V M9 V					12	0
Gvur	D	3107	974-44D	???????-?				?01	??	M1 V M5 V					8	0
Gvur	D	3201	124-32D	???????-?				?33	??	K3 V					11	0
