Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gvur	A	0104	Enjtodl	B8A8788-8	 	Fl 		401	NaVa	K4 V M4 V	{ 0 }	(469+1)	[7769]	B	12	216
Gvur	E	0112	Fufoekkfal	D638400-8	 	(Katl*lalt) Ni 		912	NaVa	F9 V	{ -3 }	(B31+1)	[116A]	B	12	33
Gvur	E	0113	Taraeng	C000535-7	 	As Va Ni 		712	NaVa	M1 V	{ -2 }	(B40+1)	[33A8]	B	10	44
Gvur	I	0130	Tjenl	B683300-C	 	Lo 		320	JiIu	G3 V M1 V	{ 1 }	(C21-2)	[6459]	B	9	-48
Gvur	M	0131	Satlpenzh	C657510-9	 	Ag Ga Ni 		105	NaVa	K6 V	{ 0 }	(C46-2)	[8566]	BC	11	-576
Gvur	M	0137	Chench	X559555-0	 	Ni 		714	TaLa	K1 IV	{ -3 }	(643+1)	[7271]	B	12	72
Gvur	A	0202	Zhenchve'chip	C666535-5	 	Ag Pr Ga Ni 		602	NaVa	K7 V M9 V	{ -1 }	(743+1)	[4415]	BcC	11	84
Gvur	A	0205	Matlmadl	B646200-A	 	Lo 		622	NaVa	F0 V	{ 1 }	(D11+1)	[235B]	B	12	13
Gvur	A	0208	Dho Ega	C5809CF-A	 	De Hi Pr 		510	NaVa	K4 V M7 V	{ 2 }	(98B+2)	[BB68]	BcE	10	1584
Gvur	E	0212	Onagzorrruell	E889220-3	 	Lo 		201	JiIu	K4 V M0 V	{ -3 }	(910-5)	[4185]	B	13	-45
Gvur	E	0215	Kerkukhaeka	B888559-B	 	Ag Pr Ni 		125	JiIu	K6 V	{ 2 }	(E44-1)	[277A]	BcC	10	-224
Gvur	E	0216	Saezghen	C200998-8	 	Hi Na In Va 		802	JiIu	M0 V	{ 1 }	(E8B+2)	[7A39]	BE	11	2464
Gvur	E	0220	Telfazagnou	E7A5684-7	 	Fl Ni 		624	JiIu	M3 V	{ -3 }	(750+3)	[4349]	B	14	105
Gvur	I	0221	Aersaedha	C98A589-7	 	Ni Pr Wa 		422	NaVa	F6 V	{ -2 }	(A40-4)	[9344]	Bc	11	-160
Gvur	I	0223	Aedhue	A9C4648-8	 	Fl Ni 		824	NaVa	K0 II	{ -1 }	(854+1)	[5545]	B	15	160
Gvur	I	0226	Qanstanze	B7397A7-A	 			510	JiIu	M1 V	{ 2 }	(B6A+5)	[7985]	B	9	3300
Gvur	I	0230	Eblonzyerefl	A4348A9-E	 	Ph 		903	JiIu	G7 V	{ 2 }	(776-1)	[8A5D]	Be	13	-294
Gvur	M	0231	Tseezh	C000586-A	 	As Va Ni 		411	NaVa	M3 V	{ 0 }	(B41+1)	[454D]	B	5	44
Gvur	M	0232	Jdiprqrafr	B100685-8	 	Na Ni Va 		223	NaVa	M4 III	{ -1 }	(H54+3)	[9537]	B	10	1020
Gvur	M	0233	Yied	B4369A9-E	 	Hi 		221	NaVa	G3 V	{ 3 }	(C8D-2)	[DC3F]	BE	13	-2496
Gvur	M	0235	Pliploranshich	B662442-8	 	Ni 		625	TaLa	F3 IV	{ -1 }	(F31+1)	[3366]	B	12	45
Gvur	M	0239	Tlrt	C698722-8	 	Ag Pi An 		103	NaVa	F5 V	{ 0 }	(A66+2)	[5716]	BCD	12	720
Gvur	M	0240	Astanch	C541577-9	 	He Ni Po 		501	NaVa	M0 V	{ -1 }	(745+1)	[345C]	B	6	140
Gvur	A	0306	Zaerrg	C674541-9	 	Ag Ni 		203	NaVa	K3 V	{ 0 }	(B45+1)	[254C]	BC	10	220
Gvur	A	0309	Unoldhasaellae	B300401-B	 	Ni Va 		510	NaVa	G7 V	{ 1 }	(934-4)	[6599]	B	4	-432
Gvur	E	0317	Gzoulakhgha	E793554-7	 	Ni 		410	JiIu	K9 V M0 V	{ -3 }	(C43-3)	[8272]	B	7	-432
Gvur	I	0323	Llathoevaghoe	D673627-6	 	Ni 		810	NaVa	F3 V M3 V	{ -3 }	(A50+3)	[3373]	B	5	150
Gvur	I	0325	Dzado	D6A4227-5	 	Fl Lo 		303	JiIu	K3 V	{ -3 }	(A10+1)	[3187]	B	9	10
Gvur	I	0327	Iatl Iatl	C685210-9	 	Ga Lo 		122	JiIu	G5 V M4 V	{ -1 }	(810-5)	[4176]	B	10	-40
Gvur	I	0329	Enjqore	X547174-0	 	Lo 		510	TaLa	K7 V	{ -3 }	(400+3)	[2134]	B	13	12
Gvur	M	0334	Blienzkats	B565AFD-C	 	Hi 		701	TaLa	G8 V M2 V	{ 3 }	(49C+2)	[DD6F]	BE	6	864
Gvur	M	0337	Vriaajets	C583886-6	 	Ph Ri 		101	TaLa	K7 V M4 V	{ 0 }	(774+1)	[D858]	BCe	5	196
Gvur	M	0339	Diekech	D434332-8	 	Lo 		315	TaLa	M2 V	{ -3 }	(D20+2)	[3183]	B	14	52
Gvur	A	0401	Angudh	B7A7754-D	 	(Bwampbs) Fl 		821	NaVa	G7 V	{ 2 }	(C68+1)	[896F]	B	13	576
Gvur	A	0402	Knoelurzudal	E552A74-A	 	Hi Po 		703	NaVa	F7 V	{ 1 }	(B9C+2)	[AB99]	BE	7	2376
Gvur	A	0403	Duduell	D552300-5	 	Lo Po 		503	NaVa	F0 V	{ -3 }	(420+1)	[1148]	B	10	8
Gvur	A	0405	Tarraekhs	C000554-B	 	As Va Ni 		111	NaVa	M2 V M4 V	{ 0 }	(A45-2)	[655E]	B	7	-400
Gvur	A	0407	Uedhoelukhue	D300148-5	 	Lo Va 		820	NaVa	K6 V	{ -3 }	(500-4)	[2166]	B	12	-20
Gvur	A	0410	Roeknughroe	C100485-7	 	Ni Va 		324	JiIu	M4 III	{ -2 }	(C33+1)	[2244]	B	15	108
