Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ilel	A	0101	Harding	X100000-E	 	Di Va 		020	Wild	K4 V	{ -1 }	(700+5)	[0000]	B	8	35
Ilel	A	0102	Lorne	D546000-5	 	Di 		000	Wild	F5 V M5 V	{ -3 }	(A00+2)	[0000]	B	9	20
Ilel	A	0108	Eufemia	X599000-4	 	Di 		012	Wild	M2 V	{ -3 }	(800+1)	[0000]	B	14	8
Ilel	A	0110	Randall	X541000-2	 	Di He Po 		014	Wild	F4 V	{ -3 }	(700+3)	[0000]	B	13	21
Ilel	E	0113	McCoy	X423000-7	 	Di Po 		001	Wild	M2 V M3 V	{ -3 }	(600+3)	[0000]	B	11	18
Ilel	E	0116	Fearghal	X430000-C	 	De Di Po 		002	Lz	M2 V	{ -1 }	(800+3)	[0000]	B	11	24
Ilel	I	0127	Tyr	X565000-1	 	Di 		013	Wild	M2 V	{ -3 }	(500+1)	[0000]	B	7	5
Ilel	I	0128	Welles	D893000-6	 	Di 		003	Wild	F5 V	{ -3 }	(400+1)	[0000]	B	12	4
Ilel	M	0132	Antwerp	X994000-6	 	Di 		010	Lz	G6 V	{ -3 }	(600+2)	[0000]	B	13	12
Ilel	M	0133	Rozumund	B765454-C	 	Ga Ni Pa 		303	Wild	F8 V M5 V	{ 1 }	(737+3)	[151E]	Bc	12	441
Ilel	A	0204	De Camsall	X546000-3	 	Di 		020	Wild	M3 V M6 V	{ -3 }	(600+1)	[0000]	B	15	6
Ilel	A	0205	Kiril	X544000-3	 	Di 		002	Wild	M1 V	{ -3 }	(500-3)	[0000]	B	13	-15
Ilel	A	0206	Darven Limner	C576778-8	 	Ag Pi 		100	Wild	M3 V	{ 0 }	(766+4)	[7768]	BCD	8	1008
Ilel	A	0207	Nasi	B200689-C	 	Na Ni Va 		502	Wild	F5 V M9 V M0 V	{ 1 }	(D54+1)	[6779]	B	13	260
Ilel	A	0208	Winthrop	B786698-A	 	Ag Ri Ga Ni 		410	Wild	F9 V	{ 3 }	(859-3)	[3967]	BC	14	-1080
Ilel	A	0209	Byrne	C552954-B	 	Hi Po 		302	Wild	M2 V	{ 2 }	(C89+1)	[9B97]	BE	11	864
Ilel	E	0211	Saper	X535000-D	 	Di 		024	Wild	M1 V	{ -1 }	(B00+1)	[0000]	B	10	11
Ilel	E	0212	Seke	X654000-4	 	Di 		000	Wild	M0 V	{ -3 }	(400+1)	[0000]	B	13	4
Ilel	E	0217	Heridd	X310000-F	 	Di 		004	Lz	M0 V M1 V	{ -1 }	(700+1)	[0000]	B	9	7
Ilel	E	0218	Geldall	X8B4000-8	 	Di Fl 		022	Lz	F1 V	{ -3 }	(E00+4)	[0000]	B	7	56
Ilel	E	0220	Gons	X310000-F	 	Di 		000	Lz	M1 V M3 V	{ -1 }	(500-1)	[0000]	B	8	-5
Ilel	I	0226	Allentown	EA8A000-5	 	Di Oc 		000	Wild	F6 V M3 V	{ -3 }	(500-2)	[0000]	B	13	-10
Ilel	I	0227	Willlelmo	A798874-C	 	Pa Pi Ph 		603	Wild	K2 V	{ 2 }	(C74-1)	[DA6E]	BcDe	12	-336
Ilel	M	0231	Neala	E756698-4	 	Ag Ga Ni 		415	Lz	F6 V	{ -2 }	(750+1)	[8475]	BC	13	35
Ilel	M	0232	Tharthar	X528000-9	 	Di 		003	Lz	G4 V M2 V	{ -2 }	(A00+4)	[0000]	B	6	40
Ilel	M	0233	Gwlsdys	X424000-C	 	Di 		024	Wild	M2 V	{ -1 }	(E00+1)	[0000]	B	10	14
Ilel	A	0303	Woodlawn	X422000-C	 	Di He Po 		020	Wild	M1 V	{ -1 }	(C00-2)	[0000]	B	7	-24
Ilel	A	0305	Astea	X94A000-5	 	Di Wa 		004	Wild	G2 V M4 V	{ -3 }	(900+1)	[0000]	B	11	9
Ilel	A	0307	Tylio	B646678-A	 	Ag Ni 		605	Wild	M1 V	{ 2 }	(H54-2)	[785A]	BC	8	-680
