Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Itvi	A	0104	Briaflnech	X995000-8	 	Di 		013	Wild	F1 V	{ -3 }	(A00-3)	[0000]	B	0	-30
Itvi	A	0105	Jiazpezhdekl	X000000-7	 	As Va Di 		000	Wild	M0 V M6 D	{ -3 }	(800-2)	[0000]	B	0	-16
Itvi	A	0109	Zhdevrnitl	E351410-3	 	Ni Po 		103	Wild	F8 V	{ -3 }	(532+2)	[41A3]	B	0	60
Itvi	E	0113	Ababl	X000000-7	 	As Va Di 		022	Wild	F1 II	{ -3 }	(600+1)	[0000]	B	0	6
Itvi	E	0117	Aqltsizh	X9B5000-0	 	Ba Fl 		004	Wild	M1 V	{ -3 }	(200+1)	[0000]	B	0	2
Itvi	E	0118	Ao	E88A9CA-7	 	Hi Pr Wa 		705	Wild	F5 V M0 D	{ -1 }	(B85+4)	[886A]	BcE	0	1760
Itvi	I	0121	Iechtif	X514000-0	 	Ba Ic 		004	Wild	F3 IV M6 D	{ -3 }	(600+4)	[0000]	B	0	24
Itvi	I	0125	Nililvirzid	E367000-7	 	Di 		005	Wild	K0 V	{ -3 }	(800+2)	[0000]	B	0	16
Itvi	I	0126	Ieklpriatl	C357488-A	 	Ni Pa 		703	Wild	M4 V	{ 0 }	(D34+3)	[246D]	Bc	0	468
Itvi	I	0127	Ivoprej	X778776-1	 	Ag Pi 		404	Wild	G1 V	{ -1 }	(B64+1)	[4663]	BCD	0	264
Itvi	I	0130	Jdiazhie	B7B2787-A	 	Fl He 		705	Wild	F6 V M3 D	{ 2 }	(E65+1)	[3958]	B	0	420
Itvi	M	0131	Blatlensh	X373000-2	 	Di 		007	Wild	F9 V M5 D	{ -3 }	(B00-2)	[0000]	B	0	-22
Itvi	M	0135	Iklzhdevl	X410000-A	 	Di 		004	Wild	F6 V	{ -1 }	(900+1)	[0000]	B	0	9
Itvi	M	0136	Zhdedipens	X130000-A	 	De Di Po 		017	Wild	G8 V M3 V	{ -1 }	(F00+3)	[0000]	B	0	45
Itvi	M	0138	Brievltliabl	X66449A-0	 	Ni Pa 		300	Wild	F1 V	{ -3 }	(630+1)	[1151]	Bc	0	18
Itvi	M	0139	Itsipiazekr	X7B6000-0	 	Ba Fl 		007	Wild	M0 V M8 V	{ -3 }	(900+2)	[0000]	B	0	18
Itvi	A	0202	Dredro	X300000-A	 	Di Va 		010	Wild	M0 V	{ -1 }	(A00-1)	[0000]	B	0	-10
Itvi	A	0203	Dralflo	A788434-8	 	Ni Pa 		506	Wild	F6 V M8 D	{ -1 }	(E33+3)	[3376]	Bc	0	378
Itvi	A	0208	Eddents	X8A9000-8	 	Di Fl 		002	Wild	M5 V M5 D	{ -3 }	(700-3)	[0000]	B	0	-21
Itvi	A	0209	Ieila	X779000-A	 	Di 		003	Wild	F9 V	{ -1 }	(B00-1)	[0000]	B	0	-11
Itvi	E	0213	Prablvrdl	X300000-D	 	Di Va 		003	Wild	K1 V	{ -1 }	(900+3)	[0000]	B	0	27
Itvi	E	0215	Zhdeflmitsop	X635000-0	 	Ba 		023	Wild	M6 V M4 D	{ -3 }	(B00+1)	[0000]	B	0	11
Itvi	E	0218	Efrdiek	D883686-1	 	Ni Ri 		715	Wild	K9 V M0 D	{ -2 }	(852+3)	[B431]	BC	0	240
Itvi	I	0222	Zhdashensh	X110000-C	 	Di 		013	Wild	M5 V	{ -1 }	(C00+2)	[0000]	B	0	24
Itvi	I	0225	Eplyilchtar	X642000-1	 	Di He Po 		021	Wild	F6 V M4 D	{ -3 }	(700-2)	[0000]	B	0	-14
Itvi	I	0227	Alebiatl	X652000-5	 	Di Po 		024	Wild	G9 V M0 D	{ -3 }	(900-1)	[0000]	B	0	-9
Itvi	I	0229	Shtienzir	X533000-0	 	Ba Po 		002	Wild	M1 V M2 D	{ -3 }	(700+5)	[0000]	B	0	35
Itvi	I	0230	Ebriklribr	C899332-9	 	Lo 		214	Wild	K3 V M6 D	{ -1 }	(B20-1)	[12AD]	B	0	-22
Itvi	M	0233	Aplpia	B647300-C	 	Lo 		400	Wild	F0 V M5 D	{ 1 }	(A21-4)	[149B]	B	0	-80
Itvi	M	0237	Jieqladzhdor	X300000-9	 	Di Va 		006	Wild	M1 V M7 D	{ -2 }	(C00+1)	[0000]	B	0	12
Itvi	M	0238	Bieprvrapr	X212000-E	 	Di Ic 		013	Wild	F9 V	{ -1 }	(E00+1)	[0000]	B	0	14
Itvi	M	0239	Plevlchiebr	X728000-9	 	Di 		002	Wild	M8 V M7 D	{ -2 }	(B00+3)	[0000]	B	0	33
Itvi	A	0302	Chatljafo	X552203-2	 	Lo Po 		700	Wild	F4 V	{ -3 }	(410+2)	[1173]	B	0	8
Itvi	A	0303	Sa'ia	X323000-0	 	Ba Po 		000	Wild	K6 V	{ -3 }	(800-1)	[0000]	B	0	-8
Itvi	A	0304	Itljienzh	X556474-0	 	Ni Pa 	B	204	Wild	F5 V M0 D	{ -3 }	(733+2)	[5141]	Bc	0	126
Itvi	A	0307	Drieche	X776000-0	 	Ba 		001	Wild	F4 V	{ -3 }	(700+2)	[0000]	B	0	14
Itvi	A	0309	Daliantvevr	B545434-9	 	Ni Pa 		500	Wild	M6 V	{ 0 }	(731+3)	[5446]	Bc	0	63
Itvi	E	0312	Inedrchech	X444000-0	 	Ba 		002	Wild	F1 V M2 D	{ -3 }	(C00-2)	[0000]	B	0	-24
Itvi	E	0313	Brafmienj	X234000-A	 	Di 		001	Wild	F5 V	{ -1 }	(800+1)	[0000]	B	0	8
Itvi	E	0314	Aidr	X546000-0	 	Ba 		014	Wild	F4 V K1 D	{ -3 }	(B00+1)	[0000]	B	0	11
Itvi	E	0315	Abfladiesh	B689987-8	 	Hi Pr 	B	507	Wild	M8 V M0 D	{ 1 }	(E8B+1)	[8A6A]	BcE	0	1232
Itvi	E	0319	Brieplrni	X100000-7	 	Di Va 		001	Wild	F4 V	{ -3 }	(B00-2)	[0000]	B	0	-22
Itvi	I	0321	Dantsqronze	X96A455-4	 	Ni Wa 		102	Wild	F9 V	{ -3 }	(432+1)	[4157]	B	0	24
Itvi	I	0324	Enshviakr	D562000-6	 	Di 		005	Wild	F5 V M4 D	{ -3 }	(800+3)	[0000]	B	0	24
Itvi	I	0327	Daplqrebl	E355AC8-7	 	Hi 		605	Wild	F2 V M8 D	{ -1 }	(99A+1)	[A989]	BE	0	810
Itvi	I	0328	Atsyildrant	X525000-9	 	Di 		015	Wild	K2 V M4 D	{ -2 }	(D00-5)	[0000]	B	0	-65
Itvi	I	0330	Chaprjedl	X370411-4	 	De He Ni 		203	Wild	F2 V	{ -3 }	(432-2)	[4125]	B	0	-48
Itvi	M	0332	Fliezant	X235000-B	 	Di 		000	Wild	M3 V	{ -1 }	(700-4)	[0000]	B	0	-28
