Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Knae	A	0101	Dikhoghai	X327553-3	 	Ni 		213	NaVa	M6 V M8 V	{ -3 }	(740+1)	[8254]	B	0	28
Knae	A	0103	Asgvughz	C200497-7	 	Ni Va 		303	NaVa	F2 V	{ -2 }	(433+5)	[5257]	B	0	180
Knae	A	0104	Zora	B404203-B	 	Ic Va Lo 		612	NaVa	G1 V M6 V	{ 1 }	(D11+1)	[233B]	B	0	13
Knae	A	0109	Duegingoeudh	D586543-2	 	Ag Pr Ni 		512	NaVa	F2 V	{ -2 }	(740-1)	[5313]	BcC	0	-28
Knae	E	0111	Anesdokon	B100479-C	 	Ni Va 		302	NaVa	M0 V M7 V M2 V	{ 1 }	(D32-4)	[552B]	B	0	-312
Knae	E	0115	Karruez	B423220-A	 	Lo Po 		315	NaVa	G9 V	{ 1 }	(B11+2)	[435D]	B	0	22
Knae	E	0116	Tava	D768546-5	 	Ag Pr Ni 		802	NaVa	F9 V M6 V	{ -2 }	(842-1)	[4347]	BcC	0	-64
Knae	E	0117	Vuvadhuek	DAC4488-7	 	Fl Ni 		700	NaVa	K4 V	{ -3 }	(433+2)	[7127]	B	0	72
Knae	I	0121	Voeorsaerr	D876422-5	 	Ni Pa 		502	NaVa	F2 V	{ -3 }	(733+4)	[7115]	Bc	0	252
Knae	I	0126	Dikhsaers	C586686-7	 	Ag Ri Ni 		527	NaVa	F8 V K2 V M5 V	{ 0 }	(955+1)	[7657]	BC	0	225
Knae	I	0129	Ghezesurrgh	E231420-8	 	Ni Po 		603	NaVa	M2 V M8 V	{ -3 }	(831+1)	[5144]	B	0	24
Knae	M	0133	Ongazaksa	C674320-4	 	Lo 		504	NaVa	G1 V	{ -2 }	(620-3)	[2195]	B	0	-36
Knae	A	0203	Sulueng	A778878-A	 	Pa Pi Ph 		811	NaVa	G8 V	{ 2 }	(B76+4)	[4A2A]	BcDe	0	1848
Knae	A	0210	Thogzasaegha	B343458-B	 	Ni Po 		400	NaVa	F7 V	{ 1 }	(635-5)	[25AA]	B	0	-450
Knae	E	0212	Oudae	E387579-6	 	Ag Pr Ni 		203	NaVa	M1 V M2 V	{ -2 }	(543+1)	[7345]	BcC	0	60
Knae	E	0218	Ivaegvagz	D762530-3	 	Ni Pr 		504	NaVa	G1 V	{ -3 }	(740-2)	[7278]	Bc	0	-56
Knae	I	0225	Gurruzaengan	B866401-7	 	Ga Ni Pa 		913	NaVa	K4 V	{ -1 }	(232+4)	[234C]	Bc	0	48
Knae	I	0226	Asrrolang	B000356-F	 	As Va Lo 		102	NaVa	F2 V M1 V	{ 1 }	(E21-3)	[448E]	B	0	-84
