Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Knoe	A	0103	Jelniekl	C555430-9	 	Ni Pa 		412	Ae	F7 V	{ -1 }	(A30+1)	[1375]	Bc	12	30
Knoe	A	0106	Ovlshablde	C566252-5	 	Lo O:Knoe-0403 Tp 		203	NaVa	F8 V	{ -2 }	(810-3)	[6123]	B	11	-24
Knoe	A	0108	Olzitranjonshiaplsti	C65A423-A	 	Ni O:Knoe-0310 Wa 	B	603	Ae	F9 V D	{ 0 }	(E36-1)	[2469]	B	7	-252
Knoe	E	0111	Obliaaklbel	B558A74-D	 	Hi 		923	NaVa	F4 V	{ 3 }	(C99-4)	[9D8E]	BE	12	-3888
Knoe	E	0113	Iaievriafl	E584677-0	 	Ag Ri Ni 		802	NaVa	F7 V D	{ -1 }	(751+1)	[8523]	BC	9	35
Knoe	E	0114	Flizhedchtech	D000000-A	 	As Va Di 		001	NaVa	F7 V D	{ -1 }	(900+1)	[0000]	B	9	9
Knoe	E	0116	Rfchrnshieaklziazh	B5A5334-B	 	Fl Lo 		400	NaVa	M0 V	{ 1 }	(621+3)	[647A]	B	9	36
Knoe	E	0118	Zdianchklav	C8B7215-8	 	Fl Lo 		314	NaVa	G5 V D	{ -2 }	(B10+1)	[413C]	B	12	11
Knoe	I	0124	Iabrzotlstepl	E300638-5	 	Na Ni Va 		602	NaVa	K0 V	{ -3 }	(B53-1)	[A357]	B	7	-165
Knoe	I	0125	Erjdanzhqledl	D428204-7	 	Lo 		101	NaVa	K0 V	{ -3 }	(810-1)	[111B]	B	7	-8
Knoe	I	0128	Ikofl	A413111-A	 	Co Ic Lo 		402	NaVa	M2 V	{ 1 }	(601-1)	[12AD]	B	10	-6
Knoe	I	0129	Intdepribradr	C728200-8	 	Lo 		603	NaVa	M8 V D	{ -2 }	(710+2)	[1139]	B	7	14
Knoe	I	0130	Pladchozhdafr	C451685-B	 	Ni Po 		701	NaVa	M8 V D	{ 0 }	(B55+1)	[864B]	B	9	275
Knoe	M	0131	Tiavrieqtliebr	E120210-7	 	De Lo Po 		401	NaVa	M8 V D	{ -3 }	(810+1)	[1185]	B	11	8
Knoe	M	0135	Ebljodla	C302333-B	 	Co Ic Va Lo 		503	NaVa	G3 V D	{ 0 }	(720-1)	[139B]	B	9	-14
Knoe	A	0201	Sablzhdafrne	C31047A-7	 	Ni 		102	Ae	M4 V	{ -2 }	(330-3)	[5259]	B	10	-27
Knoe	A	0203	Chrnzhponshchti	B675777-6	 	Ag Pi Tp 		501	Ae	M4 V	{ 1 }	(B69+1)	[8824]	BCD	11	594
Knoe	A	0207	Enzhra	X410375-0	 	Lo 		124	NaVa	F8 V D	{ -3 }	(A20-2)	[1171]	B	17	-40
Knoe	E	0213	Ietledevlshtia	C346421-9	 	Ni Pa 		823	NaVa	F6 V	{ -1 }	(B31+1)	[2376]	Bc	13	33
Knoe	E	0220	Chtakrchieshrienshla	C656542-7	 	Ag Ga Ni 		312	NaVa	F0 V D	{ -1 }	(941-1)	[8444]	BC	15	-36
Knoe	I	0225	Baotchij	E78A8B6-3	 	Ph Ri Wa 		330	NaVa	F2 V	{ -1 }	(B79-4)	[9767]	BCe	10	-2772
Knoe	I	0226	Iantlilepl	E460436-8	 	De Ni 		601	NaVa	F2 V	{ -3 }	(A30-3)	[8189]	B	10	-90
Knoe	I	0227	Rbrchdlan	C879220-7	 	Lo 		300	NaVa	F0 V D	{ -2 }	(310+2)	[318C]	B	7	6
Knoe	I	0228	Chiadrshedepr	B667678-7	 	Ag Ri Ga Ni Tp 		201	NaVa	F0 V D	{ 1 }	(655-2)	[5757]	BC	12	-300
Knoe	M	0231	Dlianzhfetlstiq	D544455-7	 	C:Knoe-0328 Tp Ni Pa 		623	NaVa	F9 V D	{ -3 }	(A32+5)	[614B]	Bc	13	300
Knoe	M	0232	Ielzhone	C2408A6-5	 	De Ph Pi Po 		801	NaVa	F9 V D	{ -1 }	(476+4)	[B72A]	BDe	6	672
Knoe	M	0233	Zdrnzhie	A669385-9	 	Lo 		103	NaVa	K2 V	{ 0 }	(720-1)	[7398]	B	10	-14
Knoe	M	0235	Nieflenanz	C7C4654-8	 	Fl Ni 		925	NaVa	M5 V D	{ -2 }	(C52-4)	[7437]	B	15	-480
Knoe	M	0239	Ia	B2778AB-D	 	Pa Pi Ph 		804	NaVa	F9 V D	{ 2 }	(G7A-1)	[7A4B]	BcDe	10	-1120
Knoe	A	0302	Aeprzhdaziepr	A4026A8-D	 	Co Ic Va Na Ni 		811	Ae	F7 V	{ 1 }	(B57-1)	[773C]	B	12	-385
Knoe	A	0308	Baklderiedlfrenzh	C436225-8	 	Lo 		110	Ae	F1 V D	{ -2 }	(510+1)	[1177]	B	12	5
Knoe	A	0309	Fitsekr	B342879-7	 	He Ph Pi Po 		604	Ae	M3 V	{ 0 }	(579+3)	[8864]	BDe	13	945
Knoe	A	0310	Klefriaaatsidl	D355433-8	 	Ni Pa 		904	Ae	F8 V D	{ -3 }	(A31-2)	[4165]	Bc	8	-60
Knoe	E	0314	Ila	B7A4488-9	 	Fl Ni Px 		503	NaVa	M2 V D	{ 0 }	(734+1)	[5467]	B	10	84
Knoe	E	0318	Idrrrzrovryazh	C3268CB-9	 	Ph Pi 		905	NaVa	K6 V M5 V	{ 0 }	(975-3)	[887A]	BDe	11	-945
Knoe	E	0319	Ipzhdievrebl	D543000-E	 	Di O:Knoe-0520 Po 		001	NaVa	K6 V M5 V	{ -1 }	(700+3)	[0000]	B	13	21
Knoe	E	0320	Odlinche	E22187A-8	 	Na Pi Po Ph 		101	NaVa	K6 V M5 V	{ -2 }	(77A+1)	[7637]	BDe	10	490
