Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ngat	E	0115	Khoeue	E9A5000-7	 	Di Fl 		000	Vc	F7 V	{ -3 }	(900-3)	[0000]	B	0	-27
Ngat	I	0124	Gikfaksae	B6B0578-A	 	He Ni Sa 		302	NaVa	G1 V	{ 1 }	(846+1)	[369A]	B	0	192
Ngat	I	0127	Runguk Gurraegh	B160777-9	 	De Ri Sa 		424	NaVa	A1 III	{ 2 }	(C69-2)	[394C]	BC	0	-1296
Ngat	I	0130	Gzouthillaeg	D211697-5	 	Ic Na Ni 		702	NaVa	G2 V M0 VI	{ -3 }	(A53+1)	[7374]	B	0	150
Ngat	A	0205	Llaerr Ghekhtsing	B459320-8	 	Lo 	B	622	NaVa	K5 V M8 VI M7 VI	{ -1 }	(C20-5)	[5289]	B	0	-120
Ngat	A	0209	Gvokllue Gvaengong	C456688-6	 	Ag Ni 		314	NaVa	K4 V BD M1 V M3 VI	{ -1 }	(951-4)	[6564]	BC	0	-180
Ngat	E	0212	Nofue Goekiks	A954412-9	 	Ni Pa 		600	NaVa	K7 V M0 VI	{ 0 }	(933+2)	[7417]	Bc	0	162
Ngat	E	0213	Uerr Sokfuerra	A587477-D	 	Lk Ni Pa 		521	NaVa	M1 III BD	{ 1 }	(833+1)	[155D]	Bc	0	72
Ngat	E	0219	Kharrsoeg Kaeg	A76A102-E	 	Lo Wa 		601	Vc	F2 V	{ 1 }	(901-3)	[126G]	B	0	-27
Ngat	I	0221	Fagvaekan	D7A3435-4	 	Fl Ni 		502	NaVa	A9 V	{ -3 }	(632+2)	[4131]	B	0	72
Ngat	I	0223	Dzughokhsikael	E99769D-3	 	Ag Ho Tr Ni 		905	NaVa	G1 V K2 VI K8 VI	{ -2 }	(952-3)	[7445]	BC	0	-270
Ngat	I	0226	Knagangdourrok	C32027C-8	 	Co De He Lo Po 		822	NaVa	G2 VI	{ -2 }	(E10+1)	[1179]	B	0	14
Ngat	I	0227	Raegsun Oghzenguegh	A697443-A	N 	Ni Pa 		522	NaVa	F7 V	{ 1 }	(937+1)	[556D]	Bc	0	189
Ngat	M	0232	Kounigaelldhogz	C66A200-9	 	Lo Wa 		212	Va	G2 II	{ -1 }	(610+3)	[2159]	B	0	18
Ngat	M	0234	Ouzol	B200414-A	 	Ni Va 		224	Va	M2 V	{ 1 }	(937+2)	[3549]	B	0	378
Ngat	M	0238	Kueknoukhs Khigvungtsueghzin	E559400-7	 	Ho Ni 		322	Vb	F8 V	{ -3 }	(630-3)	[3167]	B	0	-54
Ngat	M	0239	Llorrgllou	B33778B-9	 			914	Vb	M1 V	{ 1 }	(B6A-1)	[4816]	B	0	-660
Ngat	A	0302	Davukfueks	C331999-9	 	Hi Na Po 		514	Vc	M7 V	{ 1 }	(B86-1)	[6A46]	BE	0	-528
