Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Prov	A	0101	Ngulruedukh	C8A168A-8	 	Fl He Ni 		612	MaOa	M1 III M2 V	{ -2 }	(A53-1)	[9446]	B	13	-150
Prov	A	0102	Gzaerzserorgh	B69A788-A	 	Pi Wa 		501	MaOa	G9 V D	{ 2 }	(76C-1)	[895C]	BD	10	-504
Prov	A	0103	Thurraekh	C8A1400-B	 	Fl He Ni 		403	ZuXy	M3 V	{ 0 }	(C34+4)	[144G]	B	9	576
Prov	A	0107	Kuerrgoeng	A788B97-G	 	Hi 		114	NaVa	F5 V	{ 4 }	(DAC+3)	[9F7G]	BEf	13	4680
Prov	A	0108	Gaeksuergh	C561434-8	 	Ni 		722	NaVa	G4 V M3 V	{ -2 }	(C30-4)	[5219]	B	13	-144
Prov	A	0109	Adzoeknogh	B424355-B	 	Lo 		803	NaVa	M2 V M5 V	{ 1 }	(721+2)	[1459]	B	11	28
Prov	A	0110	Ang Aeth	A544644-B	 	Ag Ni 		925	NaVa	F1 V D	{ 2 }	(C56+1)	[483C]	BC	12	360
Prov	E	0112	Dhotsaeng	C577677-8	 	Ag Ni 		903	NaVa	F9 V	{ -1 }	(751-1)	[655B]	BC	12	-35
Prov	E	0115	Koudhgzaen	A563859-B	 	Ph Ri 		612	NaVa	A5 V	{ 3 }	(E7D+1)	[7B2D]	BCe	12	1274
Prov	E	0119	Nogh	D566410-7	 	Ni Pa 		405	NaVa	K3 V K6 V	{ -3 }	(831-1)	[3184]	Bc	11	-24
Prov	E	0120	Zadz	B88A585-B	 	Ni Pr Wa 		705	NaVa	G2 V D	{ 1 }	(C45+1)	[667E]	Bc	8	240
Prov	I	0127	Thagaers	A553325-D	 	Lo Po 		423	NaVa	M2 V	{ 1 }	(F21+3)	[144E]	B	13	90
Prov	I	0130	Ghourknodz	A79A000-0	 	Ba Wa 		801	NaVa	G7 V	{ -1 }	(600+3)	[0000]	B	9	18
Prov	M	0131	Dzaegkaek	E422000-A	 	Di He Po 		021	NaVa	G0 V M6 V	{ -1 }	(600+1)	[0000]	B	11	6
Prov	M	0132	Uevoto	D583683-6	 	Ni Ri 		701	NaVa	K4 V M4 V	{ -2 }	(954-1)	[947A]	BC	12	-180
Prov	M	0137	Anthonkfoers	E300641-6	 	Na Ni Va 		223	NaVa	M1 V	{ -3 }	(650-2)	[6316]	B	11	-60
Prov	M	0140	Aenggvug	B000221-B	 	As Va Lo 		813	NaVa	M0 V	{ 1 }	(A11-1)	[335G]	B	9	-10
Prov	A	0203	Aellorr	A756976-D	 	Ga Hi 		415	NaVa	G7 V D	{ 3 }	(H8B+2)	[6C3B]	BE	10	2992
Prov	A	0204	Kunag	A300888-E	 	Na Pi Ph Va 		912	NaVa	M0 V	{ 2 }	(C79+1)	[6A2G]	BDe	12	756
Prov	A	0205	Kota	A100110-C	 	Lo Va 		111	NaVa	M1 V M8 V	{ 1 }	(D01-1)	[125D]	B	6	-13
Prov	A	0210	Ath Aghe	A685110-D	 	Ga Lo 		624	NaVa	F8 V	{ 1 }	(E01-2)	[227E]	B	17	-28
Prov	E	0212	Ghoghzsorgh	C635798-9	 			104	NaVa	M0 V	{ 0 }	(763+3)	[8775]	B	12	378
Prov	E	0216	Rataetaenrar	C548AAA-A	 	Hi In 		805	NaVa	M0 V	{ 3 }	(A9A+4)	[7D77]	BE	11	3600
Prov	E	0219	Oughdzak	B7A6445-9	 	Fl Ni 		225	NaVa	M1 V M7 V	{ 0 }	(C31+2)	[642A]	B	13	72
Prov	I	0222	Llaedkher	D546795-3	 	Ag Pi 		115	NaVa	G7 V	{ -1 }	(563+4)	[3647]	BCD	15	360
Prov	I	0225	Dzarrvaer	E766479-5	 	Ga Ni Pa 		603	NaVa	G4 IV	{ -3 }	(C33-3)	[6132]	Bc	11	-324
Prov	I	0227	Ghourrgadz	D556400-8	 	Ni Pa 		703	NaVa	F9 V	{ -3 }	(D31+1)	[917B]	Bc	16	39
Prov	I	0230	Oetsorkeda	D9B7686-7	 	Fl Ni 		614	NaVa	K3 V	{ -3 }	(551-3)	[4319]	B	15	-75
Prov	M	0232	Kuronraer	C556788-8	 	Ag 		202	NaVa	G1 V	{ 0 }	(B63+1)	[9746]	BC	7	198
Prov	M	0237	Gingrue	C502553-A	 	Ic Va Ni 		521	NaVa	F9 V	{ 0 }	(945-2)	[2529]	B	12	-360
Prov	M	0238	Lloezoers	AAC368C-C	 	Fl Ni 		903	NaVa	F4 V	{ 1 }	(854+1)	[6749]	B	11	160
Prov	M	0240	Aeghzisung	B200477-B	 	Ni Va 		122	NaVa	F2 II M2 V	{ 1 }	(D32-1)	[855B]	B	10	-78
Prov	A	0302	Ae Uer	E787674-6	 	Ag Ri Ga Ni 		913	MaOa	G1 V	{ -1 }	(750+2)	[3554]	BC	11	70
Prov	A	0303	Vaggvuek	E535AAA-A	 	Hi 		502	MaOa	G8 IV	{ 1 }	(69C+2)	[BB7D]	BE	13	1296
Prov	A	0304	Kath	D310999-9	 	Hi Na In 		604	MaOa	M1 V	{ 1 }	(D89+1)	[7A1A]	BE	13	936
Prov	A	0305	Taktelugh	C558434-8	 	Ni Pa 		922	ZuXy	G7 V	{ -2 }	(C31-2)	[6299]	Bc	14	-72
Prov	A	0306	Sa Thaen	B68A621-B	 	Ni Ri Wa 		313	ZuXy	K0 V M1 V	{ 2 }	(B53-3)	[881B]	BC	14	-495
Prov	A	0308	Llaes	E764320-5	 	Lo 		604	NaVa	G5 V M0 V	{ -3 }	(920-4)	[6123]	B	12	-72
Prov	A	0309	Oghzourr	C515410-9	 	Ic Ni 		924	NaVa	F9 V	{ -1 }	(B32-1)	[834B]	B	16	-66
Prov	E	0314	Dorrar	B573257-8	 	Lo 		213	NaVa	G0 V	{ -1 }	(F10+1)	[413C]	B	13	15
Prov	I	0321	Rrukagae	E52968B-7	 	Ni 		914	NaVa	M2 V M4 V	{ -3 }	(450-5)	[7348]	B	10	-100
Prov	I	0325	Oth Uegaen	C688674-7	 	Ag Ri Ni 		113	NaVa	G0 V M6 V	{ 0 }	(756+1)	[5645]	BC	9	210
Prov	I	0328	Ughtuerz	E759534-8	 	Ni 		901	NaVa	F8 V	{ -3 }	(440-2)	[127A]	B	7	-32
Prov	I	0329	Gvousaegh	BA98114-8	 	Lo 		623	NaVa	K8 V	{ -1 }	(A00-4)	[215B]	B	16	-40
Prov	M	0331	Errkous	E557100-5	 	Lo 		505	NaVa	G4 V D	{ -3 }	(400-2)	[1193]	B	17	-8
Prov	M	0335	Lighoz	C555454-8	 	Ni Pa 		802	GaQu	G4 V	{ -2 }	(D30+4)	[1256]	Bc	9	156
Prov	A	0401	Urr Orr	E558437-7	 	Ni Pa 		924	MaOa	G9 V D	{ -3 }	(630+2)	[4147]	Bc	13	36
Prov	A	0402	Ardhaer	A43399A-G	 	Hi Na Po 		513	MaOa	K2 V K7 V	{ 4 }	(A89-1)	[7D4G]	BEf	16	-720
Prov	A	0403	Klur	E310301-9	 	Lo 		324	MaOa	F4 V M4 V	{ -2 }	(F20+3)	[116A]	B	12	90
Prov	A	0406	Ouskathoerz	C558302-A	 	Lo 		222	ZuXy	K0 V K2 V	{ 0 }	(C20-1)	[337B]	B	9	-24
Prov	A	0409	Ranghou	A544520-B	 	Ag Ni 		920	NaVa	F8 V D	{ 2 }	(946+4)	[472D]	BC	12	864
Prov	A	0410	Founeghen	C5816A9-7	 	Ni Ri 		204	NaVa	F3 V	{ -1 }	(A50+1)	[5527]	BC	15	50
Prov	E	0414	Oeksaegh	B612558-D	 	Ic Ni 		304	NaVa	M2 V	{ 1 }	(744+3)	[763C]	B	12	336
Prov	E	0415	Anghikh	A556444-B	 	Ni Pa 		604	NaVa	K5 V	{ 1 }	(G37+3)	[754B]	Bc	9	1008
Prov	E	0416	Uedzaell	B540325-B	 	De He Lo Po 		202	NaVa	F5 V	{ 1 }	(B21+1)	[144E]	B	10	22
Prov	E	0418	Khaghdaeksong	D674642-6	 	Ag Ni 		703	NaVa	M3 V M8 V	{ -2 }	(853-2)	[4454]	BC	14	-240
Prov	E	0419	Ughfangkhoeg	E594576-5	 	Ag Ni 		323	NaVa	A7 IV G7 V	{ -2 }	(443-3)	[3388]	BC	15	-144
Prov	I	0421	Knunguegaegn	B5448CF-8	 	Pa Pi Ph 		101	NaVa	F8 V D	{ 0 }	(C73-4)	[886A]	BcDe	11	-1008
Prov	I	0422	Knokseng	D785577-6	 	Ag Pr Ga Ni 		302	NaVa	K2 V D	{ -2 }	(B40+2)	[9337]	BcC	6	88
Prov	I	0423	Lugh	AA8A483-C	 	Ni Oc 		612	NaVa	G4 V	{ 1 }	(935+2)	[856H]	B	11	270
Prov	I	0427	Turz	B544659-B	 	Ag Ni 		123	NaVa	G1 V	{ 2 }	(E54-3)	[3878]	BC	17	-840
Prov	I	0428	Tuerrg	A575530-B	 	Ag Ni 		114	NaVa	K8 V D	{ 2 }	(H48+1)	[275C]	BC	17	544
Prov	I	0430	Aezorr	C554359-8	 	Lo 		512	NaVa	M2 V	{ -2 }	(E20+1)	[315A]	B	12	28
Prov	M	0432	Dzirrsrue	A9B3301-F	 	Fl Lo 		203	NaVa	F0 V	{ 1 }	(721-3)	[142J]	B	11	-42
Prov	A	0502	To Oukan	C64257A-9	 	He Ni Po 		514	MaOa	G9 V	{ -1 }	(E44+1)	[6427]	B	16	224
Prov	A	0507	Nurugholi	B634889-B	 	Ph 		322	MaOa	K9 V	{ 2 }	(C79-3)	[7A4D]	Be	16	-2268
Prov	A	0508	Zekhghe	D779777-6	 	Pi 		815	MaOa	G5 V	{ -2 }	(566+1)	[6573]	BD	14	180
Prov	E	0516	Oeghzdharok	B979579-B	 	Ni 		404	NaVa	K0 V	{ 1 }	(945+4)	[868A]	B	10	720
Prov	I	0523	Anakae	E66A875-7	 	Ph Ri Wa 		625	NaVa	A6 V	{ -1 }	(773+1)	[A742]	BCe	17	147
Prov	I	0526	Oksruenvae	B654556-A	 	Ag Ni 		104	NaVa	A9 IV	{ 2 }	(A45+1)	[875D]	BC	10	200
Prov	I	0527	Gnerang	C897838-6	 	Pa Pi Ph 		102	NaVa	K3 V	{ -1 }	(B7A-2)	[6733]	BcDe	8	-1540
Prov	M	0532	Ugzugu	E773AAB-8	 	Hi In 		224	NaVa	F8 V	{ 0 }	(D95-1)	[6A2B]	BE	11	-585
Prov	M	0533	Kaghoekne	E799212-7	 	Lo 		214	NaVa	F2 III M4 V	{ -3 }	(510-3)	[2188]	B	12	-15
Prov	M	0537	Ug Kanek	A668689-9	 	Ag Ri Ni 		623	GaQu	G5 V M3 V	{ 2 }	(G55+1)	[28A9]	BC	12	400
Prov	A	0603	Vo Dikh	D544879-5	 	Pa Pi Ph 		622	MaOa	K3 V	{ -2 }	(773+2)	[8644]	BcDe	13	294
