Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Reft	A	0102	Cauldron	D988000-4	 	     Di 		003	Wild	M0 V	{ -3 }	(400+1)	[0000]	B	7	4
Reft	A	0105	Iselen	E543000-9	 	     Di Po 		003	Wild	G0 V	{ -2 }	(B00-4)	[0000]	B	7	-44
Reft	A	0106	Reudden	B553475-8	 	      Ni Po 		900	Wild	G4 V	{ -1 }	(832-1)	[433B]	B	9	-48
Reft	A	0108	Kukaa	E544000-A	 	     Di 		003	Wild	G1 V	{ -1 }	(600-1)	[0000]	B	7	-6
Reft	A	0109	Amoirve	X565000-B	T 	      Di 		004	Wild	G8 V	{ -1 }	(A00-3)	[0000]	B	10	-30
Reft	E	0111	Grudovo	B560403-C	 	     De Ni 		514	Wild	K0 IV D	{ 1 }	(B37+1)	[753D]	B	13	231
Reft	E	0112	Banskonno	A582414-C	 	    Droy6  Ni 		104	Wild	G0 V	{ 1 }	(A36+1)	[659C]	B	13	180
Reft	E	0118	Bastion	B737386-B	N 	     Lo 		901	Wild	A9 V K4 V	{ 1 }	(821-4)	[145E]	B	6	-64
Reft	A	0203	Solbatn	E87A000-A	 	     Di Wa 		003	Wild	K3 V	{ -1 }	(900-2)	[0000]	B	11	-18
Reft	A	0208	Peshtorno	B783897-8	N 	     Ph Ri 		322	Wild	G1 V	{ 1 }	(E77-5)	[7955]	BCe	7	-3430
Reft	A	0210	Petre	D696000-A	 	      Di 		010	Wild	F4 V	{ -1 }	(700+1)	[0000]	B	10	7
Reft	E	0212	Aldaya	B885651-7	S	      Ag Ri Ga Ni 		223	Wild	K4 V	{ 1 }	(855+1)	[7794]	BC	8	200
Reft	E	0216	Neon	D782000-7	 	     Di 		023	Wild	F6 V M4 V	{ -3 }	(400+3)	[0000]	B	10	12
Reft	E	0217	Cerebin	D423000-C	 	       Di Po 		034	Wild	G1 IV	{ -1 }	(F00+1)	[0000]	B	14	15
Reft	A	0305	Dimple	D200000-8	S	     Di Va 		000	Wild	G1 V M1 V	{ -3 }	(400-4)	[0000]	B	13	-16
Reft	E	0313	Helifil	D3107BC-8	 	     RsB  Na Pi 		403	Wild	K1 V	{ -2 }	(C62-2)	[3528]	BD	10	-288
Reft	A	0402	Benidorm	E546000-8	 	      Di 		020	Wild	G2 V	{ -3 }	(800+3)	[0000]	B	10	24
Reft	A	0408	Carian	D300000-B	T 	     Di Va 		024	Wild	M0 V M7 V	{ -1 }	(C00-2)	[0000]	B	9	-24
Reft	A	0410	Ambossa	B684445-8	 	     Ni Pa 		300	Wild	G2 V	{ -1 }	(632+1)	[1378]	Bc	9	36
Reft	E	0416	Tonnurad	E563000-7	 	      Di 		003	Wild	G3 V M5 V G5 V	{ -3 }	(800+4)	[0000]	B	7	32
