Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Spin	A	0101	Zeykiede	C430641-9	 	De Na Po Ni 		313	Wild	K9 V	{ -1 }	(C50+3)	[4559]	B	8	180
Spin	A	0102	Rzhdioch	C42078A-A	 	De He Na Pi Po 		503	Wild	G8 V M1 V	{ 1 }	(C65+4)	[782B]	BD	12	1440
Spin	A	0103	Ezhfrepl	B563646-B	 	Ni Ri 		210	Wild	M1 V M4 V	{ 2 }	(958+3)	[982B]	BC	9	1080
Spin	A	0104	Chantrel	E566000-9	 	Di 		020	Wild	F1 V	{ -2 }	(600-1)	[0000]	B	12	-6
Spin	A	0108	Gyomar	C8B289A-8	 	(Tethmari) Fl He Ph 		524	Wild	A8 V	{ -1 }	(G76-3)	[A7A8]	Be	14	-2016
Spin	E	0111	Atson	B310479-8	 	Ni 		433	Wild	K8 V	{ -1 }	(D33+2)	[2324]	B	10	234
Spin	E	0114	Yiktor	D6B6000-A	 	Di Fl 		023	Wild	G4 V M4 V	{ -1 }	(B00-2)	[0000]	B	12	-22
Spin	E	0115	Xhosa	EA95000-5	 	Di 		010	Wild	M0 V	{ -3 }	(300+4)	[0000]	B	8	12
Spin	I	0122	Junction	D550400-5	 	De Ni Po 		210	Wild	M2 V M3 V	{ -3 }	(631-3)	[7154]	B	10	-54
Spin	I	0129	Uniqua	E625000-7	 	Di 		010	Wild	K9 V M9 V	{ -3 }	(700+1)	[0000]	B	8	7
Spin	I	0130	Garoo	A200744-A	 	(roo) Na Pi Va 		810	Wild	M1 V M5 V	{ 2 }	(B67+3)	[892D]	BD	9	1386
Spin	M	0133	Emape	B564476-A	 	Ni Pa 		403	Wild	M0 V	{ 1 }	(A37-3)	[6558]	Bc	6	-630
Spin	M	0139	Raweh	X430000-B	 	De Di Po 		020	Wild	G3 V M1 V	{ -1 }	(700-4)	[0000]	B	5	-28
Spin	M	0140	876-574	E687000-3	 	Di Ga 		002	Wild	K7 V	{ -3 }	(400-3)	[0000]	B	11	-12
Spin	A	0202	Purfyr	D868000-5	 	Di 		001	Wild	G5 V M3 V	{ -3 }	(700-1)	[0000]	B	12	-7
Spin	E	0212	Prinx	C436622-6	 	Ni 		220	Wild	A9 V K8 V	{ -2 }	(852+1)	[6443]	B	9	80
Spin	E	0215	Rushu	E766642-4	 	Ag Ri Ga Ni rgW 		603	Wild	G0 V M3 V	{ -1 }	(852+4)	[4511]	BC	8	320
Spin	E	0218	Bael	E200000-8	 	Di Va 		012	Wild	K2 V	{ -3 }	(600+1)	[0000]	B	9	6
Spin	I	0223	Stern-Stern	X421000-B	 	Di He Po ryW 		001	Wild	M0 V M3 V	{ -1 }	(800+5)	[0000]	B	9	40
Spin	I	0230	886-945	E833000-0	 	Ba Po 		004	Wild	F8 V	{ -3 }	(200+1)	[0000]	B	16	2
Spin	M	0231	Saxe	EAA5000-8	 	Di Fl 		010	Wild	A2 V	{ -3 }	(800+3)	[0000]	B	9	24
Spin	M	0236	Andor	C695756-A	 	Ag Pi An   DroyW 		203	Wild	F3 V	{ 2 }	(C68-1)	[3958]	BCD	6	-576
Spin	M	0240	769-422	E754432-7	 	(minor) Ni Pa 		424	Wild	G2 V	{ -3 }	(632+1)	[1118]	Bc	10	36
Spin	A	0301	Rio	D686000-8	 	Di Ga 		001	Wild	M0 V M1 V	{ -3 }	(900-1)	[0000]	B	8	-9
Spin	A	0303	Zhdienshdo	B311658-D	 	Ic Na Ni 		301	Wild	M2 V M9 V	{ 1 }	(956+1)	[778D]	B	12	270
Spin	A	0304	Cronor	A636948-D	 	Hi 		610	Wild	F8 V	{ 3 }	(C87+3)	[BC4B]	BE	5	2016
Spin	A	0307	Brefrie	B433757-B	 	An Na Po 		410	Wild	F7 V M3 V	{ 2 }	(A65-4)	[B93D]	B	8	-1200
Spin	E	0311	Mizan-fel	X562000-8	 	Di 		023	Wild	F3 V	{ -3 }	(C00-2)	[0000]	B	13	-24
Spin	I	0321	Nonym	C433847-A	 	Na Po Ph 		323	Wild	G0 V	{ 1 }	(F77+2)	[7996]	Be	14	1470
Spin	I	0325	Laberv	B554401-8	 	Ni Pa ryW 		234	Wild	G0 V	{ -1 }	(D35-2)	[7325]	Bc	12	-390
Spin	I	0326	Ektron	C432656-9	 	Na Px Po Ni la1 ry8 		223	Wild	M1 V	{ -1 }	(D51+1)	[6577]	B	14	65
Spin	M	0332	Gothe	E421000-7	 	Di He Po 		010	Wild	F5 V	{ -3 }	(700+1)	[0000]	B	9	7
Spin	M	0333	Mirriam	B999833-A	 	Ph Pi 		414	Wild	G6 V	{ 2 }	(F77-4)	[6A6E]	BDe	13	-2940
Spin	M	0336	Candory	X593000-8	 	An  DroyW Di 		020	Wild	F6 V M3 V	{ -3 }	(A00-3)	[0000]	B	5	-30
Spin	M	0340	Wonderay	E88A450-5	 	Ni Wa 		210	Wild	M1 V M3 V	{ -3 }	(630-1)	[3146]	B	7	-18
Spin	E	0412	Izhdriel	D200000-A	 	Di Droy4 Va 		001	Wild	M3 V M3 V	{ -1 }	(600+4)	[0000]	B	12	24
Spin	E	0414	Attica	C400521-8	 	Ni Va 		610	Wild	K1 V M6 V	{ -2 }	(840-3)	[3336]	B	8	-96
Spin	E	0416	Retinae	E8C6741-7	 	(Tashaki) RsD Fl 		510	Wild	M1 V	{ -2 }	(B63-2)	[9578]	B	11	-396
Spin	I	0421	Zamine	X897000-A	 	Di ry9 		023	Wild	M3 V	{ -1 }	(G00+1)	[0000]	B	12	16
Spin	I	0425	Engrange	C55477A-8	 	Ag la1 ry8 		301	Wild	M1 V M3 V	{ 0 }	(A6C+1)	[A718]	BC	10	720
Spin	I	0426	Yelim	A544959-C	 	Hi In ryW 		301	Wild	G3 V M8 V	{ 4 }	(B88+2)	[5D3E]	BEf	6	1408
Spin	I	0427	Roget	B566772-9	 	Ag Ri la6 ry3 		420	Wild	F8 V M3 V	{ 3 }	(B6A+4)	[6A9C]	BC	7	2640
Spin	I	0429	Kardin	E553000-6	 	An Di Po 		010	Wild	F7 V	{ -3 }	(300+3)	[0000]	B	10	9
Spin	I	0430	Bularia	X774000-5	 	Di 		010	Wild	K5 V M3 V	{ -3 }	(800+1)	[0000]	B	8	8
Spin	M	0433	Jone	B7927A8-9	 	He Pi 		410	Wild	G8 V M5 V	{ 1 }	(A68+2)	[589A]	BD	13	960
Spin	M	0440	Jinx	D100000-7	 	Di Va 		002	Wild	G3 IV D	{ -3 }	(300+2)	[0000]	B	10	6
Spin	A	0503	Whenge	D648000-8	 	Di 		010	Wild	F8 V	{ -3 }	(800+1)	[0000]	B	13	8
Spin	E	0511	Zhda	X786000-9	 	Di Ga 		012	Wild	K2 V	{ -2 }	(800-3)	[0000]	B	8	-24
Spin	E	0512	Niabritedl	E596000-5	 	Di 		005	Wild	K8 V	{ -3 }	(600-1)	[0000]	B	11	-6
Spin	E	0518	Faisal	D545000-5	 	Di 		010	Wild	K9 V M7 V	{ -3 }	(600-2)	[0000]	B	9	-12
Spin	I	0526	Rorre	D765545-3	 	Ag Pr Ga Ni ryW 		503	Wild	F4 V M2 V	{ -2 }	(842+3)	[8361]	BcC	13	192
Spin	I	0527	Mire	A665997-A	 	Ga Hi Pr ry8 la1 		410	Wild	K6 V	{ 3 }	(D8D+1)	[8C4A]	BcE	10	1352
Spin	I	0528	Condaria	E547000-5	 	Di 		001	Wild	K3 V M0 V	{ -3 }	(900-5)	[0000]	B	12	-45
Spin	I	0530	Dorannia	E421000-8	 	Di He Po 		010	Wild	K4 V	{ -3 }	(800+4)	[0000]	B	9	32
Spin	M	0532	Ucella	D574000-7	 	Di 		010	Wild	F2 V M2 V	{ -3 }	(800+1)	[0000]	B	8	8
Spin	M	0533	Penelope	C560599-5	 	De Ni Pr 		823	Wild	F6 V M2 V	{ -2 }	(841-3)	[A373]	Bc	10	-96
Spin	M	0534	Karin	A767676-C	 	Ag Ri Ga Ni 		910	Wild	G7 V	{ 3 }	(A59+4)	[692D]	BC	6	1800
Spin	M	0538	Wonstar	B555778-7	 	Ag 		210	Wild	M0 V	{ 1 }	(96C-3)	[4835]	BC	5	-1944
Spin	M	0539	Froin	D535000-9	 	Di RsZ 		001	Wild	M2 V M7 V	{ -2 }	(500+1)	[0000]	B	12	5
Spin	A	0601	Enlas-du	E975777-6	 	Ag Pi 		323	Wild	F1 V	{ -1 }	(968+1)	[6627]	BCD	14	432
Spin	A	0605	Algebaster	C66569B-8	 	Ag Ri Ga Ni 		410	Wild	M0 V M1 V	{ 0 }	(951+1)	[5647]	BC	10	45
Spin	A	0607	Rasatt	E883000-7	 	Di 		010	Wild	F0 V	{ -3 }	(600+4)	[0000]	B	6	24
Spin	A	0608	Vendetierre	A311676-C	 	Ic Na Ni 		110	Wild	A4 V	{ 1 }	(953+4)	[5779]	B	6	540
Spin	A	0610	Shiazhzdepr	B756689-A	 	Ag Ga Ni 		611	Wild	F4 V M0 V	{ 2 }	(B54+1)	[3879]	BC	13	220
Spin	E	0613	Zaikriq	X869000-C	 	Di 		001	Wild	G8 V M5 V	{ -1 }	(800+4)	[0000]	B	10	32
Spin	E	0614	Querion	B554789-9	 	(Sheol) Ag 		404	Wild	G6 V	{ 2 }	(D69+1)	[994A]	BC	13	702
Spin	E	0618	Dekalb	EA8A775-6	 	Oc Ri 		320	Wild	M1 V	{ -1 }	(968-4)	[8694]	BC	13	-1728
Spin	E	0620	Winston	E887537-6	 	Ag Pr Ga Ni 		201	Wild	K5 V M9 V	{ -2 }	(741+2)	[8354]	BcC	6	56
Spin	I	0622	Terant 340	D540577-9	 	De He Ni Po ryW 		223	Wild	G0 V M5 V	{ -2 }	(C44+1)	[831A]	B	8	192
Spin	I	0624	Jacent	A4337A9-D	 	Na Po ryW 		210	Wild	M0 V	{ 2 }	(A67-3)	[A93B]	B	7	-1260
Spin	I	0625	494-908	X893000-0	 	Ba Re 		010	Wild	M1 V	{ -3 }	(200+3)	[0000]	B	6	6
Spin	I	0627	Daryen	A4639AA-F	 	An  (ryen)8 la0 Hi Pr 		125	Wild	G1 V D	{ 3 }	(J8A-3)	[4C1F]	BcE	10	-4320
Spin	M	0632	Gohature	C754785-7	 	Ag 		323	Wild	F8 V	{ 0 }	(967+2)	[7756]	BC	15	756
Spin	M	0637	Quhaiathat	C314774-9	 	Ic Pi 		110	Wild	K8 V	{ 0 }	(A6A-2)	[5766]	BD	6	-1200
