Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Stia	A	0101	Ezh'Qriedle	X000000-B	 	As Va Di 		010	Wild	K3 V	{ -1 }	(300+4)	[0000]	B	0	12
Stia	A	0105	Ieda	X8A3000-0	 	Ba Fl 		013	Wild	G4 V	{ -3 }	(500+1)	[0000]	B	0	5
Stia	A	0108	Iachteblzda	C866687-6	 	Ag Ri Ga Ni 		622	Wild	M3 V	{ 0 }	(753+1)	[565B]	BC	0	105
Stia	A	0109	Shtienzhid	X7A7000-0	 	Ba Fl 		003	Wild	G3 II	{ -3 }	(500-2)	[0000]	B	0	-10
Stia	A	0110	Antsyitl	D555879-8	 	Pa Ph 	B	524	Wild	A2 V	{ -2 }	(E72+3)	[7658]	Bce	0	588
Stia	E	0112	Eints	X610000-5	 	Di 		001	Wild	M4 III	{ -3 }	(900-1)	[0000]	B	0	-9
Stia	E	0113	Tselplians	X786000-7	 	Di Ga 		015	Wild	M9 V	{ -3 }	(500-1)	[0000]	B	0	-5
Stia	E	0114	Aqdianchvran	X72A000-C	 	Di 		020	Wild	K4 V	{ -1 }	(800-2)	[0000]	B	0	-16
Stia	E	0116	Iadlzdiashfl	X438000-0	 	Ba 		022	Wild	M6 V	{ -3 }	(600-2)	[0000]	B	0	-12
Stia	E	0117	Edlieplnaz	D787000-1	 	Di Ga 		024	Wild	F4 V M0 V	{ -3 }	(800+4)	[0000]	B	0	32
Stia	E	0118	Odliebrblal	X67A000-4	 	Di Wa 		022	Wild	G4 V	{ -3 }	(600+1)	[0000]	B	0	6
Stia	I	0121	Iaktflia	B87879A-A	 	Ag Pi 		601	Wild	F8 V	{ 3 }	(B68+1)	[5A78]	BCD	0	528
Stia	I	0124	Zhdinzhdkie	X9DA000-E	 	Di Wa 		000	Wild	G3 V	{ -1 }	(700+1)	[0000]	B	0	7
Stia	I	0125	Chtzdelzin	E665000-4	 	Di Ga 		012	Wild	G7 IV	{ -3 }	(900+4)	[0000]	B	0	36
Stia	I	0126	Lansiadekr	X740000-1	 	De He Di Po 		002	Wild	M4 V	{ -3 }	(700+1)	[0000]	B	0	7
Stia	I	0127	Zhdantl	C767555-7	 	Ag Pr Ga Ni 		723	Wild	G4 V	{ -1 }	(342+1)	[3458]	BcC	0	24
