Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Wind	A	0104	Dognezafue	X989000-0	 	Ba 		003	Wild	F7 V M6 V	{ -3 }	(700+1)	[0000]	B	10	7
Wind	E	0111	Kfoghuenggzu	B554335-7	 	Lo 		903	Wild	F1 V M2 V	{ -1 }	(920+1)	[127A]	B	12	18
Wind	E	0113	Seos	C576746-3	 	Ag Pi 		413	Wild	F9 V M8 V M3 V	{ 0 }	(86C+2)	[5775]	BCD	11	1152
Wind	M	0137	Thognu	X543000-2	 	Di Po 		004	Wild	F4 V	{ -3 }	(A00-1)	[0000]	B	11	-10
Wind	A	0202	Dzoulodzzueng	B555697-A	 	Ag Ni 		813	Wild	F9 V M8 V	{ 2 }	(D55-2)	[B88A]	BC	17	-650
Wind	A	0204	Lliurr	XAE4000-4	 	Di 		014	Wild	F4 V	{ -3 }	(B00+1)	[0000]	B	16	11
Wind	A	0206	Ghoearrg	X000000-A	 	As Va Di 		007	Wild	G3 V M7 V M1 V	{ -1 }	(B00+1)	[0000]	B	18	11
Wind	A	0207	Oganaksfouts	D797000-7	 	Di 		004	Wild	F1 V	{ -3 }	(500-1)	[0000]	B	9	-5
Wind	E	0211	Dharukeksoue	E200774-3	 	Na Pi Va 		305	Wild	K0 V	{ -2 }	(C63-1)	[9514]	BD	18	-216
Wind	M	0237	Goza	B867222-6	 	Ga Lo 		404	Wild	F9 V	{ -1 }	(710-1)	[1166]	B	7	-7
Wind	A	0302	Knoengrugh	E88A697-3	 	Ni Ri Wa 		912	Wild	G7 V M6 V M4 V	{ -2 }	(A53-1)	[2473]	BC	9	-150
Wind	A	0310	Knoerorr	X310000-D	 	Di 		016	Wild	M1 V M2 V	{ -1 }	(D00+1)	[0000]	B	18	13
Wind	M	0336	Ourrezuekh	C568374-8	 	Lo 		917	Wild	F9 V M3 V	{ -2 }	(G20-1)	[3158]	B	16	-32
Wind	M	0338	Uekotoeaerrar	X579000-3	 	Di 		006	Wild	G3 V M1 V	{ -3 }	(600+2)	[0000]	B	14	12
Wind	A	0402	Genfoghudzuks	E566643-1	 	Ag Ri Ni 		900	Wild	F4 V	{ -1 }	(854+1)	[7561]	BC	9	160
Wind	A	0403	Koeguksue	X569577-3	 	Ni Pr 		405	Wild	G7 V	{ -3 }	(743-2)	[1291]	Bc	14	-168
Wind	A	0407	Luaenak	EA9A000-4	 	Di Oc 		016	Wild	F1 V M3 V	{ -3 }	(800-5)	[0000]	B	11	-40
Wind	E	0411	Zidzurz	X420000-9	 	De He Di Po 		002	Wild	K0 V	{ -2 }	(B00+1)	[0000]	B	10	11
Wind	E	0413	Gzoengsuerr	X571000-4	 	Di He 		011	Wild	G7 V	{ -3 }	(700+3)	[0000]	B	6	21
Wind	E	0414	Gaedueng	X9AA000-D	 	Di Fl 		002	Wild	M5 III	{ -1 }	(700-3)	[0000]	B	13	-21
Wind	M	0436	Sotonuklloerr	C96867B-4	 	Ag Ri Ni 		216	Wild	F8 V M5 V	{ 0 }	(953-1)	[5692]	BC	14	-135
Wind	M	0437	Sueknazaerrg	X545000-7	 	Di 		004	Wild	F1 V M0 V	{ -3 }	(600+1)	[0000]	B	15	6
Wind	M	0438	Kuerrughknoul	A657996-B	 	Ga Hi 		520	Wild	F0 V	{ 3 }	(985+2)	[CC49]	BE	10	720
Wind	M	0440	Kfoenuerrgag	B544520-A	 	Ag Ni 		405	Wild	F1 V M6 V	{ 2 }	(C48-3)	[4755]	BC	10	-1152
Wind	A	0501	Ksuthakhful	E787000-4	 	Di Ga 		002	Wild	F9 V M1 V	{ -3 }	(600-1)	[0000]	B	7	-6
Wind	A	0502	Goeghfoedh	X8C7000-D	 	Di Fl 		002	Wild	M3 V	{ -1 }	(900+1)	[0000]	B	5	9
Wind	A	0506	Kanagheg	X435000-6	 	Di 		012	Wild	G0 V	{ -3 }	(600+5)	[0000]	B	10	30
Wind	A	0510	Gakhguekhs	X422000-B	 	Di He Po 		004	Wild	F9 V G9 V M4 V	{ -1 }	(E00-4)	[0000]	B	12	-56
Wind	E	0513	Idzaae	X400000-7	 	Di Va 		017	Wild	M2 V M5 V	{ -3 }	(600+4)	[0000]	B	17	24
Wind	M	0534	Aghzouzknae	X695899-1	 	Pa Pi Ph 		517	Wild	F1 V M7 V F1 V	{ -2 }	(A79-1)	[8661]	BcDe	19	-630
Wind	A	0605	Zuzukhgzuen	D689000-6	 	Di 		015	Wild	F1 V M4 V	{ -3 }	(600-2)	[0000]	B	16	-12
