Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zdie	A	0101	Edrtlrm	C483654-5	 	Ni Ri 	B	222	Wild		{ -1 }	(350-3)	[7578]	BC	0	-45
Zdie	A	0104	Iefle	X6A1000-8	 	Di Fl He 		004	Wild		{ -3 }	(D00-1)	[0000]	B	0	-13
Zdie	A	0109	Shedrzhded	X754448-3	 	Ni Pa 		224	Wild		{ -3 }	(A30+3)	[2162]	Bc	0	90
Zdie	E	0112	Deplzdadrdrn	X676000-0	 	Ba 		014	Wild		{ -3 }	(900+1)	[0000]	B	0	9
Zdie	E	0116	Imdrinsh	X353000-7	 	Di Po 		023	Wild		{ -3 }	(800+1)	[0000]	B	0	8
Zdie	E	0119	Aqlsto'	C887332-6	 	Ga Lo 		614	Wild		{ -2 }	(520-4)	[1144]	B	0	-40
Zdie	I	0122	Jejdiaiab	X655358-0	 	Ga Lo 		912	Wild		{ -3 }	(B20-2)	[7161]	B	0	-44
Zdie	M	0132	Eddrial	A365786-B	 	Ag Ri 		824	Wild		{ 4 }	(E68+2)	[5B7D]	BCf	0	1344
Zdie	M	0135	Adrkan	E140000-6	 	De Di Po 		024	Wild		{ -3 }	(A00+2)	[0000]	B	0	20
Zdie	A	0206	Iesta-86	X376000-0	 	Ba 		012	Wild		{ -3 }	(700-3)	[0000]	B	0	-21
Zdie	A	0207	Zhiashjinsh-5	X481000-0	 	Ba 		000	Wild		{ -3 }	(600-5)	[0000]	B	0	-30
Zdie	A	0208	Bliedlsi'	C462677-4	 	Ni Ri 	B	723	Wild		{ -1 }	(754+1)	[5566]	BC	0	140
Zdie	A	0209	Zhdiashjda	B344387-7	 	Lo 		914	Wild		{ -1 }	(B20-1)	[326A]	B	0	-22
Zdie	A	0210	Afldeblzhdizh	XA5A000-7	 	Di Oc 		002	Wild		{ -3 }	(800-1)	[0000]	B	0	-8
Zdie	E	0211	Zdiae-20	X200000-0	 	Ba Va 		013	Wild		{ -3 }	(800-3)	[0000]	B	0	-24
Zdie	E	0216	Emenshkiz	X500000-0	 	Ba Va 		002	Wild		{ -3 }	(700-4)	[0000]	B	0	-28
Zdie	I	0222	Entikqrie	X769436-0	 	Ni 		303	Wild		{ -3 }	(431+2)	[7155]	B	0	24
Zdie	I	0223	Rdrze	X213000-7	 	Di Ic 		000	Wild		{ -3 }	(A00+1)	[0000]	B	0	10
