Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zhda	A	0109	Ilviei	X200000-C	 	Di Va 		004	Wild	M6 V	{ -1 }	(F00+2)	[0000]	B	0	30
Zhda	A	0110	Enzhtladr	D687300-8	 	Ga Lo 		812	Wild	M7 V	{ -3 }	(D20+3)	[419C]	B	0	78
Zhda	E	0115	Pradjaie	X745000-6	 	Di 		004	Wild	M4 D	{ -3 }	(600+1)	[0000]	B	0	6
Zhda	E	0116	Oddlekliekl	X567000-7	 	Di 		010	Wild	F4 V	{ -3 }	(400-2)	[0000]	B	0	-8
Zhda	E	0119	Te Zdansaa	B582754-A	 	Ri 		802	Wild	F4 V	{ 3 }	(C6B-1)	[CA2A]	BC	0	-792
Zhda	E	0120	Tiatlieadev	D400743-4	 	Na Pi Va 		424	Wild	M5 V	{ -2 }	(563+2)	[45A4]	BD	0	180
Zhda	I	0123	Ratlechzder	D342000-6	 	Di He Po 		021	Wild	F7 D	{ -3 }	(300-5)	[0000]	B	0	-15
Zhda	I	0126	Dlelstekre	E88A78B-8	 	Ri Wa 		403	Wild	F1 V	{ -1 }	(A62+2)	[8626]	BC	0	240
Zhda	I	0129	Dlivldla	C795658-4	 	Ag Ni 		803	Wild	F0 D	{ -1 }	(751+5)	[8583]	BC	0	175
Zhda	I	0130	Anchvlanzhad	X552000-3	 	Di Po 		005	Wild	F7 V M3 V	{ -3 }	(C00-3)	[0000]	B	0	-36
Zhda	M	0132	Pemchtod	X87A000-1	 	Di Wa 		013	Wild	K0 V	{ -3 }	(A00+2)	[0000]	B	0	20
Zhda	M	0133	Iazdizh	X8B8000-C	 	Di Fl 		023	Wild	M1 V	{ -1 }	(C00+4)	[0000]	B	0	48
Zhda	M	0137	Dabryo	B46A100-C	 	Lo Wa 		714	Wild	M8 D	{ 1 }	(901+2)	[229F]	B	0	18
