Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ziaf	A	0101	Jadletl	B200475-B	 	Ni Va 		310	Wild	F5 V	{ 1 }	(737+1)	[156A]	B	8	147
Ziaf	A	0103	Enzhdo	C568731-8	 	Ag Ri 		905	Wild	G8 V	{ 1 }	(E69-1)	[9858]	BC	15	-756
Ziaf	A	0104	Ienazh	A534776-9	 			302	Wild	M3 V	{ 1 }	(B68+3)	[B887]	B	13	1584
Ziaf	A	0106	Spridl Epl	B535777-9	 			923	Wild	G3 V	{ 1 }	(F67-1)	[7888]	B	12	-630
Ziaf	A	0107	Chakl	B552622-9	 	Ni Po 		304	Wild	K9 V M3 V	{ 0 }	(C52+1)	[666B]	B	9	120
Ziaf	A	0109	Jaitnab	X543000-A	 	Di Po 		003	Wild	F0 V	{ -1 }	(900+4)	[0000]	B	6	36
Ziaf	A	0110	Tlaprezh El	B437798-8	 			303	Wild	K4 IV	{ 0 }	(C67-2)	[A779]	B	9	-1008
Ziaf	E	0114	Frezhietsed	B7837BE-7	 	Ri 		212	Wild	G5 V	{ 1 }	(868+2)	[7857]	BC	15	768
Ziaf	E	0115	Nivrdiat	D789000-8	T 	Di 		004	Wild	M3 V	{ -3 }	(A00+2)	[0000]	B	13	20
Ziaf	E	0116	Qiejik	E774000-5	 	Di 		001	Wild	F8 V	{ -3 }	(600-3)	[0000]	B	5	-18
Ziaf	E	0119	Dlashte	E543000-8	 	Di Po 		002	Wild	F6 V M1 V	{ -3 }	(900+3)	[0000]	B	11	27
Ziaf	I	0125	Shipebr	X423000-7	 	Di Po 		024	Wild	M1 V M6 V	{ -3 }	(800-4)	[0000]	B	15	-32
Ziaf	I	0127	Riaqr	B758656-7	 	Ag Ni 		304	Wild	G6 V	{ 0 }	(854-1)	[A645]	BC	7	-160
Ziaf	I	0128	O'staz	A00047B-E	 	As Va Ni 		331	Wild	M0 V M4 V	{ 1 }	(C32-1)	[356H]	B	10	-72
Ziaf	I	0129	Iense	X571000-9	 	Di He 		014	Wild	G8 V	{ -2 }	(D00-4)	[0000]	B	9	-52
Ziaf	M	0131	Fliaplav	C200887-8	 	Na Pi Ph Va 		303	Wild	F9 V	{ -1 }	(D72-1)	[8749]	BDe	10	-182
Ziaf	M	0132	Deifr	B59777A-9	 	Ag Pi 		625	Wild	F4 V F8 V M4 V	{ 2 }	(G6B+4)	[8979]	BCD	14	4224
Ziaf	M	0134	Satlant	B788142-B	 	Lo 		336	Wild	F5 V M6 V	{ 1 }	(K01+4)	[1289]	B	14	76
Ziaf	M	0135	Ieqlaz	E511000-0	 	Ba Ic 		001	Wild	M1 V	{ -3 }	(200+1)	[0000]	B	6	2
Ziaf	M	0138	Tiorsed Liefr	X420625-7	 	(minor) De He Na Po Ni 		902	Wild	G2 V	{ -3 }	(950+5)	[A353]	B	7	225
Ziaf	M	0139	Vazia	D310000-A	 	Di 		022	Wild	G2 V	{ -1 }	(B00-3)	[0000]	B	10	-33
Ziaf	M	0140	Tanj Chiadl	E675572-5	 	Ag Ni 		803	Wild	F7 V	{ -2 }	(842+1)	[A381]	BC	9	64
