Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0210	Grumith	D8D5147-5	Lo	{ -3 }	(500-4)	[1155]	B	-	-	252	11	ImDi	M2 V
0407	Perishan	E300000-0	Ba Va	{ -3 }	(A00-5)	[0000]	-	-	-	032	16	NaHu	M0 V M6 V
0409	Eola	D76A125-7	Lo Wa	{ -3 }	(500-1)	[1147]	B	S	-	340	11	ImDi	M1 V M2 V
0410	Jurin	A85A487-E	Ni Wa RsA	{ 1 }	(A35-4)	[459J]	B	-	-	790	9	ImDi	M2 V
0507	Warinir	A88997C-E	Hi Pr Cs	{ 3 }	(68E-2)	[9C4H]	FEcB	N	-	660	14	ImDi	M3 V
0510	Nyanar	A56746A-A	Ni Pa Mr	{ 1 }	(835+1)	[4549]	cB	N	-	342	8	ImDi	M1 V M8 V
0608	Imili	A3107CE-B	Na Pi Fo	{ 2 }	(F68+3)	[8918]	-	-	R	562	10	ImDi	G3 V
0705	Bharna	E669464-4	Ni O:0507	{ -3 }	(530+2)	[5154]	B	-	-	610	15	ImDi	K3 V
0707	Skara	C200756-B	Na Pi Va	{ 1 }	(A66-1)	[881B]	DB	-	-	551	9	ImDi	M2 V
0709	Pillars	A433501-D	Ni Po	{ 1 }	(B44+0)	[465A]	B	-	-	880	11	ImDi	K4 V
0710	Azer	B9D865A-9	Ni	{ 0 }	(C55-4)	[866C]	B	-	-	451	11	ImDi	M3 V
0805	Sundown	E884623-1	Ag Ni Ri	{ -1 }	(851-3)	[9541]	CB	-	-	881	13	ImDi	G2 V
0807	Eketa	X74A653-5	Ni Wa Fo	{ -3 }	(A50+1)	[5314]	-	-	R	113	12	ImDi	M2 V
0808	Twillight	B657411-6	Ga Ni Pa	{ -1 }	(A34+0)	[4378]	cB	-	-	661	17	ImDi	K0 V
0810	Glimis	B100446-9	Ni Va	{ 0 }	(F36-1)	[5468]	B	-	-	881	12	ImDi	M2 V
0904	Guurilii	C426553-B	Ni	{ 0 }	(342+3)	[6557]	B	S	-	770	9	ImDi	M2 V M2 V
0909	Caeseria	E3105AB-7	Ni Da	{ -3 }	(542+2)	[4259]	B	-	A	122	10	ImDi	K2 V
1003	Sethnakhte	B553131-9	Lo Po	{ 0 }	(B00-2)	[118B]	B	-	-	580	7	ImDi	K6 V M2 V
1004	Capua	B000213-9	As Lo Va	{ 0 }	(D10+0)	[1228]	B	N	-	172	10	ImDi	K8 V M6 V M7 V
1006	Karnak	C693420-8	Ni	{ -2 }	(C30+2)	[4248]	B	-	-	122	10	ImDi	G4 V
1008	Aswan	A000400-D	As Ni Va	{ 1 }	(B32-4)	[258F]	B	N	-	242	12	ImDi	K4 V
1101	Shaid Mamke	D000978-7	As Hi In Na Va	{ 0 }	(487-4)	[E918]	EB	S	-	550	11	ImDi	M6 III M2 V
1104	Parasol	C548636-7	Ag Ni Asla7	{ -1 }	(755+0)	[7586]	CB	-	-	880	11	ImDi	M0 V M2 V
1107	Homer	D000454-A	As Ni Va Asla4	{ -1 }	(734+3)	[235D]	B	-	-	450	14	ImDi	K3 V M5 V
1108	Mordor	B43458A-D	Ni Asla3	{ 1 }	(847-1)	[764D]	B	N	-	950	10	ImDi	M2 V
1202	Attica	A200500-C	Ni Va	{ 1 }	(E44+1)	[365G]	B	-	-	771	10	ImDi	K3 V
1204	Illikurii	C100334-C	Lo Va Asla0	{ 0 }	(B20-1)	[136B]	B	-	-	310	8	ImDi	M2 V M7 V
1206	Carguulam	C586586-8	Ag Ni Pr Asla0	{ -1 }	(D44-2)	[9429]	CcB	-	-	770	9	ImDi	M3 V K0 V
1301	Simplicity	B100652-C	Na Ni Va	{ 1 }	(752+2)	[4778]	B	-	-	231	6	ImDi	M3 V
1303	Splendor	C9D4865-6	Ph O:1508	{ -1 }	(477+1)	[8758]	eB	-	-	330	8	ImDi	G2 V M7 V
1304	Autumn	B795764-9	Ag Pi O:1508	{ 2 }	(766+0)	[A98A]	DCB	-	-	120	8	ImDi	M1 V M0 V
1308	Siikanaa	E627000-0	Ba	{ -3 }	(800-5)	[0000]	-	-	-	071	11	ImDi	M2 V
1405	Hodgins	E542697-5	He Ni Po	{ -3 }	(651+0)	[5336]	B	-	-	331	11	ImDi	M0 V
1406	Red Sands	D55589A-3	Pa Ph	{ -2 }	(A78+2)	[C641]	ecB	-	-	442	15	ImDi	F4 V K1 V M3 V
1408	Scepter	C43367A-8	Na Ni Po	{ -2 }	(B50-4)	[9455]	B	-	-	440	13	ImDi	M2 V M2 V
1502	L'Engle	B67A444-B	Ni Wa	{ 1 }	(B36-4)	[3598]	B	S	-	122	9	ImDi	K4 V M8 V
1505	Lisle	X88A000-0	Ba Wa Fo	{ -3 }	(500-5)	[0000]	-	-	R	080	10	ImDi	M2 V M1 V
1506	Purgatory	E635367-8	Lo Px O:1508	{ -3 }	(D20+1)	[6198]	B	-	-	960	12	ImDi	M0 V
1508	Wedge	A30087A-B	Na Ph Pi Va Cp	{ 2 }	(77A+1)	[6A6B]	FeDB	-	-	340	7	ImDi	M2 V M9 V
1509	Vaarini	A5567AA-8	Ag Da	{ 1 }	(D69+3)	[889C]	CB	-	A	660	16	ImDi	K6 V M6 V
1510	Reyivik	E778583-5	Ag Ni	{ -2 }	(243+0)	[3361]	CB	-	-	710	8	ImDi	K0 V
1608	Diamond Head	A675844-7	Pa Ph Pi	{ 0 }	(577+2)	[6877]	eDcB	-	-	232	10	ImDi	M3 V
